panel zone shear distortion (rad),panel zone shear force (kN)
-0.000697713,-107.7403117
0.002093138,2987.345007
-0.002691178,-2634.74035
0.001694445,2967.755859
-0.003089871,-2575.972908
0.001893792,2948.166712
-0.002491831,-2536.794612
0.001495099,3046.11245
-0.003687911,-2575.972908
0.001295752,2967.755859
0.001893792,3104.879893
0.002093138,2771.864383
-0.002491831,-2615.151203
0.001495099,2928.577564
0.001893792,3281.182221
0.002491831,3398.717106
0.002890525,3535.841139
0.004086604,3790.500058
0.005482029,3849.267501
0.005681376,3731.732615
0.005282683,2811.042679
0.003887257,1224.321724
0.002691178,9.794573793
0.001495099,-832.5387726
0.000897059,-1439.802348
0.000498366,-2007.887628
-9.97E-05,-2556.38376
-0.000897059,-2948.166712
-0.001495099,-3242.003925
-0.002292485,-3496.662844
-0.003289218,-3751.321763
-0.004485297,-3966.802386
-0.006478762,-4005.980682
-0.006678108,-3751.321763
-0.006279415,-3202.825631
-0.005482029,-2380.081432
-0.00488399,-1459.391495
-0.003687911,-499.5232635
-0.002292485,597.4690014
-0.001295752,1420.2132
-0.00029902,2105.833366
9.97E-05,2713.096941
0.001495099,3163.647335
0.002292485,3457.484549
0.003488564,3731.732615
0.004485297,3888.445796
0.005482029,3849.267501
0.005482029,3457.484549
0.004684643,2360.492284
0.003887257,1733.639562
0.003488564,754.1821819
0.002890525,284.04264
0.002292485,-342.8100828
0.001495099,-1106.786839
0.000897059,-1655.282971
0.00029902,-2223.368251
-9.97E-05,-2752.275236
-0.001495099,-3242.003925
-0.002491831,-3614.19773
-0.004485297,-3927.624091
-0.005681376,-4005.980682
-0.006678108,-3222.414778
-0.005880722,-2811.042679
-0.005681376,-1988.29848
-0.005482029,-1576.926381
-0.00488399,-969.6628054
-0.003089871,68.56201655
-0.002292485,1048.019396
-0.000697713,1733.639562
-9.97E-05,2242.957398
9.97E-05,2634.74035
0.001096406,3104.879893
0.002491831,3477.073697
0.004086604,3790.500058
0.005482029,3790.500058
0.005083336,3300.771368
0.004485297,2282.135694
0.004485297,1890.352742
0.003687911,1008.841101
0.002691178,-342.8100828
0.002093138,-1048.019396
0.001495099,-1674.872119
0.000498366,-2419.259727
-0.000897059,-2967.755859
-0.002093138,-3339.949663
-0.003687911,-3672.965172
-0.005482029,-3927.624091
-0.007076801,-3672.965172
-0.005880722,-3144.058187
-0.005880722,-2360.492284
-0.005482029,-1890.352742
-0.005083336,-1145.965134
-0.003488564,-225.2751972
-0.002491831,910.8953629
-0.001694445,1616.104676
-0.000697713,2086.244218
-9.97E-05,2497.616317
0.000897059,3046.11245
0.002491831,3457.484549
0.00428595,3829.678353
0.005482029,3986.391534
0.006478762,4162.693862
0.007475494,4260.6396
0.00946896,4221.461305
0.009269613,3927.624091
0.009269613,3594.608582
0.008671574,2771.864383
0.007874187,1831.5853
0.007076801,1145.965134
0.005880722,-107.7403117
0.00488399,-1067.608543
0.003687911,-1929.531037
0.002691178,-2478.02717
0.001694445,-2811.042679
-0.000498366,-3339.949663
-0.001893792,-3692.55432
-0.003687911,-4025.569829
-0.005083336,-4103.92642
-0.006080069,-4358.585338
-0.007475494,-4515.298518
-0.008472227,-4515.298518
-0.009269613,-4319.407043
-0.00946896,-3888.445796
-0.00827288,-2693.507793
-0.007674841,-1674.872119
-0.006279415,-617.0581491
-0.005282683,284.04264
-0.00428595,910.8953629
-0.003289218,1537.748086
-0.002292485,2164.600808
-0.001295752,2517.205465
-9.97E-05,2889.399269
0.001893792,3359.538811
0.003289218,3672.965172
0.005083336,3966.802386
0.006279415,4143.104714
0.007874187,4299.817895
0.009867653,4319.407043
0.00946896,4045.158977
0.00887092,3535.841139
0.00887092,3183.236483
0.008472227,2321.313989
0.007674841,1557.337233
0.007276148,793.3604773
0.006478762,323.2209352
0.005482029,-617.0581491
0.004684643,-1400.624052
0.003289218,-2223.368251
0.001893792,-2732.686088
0.001096406,-3046.11245
-0.000498366,-3320.360516
-0.001694445,-3594.608582
-0.003488564,-3888.445796
-0.005681376,-4260.6396
-0.006877455,-4417.352781
-0.00827288,-4554.476812
-0.009269613,-4515.298518
-0.009668306,-4319.407043
-0.009668306,-4103.92642
-0.009070267,-3535.841139
-0.008671574,-3006.934155
-0.008073534,-2145.011661
-0.007475494,-1243.910872
-0.006678108,-832.5387726
-0.005880722,-146.9186069
-0.00488399,715.003887
-0.004086604,1283.089167
-0.002890525,1909.94189
-0.001295752,2419.259727
0.00029902,3104.879893
0.002491831,3535.841139
0.004485297,3927.624091
0.006478762,4241.050452
0.007874187,4436.941928
0.009070267,4574.065961
0.010066999,4691.600845
0.011263078,4789.546583
0.012259811,4848.314027
0.01345589,4867.903177
0.013854583,4632.833405
0.013256543,4103.92642
0.012060464,2301.724842
0.010665039,969.6628054
0.009668306,-107.7403117
0.008472227,-1243.910872
0.006877455,-2086.244218
0.005083336,-2556.38376
0.002691178,-3202.825631
0.00029902,-3633.786877
-0.001495099,-3966.802386
-0.004086604,-4358.585338
-0.005681376,-4515.298518
-0.007276148,-4652.42255
-0.00946896,-4789.546583
-0.011661771,-4907.081471
-0.012658504,-4907.081471
-0.012459157,-4534.887667
-0.012259811,-3810.089206
-0.010665039,-2497.616317
-0.009668306,-1087.197691
-0.008472227,68.56201655
-0.006877455,989.2519531
-0.005482029,1949.120185
-0.004485297,2380.081432
-0.003289218,2948.166712
-0.002093138,3339.949663
-9.97E-05,3692.55432
0.002093138,4045.158977
0.005282683,4338.99619
0.007674841,4593.655111
0.009867653,4789.546583
0.011661771,4867.903177
0.01345589,4828.724882
0.013655236,4554.476812
0.01345589,4319.407043
0.012658504,3594.608582
0.012060464,2908.988417
0.011462425,1714.050414
0.011263078,1420.2132
0.010066999,440.7558207
0.009269613,-479.9341158
0.008671574,-930.4845105
0.007874187,-1655.282971
0.006279415,-2203.779104
0.00488399,-2673.918646
0.003289218,-2987.345007
9.97E-05,-3672.965172
-0.002093138,-4045.158977
-0.004485297,-4358.585338
-0.007076801,-4652.42255
-0.010465692,-4867.903177
-0.012658504,-4887.492322
-0.01285785,-4534.887667
-0.01285785,-4123.515567
-0.012060464,-3418.306254
-0.011063732,-2791.453531
-0.010266346,-2086.244218
-0.009867653,-1302.678315
-0.008671574,-362.3992304
-0.007674841,538.7015588
-0.006080069,1439.802348
-0.00488399,2262.546546
-0.003488564,2771.864383
-0.002093138,3242.003925
-0.000498366,3594.608582
0.001694445,3927.624091
0.006877455,4515.298518
0.009668306,4750.368289
0.012060464,4946.259766
0.013655236,5083.383798
0.015050662,5122.562093
0.016844781,5200.918686
0.017841513,5200.918686
0.018439553,4965.848915
0.01744282,3281.182221
0.015848048,2125.422513
0.014452623,852.1279198
0.013057197,-499.5232635
0.011462425,-1459.391495
0.010465692,-2105.833366
0.009668306,-2615.151203
0.006877455,-3359.538811
0.001893792,-4045.158977
-0.001096406,-4358.585338
-0.003089871,-4574.065961
-0.005482029,-4769.957438
-0.00827288,-4965.848915
-0.010266346,-5044.205504
-0.01285785,-5122.562093
-0.014053929,-5063.794653
-0.015250009,-4848.314027
-0.014452623,-4123.515567
-0.013256543,-2928.577564
-0.011462425,-1204.732577
-0.010066999,-88.15116413
-0.00887092,1204.732577
-0.006877455,2027.476775
-0.005681376,2595.562055
-0.003887257,3026.523302
-0.001495099,3496.662844
9.97E-05,3751.321763
0.003488564,4162.693862
0.006877455,4495.709373
0.00887092,4711.189994
0.010665039,4867.903177
0.01345589,5122.562093
0.015648702,5240.096981
0.01804086,5240.096981
0.018240206,4926.670616
0.017841513,4652.42255
0.017642167,3770.91091
0.016844781,2850.220974
0.015449355,1694.461266
0.014851316,1302.678315
0.013854583,401.5775255
0.013655236,-68.56201655
0.012658504,-1028.430248
0.011063732,-1753.228709
0.010465692,-2360.492284
0.008671574,-2869.810121
0.007276148,-3222.414778
0.005681376,-3496.662844
0.003887257,-3751.321763
0.002491831,-3986.391534
0.000697713,-4221.461305
-0.000697713,-4378.174486
-0.002691178,-4593.655111
-0.005282683,-4809.135733
-0.007674841,-5024.616354
-0.010266346,-5142.151242
-0.012459157,-5240.096981
-0.015050662,-5338.042719
-0.017642167,-5435.988457
-0.018638899,-5357.631864
-0.019436285,-5377.221013
-0.019834979,-5259.686126
-0.019834979,-4672.0117
-0.020034325,-3868.856648
-0.019037592,-3202.825631
-0.017642167,-1616.104676
-0.017044127,-793.3604773
-0.016047395,205.6860496
-0.014851316,930.4845105
-0.01345589,1714.050414
-0.011861118,2321.313989
-0.009867653,2987.345007
-0.006678108,3535.841139
-0.003488564,3927.624091
-0.001295752,4143.104714
0.001495099,4378.174486
0.004086604,4534.887667
0.006478762,4691.600845
0.00827288,4848.314027
0.010864385,5005.027209
0.013854583,5161.740387
0.016844781,5259.686126
0.019635632,5318.45357
0.020433018,5102.972948
0.019834979,4397.763633
0.018638899,3320.360516
0.01804086,2242.957398
0.016844781,1263.500019
0.015449355,29.38372138
0.014851316,-636.6472967
0.013854583,-1165.554281
0.01285785,-1733.639562
0.011462425,-2380.081432
0.010465692,-2713.096941
0.009070267,-3065.701597
0.007076801,-3379.127959
0.006279415,-3594.608582
0.003887257,-3888.445796
0.001495099,-4162.693862
-0.000697713,-4436.941928
-0.003687911,-4672.0117
-0.005880722,-4828.724882
-0.010266346,-5083.383798
-0.013057197,-5279.275275
-0.015848048,-5377.221013
-0.018638899,-5377.221013
-0.019834979,-5240.096981
-0.019834979,-4946.259766
-0.020233672,-4397.763633
-0.019834979,-4123.515567
-0.019834979,-3477.073697
-0.018838246,-2575.972908
-0.018638899,-2047.065923
-0.01804086,-1302.678315
-0.017243474,-284.04264
-0.015848048,460.3449681
-0.015648702,910.8953629
-0.014851316,1400.624052
-0.013854583,1968.709332
-0.01285785,2419.259727
-0.011263078,2771.864383
-0.00827288,3339.949663
-0.005282683,3770.91091
-0.002491831,4103.92642
0.000697713,4378.174486
0.003887257,4613.244256
0.006678108,4769.957438
0.011661771,5005.027209
0.014651969,5161.740387
0.01744282,5240.096981
0.020034325,5318.45357
0.02202779,5259.686126
0.021828444,4965.848915
0.02202779,4456.531078
0.020831711,3457.484549
0.019834979,1851.174447
0.018439553,656.236444
0.01744282,-342.8100828
0.015848048,-1459.391495
0.013655236,-2360.492284
0.010266346,-3320.360516
0.007475494,-3790.500058
0.00488399,-4045.158977
0.001893792,-4299.817895
-0.003089871,-4632.833405
-0.006877455,-4926.670616
-0.010665039,-5220.507831
-0.015449355,-5416.399308
-0.019635632,-5494.755897
-0.02202779,-5494.755897
-0.022825176,-5338.042719
