panel zone shear distortion (rad),panel zone shear force (kN)
0.001161081,-80.49800501
0.002709189,1792.910112
-0.000387027,-1953.906122
0.00328973,1792.910112
-0.000387027,-1924.63412
0.003096216,1778.274111
-0.000774054,-1924.63412
0.003676757,1792.910112
0,-1909.998119
0.000193514,-1895.362118
0.000774054,-36.59000228
0.00328973,1807.546113
0.000193514,-1968.542122
0.00328973,1866.090116
-0.000193514,-1953.906122
0.003096216,1836.818114
0.003676757,2056.358128
0.004257297,2290.534143
0.004837838,2422.258151
0.005031351,2568.61816
0.006192432,2612.526163
0.005611892,2012.450125
0.004837838,1427.010089
0.004063784,563.4860349
0.00328973,-51.22600321
0.002515676,-563.4860349
0.001935135,-1017.202064
0.000967568,-1470.918092
-0.000774054,-2041.722127
-0.001354595,-2231.990139
-0.001741622,-2349.078146
-0.002322162,-2510.074156
-0.003676757,-2758.886172
-0.005224865,-2832.066176
-0.005805405,-2714.978169
-0.003676757,-1163.562072
-0.002128649,-80.49800501
-0.000580541,695.2100433
0.000387027,1178.198073
0.000774054,1485.554093
0.002322162,1895.362118
0.002709189,2158.810134
0.00387027,2349.078146
0.004644324,2539.346158
0.006385946,2568.61816
0.006385946,2378.350148
0.005611892,1880.726117
0.004837838,1163.562072
0.004450811,783.0260486
0.00387027,387.8540242
0.003096216,-270.7660169
0.002515676,-724.482045
0.001161081,-1456.282091
0.000387027,-1792.910112
-0.000193514,-2012.450125
-0.001161081,-2261.262141
-0.002128649,-2466.166154
-0.002709189,-2627.162164
-0.004644324,-2802.794175
-0.005805405,-2758.886172
-0.005418378,-2363.714147
-0.004257297,-1646.550103
-0.002709189,-680.5740424
-0.002322162,-270.7660169
-0.001354595,256.130016
-0.000774054,548.8500341
-0.000387027,914.7500569
0.000193514,1339.194083
0.001354595,1675.822104
0.002515676,2027.086126
0.00328973,2275.898142
0.004644324,2451.530153
0.005805405,2612.526163
0.006772973,2597.890162
0.006385946,2246.62614
0.005805405,1646.550103
0.004644324,1105.018069
0.004063784,739.1180459
0.00387027,197.5860123
0.002902703,-226.8580141
0.002128649,-856.2060534
0.001354595,-1309.922082
0,-1880.726117
-0.000774054,-2129.538132
-0.002128649,-2466.166154
-0.002902703,-2685.706167
-0.00387027,-2817.430176
-0.005611892,-2832.066176
-0.005998919,-2729.61417
-0.005611892,-2510.074156
-0.004837838,-2041.722127
-0.003676757,-1500.190093
-0.00328973,-914.7500569
-0.002322162,-490.3060305
-0.001935135,65.86200409
-0.001161081,475.6700297
0.001161081,1558.734097
0.001935135,1895.362118
0.003483243,2217.354138
0.004257297,2436.894152
0.005998919,2612.526163
0.006385946,2510.074156
0.006772973,2261.262141
0.005611892,1588.006099
0.004450811,900.114056
0.003676757,109.7700069
0.002709189,-695.2100433
0.001354595,-1529.462095
0.000193514,-1895.362118
-0.001354595,-2275.898142
-0.002902703,-2524.710157
-0.004257297,-2758.886172
-0.005805405,-2802.794175
-0.005805405,-2656.434165
-0.005611892,-2158.810134
-0.004837838,-1822.182114
-0.003676757,-1339.194083
-0.002902703,-343.9460214
-0.001354595,300.0380187
-0.000193514,944.0220587
0.000774054,1456.282091
0.001548108,1778.274111
0.00328973,2144.174133
0.005031351,2539.346158
0.005998919,2671.070166
0.00716,2817.430176
0.009095135,2949.154183
0.010836757,3022.334188
0.011223784,3022.334188
0.011417297,2612.526163
0.010062703,1617.278101
0.008127568,-36.59000228
0.006579459,-783.0260486
0.005031351,-1178.198073
0.002322162,-1822.182114
0.000967568,-2231.990139
-0.002322162,-2627.162164
-0.005224865,-2978.426186
-0.00716,-3110.150194
-0.008708108,-3227.238201
-0.009869189,-3300.418205
-0.01044973,-3300.418205
-0.01044973,-2934.518183
-0.008321081,-1456.282091
-0.006966486,-592.7580367
-0.005998919,-80.49800501
-0.004063784,1046.474065
-0.002902703,1368.466085
-0.000580541,1851.454115
0.000967568,2129.538132
0.003096216,2451.530153
0.005611892,2700.342168
0.007353514,2861.338178
0.009482162,2978.426186
0.010836757,3007.698187
0.011610811,2919.882182
0.011223784,2510.074156
0.01103027,2041.722127
0.009675676,1295.286081
0.009095135,651.3020407
0.007740541,-270.7660169
0.006966486,-504.9420314
0.005998919,-958.6580595
0.004063784,-1470.918092
0.001935135,-2012.450125
-0.000387027,-2436.894152
-0.00328973,-2773.522172
-0.005224865,-2978.426186
-0.006192432,-3080.878192
-0.008127568,-3197.966199
-0.009288649,-3300.418205
-0.010062703,-3300.418205
-0.010836757,-3110.150194
-0.010062703,-2671.070166
-0.009482162,-2056.358128
-0.008514595,-1690.458105
-0.007740541,-870.8420543
-0.006772973,-329.3100205
-0.005611892,329.3100205
-0.004644324,724.482045
-0.003483243,1295.286081
-0.001741622,1631.914102
0,1968.542122
0.001548108,2275.898142
0.005418378,2729.61417
0.008321081,2963.790184
0.010836757,3124.786194
0.013932973,3256.510203
0.016255135,3344.326208
0.016835676,3212.6022
0.016642162,2861.338178
0.015094054,1602.6421
0.013352432,387.8540242
0.01103027,-841.5700525
0.009482162,-1500.190093
0.007740541,-1939.270121
0.006192432,-2188.082136
0.004257297,-2378.350148
0.001741622,-2583.254161
-0.000387027,-2788.158174
-0.002902703,-2993.062187
-0.004644324,-3124.786194
-0.006385946,-3241.874202
-0.007934054,-3329.690207
-0.010256216,-3402.870212
-0.012965405,-3490.686217
-0.014707027,-3549.230221
-0.016255135,-3578.502223
-0.016255135,-3417.506213
-0.015481081,-2627.162164
-0.014513514,-2012.450125
-0.013352432,-1353.830084
-0.012384865,-695.2100433
-0.011417297,-95.13400593
-0.009869189,783.0260486
-0.008321081,1251.378078
-0.005998919,1719.730107
-0.004837838,1968.542122
-0.003096216,2231.990139
-0.001161081,2480.802154
0.001741622,2714.978169
0.004450811,2846.702177
0.006966486,2993.062187
0.009869189,3095.514193
0.012191351,3241.874202
0.015287568,3344.326208
0.016835676,3373.59821
0.017029189,3227.238201
0.016255135,2905.246181
0.016255135,2363.714147
0.015481081,2027.086126
0.014707027,1368.466085
0.014126486,958.6580595
0.012771892,139.0420087
0.011997838,-402.490025
0.010836757,-973.2940604
0.010256216,-1251.378078
0.008514595,-1719.730107
0.00716,-2056.358128
0.004837838,-2305.170143
0.002709189,-2568.61816
0.000967568,-2700.342168
-0.001548108,-2919.882182
-0.004450811,-3110.150194
-0.006579459,-3227.238201
-0.008901622,-3402.870212
-0.010836757,-3476.050216
-0.01432,-3593.138224
-0.015481081,-3607.774225
-0.016835676,-3519.958219
-0.015481081,-2978.426186
-0.014900541,-2290.534143
-0.013932973,-1661.186103
-0.012965405,-1046.474065
-0.011804324,-343.9460214
-0.010836757,343.9460214
-0.010256216,622.0300389
-0.008901622,1061.110066
-0.007353514,1485.554093
-0.006579459,1631.914102
-0.00387027,2085.63013
-0.001741622,2378.350148
0.000387027,2597.890162
0.006772973,2978.426186
0.013739459,3300.418205
0.018577297,3490.686217
0.022834595,3607.774225
0.02535027,3680.954229
0.027672432,3695.59023
0.02864,3534.59422
0.028059459,3300.418205
0.027091892,2612.526163
0.025156757,1295.286081
0.023995676,387.8540242
0.022834595,-446.3980279
0.02148,-1031.838064
0.020318919,-1427.010089
0.018964324,-1763.63811
0.016061622,-2217.354138
0.012384865,-2612.526163
0.009482162,-2890.61018
0.006385946,-3066.242191
0.001935135,-3212.6022
-0.004837838,-3417.506213
-0.010256216,-3607.774225
-0.016061622,-3768.770235
-0.020512432,-3856.58624
-0.022834595,-3929.766245
-0.024576216,-3988.310249
-0.027285405,-4017.58225
-0.028446486,-4002.946249
-0.028059459,-3739.498233
-0.027672432,-3183.330198
-0.026317838,-2422.258151
-0.024963243,-1295.286081
-0.022641081,-21.95400137
-0.020512432,944.0220587
-0.019544865,1280.65008
-0.018383784,1631.914102
-0.016255135,1953.906122
-0.014513514,2231.990139
-0.011417297,2495.438155
-0.008127568,2714.978169
-0.004644324,2905.246181
0,3080.878192
0.005805405,3285.782205
0.013545946,3505.322218
0.017996757,3651.682227
0.022641081,3724.862232
0.025543784,3739.498233
0.027865946,3724.862232
0.028446486,3490.686217
0.027478919,2993.062187
0.026704865,2436.894152
0.026124324,2070.994129
0.025156757,1602.6421
0.02476973,870.8420543
0.023608649,-7.318000457
0.022254054,-724.482045
0.020318919,-1222.106076
0.01760973,-1822.182114
0.014900541,-2261.262141
0.013158919,-2510.074156
0.010256216,-2802.794175
0.004837838,-3124.786194
0.000387027,-3300.418205
-0.005805405,-3476.050216
-0.009675676,-3607.774225
-0.012578378,-3710.226231
-0.020318919,-3871.222241
-0.023802162,-4017.58225
-0.026511351,-4017.58225
-0.02864,-3988.310249
-0.02864,-3841.950239
-0.028252973,-3578.502223
-0.028059459,-3373.59821
-0.026898378,-2802.794175
-0.025930811,-1939.270121
-0.024963243,-1558.734097
-0.023802162,-724.482045
-0.022641081,-270.7660169
-0.021673514,475.6700297
-0.021092973,797.6620499
-0.019544865,1192.834074
-0.017222703,1749.002109
-0.015674595,2056.358128
-0.013545946,2349.078146
-0.007934054,2744.250171
-0.005611892,2846.702177
-0.002128649,3007.698187
0.001935135,3154.058196
0.007740541,3344.326208
0.011417297,3446.778215
0.015287568,3534.59422
0.020125405,3680.954229
0.02535027,3754.134234
0.028252973,3827.314238
0.031736216,3885.858242
0.034638919,3944.402245
0.037541622,3973.674248
0.038702703,3973.674248
0.03967027,3915.130244
0.03967027,3739.498233
0.037154595,1968.542122
0.034638919,314.6740196
0.033090811,-373.2180232
0.032703784,-783.0260486
0.031155676,-1192.834074
0.029414054,-1588.006099
0.026898378,-2158.810134
0.023221622,-2627.162164
0.018383784,-2963.790184
0.014900541,-3168.694197
0.011223784,-3300.418205
0.008321081,-3417.506213
0.004063784,-3534.59422
0.000387027,-3637.046227
-0.002902703,-3739.498233
-0.007547027,-3827.314238
-0.011610811,-3915.130244
-0.018577297,-4002.946249
-0.023415135,-4046.854252
-0.025737297,-4061.490253
-0.032123243,-4120.034256
-0.035412973,-4149.306258
-0.038509189,-4105.398256
-0.037928649,-3505.322218
-0.036767568,-2568.61816
-0.034445405,-1236.742077
-0.033284324,-314.6740196
-0.03251027,168.3140105
-0.031155676,826.9340516
-0.029414054,1368.466085
-0.027285405,1763.63811
-0.024963243,2217.354138
-0.021867027,2612.526163
-0.01819027,2861.338178
-0.014513514,3022.334188
-0.009869189,3227.238201
-0.00387027,3373.59821
0.004257297,3549.230221
0.010643243,3666.318228
0.016835676,3783.406236
0.022834595,3885.858242
0.025930811,3929.766245
0.030768649,3959.038246
0.035219459,3988.310249
0.038315676,4017.58225
0.039863784,3885.858242
0.03908973,3285.782205
0.038315676,2612.526163
0.036574054,1675.822104
0.0358,1046.474065
0.034251892,36.59000228
0.033090811,-548.8500341
0.032316757,-1002.566063
0.030575135,-1441.64609
0.029220541,-1792.910112
0.026124324,-2290.534143
0.024576216,-2510.074156
0.021286486,-2788.158174
0.016835676,-3080.878192
0.012384865,-3300.418205
0.006966486,-3461.414216
0.002709189,-3622.410226
-0.002515676,-3680.954229
-0.006192432,-3783.406236
-0.011804324,-3959.038246
-0.015481081,-3988.310249
-0.02148,-4061.490253
-0.027478919,-4090.762255
-0.031736216,-4120.034256
-0.035993514,-4163.942259
-0.037541622,-4090.762255
-0.038509189,-3900.494243
-0.038122162,-3695.59023
-0.037541622,-3007.698187
-0.036380541,-1895.362118
-0.035219459,-1383.102086
-0.034638919,-709.8460442
-0.032123243,373.2180232
-0.030188108,1134.290071
-0.028059459,1646.550103
-0.026704865,1953.906122
-0.023995676,2436.894152
-0.020125405,2758.886172
-0.016255135,2949.154183
-0.012191351,3124.786194
-0.006772973,3300.418205
-0.001354595,3432.142214
0.006579459,3622.410226
0.013545946,3724.862232
0.019157838,3827.314238
0.029220541,4032.218251
0.036574054,4134.670257
0.040444324,4178.57826
0.046443243,4222.486263
0.050507027,4222.486263
0.051087568,4046.854252
0.049539459,3154.058196
0.04683027,1251.378078
0.044508108,-21.95400137
0.042379459,-1134.290071
0.039476757,-1895.362118
0.036961081,-2261.262141
0.034638919,-2568.61816
0.031736216,-2934.518183
0.027478919,-3154.058196
0.023415135,-3315.054206
0.018770811,-3505.322218
0.01432,-3666.318228
0.008708108,-3754.134234
0.002902703,-3841.950239
-0.000387027,-3885.858242
-0.004837838,-3944.402245
-0.009095135,-4032.218251
-0.013932973,-4076.126254
-0.023802162,-4149.306258
-0.028833514,-4222.486263
-0.032703784,-4266.394266
-0.035412973,-4266.394266
-0.038122162,-4266.394266
-0.039863784,-4207.850262
-0.042185946,-4090.762255
-0.044121081,-3959.038246
-0.04624973,-3841.950239
-0.046443243,-3622.410226
-0.045669189,-3110.150194
-0.043734054,-2319.806144
-0.041605405,-870.8420543
-0.041024865,-519.5780323
-0.040444324,-139.0420087
-0.041024865,-36.59000228
-0.042185946,51.22600321
-0.041605405,563.4860349
-0.038896216,1441.64609
-0.034638919,2275.898142
-0.030575135,2773.522172
-0.025737297,3080.878192
-0.020512432,3256.510203
-0.016061622,3402.870212
-0.007353514,3651.682227
-0.000387027,3739.498233
0.006966486,3827.314238
0.013932973,3900.494243
0.019544865,3959.038246
0.025543784,4017.58225
0.030768649,4061.490253
0.034251892,4134.670257
0.041218378,4178.57826
0.045088649,4207.850262
0.049732973,4193.214261
0.051281081,4120.034256
0.050700541,3798.042237
0.049152432,2758.886172
0.047797838,1983.178124
0.04683027,1002.566063
0.04624973,592.7580367
0.044314595,-197.5860123
0.04296,-607.394038
0.040637838,-958.6580595
0.040057297,-1192.834074
0.03908973,-1631.914102
0.036767568,-2129.538132
0.035219459,-2407.62215
0.033477838,-2671.070166
0.030381622,-2993.062187
0.028833514,-3095.514193
0.025737297,-3241.874202
0.021673514,-3432.142214
0.01760973,-3563.866222
0.012965405,-3724.862232
0.006966486,-3798.042237
0.001741622,-3871.222241
-0.002902703,-3915.130244
-0.005998919,-3988.310249
-0.01103027,-4061.490253
-0.018383784,-4090.762255
-0.022254054,-4178.57826
-0.031542703,-4251.758265
-0.035993514,-4281.030267
-0.041992432,-4178.57826
-0.043734054,-4032.218251
-0.047410811,-3739.498233
-0.048184865,-3563.866222
-0.048184865,-3241.874202
-0.047604324,-2788.158174
-0.04624973,-1778.274111
-0.045088649,-1236.742077
-0.044314595,-592.7580367
-0.043347027,-109.7700069
-0.042766486,270.7660169
-0.041024865,885.4780552
-0.040250811,1178.198073
-0.037928649,1719.730107
-0.036187027,2144.174133
-0.033284324,2510.074156
-0.031542703,2714.978169
-0.027672432,2963.790184
-0.023415135,3154.058196
-0.018577297,3329.690207
-0.012384865,3519.958219
-0.008514595,3622.410226
-0.003676757,3695.59023
0.002322162,3768.770235
0.005611892,3798.042237
0.010836757,3885.858242
0.017222703,3944.402245
0.022254054,4002.946249
0.027478919,4046.854252
0.038315676,4163.942259
0.047023784,4222.486263
0.052248649,4251.758265
0.056699459,4266.394266
0.059021622,4266.394266
0.061343784,4237.122264
0.062504865,4134.670257
0.062311351,3929.766245
0.061537297,3080.878192
0.060182703,2363.714147
0.059408649,1778.274111
0.058247568,1148.926071
0.055538378,-95.13400593
0.054183784,-753.7540468
0.052442162,-1251.378078
0.051861622,-1514.826094
0.051474595,-1778.274111
0.048765405,-2246.62614
0.046443243,-2553.982159
0.044121081,-2802.794175
0.040250811,-3095.514193
0.0358,-3285.782205
0.031542703,-3476.050216
0.027091892,-3651.682227
0.022447568,-3812.678238
0.014513514,-3929.766245
0.008127568,-4002.946249
0.002515676,-4061.490253
-0.002902703,-4120.034256
-0.006579459,-4149.306258
-0.01103027,-4193.214261
-0.015287568,-4237.122264
-0.019738378,-4237.122264
-0.023995676,-4281.030267
-0.028252973,-4295.666267
-0.03251027,-4324.938269
-0.037154595,-4354.210271
-0.040831351,-4412.754275
