panel zone shear distortion* (rad),panel zone shear force (kN)
0,0
0.001660569,939.205604
-0.001507902,-995.4454605
0.001669239,944.8295896
-0.001543755,-984.1974892
0.001598708,933.5816183
0.001920654,1107.925174
0.002166335,1181.036987
0.002403348,1248.524815
0.002686644,1259.772786
0.002707507,1169.789016
-0.000577191,-736.7421205
-0.001163332,-961.7015466
-0.001644852,-1136.045102
-0.002163399,-1265.396772
-0.002509731,-1248.524815
-2.55612E-05,224.9594261
0.000800389,691.7502353
0.001473812,956.0775609
0.001848361,1147.293073
0.002544996,1254.148801
0.002673417,1130.421116
-8.75892E-05,-539.9026226
-0.000924558,-944.8295896
-0.001545377,-1192.284958
-0.002012494,-1271.020757
-0.002597013,-1287.892714
-0.000321498,67.48782783
0.0011767,832.3498766
0.001937992,1119.173145
0.002588344,1282.268729
0.003214448,1377.876485
0.004426834,1439.740327
0.005586028,1501.604169
0.006755066,1535.348083
0.007720595,1557.844026
0.008473945,1563.468011
0.009033043,1546.596054
0.009231994,1434.116341
0.008945314,1265.396772
0.006757081,-50.61587087
0.006355936,-241.8313831
0.005461665,-528.6546513
0.004487019,-798.6059627
0.003641828,-967.3255322
0.002574615,-1124.79713
0.001276709,-1276.644743
0.000118689,-1372.252499
-0.000783804,-1422.86837
-0.003065752,-1574.715983
-0.00519797,-1698.443667
-0.00671334,-1715.315624
-0.007786427,-1704.067653
-0.005894131,-545.5266083
-0.004097059,292.4472539
-0.002923016,691.7502353
-0.0019998,911.0856757
-0.001119344,1085.429231
-0.000183934,1209.156915
0.00136259,1349.756557
0.003591347,1501.604169
0.005811434,1647.827796
0.00701515,1704.067653
0.007902067,1692.819681
0.008133933,1653.451782
0.007979057,1518.476126
0.007181465,1001.069446
0.005860768,230.5834118
0.004875831,-253.0793544
0.00433245,-433.0468952
0.00341217,-736.7421205
0.002630015,-933.5816183
0.001555894,-1147.293073
0.000196127,-1304.764671
-0.001138805,-1411.620399
-0.003473358,-1580.339968
-0.004986966,-1647.827796
-0.006482648,-1720.93961
-0.007467278,-1704.067653
-0.007919993,-1687.195696
-0.008224739,-1591.58794
-0.00599081,-314.9431965
-0.005188519,67.48782783
-0.004575783,292.4472539
-0.004113364,506.1587087
-0.003490783,702.9982066
-0.002548466,882.9657474
-0.001720614,1040.437346
-0.000599622,1181.036987
0.00091105,1332.8846
0.003227676,1507.228155
0.005678455,1647.827796
0.00705159,1675.947724
0.007796271,1675.947724
0.008337443,1664.699753
0.00824384,1552.22004
0.006805881,584.8945079
0.005751001,73.11181348
0.005097266,-247.4553687
0.004652774,-466.7908092
0.00376541,-697.3742209
0.003009851,-894.2137187
0.001493446,-1136.045102
-0.000104508,-1327.260614
-0.002093316,-1495.980184
-0.005509037,-1675.947724
-0.007289777,-1709.691638
-0.007724566,-1698.443667
-0.006279559,-933.5816183
-0.005175011,-320.5671822
-0.004206826,134.9756557
-0.003833451,359.9350818
-0.003228797,562.3985652
-0.002658233,725.4941492
-0.002385955,798.6059627
