panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.001561092,824.4170968
0.001818542,974.3111144
0.001970295,1004.289918
-0.001493382,-1174.169805
0.000130782,-34.97527077
0.001841648,989.3005162
-0.001617606,-1169.173337
0.001920804,989.3005162
0.002667602,1234.127412
0.002868848,1279.095617
0.002738901,1109.21573
-0.00017678,-679.5195465
-0.000866539,-1024.275787
-0.001307696,-1259.109748
-0.00172788,-1428.989634
-0.002047937,-1533.915447
-0.002274423,-1543.908381
-0.000178294,-149.8940176
0.001325759,774.4524243
0.00187688,1029.272254
0.0021871,1179.166272
0.002521416,1259.109748
0.002938167,1324.063822
0.001343667,169.8798866
0.00013344,-529.6255289
-0.00051453,-864.3888348
-0.001016159,-1104.219263
-0.001407824,-1324.063822
-0.001732304,-1448.975503
-0.002032533,-1523.922512
-0.002334896,-1548.904849
0.001023241,629.5548739
0.001802148,1049.258123
0.002529119,1264.106215
0.003367043,1414.000233
0.003890479,1513.929578
0.004772328,1623.851857
0.005637627,1688.805932
0.006397386,1753.760006
0.00714174,1808.721146
0.008047684,1848.692884
0.008643563,1858.685818
0.008977725,1818.71408
0.008909395,1688.805932
0.006853076,474.6643891
0.005710034,-129.9081486
0.004617784,-564.6007996
0.003909496,-784.4453588
0.003064859,-1024.275787
0.00221153,-1184.162739
0.000788707,-1354.042626
-0.000788004,-1503.936643
-0.002303097,-1613.858923
-0.004161199,-1723.781202
-0.006554707,-1838.699949
-0.008580957,-1903.654024
-0.009572614,-1913.646958
-0.006858334,-289.7951007
-0.005632858,299.7880352
-0.004990456,579.5902014
-0.004305275,784.4453588
-0.003647623,954.3252454
-0.002961452,1074.240459
-0.002056498,1199.152141
-0.000959144,1329.060289
6.56113E-05,1428.989634
2.82451E-05,1438.982569
0.00233604,1583.880119
0.004518467,1698.798866
0.006451301,1788.735277
0.008134542,1853.689351
0.008846943,1853.689351
0.009096381,1758.756473
0.007014666,459.6749873
0.006112525,-39.97173803
0.005481104,-329.7668387
0.005055352,-554.6078651
0.004415239,-764.4594898
0.003625661,-934.3393764
0.002717273,-1164.17687
0.001623198,-1309.07442
0.000626962,-1458.968438
-0.000200971,-1533.915447
-0.001459915,-1648.834194
-0.003431259,-1763.75294
-0.005167271,-1828.707015
-0.006847234,-1908.650491
-0.008096186,-1948.622229
-0.008966899,-1948.622229
-0.009563767,-1873.67522
-0.006136621,109.9222796
-0.005298387,499.6467253
-0.00446473,749.470088
-0.004009469,839.4064986
-0.005341941,-24.98233627
-0.003959977,854.3959003
-0.00318466,1049.258123
-0.001689239,1249.116813
-7.4017E-05,1423.993167
0.001504828,1523.922512
0.003461913,1663.823595
0.005714648,1738.770604
0.006887724,1763.75294
0.007615529,1773.745875
0.007856275,1758.756473
0.00796395,1708.791801
