panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.004454545,188.5676246
0.005818182,200.1074052
0.009363636,220.5239402
0.013454545,236.502098
0.022272727,262.2446857
0.031636364,284.4365715
0.036181818,296.8640276
0.050545455,326.157317
0.051,323.4942907
0.048272727,88.2603004
0.050909091,312.8421855
0.052545455,330.5956942
0.054181818,336.8094222
0.055090909,336.8094222
0.067,341.2477994
0.066272727,249.8172296
0.064818182,101.5754319
0.064181818,55.4163093
0.063636364,2.155783199
0.063181818,-13.82237463
0.062363636,-43.11566399
0.061272727,-81.28570769
0.059454545,-121.2311023
0.056090909,-162.0641723
0.053181818,-190.4697862
0.050454545,-214.4370229
0.047363636,-233.9658825
0.043090909,-254.3824175
0.035545455,-289.0017595
0.028909091,-310.3059699
0.011090909,-351.1390399
0.014727273,-36.90193594
0.016181818,57.19166017
0.017636364,98.02473018
0.019727273,139.7454756
0.021909091,162.8250369
0.025181818,196.5567035
0.028363636,224.074642
0.032636364,251.5925804
0.037,275.5598172
0.044,304.8531065
0.049181818,320.8312644
0.058818182,346.573852
0.062909091,351.0122292
0.065272727,352.78758
0.064090909,226.7376683
0.062454545,77.60819518
0.061545455,11.92021298
0.060545455,-39.56496225
0.060090909,-61.75684812
0.058818182,-87.49943574
0.055818182,-132.7708829
0.053181818,-163.8395232
0.050454545,-188.6944353
0.047272727,-215.3246984
0.043181818,-235.7412334
0.038545455,-257.9331193
0.031818182,-289.8894349
0.026636364,-305.8675928
0.022090909,-320.0703997
0.016636364,-334.2732067
0.010181818,-347.5883382
-0.004090909,-368.8925486
-0.015454545,-378.6569784
-0.029727273,-387.5337328
-0.038363636,-390.1967591
-0.045363636,-394.6351363
-0.043454545,-225.0891282
-0.041,-59.98149725
-0.04,-1.394918541
-0.038272727,50.97793213
-0.036818182,84.70959866
-0.035,116.6659143
-0.031909091,149.5099054
-0.030181818,170.8141159
-0.027818182,193.8936772
-0.024818182,218.7485893
-0.021545455,240.0527998
-0.018272727,260.4693348
-0.014818182,278.2228435
-0.010545455,298.6393785
-0.006,313.7298609
-0.001818182,327.0449924
0.005727273,340.3601239
0.017090909,352.78758
0.035363636,366.990387
0.046727273,374.0917905
0.057909091,382.9685448
0.062454545,383.8562203
0.06,215.1978876
0.059454545,128.205695
0.058636364,86.48494953
0.057636364,15.47091472
0.056636364,-30.6882079
0.055181818,-67.97057617
0.053545455,-97.26386552
0.051272727,-130.9955321
0.049090909,-155.8504442
0.046454545,-178.9300055
0.043363636,-203.7849177
0.040363636,-222.4261019
0.036090909,-248.1686895
0.033272727,-261.483821
0.029,-281.900356
0.02,-310.3059699
0.015,-323.6211015
0.009181818,-338.7115839
0.002454545,-346.7006628
-0.008636364,-360.0157943
-0.028454545,-373.3309258
-0.044909091,-384.8707065
-0.051181818,-385.7583819
-0.052181818,-385.7583819
-0.049545455,-205.5602686
-0.047818182,-83.06105856
-0.046272727,-2.282593976
-0.044,50.09025669
-0.041545455,93.58635301
-0.038909091,122.8796424
-0.036454545,147.7345545
-0.033727273,171.7017913
-0.031363636,195.669028
-0.028272727,217.8609139
-0.024636364,236.502098
-0.021181818,254.2556067
-0.017363636,269.3460891
-0.011909091,289.7626241
-0.005909091,311.0668346
-6.36E-04,317.2805626
0.005727273,324.3819661
0.017272727,333.2587205
0.029545455,337.6970976
0.052181818,352.78758
0.060818182,358.1136326
0.063636364,360.776659
0.061545455,197.4443789
0.060181818,101.5754319
0.059545455,62.51771278
0.058818182,11.92021298
0.057818182,-31.57588333
0.056727273,-58.20614638
0.055181818,-88.38711117
0.053181818,-130.9955321
0.050818182,-156.7381197
0.049272727,-175.3793038
0.046454545,-195.7958388
0.044,-212.6616721
0.040090909,-233.0782071
0.037090909,-252.6070667
0.034181818,-266.8098736
0.029909091,-283.6757069
0.025545455,-298.7661893
0.019727273,-315.6320225
0.012363636,-332.4978558
0.003727273,-347.5883382
-0.004909091,-361.7911452
-0.013181818,-366.2295223
-0.022727273,-368.8925486
-0.042363636,-374.2186013
-0.051181818,-382.2076802
-0.052727273,-382.2076802
-0.050272727,-219.7630756
-0.048909091,-92.82548835
-0.047454545,-25.36215529
-0.046454545,19.02161646
-0.044363636,50.97793213
-0.042818182,80.27122148
-0.039272727,124.6549932
-0.036181818,161.0496861
-0.032909091,191.2306509
-0.029090909,219.6362648
-0.026363636,241.8281507
-0.023181818,258.6939839
-0.017363636,286.2119224
-0.010909091,307.5161328
-0.006818182,318.1682381
-1.00E-03,331.4833696
0.010818182,343.0231503
0.022909091,352.78758
0.032,358.1136326
0.040454545,361.6643344
0.050454545,366.990387
0.057909091,373.204115
0.062272727,374.0917905
0.064909091,377.6424922
0.063636364,269.3460891
0.062454545,167.2634141
0.061909091,114.002888
0.061363636,82.93424779
