panel zone shear distortion (rad),panel zone shear force (kN)
0.000155957,28.73535408
0.000775978,617.8101127
-0.000367603,-603.4424356
0.000740281,574.7070815
-0.000543814,-603.4424356
0.000840285,589.0747586
-0.000496218,-545.9717275
0.000808132,603.4424356
-0.000535459,-646.5454667
0.000687872,617.8101127
-0.00047242,-517.2363734
0.000696228,574.7070815
-0.000623564,-646.5454667
6.7851E-05,28.73535408
0.00126384,1206.884871
-0.001125601,-1465.503058
0.001211432,1249.987902
-0.001169654,-1465.503058
0.001107883,1178.149517
-0.001105346,-1494.238412
0.001151936,1178.149517
-0.001117245,-1508.606089
0.001031677,1192.517194
-0.001105346,-1494.238412
0.001031677,1192.517194
-0.001105346,-1494.238412
0.001264846,1580.444474
-0.001394468,-1896.533369
0.001397005,1580.444474
-0.001258765,-1839.062661
0.001352952,1580.444474
-0.001282564,-1867.798015
0.001288644,1609.179828
-0.001314717,-1853.430338
0.001276745,1594.812151
-0.001402823,-1853.430338
0.001144587,1594.812151
-0.001306362,-1896.533369
0.001903853,2298.828326
-0.001763339,-2341.931357
0.002063354,2385.034388
-0.001610926,-2370.666711
0.002095507,2370.666711
-0.001822835,-2413.769742
0.001991959,2298.828326
-0.001887142,-2385.034388
0.001959805,2313.196003
-0.001778782,-2413.769742
0.002214498,2514.343482
0.002621604,2686.755606
0.003133527,2772.961668
0.003545446,2844.800054
0.004033571,2902.270762
0.004265734,2916.638439
0.004509797,2945.373793
0.004774114,2945.373793
0.00497058,2916.638439
0.005195656,2816.0647
0.003256106,474.1333423
0.001976823,-804.5899142
0.001224644,-1393.664673
0.000379546,-1882.165692
-0.000543027,-2198.254587
-0.001341796,-2471.240451
-0.002269181,-2686.755606
-0.002872754,-2830.432377
-0.003448984,-2887.903085
-0.004181172,-2974.109147
-0.004701451,-3017.212178
-0.005038431,-2945.373793
-0.004412592,-2083.313171
-0.002643172,0
-0.001895804,689.6484978
-0.001315024,1178.149517
-0.000605629,1609.179828
0.000128834,1910.901046
0.001031152,2255.725295
0.00216209,2557.446513
0.002889465,2744.226314
0.003545446,2844.800054
0.004197883,2887.903085
0.004506253,2887.903085
0.004990835,2887.903085
0.005115906,2772.961668
0.001906697,-1048.840424
0.001254523,-1623.547505
0.000512973,-2040.210139
-0.000436941,-2442.505097
-0.001100009,-2658.020252
-0.002311966,-2844.800054
-0.003316826,-2887.903085
-0.004049013,-2974.109147
-0.005009821,-3017.212178
-0.005099195,-2859.167731
-0.003258381,-689.6484978
-0.001997078,833.3252682
-0.000897288,1522.973766
-0.000279541,1896.533369
0.000946589,2313.196003
0.002333489,2658.020252
0.004253835,2902.270762
0.005109825,3031.579855
0.006014681,3060.315209
0.006799277,3103.41824
0.007471969,3117.785917
0.008012502,3132.153594
0.008620887,3175.256625
0.00897331,3175.256625
0.009345987,3146.521271
0.009311559,2945.373793
0.005826134,-890.7959764
0.00485369,-1479.870735
0.004043021,-1767.224276
0.003156145,-2040.210139
0.002540674,-2198.254587
0.001445433,-2456.872774
3.34666E-05,-2672.387929
-0.001730923,-2887.903085
-0.003951283,-3175.256625
-0.006096706,-3318.933396
-0.007665898,-3405.139458
-0.008638604,-3462.610166
-0.008860137,-3304.565719
-0.008388986,-2629.284898
-0.005963848,86.20606223
-0.004958244,1034.472747
-0.003809589,1623.547505
-0.002391804,2112.048525
-0.001104909,2442.505097
0.000483269,2658.020252
0.001983341,2873.535408
0.003876345,3031.579855
0.005328821,3189.624303
0.00634558,3247.095011
0.007186128,3304.565719
0.007882619,3347.66875
0.008435051,3376.404104
0.008956598,3261.462688
0.009157877,3132.153594
0.006426906,100.5737393
0.005214206,-991.3697157
0.00466431,-1336.193965
0.004109603,-1580.444474
0.003271593,-1954.004077
0.002188251,-2198.254587
0.000769198,-2528.711159
-0.001290394,-2887.903085
-0.004259653,-3175.256625
-0.006040754,-3304.565719
-0.007121821,-3333.301073
-0.007906417,-3376.404104
-0.008599363,-3362.036427
-0.009044704,-3261.462688
-0.008361644,-2543.078836
-0.005228379,761.486883
-0.004125046,1508.606089
-0.00318703,1896.533369
-0.002056092,2198.254587
-0.000516779,2514.343482
0.001395211,2801.697022
0.003035797,2974.109147
0.005084759,3160.888948
0.006328869,3333.301073
0.007930215,3405.139458
0.009079133,3462.610166
0.010236406,3476.977843
0.011637742,3520.080874
0.012795016,3534.448551
0.014084448,3548.816228
0.015417933,3563.183906
0.016522798,3620.654614
0.017139538,3620.654614
0.017712225,3620.654614
0.018152754,3620.654614
0.014588585,114.9414163
0.013228283,-1048.840424
0.011940382,-1752.856599
0.010717795,-2112.048525
0.009254689,-2442.505097
0.00771892,-2701.123283
0.005790218,-2902.270762
0.003132872,-3132.153594
0.0008958,-3333.301073
-0.002959328,-3520.080874
-0.005890615,-3548.816228
-0.009581432,-3749.963707
-0.012136498,-3749.963707
-0.015788073,-3850.537446
-0.01717751,-3879.2728
-0.017880081,-3663.757645
-0.018020595,-3620.654614
-0.014323261,258.6181867
-0.013475889,962.6343616
-0.012914095,1321.826288
-0.012067729,1652.282859
-0.011357065,1925.268723
-0.010461834,2155.151556
-0.008970117,2413.769742
-0.006949766,2672.387929
-0.004688896,2902.270762
-0.002399416,3060.315209
-0.00083858,3189.624303
0.001086578,3333.301073
0.012232959,3706.860676
0.01628101,3807.434415
0.017118015,3807.434415
0.017927677,3721.228353
0.018309979,3491.34552
0.014800756,-373.559603
0.014019966,-890.7959764
0.013115373,-1451.135381
0.012021401,-1867.798015
0.011158324,-2112.048525
0.010034473,-2298.828326
0.008498703,-2557.446513
0.006366449,-2844.800054
0.004049627,-3089.050563
0.001936358,-3247.095011
-0.002615261,-3476.977843
