panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.001781818,1421.814597
0.000145455,39.27664633
-0.000836364,-966.2054996
-0.001272727,-1264.708012
-0.001309091,-1390.39328
0.000545455,377.0558047
0.001781818,1413.959268
-0.001418182,-1406.103938
0.001963636,1586.776512
0.002472727,1853.857707
0.002509091,1971.687646
0.002909091,2042.385609
0.003418182,2128.794231
0.003709091,2144.504889
0.003781818,1916.700341
0.003272727,1390.39328
0.002872727,981.9161581
0.002509091,809.0989143
0.002181818,471.3197559
0.001745455,0
0.001345455,-361.3451462
0.000145455,-1107.601426
-0.000581818,-1539.644536
-0.001272727,-1743.883097
-0.001527273,-1869.568365
-0.002509091,-2010.964292
-0.003127273,-2081.662255
-0.003709091,-2120.938902
-0.002836364,-1060.469451
-0.001927273,-329.9238291
-0.001309091,243.5152072
-0.000145455,848.3755606
0.000581818,1233.286695
0.001309091,1531.789207
0.001890909,1736.027768
0.002327273,1948.121658
0.003127273,2120.938902
0.003636364,2199.492194
0.004545455,2293.756145
0.005309091,2356.59878
0.005854545,2372.309438
0.006363636,2395.875426
0.006872727,2395.875426
0.007163636,2395.875426
0.007345455,2340.888121
0.007636364,2270.190158
0.006763636,1390.39328
0.005345455,172.8172438
0.004981818,-78.55329265
0.004436364,-361.3451462
0.003781818,-691.2689753
0.003018182,-966.2054996
0.002436364,-1241.142024
0.0012,-1539.644536
-0.000254545,-1861.713036
-0.001418182,-2026.67495
-0.002690909,-2183.781536
-0.004763636,-2301.611475
-0.005563636,-2333.032792
-0.006036364,-2356.59878
-0.005927273,-2018.819621
-0.004727273,-1013.337475
-0.003563636,-62.84263412
-0.002581818,510.5964022
-0.001890909,848.3755606
-0.0008,1241.142024
0.000254545,1539.644536
0.001163636,1751.738426
0.002,1924.55567
0.004072727,2246.62417
0.005818182,2403.730755
0.006872727,2482.284048
0.009163636,2576.547999
0.0108,2615.824645
0.011636364,2662.956621
0.012327273,2655.101292
0.0116,2018.819621
0.010254545,706.9796339
0.009563636,235.659878
0.0088,-212.0938902
0.008290909,-471.3197559
0.007854545,-714.8349631
0.007345455,-926.9288533
0.006654545,-1139.022743
0.005854545,-1335.405975
0.004872727,-1539.644536
0.004036364,-1704.606451
0.002690909,-1861.713036
0.001054545,-2050.240938
-0.0004,-2199.492194
-0.002072727,-2325.177462
-0.003781818,-2450.862731
-0.005345455,-2529.416023
-0.007163636,-2600.113987
-0.008254545,-2615.824645
-0.009127273,-2623.679975
-0.0092,-2552.982011
-0.008436364,-1641.763816
-0.007381818,-856.2308899
-0.006327273,-78.55329265
-0.006036364,47.13197559
-0.004218182,651.992329
-0.003272727,981.9161581
-0.002472727,1225.431365
-0.001781818,1539.644536
-0.001054545,1728.172438
-0.000909091,1806.725731
-0.000145455,1885.279024
0.002618182,2246.62417
0.004763636,2419.441414
0.007272727,2560.83734
0.009127273,2678.667279
0.011818182,2772.931231
0.013672727,2835.773865
0.015163636,2867.195182
0.016327273,2859.339853
0.017127273,2859.339853
0.0172,2733.654584
0.017054545,2513.705365
0.016618182,2293.756145
0.016254545,1908.845011
0.015672727,1437.525256
0.014945455,926.9288533
0.014327273,494.8857437
0.013963636,259.2258658
0.013636364,47.13197559
0.013090909,-188.5279024
0.011818182,-691.2689753
0.011236364,-934.7841826
0.010945455,-1068.32478
0.010690909,-1194.010048
0.010327273,-1280.41867
0.009236364,-1484.657231
0.007454545,-1759.593755
0.006254545,-1924.55567
0.0052,-2034.53028
0.004109091,-2113.083572
0.002363636,-2254.479499
0.000181818,-2411.586084
-0.002181818,-2505.850036
-0.003672727,-2600.113987
-0.006218182,-2686.522609
-0.008690909,-2741.509914
-0.010363636,-2812.207877
-0.011818182,-2835.773865
-0.0128,-2820.063206
-0.0128,-2592.258658
-0.012036364,-2034.53028
-0.011563636,-1563.210524
-0.010581818,-785.5329265
-0.009672727,-188.5279024
-0.009127273,196.3832316
-0.008145455,754.1116095
-0.007381818,1029.048134
-0.006763636,1233.286695
-0.005672727,1500.36789
-0.004436364,1743.883097
-0.003018182,1940.266328
-0.001563636,2128.794231
0.000145455,2278.045487
0.002472727,2427.296743
0.0044,2568.69267
0.007054545,2686.522609
0.009381818,2780.78656
0.012218182,2843.629194
0.015018182,2945.748474
0.017418182,3016.446438
0.019127273,3016.446438
0.020763636,3016.446438
0.022036364,3016.446438
0.022654545,2992.88045
0.022109091,2482.284048
0.020109091,1052.614122
0.019272727,542.0177193
0.018654545,204.2385609
0.017818182,-259.2258658
0.017236364,-557.7283778
0.016581818,-730.5456217
0.015963636,-1005.482146
0.015381818,-1170.444061
0.014545455,-1366.827292
0.013236364,-1633.908487
0.011963636,-1814.58106
0.010327273,-1987.398304
0.008545455,-2144.504889
0.006545455,-2254.479499
0.004290909,-2388.020097
0.001563636,-2505.850036
-0.000545455,-2623.679975
-0.002254545,-2655.101292
-0.004036364,-2639.390633
-0.004436364,-2552.982011
-0.003854545,-2144.504889
-0.002690909,-1264.708012
-0.001745455,-494.8857437
-0.001345455,-188.5279024
-0.0012,7.855329265
