panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.003804138,1366.439067
0.005434483,1511.314535
0.007427126,1583.752268
0.009782069,1616.678511
0.010868966,1629.849008
0.009963218,865.96018
0.007427126,42.80411536
0.00634023,-378.6517897
0.004347586,-780.3519493
0.002173793,-1175.46686
-0.002354943,-1563.996523
-0.006702529,-1728.627736
-0.010144368,-1827.406463
-0.011050115,-1847.162209
-0.009782069,-819.8634404
-0.007970575,-253.5320679
-0.00615908,200.8500798
-0.004709885,576.2092452
-0.002898391,865.96018
-0.001630345,1083.273381
0.000905747,1267.66034
0.003622989,1445.462049
0.006702529,1616.678511
0.008876322,1708.87199
0.011050115,1708.87199
0.009238621,668.4027245
0.004166437,-813.2781918
0.000543448,-1287.416085
-0.004166437,-1603.508014
-0.008876322,-1768.139227
-0.011231264,-1827.406463
-0.009238621,-681.5732215
-0.007245977,-95.4861035
-0.004709885,457.6747719
-0.00307954,865.96018
-0.001268046,1122.784872
0.001811494,1366.439067
0.005615632,1590.337517
0.008514023,1695.701493
0.010144368,1774.724475
0.01268046,1827.406463
0.014310805,1880.088452
0.015578851,1919.599943
0.016122299,1952.526185
0.01883954,1932.77044
0.020288736,1939.355688
0.022824828,1978.867179
0.024817471,1992.037676
0.026447816,2018.37867
0.027897011,2044.719665
0.02517977,938.3979137
0.023005977,194.2648313
0.020651034,-431.3337779
0.017028046,-1004.250399
0.015216552,-1142.540618
0.011955862,-1419.121055
0.007064828,-1629.849008
0.002536092,-1801.065469
-0.004347586,-1952.526185
-0.009238621,-2044.719665
-0.014310805,-2090.816404
-0.019201839,-2143.498392
-0.018296092,-1550.826026
-0.016846897,-958.1536592
-0.014673103,-279.873062
-0.013042759,200.8500798
-0.011050115,569.6239967
-0.009238621,859.3749315
-0.007064828,1116.199624
-0.004166437,1333.512825
-0.000543448,1544.240777
0.003441839,1662.775251
0.007427126,1814.235966
0.01249931,1926.185191
0.017933793,2018.37867
0.02210023,2071.060659
0.025542069,2110.57215
0.026991264,2123.742647
0.024817471,938.3979137
0.022281379,-69.14510943
0.018658391,-826.4486889
0.013767356,-1287.416085
0.008332874,-1596.922765
0.002898391,-1787.894972
-0.007789425,-1992.037676
-0.01576,-2090.816404
-0.020651034,-2189.595132
-0.024092874,-2215.936126
-0.026628966,-2229.106623
-0.026447816,-1570.581771
-0.024092874,-859.3749315
-0.022462529,-181.0943342
-0.020651034,325.9698016
-0.018477241,688.15847
-0.016122299,951.5684107
-0.013405057,1214.978351
-0.010144368,1399.36531
-0.005434483,1596.922765
0.000362299,1748.383481
0.006702529,1880.088452
0.013767356,1985.452428
0.023911724,2110.57215
0.029165057,2123.742647
0.03152,2176.424635
0.035505287,2248.862369
0.039309425,2255.447617
0.041483218,2288.37386
0.04420046,2288.37386
0.043657011,1893.258949
0.04112092,964.7389077
0.038765977,148.1680916
0.036954483,-299.6288075
0.035142989,-622.3059849
0.031882299,-1010.835647
0.029165057,-1294.001334
0.024636322,-1504.729286
0.020651034,-1649.604754
0.018296092,-1702.286742
0.014854253,-1807.650718
0.011050115,-1880.088452
0.007427126,-1945.940937
0.004166437,-1952.526185
0.00307954,-1959.111434
0.004709885,-1089.85863
0.00634023,-497.186263
0.007608276,-161.3385887
