panel zone shear distortion* (rad),panel zone shear force (kN)
0.000453177,52.20014844
0.001875309,796.0522637
-0.001013552,-874.3524864
0.002204665,822.1523379
-0.000786963,-848.2524122
0.002296907,809.1023008
-0.000952888,-926.5526348
0.001957025,769.9521895
-0.00092131,-887.4025235
0.002307434,822.1523379
-0.000747351,-926.5526348
0.001885835,809.1023008
0.000991118,-300.1508535
-0.000902194,-1500.754268
0.002909913,1696.504824
-0.000459543,-1461.604156
0.002704376,1696.504824
-0.000306638,-1526.854342
0.002211588,1722.604899
-0.000480596,-1487.704231
0.002509366,1709.554861
-0.000275059,-1487.704231
0.002530418,1735.654936
-0.00059389,-1500.754268
-0.000933217,-2048.855826
0.003146471,2244.606383
-0.000656491,-2088.005938
0.002664209,2283.756494
-0.000429902,-2061.905863
0.002664209,2283.756494
-0.001241521,-2048.855826
0.002961987,2270.706457
-0.000635439,-2061.905863
0.00310686,2322.906606
-0.001046511,-2061.905863
-0.00118335,-2231.556346
-0.001760347,-2309.856569
-0.002293304,-1696.504824
-0.000374509,300.1508535
0.000385861,1370.253897
0.000972829,1970.555604
0.002131808,2388.156791
0.002474184,2557.807274
0.003381093,2153.256123
0.002339567,352.351002
0.000631295,-1383.303934
0.000273408,-1827.005195
-0.000369238,-2114.106012
-0.001636527,-2283.756494
-0.00265119,-2140.206086
-0.001545952,-769.9521895
-0.000472292,561.1515957
0.000180325,1370.253897
0.000767292,1970.555604
0.001760347,2309.856569
0.002052585,2544.757237
0.003090793,2557.807274
0.003333448,2349.00668
0.001686951,-456.7512989
0.000694451,-1305.003711
0.00029446,-1800.905121
-0.000893605,-2127.156049
-0.002060619,-2427.306903
-0.003214613,-2583.907348
-0.005559721,-2688.307645
-0.007986546,-2766.607867
-0.009807287,-2857.958127
-0.011746863,-2714.407719
-0.012142425,-2440.35694
-0.01175296,-1957.505567
-0.010815583,-1305.003711
-0.010265735,-495.9014102
-0.009741924,26.10007422
-0.009207586,561.1515957
-0.008385997,1070.103043
-0.006945305,1709.554861
-0.004671943,2362.056717
-0.002856742,2701.357682
-0.000445985,3014.558572
0.002642045,3275.559315
0.004844774,3458.259834
0.007395418,3562.660131
0.008567972,3614.86028
0.010293979,3588.760205
0.010692033,3445.209797
0.010407829,3092.858795
0.009661033,1657.354713
0.008429482,130.5003711
0.007726728,-613.3517442
0.006422875,-1083.15308
0.005348104,-1396.353971
0.004373609,-1840.055233
0.001209403,-2322.906606
-0.00246615,-2675.257608
-0.005514569,-3014.558572
-0.008969075,-3092.858795
-0.010457967,-3027.60861
-0.011441052,-2844.90809
-0.010629988,-2349.00668
-0.010241079,-1357.203859
-0.008917286,156.6004453
-0.007326737,1109.253154
-0.006412905,1605.154565
-0.005509599,2088.005938
-0.003496896,2544.757237
-0.002290271,2766.607867
0.001211325,3158.108981
0.006470505,3562.660131
0.008681267,3627.910317
0.010109495,3614.86028
0.010752697,3393.009649
0.010321128,2857.958127
0.010205897,2205.456272
0.009769342,1409.404008
0.009298717,443.7012617
0.008696238,-430.6512246
