panel zone shear distortion (rad),panel zone shear force (kN)
0.000267873,52.71234163
0.002946598,3637.151572
-0.001875108,-3236.537776
0.002768016,3637.151572
-0.001696526,-3236.537776
0.002946598,3637.151572
-0.001696526,-3152.198029
0.002589435,3637.151572
-0.001339363,-3194.367903
0.002946598,3637.151572
-0.001517945,-3194.367903
0.002589435,3637.151572
-0.001517945,-3110.028156
-0.001696526,-3384.132333
-0.00205369,-3721.491319
-8.93E-05,221.3918348
0.000982199,2372.055373
0.002410853,3637.151572
0.002768016,3974.510559
0.001696526,1739.507274
8.93E-05,-600.9206946
-0.001339363,-2603.989676
-0.001875108,-3510.641952
0.000625036,1528.657907
0.001517945,2899.17879
0.002232271,3616.066636
0.002768016,3869.085875
0.001517945,853.9399345
-0.000446454,-1423.233224
-0.000982199,-2857.008916
-0.001875108,-3848.000939
-0.002589435,-4016.680432
-0.003660925,-4332.954482
-0.004553834,-4480.549037
-0.006161069,-4417.294228
-0.006518232,-4058.850305
-0.005446742,-2372.055373
-0.003482343,643.090568
-0.001517945,2287.715627
8.93E-05,3173.282966
0.00205369,4016.680432
0.003303762,4311.869545
0.00526816,4501.633977
0.006339651,4522.718912
0.007053977,4311.869545
0.006339651,3616.066636
0.005446742,2097.951197
0.003839507,52.71234163
0.00312518,-748.5152512
0.002410853,-1317.808541
0.001160781,-2013.61145
-0.000446454,-3046.773346
-0.001160781,-3510.641952
-0.002232271,-3911.255749
-0.003660925,-4332.954482
-0.004732415,-4459.464102
-0.005982487,-4417.294228
-0.006518232,-3953.425622
-0.005446742,-2835.923979
-0.004553834,-1296.723604
-0.003660925,-94.88221493
-0.002410853,1170.213984
-0.000982199,2582.90474
0.000803618,3468.472079
0.002768016,4164.274989
0.004375252,4522.718912
0.007053977,4712.483341
0.008482631,4775.738151
0.01151852,4817.908026
0.011697102,4438.379165
0.011339938,3363.047396
0.009018376,347.9014547
0.007411141,-1465.403097
0.005803905,-2308.800563
0.00312518,-3320.877523
0.000446454,-3953.425622
-0.001875108,-4332.954482
-0.003660925,-4501.633977
-0.005982487,-4733.568277
-0.008125468,-4817.908026
-0.010625612,-4860.077896
-0.011161357,-4733.568277
-0.010625612,-3637.151572
-0.009554121,-1992.526513
