panel zone shear distortion (rad),panel zone shaer force (kN)
-0.000194143,-54.9513764
0.000322696,416.0604213
-0.000567155,-321.8580618
0.000294297,392.5098314
-0.000611663,-337.558455
0.000364381,408.2102247
-0.000538755,-298.3074719
0.000259255,384.6596348
-0.000567155,-321.8580618
0.000310406,384.6596348
-0.00052547,-329.7082584
0.00031323,408.2102247
-0.000506537,-314.0078652
0.00031323,408.2102247
0.000556535,588.7647472
-0.000794351,-510.2627809
0.000549892,604.4651404
-0.000829392,-518.1129775
0.000572644,580.9145505
-0.000829392,-518.1129775
0.000512026,573.0643539
-0.000848325,-533.8133708
0.000547068,580.9145505
-0.000794351,-510.2627809
0.000528135,565.2141573
-0.000781066,-541.6635674
0.000563177,573.0643539
0.000736398,737.9184831
-0.001096284,-824.270646
0.000701356,730.0682865
-0.001105751,-832.1208427
-0.00021407,-7.850196629
-0.000368517,54.9513764
-9.38297E-05,70.65176966
0.000414537,471.0117977
0.000263909,494.5623876
0.000537602,573.0643539
0.000720289,745.7686798
-0.001036661,-753.6188764
-0.000994141,-612.3153371
-0.00025293,23.55058989
0.000790373,761.469073
0.001117047,926.3232022
0.001368824,1177.529494
0.001667098,1318.833034
0.001548846,1114.727921
0.000781066,541.6635674
-0.000980697,-855.6714326
0.001243094,839.9710393
0.001595343,1004.825169
0.001949422,1256.031461
0.002168146,1373.78441
0.002444663,1475.836966
0.00256208,1530.788343
0.002431537,1295.282444
0.000995454,125.6031461
0.000105603,-612.3153371
-0.000571331,-1067.626742
-0.001179176,-1444.43618
-0.001672587,-1577.889522
-0.001693509,-1467.98677
-0.000748689,-769.3192696
5.21453E-05,-62.80157303
0.000882373,604.4651404
0.001600992,1051.926348
0.00202233,1295.282444
0.002664381,1530.788343
0.002764854,1444.43618
0.002007534,816.4204494
0.001467943,368.9592416
0.000756962,-157.0039326
0.0004919,-376.8094382
-0.000282523,-934.1733988
-0.000861969,-1287.432247
-0.001520129,-1515.087949
-0.001813749,-1546.488736
0.000770764,384.6596348
0.001892623,1208.930281
0.002282738,1405.185197
0.00278844,1570.039326
0.003161611,1624.990702
0.004049115,1703.492668
0.004563448,1727.043258
0.00509389,1742.743652
0.005531497,1766.294242
0.005863977,1766.294242
0.00636602,1758.444045
0.006932498,1719.193062
0.006892802,1601.440112
0.006455355,1365.934213
0.005279679,306.1576685
0.004568698,-219.8055056
0.003978792,-518.1129775
0.003248718,-847.8212359
0.001759018,-1256.031461
0.000515446,-1460.136573
-0.000913796,-1648.541292
-0.002548636,-1774.144438
-0.004381437,-1915.447977
-0.005132591,-1923.298174
-0.005255815,-1813.395421
-0.005191538,-1632.840899
-0.004626372,-1185.379691
-0.003454356,-298.3074719
-0.002637254,188.4047191
