panel zone shear distortion (rad),panel zone shear force (kN)
0.000126463,-11.42849505
0.001038199,65.1424218
-0.000457493,-69.71381982
0.001038199,65.1424218
-0.000517136,-70.85666932
0.001003849,61.71387328
-0.000576779,-71.99951883
0.000978556,63.99957229
-0.000505686,-69.71381982
0.000976164,68.57097031
-0.000576779,-71.99951883
0.000941813,65.1424218
0.001530554,114.2849505
-0.001149285,-129.1419941
0.001590197,115.4278
-0.001029999,-126.8562951
0.00162694,114.2849505
-0.000922164,-125.7134456
0.001604039,111.9992515
-0.001041449,-127.9991446
0.001360683,116.5706495
-0.0010529,-129.1419941
0.001505262,116.5706495
0.001926524,163.4274792
-0.001733241,-187.4273189
0.001997617,165.7131783
-0.001687441,-182.8559208
0.001974716,163.4274792
-0.00165309,-179.4273723
0.001951816,161.1417802
-0.001710341,-185.1416198
0.001869273,157.7132317
-0.001769984,-186.2844693
0.001353506,130.2848436
0.002041025,174.8559743
0.002653177,202.2843624
0.003139378,217.141406
0.003738199,223.998503
0.004288828,230.8556001
0.004779813,236.5698476
0.005307541,241.1412456
0.005608148,242.2840951
0.005840054,236.5698476
0.005091012,171.4274258
0.00420696,87.9994119
0.003421687,0
0.00265641,-57.14247526
0.002003242,-98.28505745
0.001157302,-139.4276396
6.13414E-05,-186.2844693
-0.001021288,-212.570008
-0.002211754,-239.9983961
-0.00312024,-253.7125902
-0.003960025,-260.5696872
-0.004726325,-269.7124832
-0.005352831,-269.7124832
-0.003412976,-85.71371289
-0.002203025,-3.428548516
-0.00144014,58.28532477
-0.000977351,94.85650893
-0.000319398,126.8562951
0.000428275,148.5704357
0.001017527,173.7131248
0.001765199,195.4272654
0.002710428,207.9986099
0.00433702,230.8556001
0.005137671,243.4269446
0.005658733,237.7126971
0.005727945,220.5699545
0.004949337,142.8561882
0.004156887,68.57097031
0.003362044,-1.142849505
0.002486539,-54.85677625
0.002418349,-85.71371289
0.001421166,-137.1419406
0.000267955,-189.7130179
-0.00035804,-213.7128575
-0.002326255,-251.4268911
-0.003455197,-258.2839882
-0.004522103,-268.5696337
-0.00534138,-268.5696337
-0.003437757,-107.4278535
-0.001650516,22.8569901
-0.000653844,98.28505745
0.000471683,157.7132317
0.001574821,190.8558674
0.003150828,218.2842555
0.004837064,242.2840951
0.005949771,257.1411387
0.006778106,262.8553862
0.007705219,263.9982357
0.008161854,266.2839347
0.008547396,266.2839347
0.008215342,233.1412991
0.007219182,133.7133921
0.006044093,30.85693664
0.004591297,-70.85666932
0.004020672,-108.570703
0.003718185,-129.1419941
0.003213868,-155.4275327
0.002213781,-178.2845228
0.001296238,-197.7129644
0.00050943,-213.7128575
-0.00073162,-236.5698476
-0.002059999,-253.7125902
-0.003867912,-275.4267308
-0.005680611,-287.9980753
-0.006880645,-297.1408714
-0.007447509,-295.9980218
-0.007704707,-287.9980753
-0.005925154,-119.999198
-0.004573017,-33.14263565
-0.00388601,35.42833466
-0.00291412,89.14226141
-0.001630172,145.1418872
-0.000288463,182.8559208
0.001069481,212.570008
0.002707524,236.5698476
0.004316001,247.9983426
0.005839543,260.5696872
0.006988992,274.2838813
0.007649849,277.7124298
0.007952848,274.2838813
0.008076918,267.4267842
0.007607463,220.5699545
0.006691454,129.1419941
0.006221488,106.285004
0.005779206,76.57091685
0.005646589,53.71392674
0.005509699,15.99989307
0.005113218,-9.142796042
0.004586001,-37.71403367
0.00416662,-65.1424218
0.003829782,-89.14226141
0.003564037,-110.856402
0.0032959,-127.9991446
0.002479526,-156.5703822
0.001731854,-178.2845228
0.000998023,-203.4272119
0.000105772,-225.1413525
-0.001160571,-245.7126436
-0.00264737,-259.4268377
-0.004815533,-283.4266773
-0.006639682,-297.1408714
-0.007566794,-298.2837209
-0.00690508,-227.4270515
-0.00600052,-137.1419406
-0.005088273,-84.57086339
-0.004030077,11.42849505
-0.003340166,51.42822773
-0.002377334,99.42790695
-0.001437401,145.1418872
-0.00066922,173.7131248
0.000473052,201.1415129
0.002508087,226.284202
0.004219616,247.9983426
0.005919694,268.5696337
0.007890813,277.7124298
0.00948784,287.9980753
0.010786652,292.5694733
0.011677022,294.8551723
0.012397522,299.4265704
0.013120413,299.4265704
0.011540297,141.7133386
0.010111424,-5.714247526
0.00889857,-59.42817427
0.008408096,-89.14226141
0.00809655,-115.4278
0.007271119,-149.7132852
0.006273424,-177.1416733
0.005417916,-199.9986634
0.004165415,-223.998503
0.003064158,-237.7126971
0.001182759,-257.1411387
-0.00069864,-276.5695803
-0.002692659,-287.9980753
-0.006226455,-303.9979684
-0.010372914,-323.42641
-0.012068719,-329.1406575
-0.012550646,-329.1406575
-0.012312586,-300.5694199
-0.012001552,-250.2840416
-0.011533978,-222.8556535
-0.011018723,-171.4274258
-0.010503467,-119.999198
-0.010100321,-84.57086339
-0.00960267,-68.57097031
-0.009103649,-9.142796042
-0.008010081,42.28543169
-0.007487648,79.99946536
-0.006680844,126.8562951
-0.005327685,165.7131783
-0.003910098,196.5701149
-0.002388948,213.7128575
-0.001035277,228.569901
2.0179E-05,237.7126971
0.000834672,246.8554931
-0.001547282,239.9983961
-0.001407488,249.1411921
-0.000530961,254.8554397
0.001375731,271.9981822
0.004611312,282.2838278
0.006770417,300.5694199
0.008250551,303.9979684
0.009283107,310.8550654
0.009923456,307.4265169
0.009637203,278.8552793
0.009246018,220.5699545
0.008590968,159.9989307
0.007571397,82.28516438
0.006375288,-3.428548516
0.005578053,-68.57097031
0.004498327,-123.4277466
0.003624703,-157.7132317
0.002379379,-195.4272654
0.001175071,-219.427105
9.67145E-05,-230.8556001
-0.001855778,-252.5697407
-0.004003433,-269.7124832
-0.006341467,-291.4266238
-0.007605929,-292.5694733
-0.009416235,-309.7122159
-0.011364454,-316.5693129
-0.013108452,-322.2835605
-0.014106657,-325.712109
-0.014070426,-302.8551189
-0.013550386,-260.5696872
-0.013117163,-236.5698476
-0.012519364,-181.7130713
-0.012226446,-142.8561882
-0.011470226,-91.42796042
-0.010959244,-54.85677625
-0.01051269,-10.28564555
-0.010093308,17.14274258
-0.009543191,47.99967922
-0.009027425,75.42806734
-0.008440565,105.1421545
-0.007876605,132.5705426
-0.007202418,156.5703822
-0.00674151,173.7131248
-0.006243859,189.7130179
-0.00525283,206.8557604
-0.003972644,223.998503
-0.002837037,241.1412456
-0.001398431,254.8554397
0.000425718,268.5696337
0.0030095,281.1409783
0.005473997,291.4266238
0.007839716,306.2836674
0.009824678,311.9979149
0.011545775,315.4264634
0.014047015,324.5692595
0.014866292,324.5692595
0.015407862,325.712109
0.015516209,302.8551189
0.015546286,291.4266238
0.01489363,226.284202
0.014859791,198.8558139
0.013844492,135.9990911
0.013249086,76.57091685
0.012697088,26.28553862
0.01207827,-11.42849505
0.01152388,-57.14247526
0.011042463,-81.14231487
0.01021464,-110.856402
0.009801924,-127.9991446
0.009522337,-146.2847367
0.008621028,-173.7131248
0.008114319,-195.4272654
0.006788333,-217.141406
0.00554489,-235.4269981
0.003771327,-253.7125902
0.002068856,-269.7124832
3.74393E-06,-283.4266773
-0.00279571,-298.2837209
-0.005524071,-310.8550654
-0.012727183,-337.140604
-0.015724192,-342.8548516
-0.018000703,-343.9977011
-0.019829636,-348.5690991
-0.020245255,-337.140604
-0.020121696,-319.9978615
-0.020025822,-295.9980218
-0.019688984,-271.9981822
-0.01923286,-245.7126436
-0.018644119,-196.5701149
-0.018018636,-148.5704357
-0.017443738,-95.99935844
-0.01691464,-47.99967922
-0.016353073,-15.99989307
-0.015874049,12.57134456
-0.015335382,42.28543169
-0.01517508,58.28532477
-0.014946078,81.14231487
-0.014492346,111.9992515
-0.013868744,140.5704891
-0.012680671,172.5702753
-0.011813712,196.5701149
-0.010765433,219.427105
-0.009051512,236.5698476
-0.006915307,252.5697407
-0.004418852,270.8553327
-0.002107991,275.4267308
0.003984295,306.2836674
0.011793404,325.712109
0.013732565,326.8549585
0.014937385,326.8549585
0.015107767,300.5694199
0.014640704,249.1411921
0.01387782,187.4273189
0.012848678,127.9991446
0.012287623,71.99951883
0.011721782,25.14268911
0.010903528,-22.8569901
0.010511831,-57.14247526
0.009603857,-94.85650893
0.009090483,-126.8562951
0.007870451,-166.8560278
0.007139013,-196.5701149
0.005994348,-219.427105
0.00423702,-245.7126436
0.00218575,-262.8553862
-0.000742048,-285.7123763
-0.006306605,-311.9979149
-0.014723594,-343.9977011
-0.01797541,-346.2834001
-0.019903121,-346.2834001
-0.020387952,-317.7121624
-0.019755804,-259.4268377
-0.01915322,-213.7128575
-0.018362651,-158.8560812
-0.017858846,-108.570703
-0.017375548,-65.1424218
-0.016903701,-22.8569901
-0.016605998,6.857097031
-0.015865502,42.28543169
-0.015329228,76.57091685
-0.014751426,100.5707565
-0.013946502,127.9991446
-0.013258472,148.5704357
-0.012090907,173.7131248
-0.011129955,202.2843624
-0.009560613,219.427105
-0.006674343,252.5697407
-0.002195319,281.1409783
0.001678218,292.5694733
0.006845784,317.7121624
0.013089825,334.854905
0.016353091,338.2834535
0.018962166,348.5690991
0.020804941,349.7119486
0.021624218,349.7119486
0.02194106,342.8548516
0.021879536,322.2835605
0.020974977,231.9984496
0.020457329,185.1416198
0.019570885,106.285004
0.018585664,31.99978615
0.017558915,-31.99978615
0.01667196,-86.8565624
0.015805512,-134.8562416
0.01513611,-167.9988773
0.014193273,-185.1416198
0.013108251,-206.8557604
0.011578044,-229.7127505
0.009905651,-257.1411387
0.007941709,-279.9981288
0.00474287,-291.4266238
0.00094521,-309.7122159
-0.004009076,-327.997808
-0.015404959,-354.2833466
-0.021814597,-354.2833466
-0.025665234,-363.4261427
-0.027278496,-365.7118417
-0.0269097,-333.7120555
-0.026100503,-291.4266238
-0.025917301,-273.1410317
-0.025844327,-251.4268911
-0.025672576,-234.2841486
-0.025466473,-213.7128575
-0.025189278,-190.8558674
-0.024946434,-171.4274258
-0.024683081,-145.1418872
-0.024181156,-114.2849505
-0.02373221,-74.28521784
-0.023386314,-44.5711307
-0.023088611,-14.85704357
-0.02268068,11.42849505
-0.022323334,42.28543169
-0.02146116,75.42806734
-0.020743564,108.570703
-0.019759712,139.4276396
-0.019048782,162.2846297
-0.017855924,185.1416198
-0.016569073,212.570008
-0.01533708,229.7127505
-0.013779188,245.7126436
-0.010982127,265.1410852
-0.007400138,281.1409783
-0.004260942,291.4266238
-0.00044944,306.2836674
0.004291567,317.7121624
0.008286782,326.8549585
0.011680784,333.7120555
0.015978999,339.426303
0.01848263,343.9977011
0.020180828,345.1405506
0.021241069,345.1405506
0.022349502,345.1405506
0.022707871,327.997808
0.022547569,311.9979149
0.022298059,282.2838278
0.021908755,243.4269446
0.021441181,215.9985565
0.021154928,187.4273189
0.020705981,147.4275862
0.020032305,99.42790695
0.019594808,60.57102378
0.019157311,21.7141406
0.018396307,-20.57129109
0.018066646,-58.28532477
0.017488844,-82.28516438
0.016807991,-116.5706495
0.01624164,-139.4276396
0.015973502,-156.5703822
0.015106544,-180.5702218
0.014108849,-207.9986099
0.012663578,-231.9984496
0.011190621,-249.1411921
0.009068258,-268.5696337
0.006018782,-289.1409248
0.001943416,-306.2836674
-0.003311477,-325.712109
-0.016394107,-351.9976476
-0.022929696,-364.5689922
-0.026036934,-366.8546912
-0.027108625,-367.9975407
-0.026851938,-351.9976476
-0.026641563,-316.5693129
-0.026396837,-277.7124298
-0.025661126,-233.1412991
-0.025576701,-210.284309
-0.025489885,-191.9987169
-0.024916868,-158.8560812
-0.024405886,-122.2848971
-0.023920196,-83.42801388
-0.023599593,-51.42822773
-0.023354356,-36.57118417
-0.022850039,-10.28564555
-0.022228829,22.8569901
-0.021667262,54.85677625
-0.021170122,94.85650893
-0.02069349,127.9991446
-0.019684346,156.5703822
-0.018984866,178.2845228
-0.017383566,203.4272119
-0.016716044,217.141406
-0.015626237,229.7127505
-0.014596073,241.1412456
-0.01321711,253.7125902
-0.012136361,260.5696872
-0.010502591,269.7124832
-0.008086287,279.9981288
-0.005357926,292.5694733
-0.000176518,314.2836139
0.005000616,321.140711
0.011859713,337.140604
0.016350698,342.8548516
0.021695311,351.9976476
0.024715221,359.9975941
0.027173053,359.9975941
0.028786314,362.2832932
0.029605591,362.2832932
0.030161004,359.9975941
0.030108538,345.1405506
0.030620543,333.7120555
0.030343348,310.8550654
0.030052311,291.4266238
0.02998361,284.5695268
0.02971308,271.9981822
0.029458785,251.4268911
0.028993604,219.427105
0.028718801,191.9987169
0.028654885,175.9988238
0.027832357,113.142101
0.027591904,89.14226141
0.027154408,50.28537823
0.02681757,26.28553862
0.026329488,-7.999946536
0.026089035,-31.99978615
0.02537144,-65.1424218
0.024798422,-98.28505745
0.024129019,-131.4276931
0.023207203,-165.7131783
0.022081165,-201.1415129
0.021473286,-213.7128575
0.020252743,-229.7127505
0.018853272,-249.1411921
0.017490543,-269.7124832
0.016205573,-277.7124298
0.014704931,-287.9980753
0.013036811,-300.5694199
0.010643408,-308.5693664
0.008490968,-316.5693129
-0.004818784,-346.2834001
-0.017470071,-367.9975407
-0.024719495,-374.8546377
-0.02921048,-380.5688852
-0.032124947,-382.8545842
-0.033224322,-377.1403367
-0.033387528,-364.5689922
-0.033110844,-317.7121624
-0.032398544,-251.4268911
-0.031594644,-175.9988238
-0.0307082,-97.14220794
-0.029738702,-38.85688318
-0.029122276,3.428548516
-0.028514908,39.99973268
-0.027916599,70.85666932
-0.027364089,97.14220794
-0.026726644,122.2848971
-0.025563864,156.5703822
-0.024173962,194.2844159
-0.022384675,228.569901
-0.020287605,250.2840416
-0.017153194,269.7124832
-0.014078425,287.9980753
-0.009231975,305.1408179
-0.005420473,319.9978615
0.000972931,327.997808
0.011891671,345.1405506
0.018801353,356.5690456
0.02502967,357.7118951
0.028352579,362.2832932
0.029938156,371.4260892
0.030014545,340.5691526
0.029689669,293.7123228
0.029146728,249.1411921
0.028761698,225.1413525
0.028401959,198.8558139
0.027751183,153.1418337
0.027302237,113.142101
0.026958733,78.85661586
0.026700165,43.4282812
0.026104247,7.999946536
0.025687258,-23.99983961
0.025171492,-51.42822773
0.02470631,-83.42801388
0.024213443,-108.570703
0.023621799,-129.1419941
0.022961454,-156.5703822
0.022154139,-179.4273723
0.021202245,-202.2843624
0.019901551,-226.284202
0.018396636,-251.4268911
0.016214631,-271.9981822
0.011604871,-303.9979684
0.000877021,-340.5691526
-0.014580897,-363.4261427
-0.026165278,-374.8546377
-0.031018905,-378.2831862
-0.033079744,-377.1403367
-0.032877915,-371.4260892
-0.032768199,-350.8547981
-0.032700009,-319.9978615
-0.031597894,-238.8555466
-0.031288741,-207.9986099
-0.03086936,-180.5702218
-0.030369828,-145.1418872
-0.02987508,-100.5707565
-0.029251989,-47.99967922
-0.0288121,-13.71419406
-0.028250533,18.28559208
-0.027876952,41.14258219
-0.0272877,66.2852713
-0.026771934,93.71365943
-0.026065788,125.7134456
-0.025201222,154.2846832
-0.024141492,178.2845228
-0.022735355,207.9986099
-0.021253341,230.8556001
-0.019936413,246.8554931
-0.018461064,259.4268377
-0.016648366,271.9981822
-0.014532668,281.1409783
-0.012442263,292.5694733
-0.007749449,303.9979684
-0.003827719,315.4264634
0.004137419,335.9977545
0.010641051,340.5691526
0.018932089,359.9975941
0.027108625,367.9975407
0.030250213,373.7117882
0.032226117,373.7117882
0.033635157,374.8546377
0.034358049,374.8546377
0.034626697,367.9975407
0.034542273,345.1405506
0.034155362,301.7122694
0.032157745,135.9990911
0.031030337,57.14247526
0.029517899,-45.71398021
0.028814146,-82.28516438
0.028138077,-125.7134456
0.026702375,-167.9988773
0.025087743,-213.7128575
0.023431585,-249.1411921
0.021444742,-274.2838813
0.018358524,-293.7123228
0.015669298,-311.9979149
0.012399367,-325.712109
0.00289206,-346.2834001
-0.015165876,-373.7117882
-0.024317718,-382.8545842
-0.031626784,-390.8545308
-0.035578591,-390.8545308
-0.037242438,-388.5688318
-0.037093587,-373.7117882
-0.037009163,-350.8547981
-0.03681451,-331.4263565
-0.036560216,-310.8550654
-0.036308313,-285.7123763
-0.036136561,-268.5696337
-0.035893716,-249.1411921
-0.03546767,-211.4271585
-0.035169967,-181.7130713
-0.034741528,-148.5704357
-0.034443824,-118.8563485
-0.034169022,-91.42796042
-0.033868926,-66.2852713
-0.033545931,-38.85688318
-0.032917544,-19.42844159
-0.032557805,6.857097031
-0.032152267,37.71403367
-0.031379813,81.14231487
-0.030685117,111.9992515
-0.030249501,131.4276931
-0.029527121,155.4275327
-0.028850541,174.8559743
-0.027813712,196.5701149
-0.026682889,222.8556535
-0.02513884,242.2840951
-0.023677333,258.2839882
-0.021885143,263.9982357
-0.020072445,276.5695803
-0.016203692,297.1408714
-0.011983747,314.2836139
-0.004750558,329.1406575
0.002714536,338.2834535
0.010106146,349.7119486
0.020786314,362.2832932
0.02789116,369.1403902
0.031551418,373.7117882
0.033394193,374.8546377
0.034406242,374.8546377
0.034863388,353.1404971
0.034451184,311.9979149
0.032898241,171.4274258
0.031441172,54.85677625
0.030673503,2.28569901
0.029832348,-47.99967922
0.02879603,-93.71365943
0.027514475,-154.2846832
0.025649822,-205.7129109
0.023683999,-247.9983426
0.021481485,-275.4267308
0.01860188,-298.2837209
0.013888558,-316.5693129
-0.000683263,-351.9976476
-0.024776745,-380.5688852
-0.033662331,-391.9973803
-0.037168953,-390.8545308
-0.037471952,-387.4259823
-0.037307377,-356.5690456
-0.037046417,-325.712109
-0.036748713,-295.9980218
-0.03640521,-261.7125367
-0.036153307,-236.5698476
-0.035878504,-209.1414595
-0.035363249,-157.7132317
-0.03498061,-129.1419941
-0.034648557,-95.99935844
-0.034282153,-59.42817427
-0.033904299,-21.7141406
-0.03306981,18.28559208
-0.032175678,59.42817427
-0.031687596,93.71365943
-0.030919416,122.2848971
-0.030268128,143.9990377
-0.029545748,167.9988773
-0.02869024,190.8558674
-0.027701603,212.570008
-0.026419025,225.1413525
-0.024900268,246.8554931
-0.022610427,268.5696337
-0.019930259,281.1409783
-0.01685549,299.4265704
