panel zone shear distortion (rad),panel zone shear force (kN)
-7.14E-05,2.177475089
-7.21E-05,2.371569733
-7.33E-05,2.14681718
-7.06E-05,2.197927967
-5.10E-05,18.01688035
-2.65E-05,25.73372171
-1.51E-07,32.55889803
3.08E-05,42.05265782
6.92E-05,51.57602665
9.67E-05,62.61119259
0.000127253,68.27453039
0.000152506,76.80658168
0.000159293,78.55910764
0.000160047,79.45567984
0.000159292,80.0700207
0.000157407,80.47648483
0.000157784,80.90198178
0.000159292,81.32759634
0.000161932,81.7409379
0.000158161,81.72389494
0.00015703,81.61821462
0.000157784,81.70687039
0.000161931,81.75081873
0.000162308,81.20089199
0.000162686,81.11266427
0.000158161,81.08315668
0.000159669,81.39480305
0.000160046,81.06964441
0.000160046,80.96544994
0.000158161,80.89231904
0.000157406,80.89232046
0.000158538,80.30025518
0.00018681,91.30418104
0.000217718,96.72122802
0.000245988,110.2731219
0.000276142,117.5565486
0.000306674,128.8899972
0.000336829,138.1133675
0.000365476,142.1781747
0.000391483,153.204523
0.000421639,167.075797
0.000452548,175.11011
0.000481949,189.9238021
0.000510973,195.6318844
0.000538488,202.2694421
0.000569019,213.317071
0.00060219,223.8312237
0.000634983,236.252625
0.000663629,249.3505183
0.000693783,256.161426
0.000726575,264.5817603
0.000762762,271.1819616
0.000800079,282.5009321
0.000832494,294.4900255
0.000864155,306.8953083
0.000898833,317.4155869
0.000930872,323.6606722
0.000966304,336.5875046
0.00099608,343.4464945
0.001026235,353.8501773
0.001060159,367.3113865
0.001095591,371.9725768
0.001126876,384.8717943
0.001158538,395.8345403
0.001189445,402.9568987
0.001221861,414.8508076
0.001254655,424.2154079
0.0012833,431.0002403
0.001312701,440.4304399
0.001318732,440.3721976
0.001319485,439.5026566
0.001321371,440.5213103
0.001319863,439.676895
0.001316469,439.5884826
0.001319109,439.0777337
0.001319109,438.8607502
0.001320617,438.333518
0.001317601,438.1182584
0.001315716,437.6823991
0.001315338,437.5923901
0.001321748,437.919694
0.001322879,437.7256318
0.001321748,437.5061283
0.001319863,436.95662
0.001318732,437.0185938
0.001320994,436.8398422
0.001323256,436.6793762
0.001319486,436.7569591
0.001319486,436.3728893
0.001319109,436.3446058
0.001323256,436.0948449
0.001323256,436.202603
0.00132401,435.8783243
0.001314962,435.7723638
0.001301392,421.1950125
0.001279528,410.7928349
0.001254649,394.1611197
0.001227886,388.0715987
0.001199993,372.0662538
0.00117474,365.6591969
0.001149863,357.6373978
0.001120462,346.8163709
0.00108993,338.2680748
0.001061283,327.9806492
0.001034145,321.0973506
0.00100776,304.3642401
0.000977229,298.5087296
0.000944811,289.3945454
0.000919935,277.2316136
0.000893928,271.6060008
0.000866035,261.0714851
0.000839274,248.3996418
0.000806856,238.3580302
0.000778209,229.5089098
0.000752956,218.4255202
0.000725064,211.0816434
0.00069717,198.8753649
0.00066777,194.0867189
0.000639877,180.7898409
0.000615378,166.3676264
0.000587486,158.1553444
0.000558085,152.4907681
0.000528685,145.0759706
0.000499661,130.9713117
0.000468753,123.2928663
0.000441614,112.2146778
0.000411458,97.25165184
0.00038055,94.03881
0.000354542,88.39014364
0.000325895,71.16005073
0.000293855,62.71282186
0.000261814,51.69035466
0.000227513,43.62188843
0.000191704,35.55169541
0.00015665,22.90004287
0.000115186,15.89453379
8.24E-05,4.378794376
5.64E-05,-4.083748116
4.62E-05,-7.020389535
4.70E-05,-7.125794937
4.66E-05,-8.877426465
4.28E-05,-8.073740452
4.39E-05,-6.801992103
4.47E-05,-7.014698165
4.58E-05,-6.800117352
4.55E-05,-6.822213812
4.32E-05,-6.714971131
4.24E-05,-6.430648199
4.77E-05,-6.519190085
4.70E-05,-6.028877747
4.77E-05,-6.148048891
4.58E-05,-6.178710131
4.62E-05,-5.807586476
4.73E-05,-5.661199769
4.70E-05,-5.187931347
4.58E-05,-4.775973186
4.58E-05,-4.692588048
2.43E-05,-15.42492333
-2.42E-06,-26.57395805
-3.33E-05,-36.73029559
-6.12E-05,-42.11939031
-8.95E-05,-50.95680573
-0.000115879,-63.93359344
-0.000144151,-70.95004925
-0.000173929,-80.73547043
-0.000205593,-86.78974032
-0.000234241,-93.18413378
-0.000259118,-104.6466294
-0.000286635,-116.9263078
-0.000317546,-127.0826792
-0.000349964,-136.0476042
-0.000378989,-144.518547
-0.000409145,-153.9034992
-0.000434024,-163.7651506
-0.000464558,-174.8022571
-0.000496977,-188.0058822
-0.000524494,-194.2995335
-0.000551257,-201.7067952
-0.000577643,-215.8541413
-0.000604784,-224.919863
-0.000636449,-231.8582986
-0.000663213,-244.7265118
-0.000690731,-254.9969598
-0.000717871,-260.4394273
-0.000747274,-273.4800312
-0.000775168,-287.7874267
-0.000805324,-295.6032404
-0.000829449,-299.3832741
-0.000858097,-311.2288971
-0.000886746,-322.5071935
-0.00091577,-331.151999
-0.000942534,-342.8683262
-0.000969675,-353.6309166
-0.000996438,-360.5586762
-0.001026972,-366.0538525
-0.001052605,-382.2438748
-0.001079368,-392.8918924
-0.001104246,-403.2042804
-0.001133272,-411.4343184
-0.001163806,-419.5778297
-0.001192078,-426.6610106
-0.001216957,-437.5785932
-0.001218464,-438.1787481
-0.001222988,-437.5559007
-0.001222988,-434.8299043
-0.001225627,-433.9347608
-0.001222611,-434.3869356
-0.00121884,-433.7912591
-0.001219971,-434.618678
