panel zone shear distortion (rad),panel zone shear force (kN)
0.000107643,-1.126075087
0.001700753,576.5504444
0.002432723,721.8141306
0.003078579,863.6995915
0.003810549,1008.963278
0.004843918,1164.36164
0.0132831,1367.055155
0.020387513,1437.997886
0.019483315,1008.963278
0.018751346,715.0576801
0.017761033,434.6649835
0.01664155,140.7593858
0.015392896,-143.011536
0.01474704,-281.5187717
0.013670614,-443.6735842
0.01255113,-585.5590451
0.010699677,-724.0662808
0.008632939,-859.1952912
0.006437029,-1007.837203
0.003552207,-1156.479114
-0.006006459,-1433.493585
-0.005016146,-1001.080752
-0.004111948,-720.6880555
-0.003250807,-430.1606831
-0.00204521,-146.3897613
-0.000538213,5.630375434
-0.001319797,4.295381036
-0.000994924,146.0429552
-0.000670051,284.5689936
-0.000101523,432.7596394
0.001116751,590.6148924
0.002335025,735.5840024
0.004852792,1002.971472
0.007086294,1154.383653
0.010050761,1312.238906
0.013543147,1428.214194
0.016954315,1521.638732
0.018903553,1569.961769
0.020649746,1598.955591
0.021746193,1618.284805
0.022477157,1618.284805
0.021746193,1212.371297
0.018253807,165.3721699
0.016467005,-240.541338
0.014274112,-598.1318093
0.012446701,-788.2024201
0.010659898,-952.5007447
0.009238579,-1074.919104
0.00822335,-1142.571356
0.00680203,-1197.337464
0.000426396,-1397.072682
-0.007086294,-1509.826434
-0.009928934,-1558.149471
-0.010538071,-1554.927935
-0.008994924,-904.1777081
-0.007451777,-343.6304829
-0.006720812,-124.56605
-0.006477157,-8.590762072
