panel zone shear distortion (rad),panel zone shear force (kN)
0.009394082,-1.373585386
0.009394082,-1.373585386
0.009394674,-1.067620869
0.009394082,-1.373585386
0.009394674,-1.067620869
0.009394082,-1.373585386
0.009394082,-1.373585386
0.009394378,-1.220603128
0.009394082,-1.373585386
0.009393497,-1.676294962
0.009385824,-5.647323804
0.009355852,-21.15712088
0.009334467,-32.22392257
0.009326605,-36.29259966
0.009325661,-36.78084091
0.009322202,-38.57105883
0.009308049,-45.8946776
0.009298615,-50.77709011
0.009286349,-57.12422637
0.009281003,-59.89092679
0.009275971,-62.49488013
0.009272512,-64.28509805
0.009271568,-64.7733393
0.009262448,-69.49300473
0.009251126,-75.35189974
0.009244522,-78.7695885
0.009229111,-86.7441956
0.009193573,-105.1346161
0.009171559,-116.5269119
0.009162439,-121.2465773
0.009154576,-125.3152544
0.009143569,-131.0114024
0.00913948,-133.1271144
0.009136965,-134.4290911
0.009128473,-138.8232624
0.009119982,-143.2174336
0.00910583,-150.5410524
0.009097653,-154.7724766
0.009091048,-158.1901653
0.009082243,-162.7470837
0.009072808,-167.6294962
0.009057083,-175.7668504
0.009050793,-179.021792
0.009047648,-180.6492629
0.009041358,-183.9042046
0.009035068,-187.1591462
0.009031923,-188.7866171
0.009028779,-190.4140879
0.009028779,-190.4140879
0.009028779,-190.4140879
0.009025634,-192.0415587
0.009019344,-195.2965004
0.009016199,-196.9239713
0.009013054,-198.5514421
0.009013054,-198.5514421
0.009006764,-201.8063838
0.009000474,-205.0613254
0.008994184,-208.3162671
0.008984749,-213.1986796
0.008978459,-216.4536213
0.008969025,-221.3360338
0.008956445,-227.8459172
0.0089533,-229.473388
0.008950155,-231.1008588
0.008943865,-234.3558005
0.008937575,-237.6107422
0.00893443,-239.238213
0.008931285,-240.8656838
0.008931285,-240.8656838
0.00892814,-242.4931547
0.008915561,-249.003038
0.008909271,-252.2579797
0.008893546,-260.3953339
0.008884111,-265.2777464
0.008874676,-270.1601589
0.008868386,-273.4151006
0.008862097,-276.6700423
0.008858952,-278.2975131
0.008852662,-281.5524548
0.008846372,-284.8073964
0.008843227,-286.4348673
0.008836937,-289.6898089
0.008833792,-291.3172798
0.008824357,-296.1996923
0.008821212,-297.8271631
0.008814922,-301.0821048
0.008811777,-302.7095756
0.008811777,-302.7095756
0.008808633,-304.3370465
0.008128002,-309.219459
0.008124857,-310.8469298
0.008121712,-312.4744007
0.008121712,-312.4744007
0.008115423,-315.7293423
0.008102843,-322.2392257
0.008096553,-325.4941674
0.008093408,-327.1216382
0.008090263,-328.749109
0.008080828,-333.6315215
0.008071393,-338.5139341
0.008068248,-340.1414049
0.008061959,-343.3963466
0.008052524,-348.2787591
0.008046234,-351.5337007
0.008036799,-356.4161133
0.008030509,-359.6710549
0.008021074,-364.5534674
0.00800535,-372.6908216
0.00799277,-379.200705
0.007983335,-384.0831175
0.0079739,-388.96553
0.007964465,-393.8479425
0.00796132,-395.4754133
0.00796132,-395.4754133
0.00796132,-395.4754133
0.00795503,-398.730355
0.007945596,-403.6127675
0.007936161,-408.49518
0.007929871,-411.7501217
0.007923581,-415.0050634
0.007911001,-421.5149467
0.007901566,-426.3973592
0.007895277,-429.6523009
0.007885842,-434.5347134
0.007866972,-444.2995384
0.007851247,-452.4368926
0.007841813,-457.3193051
0.007832378,-462.2017176
0.007822943,-467.0841302
0.007822943,-467.0841302
0.007819798,-468.711601
0.007813508,-471.9665427
0.007807218,-475.2214843
0.007804073,-476.8489552
0.007797783,-480.1038969
0.007794638,-481.7313677
0.007788349,-484.9863094
0.007782059,-488.241251
0.007778914,-489.8687219
0.007772624,-493.1236635
0.007772624,-493.1236635
0.007769479,-494.7511344
0.007763189,-498.0060761
0.007763189,-498.0060761
0.007753754,-502.8884886
0.007750609,-504.5159594
0.007744319,-507.7709011
0.007741174,-509.3983719
0.007738029,-511.0258428
0.007738029,-511.0258428
0.007734885,-512.6533136
0.00773174,-514.2807844
0.00772545,-517.5357261
0.00771916,-520.7906678
0.00771287,-524.0456094
0.00771287,-524.0456094
0.00770658,-527.3005511
0.007690855,-535.4379053
0.007671986,-545.2027303
0.007668841,-546.8302012
0.007665696,-548.457672
0.007665696,-548.457672
0.007665696,-548.457672
0.007665696,-548.457672
0.007659406,-551.7126137
0.007649971,-556.5950262
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007646826,-558.222497
0.007690855,-535.4379053
0.007763189,-498.0060761
0.007813508,-471.9665427
0.007835523,-460.5742468
0.007844957,-455.6918343
0.007851247,-452.4368926
0.007857537,-449.181951
0.007860682,-447.5544801
0.007863827,-445.9270093
0.007863827,-445.9270093
0.007863827,-445.9270093
0.007870117,-442.6720676
0.007876407,-439.4171259
0.007882697,-436.1621843
0.007885842,-434.5347134
0.007888987,-432.9072426
0.007892132,-431.2797717
0.007895277,-429.6523009
0.007898422,-428.0248301
0.007898422,-428.0248301
0.007904711,-424.7698884
