type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W44X335,F,335,98.5,44.0,44      ,15.9,16      ,1.03,1      ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,4.50,38.0,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W44X290,F,290,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,1.58,1  9/16,2.36,2 13/16,1  5/8 ,5.02,45.0,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W44X262,F,262,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W44X230,F,230,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,1.22,1  1/4 ,2.01,2  7/16,1  9/16,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X655,T,655,193,43.6,43  5/8 ,16.9,16  7/8 ,1.97,2      ,3.54,3  9/16,4.72,4 13/16,2  3/16,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X593,T,593,174,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400,2760,2340,17.0,2520,481,302,3.80,445,997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X503,T,503,148,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X431,T,431,127,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X397,T,397,117,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X372,T,372,110,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.60,116,528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X362,T,362,106,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.60,109,513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X324,F,324,95.3,40.2,40  1/8 ,15.9,15  7/8 ,1.00,1      ,1.81,1 13/16,2.99,3  1/16,1 11/16,4.40,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X297,F,297,87.3,39.8,39  7/8 ,15.8,15  7/8 ,0.930, 15/16,1.65,1  5/8 ,2.83,2 15/16,1 11/16,4.80,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X277,F,277,81.5,39.7,39  3/4 ,15.8,15  7/8 ,0.830, 13/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
