cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
IPE 750 x 220,220.0,779.0,266.0,16.5,30.0,20,719.0,679.0,280.7,2.555,11.56,279390,7173,8231,31.4,139,9443,710,1114,5.7,9.9,620.5,13190000
IPE 750 x 196,196.0,770.0,268.0,15.6,25.4,20,719.0,679.0,250.8,2.546,12.88,241470,6271,7207,30.9,129.7,8177,610.2,960.1,5.6,8.9,416.5,11290000
IPE 750 x 173,173.0,762.0,267.0,14.4,21.6,20,719.0,679.0,221.3,2.529,14.49,207010,5433,6251,30.5,118.6,6875,515,811.1,5.5,8.1,278.7,9390000
IPE 750 x 147,147.0,753.0,265.0,13.2,17.0,20,719.0,679.0,187.5,2.505,16.93,167250,4442,5143,29.7,107.3,5291,399.3,632,5.2,7,163.2,7140000
IPE 750 x 134,134.0,750.0,264.0,12.0,15.5,20,719.0,679.0,170.6,2.498,18.55,151890,4050,4678,29.7,97.77,4767,361.2,569.6,5.2,6.6,124.9,6410000
IPE V 600,184.0,618.0,228.0,18.0,28.0,24,562.0,514.0,233.8,2.071,11.28,141580,4581,5324,24.6,124.5,5569,488.5,780.3,4.8,10.2,505.8,4813000
IPE O 600,154.0,610.0,224.0,15.0,24.0,24,562.0,514.0,196.8,2.045,13.24,118300,3878,4471,24.5,104.3,4520,403.6,640,4.7,9.1,316.3,3859000
IPE 600,122.0,600.0,220.0,12.0,19.0,24,562.0,514.0,156.0,2.015,16.46,92080,3069,3512,24.2,83.78,3387,307.9,485.6,4.6,7.8,165.2,2845000
IPE A 600,108.0,597.0,220.0,9.8,17.5,24,562.0,514.0,137.0,2.013,18.71,82910,2777,3141,24.5,70.13,3116,283.2,442,4.7,7.2,122.1,2607000
IPE V 550,159.0,566.0,216.0,17.1,25.2,24,515.6,467.6,202.0,1.921,12.12,102330,3616,4204,22.5,109.5,4264,394.8,632.4,4.5,9.5,372.4,3094000
IPE O 550,123.0,556.0,212.0,12.7,20.2,24,515.6,467.6,156.1,1.893,15.45,79150,2847,3263,22.5,82.68,3224,304.1,480.5,4.5,8.1,187.1,2302000
IPE 550,106.0,550.0,210.0,11.1,17.2,24,515.6,467.6,134.4,1.877,17.79,67110,2440,2787,22.3,72.34,2667,254,400.5,4.4,7.3,122.8,1884000
IPE A 550,92.1,547.0,210.0,9.0,15.7,24,515.6,467.6,117.3,1.875,20.36,59970,2193,2474,22.6,60.29,2432,231.6,361.5,4.5,6.8,89.29,1710000
IPE AA 550,79.5,541.0,210.0,8.5,12.5,24,515.6,467.6,101.3,1.864,23.44,49550,1831,2078,22.1,55.86,1937,184.5,289.6,4.3,6.1,56.18,1347000
IPE V 500,129.0,514.0,204.0,14.2,23.0,21,468.0,426.0,164.1,1.780,13.82,70710,2751,3168,20.7,83.16,3271,320.7,506.6,4.4,8.4,241.5,1961000
IPE O 500,107.0,506.0,202.0,12.0,19.0,21,468.0,426.0,136.7,1.760,16.4,57770,2283,2612,20.5,70.2,2621,259.5,408.5,4.3,7.4,142.7,1547000
IPE 500,90.7,500.0,200.0,10.2,16.0,21,468.0,426.0,115.5,1.744,19.23,48190,1927,2194,20.4,59.87,2141,214.1,335.8,4.3,6.6,89.09,1249000
IPE A 500,79.4,497.0,200.0,8.4,14.5,21,468.0,426.0,101.1,1.741,21.94,42930,1727,1946,20.6,50.4,1939,193.9,301.6,4.3,6.2,64.28,1125000
IPE AA 500,73.2,495.2,200.0,7.5,13.6,21,468.0,426.0,93.3,1.739,23.75,39940,1613,1807,20.6,45.61,1818,181.8,281.7,4.4,5.9,52.86,1051000
IPE V 450,107.0,460.0,194.0,12.4,19.6,21,420.8,378.8,132.0,1.635,15.78,46200,2008,2301,18.7,66.62,2396,247.1,389.1,4.2,7.6,148.8,1156000
IPE O 450,92.4,456.0,192.0,11.0,17.6,21,420.8,378.8,117.7,1.622,17.56,40920,1794,2046,18.6,59.4,2085,217.2,340.9,4.2,7,108.9,997500
IPE 450,77.6,450.0,190.0,9.4,14.6,21,420.8,378.8,98.8,1.605,20.69,33740,1499,1701,18.4,50.84,1675,176.4,276.3,4.1,6.3,66.74,791000
IPE A 450,67.2,447.0,190.0,7.6,13.1,21,420.8,378.8,85.6,1.603,23.87,29750,1331,1494,18.6,42.26,1502,158.1,245.7,4.1,5.8,47.13,704800
IPE AA 450,62.1,445.4,190.0,6.8,12.3,21,420.8,378.8,79.1,1.601,25.77,27740,1246,1391,18.7,38.4,1410,148.4,229.9,4.2,5.6,39.16,659300
IPE V 400,84.0,408.0,182.0,10.6,17.5,21,373.0,331.0,107.0,1.487,17.7,30130,1477,1681,16.7,52.52,1766,194.1,304,4,7,99.58,670300
