cross_section,mass,d,b,t,t_capital,r,d_cl,b_ov_t,d_ov_t,i_x,i_y,r_x,r_y,s_x,s_y,z_x,z_y,c_w,j,a,
HY1000x400x22x40,412,1000,400,22,40,18,884,5,40.2,886'000,42'800,41.1,9.02,17'700,2'140,20'100,3'320,98.5,2'060,525.2,
HY1000x400x22x36,388,1000,400,22,36,18,892,5.56,40.5,822'000,38'500,40.7,8.82,16'400,1'920,18'700,3'000,89.4,1'610,494.9,
HY1000x400x22x32,365,1000,400,22,32,18,900,6.25,40.9,756'000,34'200,40.3,8.58,15'100,1'710,17'300,2'680,80.2,1'250,464.7,
HY1000x400x22x28,341,1000,400,22,28,18,908,7.14,41.3,690'000,30'000,39.8,8.3,13'800,1'500,15'900,2'360,70.8,969,434.5,
HY1000x400x19x40,391,1000,400,19,40,18,884,5,46.5,867'000,42'700,41.7,9.27,17'300,2'140,19'500,3'290,98.4,1'920,497.6,
HY1000x400x19x36,367,1000,400,19,36,18,892,5.56,46.9,802'000,38'500,41.4,9.07,16'000,1'920,18'100,2'970,89.3,1'480,467.1,
HY1000x400x19x32,343,1000,400,19,32,18,900,6.25,47.4,736'000,34'200,41,8.85,14'700,1'710,16'700,2'650,80.1,1'120,436.6,
HY1000x400x19x28,319,1000,400,19,28,18,908,7.14,47.8,669'000,29'900,40.6,8.58,13'400,1'500,15'200,2'330,70.7,838,406.1,
HY1000x400x19x25,301,1000,400,19,25,18,914,8,48.1,617'000,26'700,40.1,8.35,12'300,1'340,14'200,2'090,63.5,670,383.3,
HY1000x400x16x36,345,1000,400,16,36,18,892,5.56,55.8,782'000,38'400,42.2,9.35,15'600,1'920,17'500,2'940,89.3,1'380,439.3,
HY1000x400x16x32,321,1000,400,16,32,18,900,6.25,56.3,715'000,34'200,41.8,9.15,14'300,1'710,16'000,2'620,80,1'020,408.5,
HY1000x400x16x28,297,1000,400,16,28,18,908,7.14,56.8,647'000,29'900,41.4,8.9,12'900,1'500,14'600,2'300,70.6,740,377.8,
HY1000x400x16x25,279,1000,400,16,25,18,914,8,57.1,596'000,26'700,41,8.68,11'900,1'340,13'500,2'060,63.5,573,354.8,
HY1000x400x16x22,260,1000,400,16,22,18,920,9.09,57.5,544'000,23'500,40.5,8.42,10'900,1'180,12'400,1'820,56.2,440,331.7,
HY1000x350x22x40,381,1000,350,22,40,18,884,4.38,40.2,794'000,28'700,40.5,7.69,15'900,1'640,18'200,2'570,66.1,1'840,485.2,
HY1000x350x22x36,360,1000,350,22,36,18,892,4.86,40.5,738'000,25'800,40.1,7.5,14'800,1'480,17'000,2'320,60,1'460,458.9,
HY1000x350x22x32,340,1000,350,22,32,18,900,5.47,40.9,681'000,23'000,39.7,7.28,13'600,1'310,15'800,2'080,53.8,1'140,432.7,
HY1000x350x22x28,319,1000,350,22,28,18,908,6.25,41.3,623'000,20'100,39.2,7.03,12'500,1'150,14'600,1'830,47.5,896,406.5,
HY1000x350x19x40,359,1000,350,19,40,18,884,4.38,46.5,775'000,28'600,41.1,7.91,15'500,1'640,17'600,2'540,66,1'710,457.6,
HY1000x350x19x36,338,1000,350,19,36,18,892,4.86,46.9,718'000,25'800,40.8,7.73,14'400,1'470,16'400,2'290,59.9,1'320,431.1,
HY1000x350x19x32,318,1000,350,19,32,18,900,5.47,47.4,661'000,22'900,40.4,7.53,13'200,1'310,15'100,2'050,53.7,1'010,404.6,
HY1000x350x19x28,297,1000,350,19,28,18,908,6.25,47.8,602'000,20'100,39.9,7.28,12'000,1'150,13'900,1'800,47.4,764,378.1,
HY1000x350x19x25,281,1000,350,19,25,18,914,7,48.1,558'000,17'900,39.5,7.07,11'200,1'020,12'900,1'620,42.6,618,358.3,
HY1000x350x16x32,296,1000,350,16,32,18,900,5.47,56.3,640'000,22'900,41.2,7.8,12'800,1'310,14'500,2'020,53.7,911,376.5,
HY1000x350x16x28,275,1000,350,16,28,18,908,6.25,56.8,581'000,20'000,40.8,7.57,11'600,1'150,13'200,1'780,47.3,666,349.8,
HY1000x350x16x25,259,1000,350,16,25,18,914,7,57.1,536'000,17'900,40.3,7.37,10'700,1'020,12'300,1'600,42.5,521,329.8,
HY1000x350x16x22,243,1000,350,16,22,18,920,7.95,57.5,491'000,15'800,39.8,7.13,9'820,900,11'300,1'410,37.7,405,309.7,
HY1000x300x22x40,349,1000,300,22,40,18,884,3.75,40.2,702'000,18'100,39.7,6.37,14'000,1'210,16'300,1'920,41.7,1'630,445.2,
