id,experimental_program,date,specimen_designation,northridge,specimen_type,comments,loading_protocol,slab,connection_type,t_pl,rbs_cut,s_h,d_h,section_b,d_b,d_bg,t_bw,b_bf,t_bf,r_b,a_b,i_xb,z_xb,z_xb_bfp,r_yb,b_bf_rbs,d_gb_rbs,a_b_rbs,i_xb_rbs,z_xb_rbs,d_bm,d_bgm,t_bwm,b_bfm,t_bfm,z_xbm,steel_b,f_yb,f_ybw,f_ybf,f_yb_mill,f_yb_avg,l_b,l_fc,l_o,lo_db,section_c,d_c,t_cw,b_cf,c_c,t_cf,r_c,a_c,i_xc,d_cm,t_wcm,c_cm,b_fcm,t_fcm,steel_c,f_yc,f_ydp,f_ycw,f_ycf,f_yc_mill,f_yc_avg,h_c,backing_bar,electrode,d_electrode,cvn_0f,cvn_minus20f,cvn_70f,access_hole_geometry,w,w_l,w_r,h_t,a_s,f_sk,f_sm,h_co,slab_con_type,f_ck,f_cm,cur_days,f_c_compr_calc,d,h_sc,n_studs,n_diss,n_r,f_u_sc,h_p,b_o,deck_ribs_orientation,section_shape_c,d_pz,tw_pz,bf_pz,tf_pz,dz,zw,dz_plug,wz_plug,wd,n_dp,t_dp,t_dp_tot,t_p,t_cp,d_cp,db_plus,db_minus,a_vc,fy_pz_m,p_cm,n_pm,v_pz_el_m_europe,r_n_el_m_aisc,r_n_pl_m_aisc,v_pz_m_aij,fy_pz_n,p_cn,n_pn,v_pz_el_n_europe,r_n_el_n_aisc,r_n_pl_n_aisc,v_pz_n_aij,m_cf_minus_n,m_cf_plus_n,m_cf_minus_m,m_cf_plus_m,v_bf_plus_n,v_bf_minus_n,v_col_n,r_u_n,r_u_m,ru_rn_el_n,ru_rn_pl_n,aisc_pz_violation_n,ru_rn_el_m,ru_rn_pl_m,aisc_pz_violation_m,g_max,g_y,g_max_g_y,reference,link,latitude,longitude
Chi_and_Uang_2002_DC2,Chi and Uang,2002,DC2,Post,Exterior - Beam Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,RBS,NA,0.25,NA,NA,W36x150,911.86,455.93,15.875,304.8,23.876,20.066,28516.072,3762732087,9520884.184,NA,62.89915923,228.6,455.93,24877.3696,3045438700,7905329.428,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,358.5274725,399.896027,NA,379.8241715,3581.4,3224.53,3224.53,3.536211699,W27x194,713.74,19.05,355.6,600.075,34.036,29.972,36903.152,3271579005,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,NA,434.3698225,427.4750634,NR,429.7980921,3810,No,E70T-6,NR,NR,NR,NR,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,713.74,19.05,355.6,34.036,864.108,645.668,NA,NA,0,0,0,0,19.05,25.4,645.668,887.984,0,15385.38858,429.7980921,0,0,3674.070369,3543.609948,3891.221266,3409.840263,344.7379543,0,0,2915.928865,2812.388848,3092.720555,2706.222431,0,4332.517381,NA,4339.514336,4879.048925,0,1262.995332,3616.053593,3621.89347,1.285758758,1.16921446,yes,1.022091461,0.930785792,no,0.012177177,0.003260185,3.735118506,"Chi, B., and Uang, C.-M. (2002). “Cyclic response and design recommendations of reduced beam section moment connections with deep columns.” Journal of Structural Engineering, 128(4), 464–473. https://doi.org/10.1061/(ASCE)0733-9445(2002)128:4(464).",https://doi.org/10.1061/(ASCE)0733-9445(2002)128:4(464),32.88006,-117.234014
Ciutina_and_Dubina_2008_CP-R-M,Ciutina and Dubina,2008,CP-R-M,Post,Interior - Column Loaded - Subassembly,NA,Monotonic,NO,WUF-W,NA,NA,NA,NA,IPE 360,359.9999996,179.9999998,7.999984,170.0022,12.7,17.999964,7269.98546,162699869.5,1018996.801,NA,37.9,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,S355,355,NR,NR,NR,NA,3209.999997,2909.999997,1454.999999,4.041666667,HEB 300,299.9999997,10.99999999,299.9999997,207.9999998,18.99999998,26.99999997,14909.99997,251699999,NR,NR,NR,NR,NR,S235,235,NA,301.8,260.5,NR,268.8340288,2500,No,NR,NR,NR,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,299.9999997,10.99999999,299.9999997,18.99999998,334.5999996,261.9999997,NA,NA,0,0,0,0,10.99999999,17.018,261.9999997,347.2999996,347.2999996,4744.99999,268.8340288,0,0,824.1348758,597.5639988,738.6247485,575.0062259,235,0,0,641.7219875,465.2999991,592.5524988,447.7351328,557.0855509,557.0855509,NA,NA,1604.047082,1604.047082,491.6136408,2716.480523,NA,5.838127076,4.584371053,yes,NA,NA,NA,0.1424,0.002265175,62.86488989,"Ciutina, A. L., and Dubina, D. (2008). “Column web stiffening of steel beam-to-column joints subjected to seismic actions.” Journal of Structural Engineering, 134(3), 505–510. https://doi.org/10.1061/(ASCE)0733-9445(2008)134:3(505).",https://doi.org/10.1061/(ASCE)0733-9445(2008)134:3(505),45.7421,21.2491
Ciutina_and_Dubina_2008_CP-IIPL-M,Ciutina and Dubina,2008,CP-IIPL-M,Post,Interior - Column Loaded - Subassembly,NA,Monotonic,NO,WUF-W,NA,NA,NA,NA,IPE 360,359.9999996,179.9999998,7.999984,170.0022,12.7,17.999964,7269.98546,162699869.5,1018996.801,NA,37.9,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,S355,355,NR,NR,NR,NA,3209.999997,2909.999997,1454.999999,4.041666667,HEB 300,299.9999997,10.99999999,299.9999997,207.9999998,18.99999998,26.99999997,14909.99997,251699999,NR,NR,NR,NR,NR,S235,235,276.08,301.8,260.5,NR,268.8340288,2500,No,NR,NR,NR,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,299.9999997,10.99999999,299.9999997,18.99999998,334.5999996,261.9999997,NR,NR,220,2,10,20,30.99999999,17.018,261.9999997,347.2999996,347.2999996,4744.99999,268.8340288,0,0,1169.138612,1684.043998,1825.104747,1620.472092,235,0,0,910.3630677,1311.299998,1438.552498,1261.799012,557.0855509,557.0855509,NA,NA,1604.047082,1604.047082,491.6136408,2716.480523,NA,2.071593477,1.888342988,yes,NA,NA,NA,0.1365,0.002265175,60.26023504,"Ciutina, A. L., and Dubina, D. (2008). “Column web stiffening of steel beam-to-column joints subjected to seismic actions.” Journal of Structural Engineering, 134(3), 505–510. https://doi.org/10.1061/(ASCE)0733-9445(2008)134:3(505).",https://doi.org/10.1061/(ASCE)0733-9445(2008)134:3(505),45.7421,21.2491
Engelhardt_et_al_2000_DBBW,Engelhardt et al.,2000,DBBW,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,RBS,NA,0.5,571.5,NA,W36x150,911.86,455.93,15.875,304.8,23.876,20.066,28516.072,3762732087,9520884.184,NA,62.89915923,152.4,455.93,21238.6672,2328145313,6289774.672,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620,7155.18,3577.59,3.923398329,W14x398,464.82,44.958,421.64,254,72.39,29.972,75483.72,2497388554,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,NA,351.6327134,330.9484362,361.2853761,334.8938079,3708.4,No,E70T-6,1.8288,NR,NR,NR,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,464.82,44.958,421.64,72.39,864.108,320.04,NA,NA,0,0,0,0,44.958,25.4,320.04,887.984,887.984,22032.53658,334.8938079,0,0,4504.002926,4408.920945,5852.377214,4242.486157,344.7379543,0,0,4415.689143,4322.471515,5826.071795,4159.300154,3264.399496,3264.399496,NA,3369.720859,3676.191796,3676.191796,1874.913055,5477.470537,5654.193595,1.267208013,0.9401653,no,1.28244386,0.966136219,no,0.011094927,0.002639197,4.203901831,"Engelhardt, M. D., Venti, M. J., Fry, G. T., Jones, S. L., and Holliday, S. D. (2000). Behavior and design of radius cut reduced beam section connections. Report No. SAC/BD-00/17, SAC Joint Venture, Sacramento, CA, USA.",https://store.atcouncil.org/index.php?dispatch=products.view&product_id=132,30.284918,-97.734057
Engelhardt_et_al_2000_DBBWWPZ,Engelhardt et al.,2000,DBBWWPZ,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,RBS,NA,0.4,571.5,NA,W36x150,911.86,455.93,15.875,304.8,23.876,20.066,28516.072,3762732087,9520884.184,NA,62.89915923,182.88,455.93,22694.14816,2615062668,6935996.574,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620,7194.55,3597.275,3.944986072,W14x283,425.45,32.766,409.575,254,52.578,29.972,53741.828,1598328674,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,NA,351.6327134,330.9484362,361.2853761,335.001089,3708.4,No,E70T-6,1.8288,NR,NR,NR,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,425.45,32.766,409.575,52.578,864.108,320.294,NA,NA,0,0,0,0,32.766,25.4,320.294,887.984,887.984,15547.06568,335.001089,0,0,3105.755419,2941.118191,3680.802212,2830.092299,344.7379543,0,0,3044.858254,2883.449207,3653.953396,2774.600293,3596.048206,3596.048206,NA,3712.069758,4049.676803,4049.676803,2054.093765,6045.25984,6240.301839,2.096537656,1.654443608,yes,2.121744668,1.695364619,yes,0.054849352,0.002639197,20.78258823,"Engelhardt, M. D., Venti, M. J., Fry, G. T., Jones, S. L., and Holliday, S. D. (2000). Behavior and design of radius cut reduced beam section connections. Report No. SAC/BD-00/17, SAC Joint Venture, Sacramento, CA, USA.",https://store.atcouncil.org/index.php?dispatch=products.view&product_id=132,30.284918,-97.734057
Engelhardt_et_al_2000_DBWW,Engelhardt et al.,2000,DBWW,Post,Interior - Column Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,RBS,NA,0.5,571.5,NA,W36x150,911.86,455.93,15.875,304.8,23.876,20.066,28516.072,3762732087,9520884.184,NA,62.89915923,152.4,455.93,21238.6672,2328145313,6289774.672,NR,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,409.5486898,374.3854184,365.4222316,391.4464956,7620,7155.18,3577.59,3.923398329,W14x398,464.82,44.958,421.64,254,72.39,29.972,75483.72,2497388554,NR,NR,NR,NR,NR,ASTM A572 Gr. 50,344.7379543,NA,351.6327134,330.9484362,361.2853761,334.8938079,3657.6,No,E70T-6,1.8288,NR,NR,NR,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,464.82,44.958,421.64,72.39,864.108,320.04,NA,NA,0,0,0,0,44.958,25.4,320.04,887.984,887.984,22032.53658,334.8938079,0,0,4504.002926,4408.920945,5852.377214,4242.486157,344.7379543,0,0,4415.689143,4322.471515,5826.071795,4159.300154,3264.399496,3264.399496,NA,3369.720859,3676.191796,3676.191796,1900.953514,5451.430078,5627.312976,1.261183575,0.935695657,no,1.27634699,0.961543108,no,0.013049257,0.002639197,4.944403613,"Engelhardt, M. D., Venti, M. J., Fry, G. T., Jones, S. L., and Holliday, S. D. (2000). Behavior and design of radius cut reduced beam section connections. Report No. SAC/BD-00/17, SAC Joint Venture, Sacramento, CA, USA.",https://store.atcouncil.org/index.php?dispatch=products.view&product_id=132,30.62037845,-96.33951634
Kosarieh_and_Danesh_2016_SN1,Kosarieh and Danesh,2016,SN1,Post,Exterior - Beam Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,WFP,25,NA,399.9992,NA,I-400x180x8x12,399.9999996,199.9999998,7.999999992,179.9999998,11.99999999,12.954,7780.389326,198028073.9,1120831.997,NA,38.73136877,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,S235,235,287.4,278,NA,281.8585153,2184.999998,2004.999998,2004.999998,5.0125,H-360x240x8x20,359.9999996,7.999999992,239.9999998,304.0919997,14.99999998,12.99999999,10163.66514,238337999,NR,NR,NR,NR,NR,S235,235,NA,287.4,269.9,NR,274.595122,2745,No,AWS D1.1/D1.1M,NR,NR,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,359.9999996,7.999999992,239.9999998,14.99999998,375.9999996,329.9999997,NA,NA,0,0,0,0,7.999999992,20,280,424.9999996,0,3473.665151,274.595122,0,0,558.7471628,496.627199,562.2128989,477.879745,235,0,0,456.8739849,406.0799992,463.1849991,390.7506614,0,398.137309,NA,434.1136975,936.7936692,0,158.0620435,778.7316257,849.099187,1.917680327,1.681253986,yes,1.709731543,1.510280516,yes,0.044657095,0.002157095,20.70241995,"Kosarieh, A. H., and Danesh, F. (2016). “Effects of panel zone yielding on seismic behavior of welded-flange-plate connections.” Bulletin of Earthquake Engineering, 14(10), 2805–2825. https://doi.org/10.1007/s10518-016-9915-6.",https://doi.org/10.1007/s10518-016-9915-6,35.7642577,51.4096345
Kosarieh_and_Danesh_2016_SN2,Kosarieh and Danesh,2016,SN2,Post,Exterior - Beam Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,WFP,25,NA,399.9992,NA,H-400x180x8x12,399.9999996,199.9999998,7.999999992,179.9999998,11.99999999,12.954,7780.389326,198028073.9,1120831.997,NA,38.73136877,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,S235,235,287.4,278,NA,281.8585153,2184.999998,2004.999998,2004.999998,5.0125,H-360x240x8x20,359.9999996,7.999999992,239.9999998,304.0919997,14.99999998,12.99999999,10163.66514,238337999,NR,NR,NR,NR,NR,S235,235,NA,287.4,269.9,NR,274.595122,2745,No,AWS D1.1/D1.1M,NR,NR,NR,NR,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,359.9999996,7.999999992,239.9999998,14.99999998,375.9999996,329.9999997,NA,NA,0,0,0,0,7.999999992,12,280,424.9999996,0,3473.665151,274.595122,0,0,553.6806268,496.627199,562.2128989,477.879745,235,0,0,452.7312014,406.0799992,463.1849991,390.7506614,0,398.137309,NA,434.1136975,936.7936692,0,158.0620435,778.7316257,849.099187,1.917680327,1.681253986,yes,1.709731543,1.510280516,yes,0.043757095,0.002157095,20.28519223,"Kosarieh, A. H., and Danesh, F. (2016). “Effects of panel zone yielding on seismic behavior of welded-flange-plate connections.” Bulletin of Earthquake Engineering, 14(10), 2805–2825. https://doi.org/10.1007/s10518-016-9915-6.",https://doi.org/10.1007/s10518-016-9915-6,35.7642577,51.4096345
Lee_et_al_2002_CR1,Lee et al.,2002,CR1,Post,Interior - Beam Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,WUF-W,NA,NA,NA,NA,W24x94,617.22,308.61,13.081,230.378,22.225,29.972,17870.932,1123824849,4162314.256,NA,50.292,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,411.6171175,348.8748098,344.7379543,375.3846232,7112,6686.55,3343.275,5.416666667,W14x283,425.45,32.766,409.575,254,52.578,29.972,53741.828,1598328674,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,NA,360.5959002,349.5642857,372.3169907,351.7257005,4343.4,No,E70T-6,1.984375,NR,NR,NR,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,425.45,32.766,409.575,52.578,572.77,320.294,NA,NA,0,0,0,0,32.766,0,0,594.995,594.995,15547.06568,351.7257005,0,0,2913.071203,3016.08787,4170.341195,2902.231906,344.7379543,0,0,2784.96291,2883.449207,4021.766095,2774.600293,2209.757861,2209.757861,NA,2187.456276,3713.909967,3713.909967,1082.267228,6345.552707,6281.511355,2.200681286,1.577802527,yes,2.082668551,1.506234397,yes,0.03,0.002706471,11.08454511,"Lee, D., Cotton, S. C., Dexter, R. J., Hajjar, J. F., Ye, Y., and Ojard, S. D. (2002). Column Stiffener Detailing and Panel Zone Behavior of Steel Moment Frame Connections, Department of Civil Engineering, Institute of Technology University of Minnesota, Minneapolis, Minnesota, USA ",https://www.aisc.org/technical-resources/research/researchlibrary/column-stiffener-detailing-and-panel-zone-behavior-of-steel-moment-frame-connections/,44.97612,-93.231129
Lee_et_al_2002_CR2,Lee et al.,2002,CR2,Post,Interior - Beam Loaded - Subassembly,NA,Ramped Symmetric Cyclic AISC,NO,WUF-W,NA,NA,NA,NA,W24x94,617.22,308.61,13.081,230.378,22.225,29.972,17870.932,1123824849,4162314.256,NA,50.292,NA,NA,NA,NA,NA,NR,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,411.6171175,348.8748098,344.7379543,375.3846232,7112,6718.3,3359.15,5.442386831,W14x193,393.7,22.606,398.78,254,36.576,29.972,36645.088,998955421.4,NR,NR,NR,NR,NR,ASTM A992 Gr. 50,344.7379543,398.5170752,372.3169907,345.4274302,375.7643702,350.7778277,4343.4,No,E70T-6,2.38125,46.50455569,NR,73.62091469,AISC-360-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,393.7,22.606,398.78,36.576,572.77,320.548,NR,NR,317.5,1,15.875,15.875,38.481,0,0,594.995,594.995,10492.88224,350.7778277,0,0,3005.076448,3384.354677,3921.776283,3256.596806,344.7379543,0,0,2782.478193,3133.661738,3670.010647,3015.367413,2209.757861,2209.757861,NA,2187.456276,3713.909967,3713.909967,1077.152543,6350.667391,6286.57442,2.026596335,1.730422062,yes,1.857540069,1.602991595,yes,0.02771,0.002794444,9.916104055,"Lee, D., Cotton, S. C., Dexter, R. J., Hajjar, J. F., Ye, Y., and Ojard, S. D. (2002). Column Stiffener Detailing and Panel Zone Behavior of Steel Moment Frame Connections, Department of Civil Engineering, Institute of Technology University of Minnesota, Minneapolis, Minnesota, USA ",https://www.aisc.org/technical-resources/research/researchlibrary/column-stiffener-detailing-and-panel-zone-behavior-of-steel-moment-frame-connections/,44.97612,-93.231129
