id,specimen_designation,experimental_program,date,specimen_type,piece,loading,loading_protocol,location_coupon,section_type,section_profile,steel_type,coupon_direction,crack_opening_direction,plate_thickness,f_yn,f_un,fy_m,fu_m,elongation_fr,temperature,chemical_composition_C,chemical_composition_Si,chemical_composition_Mn,chemical_composition_P,chemical_composition_S,chemical_composition_Cu,chemical_composition_Ni,chemical_composition_Cr,chemical_composition_V,chemical_composition_Nb,chemical_composition_Mo,chemical_composition_Ti,chemical_composition_Al,chemical_composition_N,gauge_length,nom_notch_radius,nom_whole_diameter_cnt,nom_notch_diameter_cnt,nom_notch_width,nom_width_gp,nom_whole_thickness_gp,nom_notch_thickness_gp,meas_whole_diameter_cnt,meas_notch_diameter_cnt,meas_notch_width,meas_width_gp,meas_whole_thickness_gp,meas_notch_thickness_gp,disp_fract,exc_at_fract,step_fract,fract_loc,young_mod,nu,triax_at_fr,triax_avg_till_fr,lode_at_fr,lode_avg_till_fr,peeq_at_fr,cvgm_etamono,cvgm_lambda,swdfm_alpha_pos,swdfm_alpha_neg,swdfm_kappa,swdfm_C,swdfm_beta,kk_alpha_1,kk_alpha_2,kk_beta_1,kk_beta_2,kk_d_cr,l_star,reference,link,latitude,longitude
Skiadopoulos_and_Lignos_CNT_L1_M_C1_R1_0,CNT_L1_M_C1_R1_0,Skiadopoulos and Lignos,2026,CNT,L1_5,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.99, 7.99, 7.99, 7.99]","[5.04, 5.04, 5.02, 5.03]","[1.97, 1.94, 1.96, 1.97]",NA,NA,NA,1.253,1,9125,center,205000,0.3,NR,1.33267,1,1.0032,0.5214,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L1_C_C1_R1_0,CNT_L1_C_C1_R1_0,Skiadopoulos and Lignos,2026,CNT,L1_4,cyclic_1_2,"[0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.99, 7.99, 7.99, 7.98]","[5.04, 5.04, 5.04, 5.02]","[1.98, 1.97, 1.96, 1.96]",NA,NA,NA,0.617,11,26776,edge,205000,0.3,NR,0.05178,0.79065,0.12088,4.98914,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L1_M_C1_R3_0,CNT_L1_M_C1_R3_0,Skiadopoulos and Lignos,2026,CNT,L1_3,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[7.98, 7.98, 7.98, 7.99]","[4.99, 4.98, 5.01, 4.98]","[5.03, 5.21, 5.1, 5.12]",NA,NA,NA,1.608,1,10484,center,205000,0.3,NR,1.05989,1,1.0025,0.9024,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L1_C_C1_R3_0,CNT_L1_C_C1_R3_0,Skiadopoulos and Lignos,2026,CNT,L1_2,cyclic_1_2,"[0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[8.00, 7.98, 7.98, 7.98]","[4.99, 4.99, 5.00, 5.00]","[5.29, 5.33, 5.27, 5.13]",NA,NA,NA,0.642,11,33838,center,205000,0.3,NR,0.22288,1,0.17703,2.71601,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L1_M_C1_R10_0,CNT_L1_M_C1_R10_0,Skiadopoulos and Lignos,2026,CNT,L1_1,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,10,8,5,10.54,NA,NA,NA,"[7.99, 7.99, 7.99, 8.00]","[5.00, 5.00, 5.00, 5.01]","[10.79, 10.3, 10.5, 10.58]",NA,NA,NA,2.437,1,14036,center,205000,0.3,NR,0.90228,1,1.0016,1.3393,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L1_C_C1_R10_0,CNT_L1_C_C1_R10_0,Skiadopoulos and Lignos,2026,CNT,L1_0,cyclic_1_2,"[0,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,10,8,5,10.54,NA,NA,NA,"[7.99, 7.96, 8.00, 7.99]","[4.99, 5.00, 4.99, 4.98]","[10.34, 10.62, 10.56, 10.51]",NA,NA,NA,0.792,11,51517,center,205000,0.3,NR,0.00014,0.65835,0.08594,6.27044,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L2_M_C2_R1_0,CNT_L2_M_C2_R1_0,Skiadopoulos and Lignos,2026,CNT,L2_5,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.99, 7.99, 8.00, 7.99]","[5.04, 5.03, 5.04, 5.04]","[1.91, 1.94, 1.92, 1.93]",NA,NA,NA,1.179,1,8793,center,205000,0.3,NR,1.30682,1,1.0034,0.4475,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L2_C_C2_R1_0,CNT_L2_C_C2_R1_0,Skiadopoulos and Lignos,2026,CNT,L2_4,cyclic_1_2,"[0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,0.60,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,1,8,5,2,NA,NA,NA,"[7.98, 7.98, 7.98, 7.98]","[5.04, 5.04, 5.04, 5.04]","[1.94, 1.93, 1.95, 1.95]",NA,NA,NA,0.6,11,26734,edge,205000,0.3,NR,0.05178,0.79065,0.12088,4.98914,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L2_M_C2_R3_0,CNT_L2_M_C2_R3_0,Skiadopoulos and Lignos,2026,CNT,L2_3,monotonic,"[0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[8.00, 7.99, 7.99, 8.00]","[4.98, 4.98, 4.99, 4.98]","[5.10, 5.3, 5.01, 5.17]",NA,NA,NA,1.538,1,10222,center,205000,0.3,NR,1.04025,1,1.0026,0.8303,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
Skiadopoulos_and_Lignos_CNT_L2_C_C2_R3_0,CNT_L2_C_C2_R3_0,Skiadopoulos and Lignos,2026,CNT,L2_2,cyclic_1_2,"[0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,0.77,0,2]",column flange,wide flange,H498x432x45/70,SM490A,longitudinal,thickness/width,70,295,490,368,531,36,20,0.16,0.3,1.4,0.017,0.004,0.01,0.01,0.02,0.042,0,0.006,0.001,0.032,0.004,20,3,8,5,5.2,NA,NA,NA,"[8.00, 7.98, 7.98, 7.99]","[5.03, 5.03, 5.02, 5.03]","[5.19, 5.19, 5.18, 5.22]",NA,NA,NA,0.607,11,33575,center,205000,0.3,NR,0.21843,1,0.1724,2.70081,6.1,0.6,1.3,1.3,0.3,0.25,2.75,0.85,-0.25,-0.25,-1.9,1,0.3,"Skiadopoulos, A., and Lignos, D. (2026), Ductile crack initiation in welded connections with highly dissipative panel zones, Journal of Constructional Steel Research 240 110258.doi:10.1016/j.jcsr.2026.110258.",https://www.sciencedirect.com/science/article/pii/S0143974X26000271?via%3Dihub,46.5172,6.5689
