Radial elongation [mm],Load [kN]
-2.43E-05,-0.013938354
-2.41E-05,-0.005078703
-2.34E-05,-0.004968115
-2.44E-05,0.000268452
-1.39E-05,0.002863374
-1.61E-05,0.004198263
-4.35E-05,0.003130329
-2.45E-05,0.002439768
-5.50E-05,-0.045071892
-0.000182244,-0.156291515
-0.000314465,-0.273128301
-0.000435507,-0.39113754
-0.000608585,-0.509191632
-0.000641686,-0.624955654
-0.000710513,-0.736622095
-0.000730786,-0.845035672
-0.000741619,-0.947819352
-0.000693978,-1.050958514
-0.0007234,-1.147602439
-0.000708181,-1.247101188
-0.00071289,-1.349300146
-0.000732504,-1.449653149
-0.000767909,-1.548907995
-0.000798675,-1.651023149
-0.000826092,-1.752801776
-0.000884272,-1.852112293
-0.000933532,-1.952996016
-0.000993347,-2.058307409
-0.00105358,-2.158968925
-0.001103892,-2.266494274
-0.001183387,-2.373387814
-0.001228033,-2.474023342
-0.001328559,-2.580308437
-0.001357997,-2.685940981
-0.001411369,-2.786699772
-0.001453821,-2.888571978
-0.001517504,-2.993413925
-0.001556585,-3.094761848
-0.00157697,-3.195202351
-0.001648062,-3.299341679
-0.00172823,-3.399740458
-0.001751273,-3.501469851
-0.001782882,-3.599791288
-0.001825515,-3.706841946
-0.001868999,-3.807012081
-0.00189244,-3.910192728
-0.001954855,-4.012013912
-0.00196797,-4.119532585
-0.002038107,-4.219574451
-0.002078158,-4.323622704
-0.002107151,-4.429326534
-0.002203828,-4.53420496
-0.002234761,-4.636418819
-0.002297348,-4.740725517
-0.002359773,-4.847934723
-0.002406824,-4.952699184
-0.002469285,-5.054650784
-0.002555968,-5.159132481
-0.002630109,-5.257454872
-0.002699235,-5.362061024
-0.002786141,-5.468831062
-0.002873446,-5.566359043
-0.002928082,-5.667016506
-0.003011297,-5.765070438
-0.003065131,-5.861503124
-0.003124808,-5.961915016
-0.003208453,-6.063221931
-0.003299719,-6.158644199
-0.003394836,-6.253284454
-0.003452741,-6.345891476
-0.003569871,-6.439304829
-0.003648041,-6.531387329
-0.003749066,-6.62539053
-0.003816625,-6.714309692
-0.003903755,-6.804500103
-0.004059336,-6.890625954
-0.004099316,-6.979829311
-0.004192364,-7.064640045
-0.004354597,-7.152837753
-0.004437765,-7.238765717
-0.004597229,-7.324172497
-0.004679559,-7.412076473
-0.004820419,-7.493371487
-0.004917435,-7.577047348
-0.005031246,-7.662350655
-0.005152747,-7.746994019
-0.005310805,-7.825566769
-0.005383156,-7.906396866
-0.005545024,-7.982331753
-0.005657277,-8.061015129
-0.005777377,-8.142828941
-0.005894492,-8.223244667
-0.006055457,-8.299671173
-0.006200391,-8.377516747
-0.006353282,-8.455434799
-0.006497708,-8.532646179
-0.00666628,-8.601782799
-0.006808628,-8.673506737
-0.006972603,-8.743915558
-0.007126872,-8.813257217
-0.007267267,-8.879556656
-0.007452195,-8.948431969
-0.007581973,-9.011026382
-0.007771411,-9.080212593
-0.007958694,-9.14481163
-0.008080201,-9.208773613
-0.008300425,-9.268269539
-0.008456521,-9.333320618
-0.008642147,-9.390551567
-0.008865256,-9.447176933
-0.009124375,-9.495697021
-0.009337736,-9.542917252
-0.0095682,-9.582174301
-0.009824964,-9.618652344
-0.010069349,-9.653599739
-0.01033081,-9.685267448
-0.010628127,-9.715895653
-0.010874248,-9.746095657
-0.01118144,-9.772533417
-0.011499428,-9.795661926
-0.011778525,-9.822588921
-0.012116952,-9.843289375
-0.012385054,-9.862148285
-0.012707396,-9.878336906
-0.012961249,-9.894680977
-0.013259416,-9.908133507
-0.013488639,-9.924279213
-0.013739309,-9.93881321
-0.013991318,-9.955349922
-0.014241042,-9.969603539
-0.014470674,-9.986247063
-0.014722761,-10.00239468
-0.014917088,-10.01916218
-0.015176685,-10.03898335
-0.015367119,-10.05639553
-0.015600114,-10.07210445
-0.015850721,-10.09099007
-0.016075773,-10.10753727
-0.016292114,-10.12678242
-0.016529173,-10.13908291
-0.016776135,-10.15245056
-0.017029194,-10.16592312
-0.017257303,-10.17445183
-0.017490605,-10.18521976
-0.017739268,-10.19352627
-0.017987356,-10.20129108
-0.018218601,-10.20877552
-0.01842914,-10.2164669
-0.018653654,-10.22736645
-0.018884014,-10.23799515
-0.019108929,-10.25457573
-0.019293273,-10.26638794
-0.019535935,-10.27726841
-0.01977038,-10.29115963
-0.019990481,-10.30525017
-0.020242386,-10.31753063
-0.020444948,-10.32893181
-0.020654017,-10.34059811
-0.020883251,-10.34994698
-0.021125339,-10.36211205
-0.021357482,-10.3708744
-0.021568066,-10.38132668
-0.021774324,-10.39404583
-0.022031108,-10.40668583
-0.02232426,-10.41792297
-0.022576932,-10.42545128
-0.022871707,-10.43177891
-0.023126084,-10.43787861
-0.023417367,-10.44313717
-0.023677576,-10.44899654
-0.023900479,-10.45492649
-0.024141608,-10.45775318
-0.024402533,-10.46453094
-0.024616521,-10.47585011
-0.024860993,-10.48590469
-0.02509173,-10.4949789
-0.025300495,-10.50415421
-0.025563803,-10.51892662
-0.025782261,-10.53004265
-0.026053363,-10.53977489
-0.026286701,-10.55072594
-0.026520412,-10.56370449
-0.026758827,-10.57247543
-0.026974687,-10.58173561
-0.027213471,-10.59058285
-0.027434535,-10.60479927
-0.027650243,-10.61477566
-0.027901784,-10.62527275
-0.028101413,-10.63564968
-0.028344249,-10.64821339
-0.028539281,-10.66316891
-0.028746145,-10.67693615
-0.028992405,-10.68492985
-0.029181493,-10.69686985
-0.029417701,-10.70877743
-0.029597802,-10.71934605
-0.029823195,-10.72861195
-0.030056322,-10.742486
-0.030271273,-10.75503159
-0.030469544,-10.76681328
-0.03069639,-10.77762508
-0.030922158,-10.7880764
-0.031132909,-10.7967329
-0.03136386,-10.80846691
-0.031570379,-10.81816673
-0.03183588,-10.8284626
-0.032004233,-10.83658218
-0.03218605,-10.85056114
-0.032375351,-10.85993862
-0.032607932,-10.86905384
-0.032782804,-10.88271046
-0.033020087,-10.89920139
-0.033222422,-10.90766239
-0.03344468,-10.91418076
-0.03366648,-10.9303875
-0.033838373,-10.94450665
-0.034044866,-10.9534626
-0.034286592,-10.96124935
-0.034480814,-10.97029591
-0.034686878,-10.98405075
-0.034893434,-10.99512768
-0.035118755,-11.00003147
-0.035281513,-11.00919247
-0.035492115,-11.01979065
-0.035694048,-11.03228855
-0.035885174,-11.04120064
-0.036117613,-11.05396271
-0.036281571,-11.05897331
-0.036500972,-11.07095051
-0.036690559,-11.07905388
-0.036872622,-11.08911991
-0.037075348,-11.10063362
-0.03729574,-11.11133766
-0.037468869,-11.12217045
-0.037654661,-11.12773991
-0.037867311,-11.13634396
-0.038043614,-11.14691257
-0.038240448,-11.15856171
-0.038440995,-11.16830063
-0.038665235,-11.17601204
-0.038831871,-11.18208122
-0.039030306,-11.19041634
-0.039279621,-11.20548248
-0.039427847,-11.21089554
-0.039634291,-11.21780968
-0.03981825,-11.22736454
-0.040017236,-11.23683643
-0.040204342,-11.24783516
-0.040403694,-11.25462437
-0.040581465,-11.26033497
-0.04079552,-11.27225685
-0.040943764,-11.28124332
-0.041156735,-11.28906918
-0.041338626,-11.29663181
-0.041560907,-11.30203056
-0.041724775,-11.30951977
-0.041913107,-11.32025719
-0.04210604,-11.32967186
-0.042308118,-11.34069633
-0.042496037,-11.34643364
-0.042682786,-11.35255337
-0.042871851,-11.36309147
-0.043056119,-11.37026787
-0.043242745,-11.37468719
-0.043434985,-11.38569546
-0.043647245,-11.39446735
-0.043816272,-11.40235233
-0.044000328,-11.40993977
-0.044184994,-11.41871262
