Elongation [mm],Triaxiality
0,0
0.006,0.92037
0.012,0.95379
0.018,1.00492
0.024,0.89072
0.03,0.83351
0.036,0.9039
0.042,0.94558
0.048,0.96722
0.054,0.96874
0.06,0.96053
0.066,0.95282
0.072,0.94637
0.078,0.9413
0.084,0.9375
0.09,0.93481
0.096,0.93308
0.102,0.93216
0.108,0.9319
0.114,0.93221
0.12,0.93298
0.126,0.93413
0.132,0.93559
0.138,0.93732
0.144,0.93926
0.15,0.94137
0.156,0.94362
0.162,0.94601
0.168,0.9485
0.174,0.95109
0.18,0.95373
0.186,0.95643
0.192,0.95915
0.198,0.9619
0.204,0.96466
0.21,0.96742
0.216,0.97018
0.222,0.97295
0.228,0.9757
0.234,0.97845
0.24,0.98119
0.246,0.98394
0.252,0.98667
0.258,0.98939
0.264,0.99212
0.27,0.99484
0.276,0.99756
0.282,1.00027
0.288,1.00299
0.294,1.00571
0.3,1.00843
0.306,1.01115
0.312,1.01388
0.318,1.01661
0.324,1.01934
0.33,1.02208
0.336,1.02482
0.342,1.02757
0.348,1.03032
0.354,1.03309
0.36,1.03586
0.366,1.03863
0.372,1.04142
0.378,1.04421
0.384,1.04701
0.39,1.04982
0.396,1.05264
0.402,1.05547
0.408,1.05832
0.414,1.06117
0.42,1.06403
0.426,1.06691
0.432,1.0698
0.438,1.07271
0.444,1.07563
0.45,1.07857
0.456,1.08152
0.462,1.08449
0.468,1.08748
0.474,1.09048
0.48,1.09351
0.486,1.09655
0.492,1.09962
0.498,1.1027
0.504,1.10581
0.51,1.10895
0.516,1.1121
0.522,1.11528
0.528,1.11848
0.534,1.12171
0.54,1.12496
0.546,1.12824
0.552,1.13154
0.558,1.13487
0.564,1.13823
0.57,1.14162
0.576,1.14503
0.582,1.14847
0.588,1.15193
0.594,1.15542
0.6,1.15895
0.594,1.18412
0.588,1.21521
0.582,1.25466
0.576,1.30485
0.57,1.35693
0.564,1.41727
0.558,1.52324
0.552,2.20373
0.546,2.20373
0.54,1.77854
0.534,0.4338
0.528,0.01979
0.522,-0.25428
0.516,-0.4405
0.51,-0.5702
0.504,-0.66241
0.498,-0.72839
0.492,-0.77147
0.486,-0.79842
0.48,-0.81668
0.474,-0.82948
0.468,-0.83873
0.462,-0.84638
0.456,-0.85397
0.45,-0.86162
0.444,-0.86924
0.438,-0.87673
0.432,-0.88407
0.426,-0.8912
0.42,-0.89809
0.414,-0.9047
0.408,-0.91103
0.402,-0.91706
0.396,-0.92278
0.39,-0.9282
0.384,-0.93332
0.378,-0.93814
0.372,-0.94267
0.366,-0.94693
0.36,-0.95093
0.354,-0.95468
0.348,-0.95818
0.342,-0.96145
0.336,-0.96448
0.33,-0.96729
0.324,-0.96988
0.318,-0.97227
0.312,-0.97445
0.306,-0.97645
0.3,-0.97827
0.294,-0.97991
0.288,-0.98139
0.282,-0.98272
0.276,-0.98391
0.27,-0.98495
0.264,-0.98586
0.258,-0.98664
0.252,-0.98731
0.246,-0.98787
0.24,-0.98833
0.234,-0.98868
0.228,-0.98894
0.222,-0.98911
0.216,-0.9892
0.21,-0.98922
0.204,-0.98915
0.198,-0.98902
0.192,-0.98882
0.186,-0.98855
0.18,-0.98823
0.174,-0.98785
0.168,-0.98742
0.162,-0.98694
0.156,-0.98641
0.15,-0.98584
0.144,-0.98522
0.138,-0.98457
0.132,-0.98387
0.126,-0.98314
0.12,-0.98238
0.114,-0.98159
0.108,-0.98077
0.102,-0.97992
0.096,-0.97904
0.09,-0.97814
0.084,-0.97722
0.078,-0.97628
0.072,-0.97531
0.066,-0.97433
0.06,-0.97333
0.054,-0.97231
0.048,-0.97128
0.042,-0.97024
0.036,-0.96918
0.03,-0.96811
0.024,-0.96702
0.018,-0.96593
0.012,-0.96483
0.006,-0.96371
0,-0.96259
0.006,-0.96185
0.012,-0.96115
0.018,-0.9605
0.024,-0.95767
0.03,-0.94042
0.036,-0.89866
0.042,-0.8074
0.048,-0.56392
0.054,1.35829
0.06,1.20088
0.066,0.92311
0.072,0.80998
0.078,0.72993
0.084,0.68945
0.09,0.77315
0.096,0.83729
0.102,0.88426
0.108,0.91359
0.114,0.93338
0.12,0.94767
0.126,0.95844
0.132,0.96678
0.138,0.97337
0.144,0.97871
0.15,0.98331
0.156,0.98765
0.162,0.99191
0.168,0.99604
0.174,1
0.18,1.00377
0.186,1.00731
0.192,1.01064
0.198,1.01374
0.204,1.01661
0.21,1.01929
0.216,1.02178
0.222,1.0241
0.228,1.02628
0.234,1.02833
0.24,1.03029
0.246,1.03216
0.252,1.03399
0.258,1.03578
0.264,1.03757
0.27,1.03937
0.276,1.04121
0.282,1.04309
0.288,1.04504
0.294,1.04708
0.3,1.04921
0.306,1.05145
0.312,1.0538
0.318,1.05628
0.324,1.05889
0.33,1.06163
0.336,1.06451
0.342,1.06754
0.348,1.0707
0.354,1.07401
0.36,1.07745
0.366,1.08103
0.372,1.08474
0.378,1.08858
0.384,1.09253
0.39,1.09659
0.396,1.10076
0.402,1.10503
0.408,1.10938
0.414,1.11381
0.42,1.11832
0.426,1.12288
0.432,1.1275
0.438,1.13216
0.444,1.13686
0.45,1.14159
0.456,1.14633
0.462,1.15109
0.468,1.15585
0.474,1.16061
0.48,1.16535
0.486,1.17009
0.492,1.1748
0.498,1.17949
0.504,1.18415
0.51,1.18878
0.516,1.19337
0.522,1.19793
0.528,1.20245
0.534,1.20689
0.54,1.21135
0.546,1.21574
0.552,1.22009
0.558,1.22439
0.564,1.22864
0.57,1.23285
0.576,1.23702
0.582,1.24114
0.588,1.24522
0.594,1.24925
0.6,1.25325
0.594,1.28313
0.588,1.31964
0.582,1.36533
0.576,1.4207
0.57,1.47672
0.564,1.54148
0.558,1.64676
0.552,2.25442
0.546,2.25442
0.54,2.09684
0.534,0.43853
0.528,-0.01206
0.522,-0.30668
0.516,-0.50725
0.51,-0.64669
0.504,-0.74586
0.498,-0.8181
0.492,-0.87194
0.486,-0.91298
0.48,-0.94477
0.474,-0.9695
0.468,-0.98751
0.462,-0.99839
0.456,-1.00449
0.45,-1.00765
0.444,-1.00912
0.438,-1.01069
0.432,-1.01274
0.426,-1.01518
0.42,-1.01789
0.414,-1.02078
0.408,-1.02376
0.402,-1.02678
0.396,-1.02977
0.39,-1.03271
0.384,-1.03557
0.378,-1.03832
0.372,-1.04095
0.366,-1.04342
0.36,-1.04576
0.354,-1.04796
0.348,-1.05001
0.342,-1.05191
0.336,-1.05367
0.33,-1.0553
0.324,-1.05681
0.318,-1.05816
0.312,-1.05941
0.306,-1.06054
0.3,-1.06154
0.294,-1.06244
0.288,-1.06325
0.282,-1.06395
0.276,-1.06453
0.27,-1.06502
0.264,-1.0654
0.258,-1.06568
0.252,-1.06586
0.246,-1.06593
0.24,-1.06591
0.234,-1.06578
0.228,-1.06556
0.222,-1.06524
0.216,-1.06484
0.21,-1.06434
0.204,-1.06378
0.198,-1.06311
0.192,-1.0624
0.186,-1.0616
0.18,-1.06073
0.174,-1.05981
0.168,-1.05882
0.162,-1.05779
0.156,-1.0567
0.15,-1.05556
0.144,-1.05437
0.138,-1.05315
0.132,-1.05188
0.126,-1.05058
0.12,-1.04924
0.114,-1.04788
0.108,-1.04648
0.102,-1.04505
0.096,-1.0436
0.09,-1.04213
0.084,-1.04064
0.078,-1.03912
0.072,-1.03759
0.066,-1.03604
0.06,-1.03448
0.054,-1.03291
0.048,-1.03132
0.042,-1.02972
0.036,-1.02811
0.03,-1.0265
0.024,-1.02488
0.018,-1.02326
0.012,-1.02163
0.006,-1.01999
0,-1.01835
0.006,-1.0204
0.012,-1.02319
0.018,-1.02701
0.024,-1.02908
0.03,-1.01977
0.036,-0.99389
0.042,-0.94003
0.048,-0.8239
0.054,-0.74406
0.06,0.91293
0.066,0.78219
0.072,0.72644
0.078,0.6764
0.084,0.66415
0.09,0.76806
0.096,0.84736
0.102,0.90796
0.108,0.95424
0.114,0.98913
0.12,1.01274
0.126,1.02617
0.132,1.03401
0.138,1.03836
0.144,1.04033
0.15,1.0408
0.156,1.0408
0.162,1.04131
0.168,1.04234
0.174,1.04381
0.18,1.04562
0.186,1.0477
0.192,1.04995
0.198,1.05234
0.204,1.05479
0.21,1.0573
0.216,1.05983
0.222,1.06237
0.228,1.06493
0.234,1.06749
0.24,1.0701
0.246,1.07273
0.252,1.0754
0.258,1.07814
0.264,1.08094
0.27,1.08383
0.276,1.0868
0.282,1.08988
0.288,1.09306
0.294,1.09636
0.3,1.09977
0.306,1.10331
0.312,1.10696
0.318,1.11074
0.324,1.11463
0.33,1.11863
0.336,1.12275
0.342,1.12697
0.348,1.13128
0.354,1.13568
0.36,1.14016
0.366,1.14471
0.372,1.14932
0.378,1.15397
0.384,1.15867
0.39,1.1634
0.396,1.16815
0.402,1.17291
0.408,1.17767
0.414,1.18243
0.42,1.18716
0.426,1.19188
0.432,1.19656
0.438,1.20121
0.444,1.20581
0.45,1.21037
0.456,1.21487
0.462,1.21932
0.468,1.22372
0.474,1.22805
0.48,1.23232
0.486,1.23653
0.492,1.24067
0.498,1.24475
0.504,1.24874
0.51,1.25273
0.516,1.25662
0.522,1.26045
0.528,1.26422
0.534,1.26794
0.54,1.27159
0.546,1.2752
0.552,1.27875
0.558,1.28225
0.564,1.2857
0.57,1.2891
0.576,1.29247
0.582,1.29578
0.588,1.29906
0.594,1.3023
0.6,1.3055
0.594,1.33692
0.588,1.37519
0.582,1.42292
0.576,1.47822
0.57,1.53294
0.564,1.59683
0.558,1.7304
0.552,2.57485
0.546,2.57485
0.54,1.7543
0.534,0.40696
0.528,-0.0457
0.522,-0.34589
0.516,-0.54885
0.51,-0.68932
0.504,-0.78903
0.498,-0.86174
0.492,-0.91627
0.486,-0.95835
0.48,-0.99175
0.474,-1.0188
0.468,-1.04126
0.462,-1.06021
0.456,-1.07627
0.45,-1.08953
0.444,-1.09978
0.438,-1.10611
0.432,-1.10945
0.426,-1.11098
0.42,-1.11211
0.414,-1.1135
0.408,-1.11509
0.402,-1.11674
0.396,-1.11844
0.39,-1.12012
0.384,-1.12171
0.378,-1.12319
0.372,-1.12454
0.366,-1.12574
0.36,-1.12677
0.354,-1.12762
0.348,-1.1283
0.342,-1.1288
0.336,-1.12913
0.33,-1.12929
0.324,-1.12929
0.318,-1.12913
0.312,-1.12882
0.306,-1.12837
0.3,-1.12779
0.294,-1.12708
0.288,-1.12625
0.282,-1.12532
0.276,-1.12429
0.27,-1.12316
0.264,-1.12196
0.258,-1.12068
0.252,-1.11934
0.246,-1.11795
0.24,-1.1165
0.234,-1.11501
0.228,-1.11347
0.222,-1.11191
0.216,-1.11031
0.21,-1.10869
0.204,-1.10706
0.198,-1.10541
0.192,-1.10375
0.186,-1.10209
0.18,-1.10041
0.174,-1.09874
0.168,-1.09708
0.162,-1.0954
0.156,-1.09375
0.15,-1.09208
0.144,-1.09042
0.138,-1.08876
0.132,-1.0871
0.126,-1.08543
0.12,-1.08377
0.114,-1.08209
0.108,-1.08041
0.102,-1.07871
0.096,-1.07702
0.09,-1.0753
0.084,-1.07358
0.078,-1.07184
0.072,-1.0701
0.066,-1.06834
0.06,-1.06658
0.054,-1.06481
0.048,-1.06304
0.042,-1.06125
0.036,-1.05947
0.03,-1.05768
0.024,-1.05588
0.018,-1.05408
0.012,-1.05228
0.006,-1.05048
0,-1.04868
0.006,-1.05026
0.012,-1.05245
0.018,-1.05548
0.024,-1.0552
0.03,-1.04348
0.036,-1.01597
0.042,-0.96324
0.048,-0.8702
0.054,-0.89333
0.06,0.17095
0.066,0.68597
0.072,0.67491
0.078,0.64151
0.084,0.67636
0.09,0.7941
0.096,0.88273
0.102,0.94955
0.108,1.00003
0.114,1.03819
0.12,1.0669
0.126,1.08803
0.132,1.10192
0.138,1.10843
0.144,1.11022
0.15,1.10914
0.156,1.10617
0.162,1.10266
0.168,1.10003
0.174,1.09824
0.18,1.09722
0.186,1.0969
0.192,1.09718
0.198,1.09798
0.204,1.09925
0.21,1.10091
0.216,1.10292
0.222,1.10524
0.228,1.10784
0.234,1.11067
0.24,1.11371
0.246,1.11692
0.252,1.12033
0.258,1.12386
0.264,1.12756
0.27,1.13138
0.276,1.13532
0.282,1.13937
0.288,1.14353
0.294,1.14778
0.3,1.15213
0.306,1.15656
0.312,1.16106
0.318,1.16563
0.324,1.17025
0.33,1.17492
0.336,1.17962
0.342,1.18435
0.348,1.1891
0.354,1.19385
0.36,1.1986
0.366,1.20333
0.372,1.20803
0.378,1.2127
0.384,1.21733
0.39,1.22191
0.396,1.22644
0.402,1.2309
0.408,1.23529
0.414,1.23962
0.42,1.24386
0.426,1.24803
0.432,1.25212
0.438,1.25613
0.444,1.26005
0.45,1.2639
0.456,1.26766
0.462,1.27135
0.468,1.27495
0.474,1.27848
0.48,1.28194
0.486,1.28528
0.492,1.28864
0.498,1.29188
0.504,1.29507
0.51,1.29819
0.516,1.30126
0.522,1.30427
0.528,1.30724
0.534,1.31015
0.54,1.31302
0.546,1.31584
0.552,1.31863
0.558,1.32138
0.564,1.3241
0.57,1.32678
0.576,1.32944
0.582,1.33206
0.588,1.33466
0.594,1.33724
0.6,1.3398
0.594,1.37102
0.588,1.40898
0.582,1.45622
0.576,1.50791
0.57,1.55778
0.564,1.61625
0.558,1.79526
0.552,2.90733
0.546,2.90733
0.54,1.41351
0.534,0.35571
0.528,-0.09442
0.522,-0.3895
0.516,-0.58751
0.51,-0.72401
0.504,-0.8209
0.498,-0.89179
0.492,-0.94531
0.486,-0.98701
0.48,-1.0205
0.474,-1.04816
0.468,-1.07157
0.462,-1.0918
0.456,-1.10954
0.45,-1.12528
0.444,-1.13923
0.438,-1.15164
0.432,-1.16232
0.426,-1.17105
0.42,-1.17745
0.414,-1.18097
0.408,-1.18278
0.402,-1.18389
0.396,-1.18492
0.39,-1.18588
0.384,-1.18673
0.378,-1.18744
0.372,-1.188
0.366,-1.18837
0.36,-1.18855
0.354,-1.18854
0.348,-1.18834
0.342,-1.18792
0.336,-1.18732
0.33,-1.18654
0.324,-1.18559
0.318,-1.18447
0.312,-1.1832
0.306,-1.18178
0.3,-1.18023
0.294,-1.17857
0.288,-1.17679
0.282,-1.17491
0.276,-1.17294
0.27,-1.17088
0.264,-1.16875
0.258,-1.16655
0.252,-1.1643
0.246,-1.16198
0.24,-1.15963
0.234,-1.15724
0.228,-1.15481
0.222,-1.15235
0.216,-1.14986
0.21,-1.14736
0.204,-1.14484
0.198,-1.14231
0.192,-1.13977
0.186,-1.13722
0.18,-1.13469
0.174,-1.13214
0.168,-1.12961
0.162,-1.12708
0.156,-1.12456
0.15,-1.12207
0.144,-1.11956
0.138,-1.11708
0.132,-1.11462
0.126,-1.11217
0.12,-1.10974
0.114,-1.10734
0.108,-1.10495
0.102,-1.10259
0.096,-1.10025
0.09,-1.09794
0.084,-1.09564
0.078,-1.09338
0.072,-1.09115
0.066,-1.08895
0.06,-1.08677
0.054,-1.08462
0.048,-1.08249
0.042,-1.0804
0.036,-1.07833
0.03,-1.0763
0.024,-1.07429
0.018,-1.0723
0.012,-1.07034
0.006,-1.06841
0,-1.0665
0.006,-1.06603
0.012,-1.06571
0.018,-1.06547
0.024,-1.0598
0.03,-1.04182
0.036,-1.00704
0.042,-0.94566
0.048,-0.85854
0.054,-0.86739
0.06,-1.28179
0.066,0.6846
0.072,0.6761
0.078,0.64134
0.084,0.70279
0.09,0.83049
0.096,0.92523
0.102,0.99562
0.108,1.04802
0.114,1.08706
0.12,1.11615
0.126,1.13769
0.132,1.15339
0.138,1.16424
0.144,1.17018
0.15,1.17089
0.156,1.16839
0.162,1.1639
0.168,1.15878
0.174,1.15474
0.18,1.15176
0.186,1.14972
0.192,1.14852
0.198,1.14806
0.204,1.14825
0.21,1.14904
0.216,1.15034
0.222,1.15211
0.228,1.15427
0.234,1.15681
0.24,1.15968
0.246,1.16282
0.252,1.16624
0.258,1.16987
0.264,1.17369
0.27,1.17772
0.276,1.18187
0.282,1.18618
0.288,1.1906
