column_name,description,symbol,unit,type,example_value,nullable,group
id,Unique identifier for the record,`id`,-,String,Equals: experimental_program (with underscores)+'\_'+date+'\_'+specimen_designation / Example: Engelhardt_et_al_2000_DBBWWPZ,False,Experimental program details
investigator,Name(s) of the investigators,,-,String,Engelhardt & Popov,False,Experimental program details
year,Year of the study or experiment,,-,SmallInteger,1989,False,Experimental program details
spec_id,Specimen identifier,,-,String,A1,False,Experimental program details
profile,"Profile designation (e.g., steel section)",,-,String,W12x16,False,Steel profile
region,Geographical region or country code,,-,String,USA,False,Experimental program details
sec_type,"Section type (e.g., hot-rolled)",,-,String,hot-rolled,False,Steel profile
sg_flg_link,Steel grade flag from flag source,,-,String,A36,False,Material properties
sg_web_link,Steel grade from web source,,-,String,A36,False,Material properties
f_y_n_flg,Flag value for nominal yield strength,,MPa,DecimalFloat,250,False,Material properties
f_y_n_web,Web-sourced nominal yield strength,,MPa,DecimalFloat,250,False,Material properties
f_u_n_flg,Flag value for nominal ultimate strength,,MPa,DecimalFloat,400,False,Material properties
f_u_n_web,Web-sourced nominal ultimate strength,,MPa,DecimalFloat,400,False,Material properties
e_n_flg,Flag value for elastic modulus (nominal),,MPa,Integer,205000,False,Material properties
e_n_web,Web-sourced elastic modulus (nominal),,MPa,Integer,205000,False,Material properties
f_y_m_flg,Flag value for measured yield strength,,MPa,DecimalFloat,317,True,Material properties
f_y_m_web,Web-sourced measured yield strength,,MPa,DecimalFloat,365,True,Material properties
f_y_exp_l_flg,Flag value for lower expected yield strength,,MPa,DecimalFloat,375,True,Material properties
f_y_exp_l_web,Web-sourced lower expected yield strength,,MPa,DecimalFloat,375.00,True,Material properties
f_u_m_flg,Flag value for measured ultimate strength,,MPa,DecimalFloat,420.60,True,Material properties
f_u_m_web,Web-sourced measured ultimate strength,,MPa,DecimalFloat,448.20,True,Material properties
f_u_exp_l_flg,Flag value for lower expected ultimate strength,,MPa,DecimalFloat,480.0,True,Material properties
f_u_exp_l_web,Web-sourced lower expected ultimate strength,,MPa,DecimalFloat,480.0,True,Material properties
e_m_flg,"Flag for measured elastic modulus (if available, 'NR' if not)",,MPa,DecimalFloat,197340,True,Material properties
e_m_web,"Web-sourced measured elastic modulus (if available, 'NR' if not)",,MPa,DecimalFloat,197685,True,Material properties
r_y_flg,Flag value for lower yield ratio,,mm,DecimalFloat,1.5,True,Material properties
r_y_web,Web-sourced lower yield ratio,,-,DecimalFloat,1.5,True,Material properties
r_t_flg,Flag value for lower target ratio,,-,DecimalFloat,1.2,True,Material properties
r_t_web,Web-sourced lower target ratio,,-,DecimalFloat,1.2,True,Material properties
f_u_f_y_n_flg,Flag value for ultimate-to-nominal yield strength ratio,,-,DecimalFloat,1.6,True,Material properties
f_u_f_y_n_web,Web-sourced ultimate-to-nominal yield strength ratio,,-,DecimalFloat,1.6,True,Material properties
f_u_f_y_m_flg,Flag value for ultimate-to-measured yield strength ratio,,-,DecimalFloat,1.325977301,True,Material properties
f_u_f_y_m_web,Web-sourced ultimate-to-measured yield strength ratio,,-,DecimalFloat,1.226600985,True,Material properties
h_n,Nominal height of the section,,mm,DecimalFloat,304.5,False,Section properties
tw_n,Nominal web thickness,,mm,DecimalFloat,5.6,False,Section properties
bf_n,Nominal flange width,,mm,DecimalFloat,101.4,False,Section properties
tf_n,Nominal flange thickness,,mm,DecimalFloat,6.7,False,Section properties
tf_add_n,Nominal additional flange thickness,,mm,DecimalFloat,12,True,Section properties
r_n,Nominal radius,,mm,DecimalFloat,8,True,Section properties
h_m,Measured height of the section,,mm,DecimalFloat,302.0,True,Section properties
tw_m,Measured web thickness,,mm,DecimalFloat,5.5,True,Section properties
bf_m,Measured flange width,,mm,DecimalFloat,101.3,True,Section properties
tf_m,Measured flange thickness,,mm,DecimalFloat,6.5,True,Section properties
tf_add_m,Measured additional flange thickness,,mm,DecimalFloat,12,True,Section properties
hw_n,Nominal head width,,mm,DecimalFloat,275.1,False,Section properties
hw_m,Measured head width,,mm,DecimalFloat,273.052,True,Section properties
a_fil_n,Nominal fillet area,,mm²,DecimalFloat,13.73451754,True,Section properties
af_n,Nominal flange area,,mm²,DecimalFloat,679.38,False,Section properties
aw_n,Nominal web area,,mm²,DecimalFloat,1630.16,False,Section properties
a_n,Nominal total cross-sectional area,,mm²,DecimalFloat,3043.85807,False,Section properties
af_m,Measured flange area,,mm²,DecimalFloat,656.418042,True,Section properties
aw_m,Measured web area,,mm²,DecimalFloat,1593.196814,True,Section properties
a_m,Measured total cross-sectional area,,mm²,DecimalFloat,2960.970968,True,Section properties
zp_fil_n,Nominal plastic section modulus of fillet,,mm³,DecimalFloat,7898.064885,True,Section properties
zp_n,Nominal plastic section modulus,,mm³,DecimalFloat,328852.3229,True,Section properties
