data_ind,gamma_t,V
0,0.0,0.0
1,0.0018,70.440739776
2,0.0025,107.377348736
3,0.003,131.231489636
4,0.0023,72.818314666
5,0.0013,22.677264116
6,9.999999999999999e-05,-3.687971844
7,-0.00039999999999999996,-26.146963214
8,-0.001,-58.927922874000004
9,-0.002,-110.510881864
10,-0.0011,-58.773376414000005
11,-0.0005,-25.702687354
12,0.00020000000000000004,2.617477836
13,0.0014,35.761892335999995
14,0.0023,86.909290216
15,0.0031,128.886374636
16,0.0021999999999999997,67.787779126
17,0.0013,25.565875426
18,0.0004,2.5189520159999996
19,-0.00030000000000000003,-19.896629184
20,-0.0011,-63.125163664
21,-0.0022,-121.442887164
22,-0.0014,-72.144012764
23,-0.0006000000000000001,-25.853096003999998
24,0.00020000000000000004,2.242638983
25,0.0013,32.159287166
26,0.0021000000000000003,76.069820526
27,0.0033,137.868221436
28,0.0025,85.135110466
29,0.0016,40.763584175999995
30,0.0005,2.690674337
31,-0.00030000000000000003,-20.447510943999998
32,-0.0011,-63.517160234
33,-0.0021,-118.455476764
34,-0.0013,-64.664343484
35,-0.0006000000000000001,-25.912726153999998
36,0.00030000000000000003,2.9316434759999996
37,0.0016,45.264001436
38,0.0024000000000000002,89.38335888600001
39,0.0033,137.03577613599998
40,0.004,175.248655636
41,0.0048000000000000004,209.676831236
42,0.0054,235.70670173599999
43,0.004699999999999999,172.297730036
44,0.0033,96.524939496
45,0.0021000000000000003,36.742014145999995
46,0.0005,-11.939670554000001
47,-0.0006000000000000001,-61.986539374
48,-0.0013,-102.867265964
49,-0.0023,-160.50203256400002
50,-0.0033,-216.977869964
51,-0.0036999999999999997,-235.330976564
52,-0.004200000000000001,-253.975985064
53,-0.004399999999999999,-261.71160056400004
54,-0.0029,-158.897084264
55,-0.0015999999999999999,-87.58152139399999
56,-0.0006999999999999999,-39.423431184
57,0.00020000000000000004,-0.632005938
58,0.002,60.103596726
59,0.0029,110.678824436
60,0.0039,162.015567936
61,0.005299999999999999,241.06006533599998
62,0.0054,247.957169336
63,0.0040999999999999995,155.552045636
64,0.0032,111.38838513600001
65,0.002,49.228597875999995
66,0.0007999999999999999,2.68253598
67,-0.0007999999999999999,-57.036231274
68,-0.0018,-109.71630806399999
69,-0.0026,-162.933498364
70,-0.0035,-216.939758864
71,-0.0045000000000000005,-269.014099564
72,-0.0035,-188.594087664
73,-0.0022,-115.001784964
74,-0.0012,-61.732750784000004
75,9.999999999999999e-05,-0.276510453
76,0.0019,59.564176505999995
77,0.0031,120.405309336
78,0.004,169.14296803599998
79,0.0054,251.917326336
80,0.0045000000000000005,178.208022236
81,0.0031,107.366489336
82,0.0021000000000000003,51.238965326
83,0.00030000000000000003,-5.4417681490000005
84,-0.0007999999999999999,-56.988379294000005
85,-0.002,-120.554920864
86,-0.003,-178.562221064
87,-0.0045000000000000005,-265.063312864
88,-0.0031,-169.775835664
89,-0.0021,-112.391237764
90,-0.0009,-44.768833314000005
91,0.00030000000000000003,2.638695677
92,0.002,60.626419256
93,0.003,116.98156233600001
94,0.004,169.945974636
95,0.0051,225.587082236
96,0.0060999999999999995,273.952611736
97,0.0094,308.37224143599997
98,0.0106,309.600682136
99,0.0106,304.388041336
100,0.0099,245.242188236
101,0.0082,158.729643136
102,0.0069,81.98113241600001
103,0.004999999999999999,2.574135132
104,0.0036,-52.586148204000004
105,0.0026,-101.478858764
106,0.0012000000000000001,-157.511795164
107,-9.999999999999994e-05,-213.149729564
108,-0.0013,-254.165424264
109,-0.0029,-294.628404364
110,-0.004399999999999999,-313.709495264
111,-0.006,-320.72033426400003
112,-0.007599999999999999,-323.948424664
113,-0.009099999999999999,-326.536602964
114,-0.0096,-327.683184464
115,-0.0097,-323.32193976400004
116,-0.0083,-234.48522466400001
117,-0.0068000000000000005,-152.49300836400002
118,-0.0054,-72.672061974
119,-0.0036000000000000003,3.00516806
120,-0.002,55.888023065999995
121,-0.0006999999999999999,111.221978636
122,0.0004,154.09577663599998
123,0.0019,205.127170836
124,0.0036,245.35646733599998
125,0.0052,275.577691836
126,0.006699999999999999,293.468625836
127,0.0085,305.784677836
128,0.0102,311.077292536
129,0.0111,313.485327536
130,0.0112,309.384339436
131,0.0106,262.742542536
132,0.0091,188.804009536
133,0.0074,93.08534401600001
134,0.0052,2.6109396179999997
135,0.0037,-58.361253674000004
136,0.0027,-104.57451686399999
137,0.0010999999999999998,-163.614012264
138,-0.00030000000000000003,-211.44765386400002
139,-0.0021,-257.691409164
140,-0.0029,-275.288431564
141,-0.0039000000000000003,-292.388249364
142,-0.004999999999999999,-304.87601596400003
143,-0.0063,-317.020004364
