rotation (rad),moment (kN.m)
0.000000,0.000000
0.006385,116.091644
0.012303,223.695983
0.017322,268.775005
0.021074,270.597292
0.023286,271.579186
0.023795,271.632491
0.022565,249.261470
0.019685,196.896103
0.015366,118.364752
0.009923,19.408739
0.003755,-92.737395
-0.002688,-209.874795
-0.008934,-261.954927
-0.014527,-264.781162
-0.019058,-267.028112
-0.022195,-268.515096
-0.023710,-269.116994
-0.023492,-265.145539
-0.021556,-229.947724
-0.018044,-166.096814
-0.013213,-78.260864
-0.007416,27.138557
-0.001077,142.395839
0.005341,257.526179
0.011368,260.589401
0.016565,263.199283
0.020550,265.148610
0.023033,266.278459
0.023832,266.489817
0.022889,249.338731
0.020272,201.763140
0.016173,127.241233
0.010892,31.221206
0.004815,-79.277045
-0.001615,-196.175140
-0.007926,-256.242754
-0.013658,-259.144771
-0.018391,-261.502142
-0.021780,-263.126114
-0.023577,-263.881550
-0.023649,-263.696811
-0.021993,-233.584889
-0.018729,-174.238443
-0.014096,-89.996212
-0.008432,12.982966
-0.002152,127.170422
0.008572,254.125875
0.020820,260.582452
0.031547,266.208767
0.039967,270.577077
0.045465,273.351612
0.047639,274.313117
0.046331,250.520890
0.041635,165.143649
0.033895,24.423210
0.023678,-161.352544
0.011729,-240.808143
-0.001077,-247.568881
-0.013805,-254.286661
-0.025523,-260.453946
-0.035375,-265.603444
-0.042641,-269.342270
-0.046790,-271.380676
-0.047518,-271.553226
-0.044772,-221.624201
-0.038752,-112.182719
-0.029900,48.770099
-0.018861,234.448610
-0.006444,240.997210
0.006444,247.802790
0.018861,254.351390
0.029900,260.147843
0.038752,264.751967
0.044772,267.810751
0.047518,269.084162
0.046790,255.850486
0.042641,180.421606
0.035375,48.312027
0.025523,-130.819899
0.013805,-234.513339
0.001077,-241.231119
-0.011729,-247.991857
-0.023678,-254.284874
-0.033895,-259.633686
-0.041635,-263.630839
-0.046331,-265.967696
-0.047639,-266.457002
-0.045465,-226.924798
-0.039967,-126.958309
-0.031547,26.134050
-0.020820,221.159899
-0.008572,234.674125
0.006455,242.646195
0.025296,252.698606
0.042288,261.742271
0.056188,269.099612
0.065980,274.216331
0.070948,276.701944
0.070730,272.729813
0.065340,174.740180
0.055174,-10.103062
0.040974,-214.755616
0.023778,-223.910588
0.004844,-234.013779
-0.014444,-244.310147
-0.032676,-254.030529
-0.048519,-262.447871
-0.060816,-268.930382
-0.068666,-272.987725
-0.071495,-274.306862
-0.069098,-230.724931
-0.061650,-95.294024
-0.049694,122.084684
-0.034105,215.808775
-0.016023,225.447363
0.003231,235.724898
0.022248,245.873593
0.039639,255.135080
0.054132,262.815855
0.064668,268.337977
0.070475,271.281320
0.071131,271.414290
0.066586,188.778532
0.057173,17.634042
0.043580,-208.171623
0.026801,-217.099248
0.008063,-227.095629
-0.011265,-237.413535
-0.029769,-247.282227
-0.046097,-255.963807
-0.059054,-262.807169
-0.067695,-267.295591
-0.071386,-269.084523
-0.069858,-241.308001
-0.063223,-120.672600
-0.051966,84.002188
-0.036910,209.116282
-0.019155,218.576212
-0.000000,228.800000
