rotation (rad),moment (kN.m)
0.000713233,1.1153846368
0.017954612,170.2820513576
0.000927649,2.3547007736
-0.015234633,-155.038461592
0.000714013,1.7350427864
0.017956952,172.141025644
0.019243447,179.5769231144
0.021168512,187.0128205848
0.022224218,180.196581264
0.021356419,167.1837606096
0.006248283,1.7350427864
0.001520996,-33.5854701168
-0.014380868,-153.1794871432
-0.017587751,-164.3333333488
-0.020358004,-166.8119657848
-0.020559166,-157.517094028
-0.00460818,1.1153846368
0.017108644,174.61965808
0.022667085,193.8290599056
0.027787337,203.1239316624
0.027777201,195.0683760424
0.027534716,171.5213674944
0.025809252,153.5512821304
0.011143983,1.7350427864
0.007060724,-29.247863232
-0.001311633,-85.6367520848
-0.010533077,-140.1666666512
-0.018025159,-173.6282051056
-0.02294425,-192.2179487816
-0.027210737,-199.6538460896
-0.028473842,-188.5000000464
-0.027166295,-164.3333333488
-0.024573811,-133.97008548
-0.020052364,-93.0726495552
-0.017031049,-60.2307692504
-0.01014167,1.7350427864
-0.003069064,40.1538461128
0.003600441,96.5427349656
0.011540847,147.9743589464
0.014964485,162.2264957376
0.019879678,177.7179486656
0.025003828,190.1111111704
0.030975507,199.4059829272
0.035448613,201.8846153632
0.035861071,191.3504273072
0.03392431,174.61965808
0.033050273,156.649572716
0.031538446,139.2991453392
0.030237136,120.0897435136
0.026999066,84.1495726232
0.023329045,43.2521366984
0.019882017,10.4102563936
0.017956952,2.9743589232
0.008721473,-62.7094016864
0.000998601,-110.423076932
-0.008202571,-148.8418804208
-0.011197376,-160.6153846136
-0.013554392,-173.008546956
-0.021232042,-184.7820513112
-0.029757998,-194.076923068
-0.036149152,-198.4145299528
-0.037420834,-194.076923068
-0.035052902,-173.008546956
-0.031607433,-141.4059829504
-0.02901339,-109.8034187824
-0.025553107,-66.4273504216
-0.021034779,-28.0085469328
-0.018021261,-1.3632477992
-0.009867218,50.6880341688
-0.004718117,82.9102564864
0.000649298,119.4700855264
0.006215536,144.8760683608
0.009849691,157.2692307032
0.012632419,169.662393208
0.021380589,186.3931624352
0.028411872,191.9700854568
0.034158998,191.9700854568
0.041400799,195.688034192
0.04565637,194.4487178928
0.044145323,177.7179486656
0.041339983,147.3547007968
0.038942423,102.7393162992
0.036364753,84.1495726232
0.032477978,40.1538461128
0.027746793,1.7350427864
0.013801961,-85.0170940976
0.00181728,-136.448717916
-0.001816095,-148.2222222712
-0.008432581,-162.4743589
-0.019311655,-181.064102576
-0.02676943,-187.2606837472
-0.039125245,-195.3162393672
-0.044870033,-193.4572649184
-0.044629887,-171.7692308192
-0.041828445,-144.504273536
-0.037519075,-102.9871794616
-0.031057749,-42.8803418736
-0.026961235,-1.3632477992
-0.018386937,46.350427284
-0.012166536,84.1495726232
-0.006594062,114.512820492
0.002601653,148.594017096
0.011349822,165.3247863232
0.020304611,177.0982906784
0.032233154,183.9145298368
0.041815596,187.0128205848
0.049697525,191.9700854568
0.053099331,188.8717948712
0.053723867,177.7179486656
0.051132943,148.594017096
0.048740061,107.6965811712
0.046363553,79.8119657384
0.042915745,46.350427284
0.040331058,22.1837607488
0.037321438,-1.3632477992
0.031749743,-31.1068376808
0.022104925,-83.7777777984
0.014179333,-123.435897424
0.006915701,-144.504273536
-0.001614934,-157.517094028
-0.004601163,-162.4743589
-0.018884382,-179.8247862768
-0.029110852,-187.2606837472
-0.044438082,-188.5000000464
-0.055080129,-187.8803418968
-0.054421288,-171.7692308192
-0.051402311,-140.7863248008
-0.04880359,-105.4658118976
-0.043206945,-55.8931623656
-0.039757577,-21.192307612
-0.034189781,5.4529915216
-0.027754184,45.1111111472
-0.02067456,89.1068376576
-0.015101306,120.0897435136
-0.007627156,139.2991453392
-0.002071055,156.649572716
0.00773516,168.4230769088
0.019880457,178.3376068152
