rotation (rad),moment (kN.m)
0.001453132,1.18041725344538
0.01519371,123.097868767059
0.001666179,2.18385296773109
-0.013567561,-127.761085170756
0.001032549,2.18385296773109
0.015406757,124.101304611429
0.016674934,124.603022598655
0.004411907,2.18385296773109
-0.012505083,-124.249059780504
-0.015035928,-122.242188091765
-0.000872931,-0.324736448067227
0.014355299,126.609894157311
0.016684117,129.62020169042
0.020283867,134.637380652101
0.021552045,135.139098639328
0.021319714,123.599586754286
0.019177311,107.042895777479
0.017883421,92.4930764894118
0.016160684,74.4312318110924
0.014001752,48.8436184951261
0.010146713,19.7439797889076
0.00757179,-2.33160813680672
0.004154782,-22.9020423610084
0.000311681,-45.4793482739496
-0.001828885,-61.0326034063866
-0.004817963,-78.592730097479
-0.007809797,-97.6580106201681
-0.011216703,-112.709547895462
-0.014210373,-132.778264132437
-0.015916581,-141.809186471597
-0.019935997,-145.321211861849
-0.022246449,-138.297161211429
-0.020531057,-124.249059780504
-0.018809238,-106.688932959328
-0.016016677,-81.1013196433614
-0.013212177,-48.9913735341177
-0.011069775,-32.4346825573109
-0.007634401,-1.82989027966387
-0.006132974,10.7130574497479
-0.001657162,32.7886453754622
0.00070196,52.3556437552941
0.003050981,66.4037451862185
0.005186037,78.9466929156303
0.007117229,95.503383892437
0.010735346,110.554921167731
0.01328823,120.589279351261
0.019236083,139.152841886723
0.022838588,145.67517468
0.02897102,149.688917927395
0.029379665,142.163149289748
0.027855281,117.077253961008
0.025492486,95.503383892437
0.023764238,74.4312318110924
0.021198498,57.3728228470588
0.018829274,32.2869275183193
0.015407675,9.20790374823529
0.012619705,-13.8711200218487
0.008142975,-36.4484259347899
0.00451292,-58.0222958732773
0.002797529,-72.0703973042017
-0.001883065,-90.6339599697479
-0.005288135,-104.682061400672
-0.008698715,-121.740470234622
-0.012092765,-129.767956729412
-0.016336246,-140.304032770084
-0.019724787,-145.321211861849
-0.026707568,-152.345262642353
-0.030088762,-153.348698356639
-0.030915235,-143.314340303193
-0.028771914,-126.25593133916
-0.026409119,-104.682061400672
-0.023837869,-84.6133450336135
-0.022104112,-60.5308854191597
-0.018674247,-32.9364005445378
-0.016098406,-10.3590946315966
-0.013107491,8.20446790386555
-0.0094756,30.7817738168067
-0.005210997,52.857361742521
-0.00158278,73.4277959667227
0.002681823,95.503383892437
0.008208174,114.568664415126
0.012667457,127.613330001681
0.018169932,133.633944937815
0.022618195,140.657995588235
0.026849738,144.67173883563
0.034033628,146.176892537143
0.03867198,141.661431432605
0.03928908,132.630509093445
0.03757277,118.080689805378
0.035646169,104.032588374454
0.034150253,94.4999480480673
0.032849016,75.9363855126051
0.031560636,64.396873627563
0.030701104,56.3693871327731
0.028987549,43.3247214161345
0.026423646,27.2697484265546
0.025558604,16.2319543986555
0.023417119,0.17698140907563
0.020222341,-14.3728378789916
0.015749284,-34.9432721031933
0.012745512,-60.5308854191597
0.008911595,-78.0910122403362
0.003172197,-98.159728607395
0.00018771,-113.211265752605
-0.007866732,-128.764520885042
-0.012948624,-135.788571665546
-0.023742365,-147.829801407731
-0.030704944,-143.816058160336
-0.035337786,-136.290289522689
-0.041662143,-129.767956729412
-0.040798938,-119.733598545882
-0.039299348,-108.19408666084
-0.038216668,-93.6442673727731
-0.034786803,-66.0497824981513
-0.03263981,-46.9845019754622
-0.030711372,-31.9329647001681
-0.02792432,-9.35565878722689
-0.026212602,2.68557095495798
-0.021743218,21.2491334904202
-0.017692581,41.8195677146219
-0.01534907,52.857361742521
-0.012785166,68.9123347321008
-0.007894281,86.9741794104202
-0.003010742,101.022280841345
0.004406397,114.568664415126
0.009492881,124.101304611429
0.017113883,133.633944937815
0.024720192,135.139098639328
0.02851646,132.128791106219
0.034843572,127.111612144538
0.041387404,125.104740455798
0.044753905,118.080689805378
0.043254315,106.541177920336
0.040683065,86.4724615532773
0.03811457,67.9088990178151
0.035967576,48.8436184951261
0.029753415,0.17698140907563
0.024433682,-21.3968886594958
0.018248906,-54.0085526258824
0.013354348,-74.0772689929412
0.008463463,-92.1391136712605
0.001250187,-109.699240492437
-0.005304664,-113.712983739832
-0.013761323,-118.22844484437
-0.017564937,-119.23188068874
-0.023058229,-120.235316533109
-0.031288067,-116.221573285714
-0.038673983,-112.709547895462
-0.043949637,-110.20095834958
-0.043714552,-97.1562927630252
-0.042423417,-84.1116271764706
-0.039430665,-64.5446286665546
-0.036636267,-37.9535796363025
-0.033224769,-20.3934528151261
-0.030229262,0.678699266218488
-0.026814091,20.2456977761345
-0.023412694,32.2869275183193
-0.019581531,48.3419005078992
-0.015546505,60.3831303801681
-0.01086683,78.4449750584874
-0.001547884,92.4930764894118
0.005652535,103.029152530084
0.014741905,107.042895777479
0.024463986,110.554921167731
0.032276913,109.551485323361
0.039874958,106.541177920336
0.048108468,104.534306231597
0.054651382,102.025716685714
0.055695493,95.503383892437
0.053329943,72.424360122353
0.050114044,46.3350289492437
0.045406819,13.2216469956303
0.040291868,-11.8642483331092
0.034971216,-33.9398363889076
0.028810317,-53.5068347687395
0.021172785,-72.0703973042017
0.015022906,-85.6167808779832
0.008041043,-92.1391136712605
-0.001892248,-95.6511390615126
-0.015414269,-98.159728607395
-0.025345723,-100.668318023193
-0.034000736,-98.159728607395
-0.05532191,-92.1391136712605
-0.054455031,-80.0978837989916
-0.05293983,-60.0291675620168
-0.049945242,-39.4587333378151
-0.0471637,-19.8917349579832
-0.042900935,1.18041725344538
-0.03758763,19.2422619317647
-0.03142673,38.8092603115966
-0.026113425,56.871104989916
-0.019756009,68.410616874958
-0.01044992,75.4346675253782
-0.004103523,80.9535646043698
0.00667828,86.4724615532773
0.015975186,88.4793332420168
0.023792706,89.9844869435294
0.034354116,90.4862048006723
0.043859477,90.9879227878992
0.051884533,90.4862048006723
0.059270449,86.9741794104202
0.056705627,70.4174885636975
0.053706447,47.3384647936135
0.051785356,36.3006707657143
0.049630097,12.7199291384874
0.046227782,0.17698140907563
0.04218541,-15.8779917105882
0.038147628,-29.4243751542857
0.032412822,-46.9845019754622
0.02689749,-60.0291675620168
0.024988337,-64.5446286665546
0.014199187,-74.0772689929412
0.001728623,-79.0944480847059
-0.003136549,-83.1081913321009
-0.012009199,-84.1116271764706
-0.028064821,-86.1184987351261
-0.034823536,-86.1184987351261
-0.048340047,-85.6167808779832
-0.058263237,-83.6099091892437
-0.057394521,-70.5652436026891
-0.056096958,-54.0085526258824
-0.052894833,-35.4449900904202
-0.049261106,-11.8642483331092
-0.045006605,4.69244251361345
-0.04159878,20.2456977761345
-0.03778231,28.2731842709244
-0.03057179,44.3281572605042
-0.022734986,56.3693871327731
-0.01617738,61.8882840816807
-0.00750492,68.9123347321008
0.003909595,73.9295138238656
0.014052259,76.4381033697479
0.029688215,79.95012876
0.04257477,81.4552824615126
0.052078295,80.9535646043698
0.064539676,80.9535646043698
0.070869543,77.4415392141177
0.070855768,69.9157705764706
0.069779516,58.8779766786555
0.065065864,22.2525693347899
0.059528493,-2.83332599394958
0.054001223,-22.4003245038656
0.045302132,-43.974194442353
0.035142021,-56.0154243146219
0.02773131,-66.0497824981513
0.019066197,-69.0600899011765
0.004696581,-73.0738331485714
-0.019385014,-75.0807048373109
-0.033328537,-77.0875763959664
-0.051699202,-74.578986850084
-0.068594153,-73.5755510057143
-0.069004635,-67.053218212437
-0.06686315,-50.9982452228572
-0.063453489,-34.4415542460504
-0.060032808,-11.8642483331092
-0.057050158,2.18385296773109
-0.05195449,16.7336723858824
-0.04664394,33.2903633626891
-0.039023857,42.3212857018488
-0.02907771,52.857361742521
-0.017661358,58.8779766786555
-0.005831771,59.8814123929412
0.012972334,63.3934377831933
0.02438042,64.8985914847059
0.040427776,62.3900019388235
0.050777059,62.3900019388235
0.061763644,64.396873627563
0.070422329,63.8951556403361
0.067853834,45.331593104874
0.065711431,28.7749021280672
0.061657121,6.19759634521009
0.056343816,-11.8642483331092
0.048288456,-27.9192214527731
0.041516885,-34.9432721031933
0.036227455,-39.960451194958
0.024599894,-45.9810661310924
0.020794444,-47.9879378198319
0.008749973,-50.9982452228572
-0.01723802,-56.0154243146219
-0.02885548,-56.5171421717647
-0.041739281,-56.5171421717647
-0.048924088,-58.5240138605042
-0.060120047,-59.527449704874
-0.067511473,-59.0257317176471
-0.070041399,-56.5171421717647
-0.069595104,-43.4724765852101
-0.065973314,-26.4140677512605
-0.062775781,-10.3590946315966
-0.05810437,3.18728881210084
