rotation (rad),moment (kN.m)
0.000367078535616979,10.8704650474094
0.00209913133258199,54.0534422069358
0.00327705181859618,74.6835434943076
0.00390565361882064,86.7863062770312
0.00453472734316487,100.26412178908
0.0053968367770468,110.44267289885
0.00633615286095757,118.146416434868
0.00813616261069367,131.903553023685
0.00695295657970131,95.8728615084799
0.00278417515598706,3.17907824263068
0.000739614767122783,-40.8300801202258
-0.000753267315352929,-69.4366365938137
-0.00365568982962663,-111.248871633519
-0.00451770488384785,-121.152412145024
-0.00576981171154812,-130.507368548168
-0.00756906638097151,-142.064420743864
-0.00701389584212044,-116.486428683792
-0.00119866850014893,-2.61079895224202
-0.000254350031755637,19.6685034098177
0.00186854961900114,64.5029807231018
0.00257643452935764,80.1811679149026
0.00367629890967227,100.81098178464
0.00477361490576392,114.015510942225
0.0059501196237215,130.520454041622
0.00649896638969416,137.672739685944
0.00775126198962396,147.577717154617
0.0100181926227116,157.211419799261
0.0125189140499524,165.745942303744
0.0142375642251505,169.877422500655
0.0163459286379741,172.360276327144
0.0147714038333729,133.303031928857
0.0126496367944798,91.7686811397516
0.00793625591326538,4.29808666250175
0.0026758215699886,-85.0995932710381
0.000714980371958399,-112.607831726367
-0.0019496872001853,-143.968804006105
-0.00359207457359417,-153.325197235416
-0.00484286001720126,-158.83000591785
-0.00671781118033076,-163.512082015558
-0.00906157092759357,-169.570934955391
-0.011951251512147,-174.256746696333
-0.0148398938688002,-175.917442642364
-0.0145207793478296,-155.84052349049
-0.0145153050392273,-139.889912066126
-0.0128657444329666,-109.632717691683
-0.00666278492950945,-3.18093571511678
-0.001009427268035,93.9184762240078
0.00079284770973113,114.27586573018
0.00181210759582053,127.480107601132
0.00322145925969169,140.135765232722
0.00408290800152703,148.389242547638
0.00533473167733706,156.919167155985
0.00697636397473592,164.075475992176
0.00916476657800423,172.333838620862
0.0115069217806782,173.717512307192
0.0136149086576481,175.10032387162
0.0150975028149658,173.730731160332
0.0188438185247989,172.644482717682
0.0214182543653033,168.528807608613
0.02329018522009,164.410546264843
0.0246941569593223,161.390602939333
0.023746912562247,130.585973734061
0.021312260395601,87.125399741568
0.0164443718346682,4.32940968255362
0.00993334082001385,-90.0230578678903
0.00820893318002045,-110.93018115296
0.00625158421015007,-128.263029568488
0.00468630909850392,-140.369240838814
0.00343495734681365,-147.524112717837
0.00187232500765659,-151.930028808746
-0.000471245967376695,-157.438860683049
-0.00218970737464803,-161.02031981443
-0.00375054640989483,-160.201035586306
-0.0082768569073646,-157.467597337399
-0.0112426115257805,-156.378475242414
-0.0139735371221431,-153.363417099672
-0.0188108450551894,-147.055991398857
-0.0213857528198135,-144.315369019113
-0.0243504692060265,-140.201130867212
-0.0240332423815349,-125.624422632638
-0.0230112453432957,-104.444875115005
-0.0164982322481989,-4.31718617999825
-0.0131232257697418,49.8722475364298
-0.00928233663153079,96.9131312517701
-0.00787251304784256,110.943841481683
-0.0064644827680646,119.749351523564
-0.00474413366861689,128.831021441242
-0.0033373303932714,134.061394360678
-0.0011503435580597,138.19459880139
0.000724701989033215,143.151685366363
0.00228601294839978,143.707453867564
0.00423713252935516,142.889606334605
0.00564214249648769,142.894778935008
0.00821714464507525,140.429167284531
0.00813720084289662,134.928668949598
0.00609462253017213,96.6947321023062
0.00420447543706281,47.7359587229486
0.00153546617248318,3.72450141202392
0.000671185890231928,-12.7792921478387
-0.00481671547001685,-82.6520856564705
-0.00575706978182787,-93.3809452494043
-0.00693027103955247,-100.26051937453
-0.00802437795507186,-104.114690025107
-0.0084129595808336,-99.1659371305066
-0.00283803556951776,-3.16685474007531
-0.000718628146920789,31.4922325334077
0.00195047550162226,75.7787003115963
0.00304854657372393,91.1833138623005
0.00328498013176073,97.7844290325594
0.00438154104753968,108.788873797024
0.00508716072556344,117.866808071468
0.0063384180932903,124.746669483227
0.00743318570085629,130.525914059659
0.00766707087897281,129.701744517765
0.00640845150616459,101.371060764343
0.00397153411148852,51.3102335924908
0.00161493805054204,7.84994688663066
-0.0024630453377524,-47.7171257938228
-0.00457867736739122,-71.3757913637095
-0.00520614655144932,-80.178427622254
-0.00606731214139441,-87.6068732733746
-0.00661521506343023,-92.0090535900485
-0.00731904143324103,-95.8617875454594
-0.00786694435097415,-100.263967731132
-0.00778605670485868,-92.0133640685507
-0.00307333651138819,-6.46784338615515
-0.000953834709130509,28.4662544855934
0.00092989422713697,58.7243109819374
0.00171508017148571,72.2027011982525
0.00257869976169037,86.7814209632607
0.00336199800956004,94.7596003932784
0.00430206916948081,104.663428322417
0.00524166840528183,113.192203522231
0.00633643601715051,118.971448098664
0.00743139239264333,125.300713740626
0.00914957064802441,128.057141208211
0.0110237667351439,130.5391329128
0.0138337866737117,130.549478113606
0.0174240845518063,129.737665433953
0.0222629026411754,127.830408388376
0.0267890243664156,124.54694920494
0.0331876432588285,118.795291874324
0.0331026026839012,98.4442243770876
0.0317678148975698,75.6134641233309
0.0272160205449622,4.09405577471176
0.0216511956908776,-62.4788986273752
0.0203203720611284,-73.7592161120059
0.0189900203554991,-83.6644808673119
0.0174255947038264,-93.2955971462531
0.0160178475802413,-101.276075524339
0.0140644627669532,-107.058481039739
0.0120333049998558,-112.016142439979
0.00961318807114297,-113.125092945677
0.00711492064846448,-114.509341467274
0.00453859711578373,-115.893877275504
0.00243089339070406,-116.451657307139
-0.00170560848087419,-115.091834961389
-0.00935369143280097,-110.9948388545
-0.0174695447280527,-105.249503663821
-0.0275359513004794,-97.0362577435956
-0.0339359859609489,-95.4097586009535
-0.0333035143924082,-72.0315636473696
-0.028440628215958,-3.81113228339462
-0.024286853949994,45.1559747663349
-0.0228763696699565,61.1117587911019
-0.0215467730403371,68.8169392842897
-0.0201382708407421,78.9975019244938
-0.0192779547107704,83.9508527152305
-0.0177154167555768,88.0817582078743
-0.0142775500927946,97.9947819292856
-0.00889035716157266,101.864757798705
-0.00217800367713073,100.514418662862
0.00234840120430246,98.0559911432219
0.0101516525236915,91.2094642819494
0.0170967585657809,85.7348292110343
0.0282557619017069,76.9755852861474
0.0431598539559416,63.5549559271673
0.0431561729555523,52.829544690835
