rotation (rad),moment (kN.m)
6.42e-05,0.675081724171032
0.0006375,35.8784431481291
0.0010707,51.4391311032038
0.0015109,77.3711946275124
0.0018595,92.8014739474286
0.0022076,107.584486839407
0.0026403,122.496930167284
0.0030731,137.410513682394
0.0034261,159.32233291888
0.0037751,175.401689319488
0.0044718,205.614996407693
0.0049896,221.306111830927
0.0054219,235.571460108926
0.0057705,251.001755077296
0.006119,266.432875623264
0.0070586,280.832795103786
0.0077443,294.841322727544
0.0085151,309.628529290046
0.0093691,322.602567124139
0.0103078,335.706226892244
0.0116682,347.519583880708
0.0136161,353.116572730258
0.0155605,353.528526201186
0.0171638,349.528867892836
0.0266847,304.663494729469
0.0282021,298.590123072438
0.0303082,288.246444693567
0.0319128,286.192988414806
0.0335147,280.250770803034
0.0352868,275.867454098994
0.0368896,271.222164145096
0.038663,268.78396126611
0.0426283,257.756539145388
