rotation (rad),moment (kN.m)
0.000380677,74.81296758
0.010333541,5586.034913
0.011663077,5785.53616
0.013185786,6184.538653
0.013933915,5685.785536
0.011268231,4937.65586
0.000378316,-49.87531172
-0.004022142,-2394.014963
-0.00362824,-1596.009975
-0.001139197,-174.563591
0.00861152,4663.341646
0.010135173,5112.219451
0.012425376,6034.912718
0.01470566,6433.915212
0.016037085,6733.167082
0.015078308,6109.725686
0.012397982,4588.528678
0.004168556,74.81296758
-0.00366508,-3541.147132
-0.005385684,-4389.027431
-0.006720887,-4887.780549
-0.009959949,-5910.224439
-0.012621854,-6458.852868
-0.014524768,-6932.668329
-0.016799384,-7032.418953
-0.015272425,-6408.977556
-0.008957719,-2992.518703
-0.003786934,24.93765586
-0.002259503,673.3167082
0.000986171,2044.887781
0.004042451,3416.458853
0.006522992,4389.027431
0.012424904,6009.975062
0.016226007,6708.229426
0.013163115,4987.531172
0.007040165,1695.760599
0.003213557,-349.127182
-0.002704886,-2842.892768
-0.006907447,-4738.154613
-0.009760636,-5386.533666
-0.012048477,-6184.538653
-0.014331123,-6708.229426
-0.016233092,-7132.169576
-0.015656408,-6683.291771
-0.013742632,-5635.910224
-0.010684935,-4189.526185
-0.00532145,-997.5062344
-0.001304504,1097.256858
0.002515019,2768.0798
0.005566104,3865.336658
0.009191982,5311.720698
0.012424431,5985.037406
0.01394714,6384.0399
0.017555071,6882.793017
0.020212726,7206.982544
0.024195194,7481.296758
0.02779604,7605.985037
0.031017154,7680.798005
0.031769062,7381.546135
0.030432442,6807.98005
0.029282853,6109.725686
0.027562722,5286.783042
0.025647057,4139.650873
0.017806336,149.6259352
0.010737833,-3067.331671
0.008073566,-3740.648379
0.005406937,-4538.653367
0.000462858,-5586.034913
-0.004475081,-6309.226933
-0.00713557,-6783.042394
-0.014343403,-7356.608479
-0.018705603,-7680.798005
-0.022117056,-7805.486284
-0.024769988,-7880.299252
-0.029505309,-7905.236908
-0.034995844,-7805.486284
-0.040864694,-7680.798005
-0.039522406,-6807.98005
-0.036460459,-5137.157107
-0.033590267,-3591.022444
-0.026326702,-74.81296758
-0.022889273,1421.446384
-0.019648795,2518.703242
-0.016412567,3391.521197
-0.012605796,4389.027431
-0.007286235,5261.845387
-0.001207209,6234.413965
0.007898341,7007.481297
0.017181478,7157.107232
0.022864241,7206.982544
0.02854417,7107.23192
0.032896452,6907.730673
0.031370438,6334.164589
0.029071734,4962.593516
0.01950852,24.93765586
0.011495882,-3042.394015
0.005216599,-4588.528678
0.000848258,-5236.907731
-0.007882755,-6234.413965
-0.010730277,-6583.541147
-0.020584901,-6907.730673
-0.030436692,-7082.294264
-0.037630828,-6932.668329
-0.042931497,-6807.98005
-0.050882736,-6633.416459
-0.052775731,-6583.541147
-0.052199992,-6184.538653
-0.050675395,-5685.785536
-0.048955736,-4887.780549
-0.046279661,-3591.022444
-0.044359272,-2194.513716
-0.039021764,-374.0648379
-0.03501143,1371.571072
-0.031392636,2443.890274
-0.028728841,3092.269327
-0.024546116,3940.149626
-0.01865979,4738.154613
-0.013536707,5236.907731
-0.00652063,5685.785536
0.000680118,5885.286783
0.009208985,6209.476309
0.014512015,6209.476309
0.009748829,4713.216958
0.004005139,1446.38404
0.002274144,49.87531172
-0.005916081,-2394.014963
-0.007253174,-2992.518703
-0.011627182,-3940.149626
-0.016758766,-4887.780549
-0.022449558,-5361.59601
-0.030033345,-5785.53616
-0.034771499,-5960.099751
-0.040646018,-6134.663342
-0.048600563,-6134.663342
-0.05958305,-6009.975062
-0.070374726,-5810.473815
-0.083060814,-5635.910224
-0.097069825,-5311.720698
-0.092868681,-3491.27182
-0.083901043,0
