rotation (rad),moment (kN.m)
0.00033,-0.14071099
0.00618,6.63925398
0.01528,13.27321052
0.02654,18.51639018
0.04041,22.14884072
0.05536,24.11582268
0.07031,24.82170091
0.08852,25.09054712
0.09675,25.66487188
0.09372,20.12294621
0.08808,12.69946206
0.08028,6.66675592
0.07205,1.33903983
0.06295,-5.10090136
0.0532,-10.38634867
0.03868,-16.25958356
0.02329,-20.33480652
0.00769,-23.57249269
-0.00943,-25.60381572
-0.02373,-26.88214065
-0.04453,-26.99537795
-0.0675,-26.4939009
-0.08635,-25.89927795
-0.09848,-24.78506857
-0.09545,-20.40723839
-0.09372,-16.24262791
-0.08895,-10.22239245
-0.08028,-4.04754022
-0.07443,-0.85687109
-0.06685,2.71509959
-0.05926,7.74218935
-0.04561,12.98823921
-0.03348,16.91844475
-0.02394,18.57906111
-0.00488,20.83320545
0.00119,21.82822808
0.02979,22.63873301
0.04821,22.94311659
0.06251,22.66931307
0.07291,22.43490813
0.08418,22.43965752
0.09177,21.35524511
0.09675,21.88156182
0.09393,18.89737872
0.09242,13.3131854
0.0883,8.95168824
0.08397,5.81575744
0.0779,1.91049552
0.0701,-2.37606795
0.06273,-7.07659675
0.05536,-10.12799112
0.04193,-14.95047178
0.02936,-18.17568727
0.02004,-20.18879809
0.00574,-20.98208295
-0.01246,-21.3479374
-0.03261,-22.13062851
-0.04388,-21.06828952
-0.05991,-20.98177107
-0.07205,-20.44961
-0.08072,-20.12492936
-0.09827,-20.19015748
-0.09588,-16.69500081
-0.09545,-15.65384819
-0.09198,-9.84683243
-0.08808,-5.03583257
-0.08332,-1.44079746
-0.07725,2.17344087
-0.07075,5.17969739
-0.06511,7.65577486
-0.05775,11.48323289
-0.04756,14.80258529
-0.03694,16.83490046
-0.02958,17.94613455
-0.01224,18.65488298
-0.00769,18.04303883
-0.00228,18.93145274
0.01506,18.18508096
0.01809,17.61550446
0.03088,17.96601803
0.04583,17.79882436
0.05991,17.87751643
0.0805,17.85820925
0.08418,17.49225084
0.0961,18.08864902
0.09632,16.4750497
0.09567,15.49536908
0.09155,7.25355249
0.08765,3.50963988
0.08115,-0.56370389
0.0753,-4.53043781
0.06403,-9.48259275
0.05385,-12.99596163
0.04301,-15.45184487
0.03023,-16.9664528
0.01289,-18.25724954
-0.01138,-18.9390712
-0.02828,-19.38273067
-0.03564,-18.8448292
-0.04756,-19.05319555
-0.05688,-18.73811652
-0.06576,-18.35196275
-0.07877,-18.44698784
-0.08765,-18.35185879
-0.09827,-19.12307023
-0.09762,-16.00921398
-0.09437,-9.36466369
-0.08982,-4.2530375
-0.08288,1.34649896
-0.07898,3.3442689
-0.0701,6.74142632
-0.0636,9.65067347
-0.05428,12.34284084
-0.04388,14.53363512
-0.02763,14.87068474
-0.01224,15.84165193
0.00054,16.19216437
0.00574,15.68693007
0.01333,15.86362139
0.02719,16.19780081
0.04041,16.23135503
0.05168,16.8181516
0.06273,16.88437186
0.07248,17.12540425
0.07898,17.41543683
0.08462,17.17529149
0.09025,17.22616974
0.09632,16.76607442
0.0922,8.136226
0.0883,4.29530515
0.08288,0.88468378
0.0753,-3.26933408
0.0675,-6.58581628
0.06035,-9.40765793
0.05168,-11.12014355
0.0389,-13.31380803
0.02438,-15.11270927
0.00683,-16.05100929
-0.01506,-17.4090173
-0.03283,-18.18883821
-0.0467,-17.94097045
-0.05753,-17.68062975
-0.07226,-17.57490808
-0.08397,-17.8447453
-0.0935,-17.8562261
-0.09848,-17.89750274
-0.09783,-15.85073374
-0.09437,-9.26765545
-0.08982,-4.15602926
-0.08202,1.48864505
-0.07638,3.67369893
-0.06663,7.79505075
-0.0558,10.73597406
-0.04453,12.58387436
-0.03369,13.39062091
-0.01333,14.30585763
0.00509,14.70724832
0.02004,15.2191112
0.03348,15.09418518
0.04713,16.07188378
0.05883,16.34172213
0.07096,16.58562472
0.08028,16.75558463
0.08613,16.84200025
0.09588,16.01594539
0.09393,11.91280578
0.09003,5.9377093
0.08678,3.85253386
0.08028,-0.02679456
0.07638,-2.12157161
0.06858,-5.72907853
0.06056,-8.40204155
0.05103,-11.03273805
0.04085,-11.92689123
0.02568,-13.5413776
0.00639,-14.66696269
-0.01593,-15.90202783
-0.03586,-16.6491827
-0.04756,-16.91902105
-0.05796,-17.36367153
-0.06641,-17.29447711
-0.0792,-17.4509742
-0.09155,-17.53639768
-0.09892,-17.38652804
-0.09783,-15.75372663
-0.09458,-9.49720817
-0.08938,-4.08495565
-0.07963,2.36458715
-0.07118,5.69067209
-0.0623,8.40877409
-0.05558,9.80143016
-0.0441,11.29683487
-0.03348,11.97103807
-0.02004,12.42816036
-0.00401,13.5057374
0.00618,13.8178434
0.01874,14.1328196
0.03283,14.50253526
0.04258,14.84057702
0.05666,15.59832451
0.0662,15.80382066
0.07638,15.92191131
0.08592,16.12740746
0.09588,15.43389708
0.09458,12.79547816
0.09133,7.60604808
0.08613,2.96986035
0.07746,-1.55585632
0.06945,-5.00488413
0.0558,-9.28085385
0.04323,-10.85693378
0.02979,-12.28413621
0.01376,-13.36171212
-0.00054,-14.25200522
-0.01571,-15.28444328
-0.02676,-15.54468002
-0.04366,-16.0853466
-0.05666,-16.27737993
-0.06923,-16.49534902
-0.08483,-16.8227959
-0.09848,-17.02443084
-0.09783,-15.94774198
-0.09437,-9.17064721
-0.09003,-4.28857374
-0.08223,0.67704515
-0.07703,2.79102542
-0.0701,5.28630611
-0.06056,7.91700261
-0.05146,9.31252888
-0.04085,10.56878039
-0.02741,11.31692627
-0.02004,11.84611318
-0.00748,12.45211297
0.00271,13.1522508
0.01333,13.24440569
0.02416,13.5661133
0.03629,14.10104061
0.04583,14.403545
0.05515,14.96153674
0.06555,15.11516363
0.07725,15.28799374
0.08592,15.54535915
0.09545,15.07179988
0.09393,11.91280578
0.0909,6.75891081
0.08657,3.5259729
0.08028,-0.22080991
0.07508,-2.6258149
0.06598,-6.05850856
0.05753,-7.92947442
0.0493,-9.37687108
0.03716,-10.68786092
0.02221,-12.0727957
0.00704,-13.00822552
-0.00791,-13.90812023
-0.02394,-14.5006572
-0.03738,-14.95777949
-0.04995,-15.46677104
-0.061,-15.82401602
-0.07421,-15.95457735
-0.08505,-16.47030144
-0.09848,-16.73340725
-0.09697,-14.93252399
