rotation (rad),moment (kN.m)
0,-0.09061696
0.00422,2.79575447
0.009,5.65135826
0.013,7.43846343
0.0158,8.91870467
0.01893,10.1146752
0.01986,10.40671692
0.02002,9.5094359
0.0158,7.10635756
0.01141,4.09026891
0.00806,2.09709129
0.00472,0.1643246
0,-2.50708015
-0.00538,-5.45570554
-0.01048,-8.08744955
-0.01673,-11.0230935
-0.01931,-11.82694951
-0.02024,-12.11899123
-0.02013,-10.96524315
-0.01701,-8.86309963
-0.01361,-6.7461339
-0.01031,-4.69550821
-0.00719,-2.83501067
-0.00208,-0.1428546
0.00225,2.62862295
0.00527,4.36236839
0.0079,5.71289241
0.01059,6.70391258
0.01289,7.37212339
0.01492,8.690039
0.01783,9.75332832
0.02002,10.41561002
0.02002,9.38861291
0.01991,9.02021483
0.01772,7.39134695
0.01465,5.65463752
0.01048,2.83164214
0.00752,0.98003883
0.004,-1.26368013
0.00033,-3.33505601
-0.00296,-5.32526964
-0.00603,-6.75992216
-0.01026,-8.98176545
-0.01372,-10.43716816
-0.01635,-11.30440022
-0.01893,-11.98743324
-0.02068,-12.14270767
-0.02063,-8.33381328
-0.01531,-5.20691796
-0.01086,-2.85239346
-0.0068,-0.33738523
-0.004,1.08244508
-0.00066,2.71315373
0.00313,4.73004779
0.00697,6.56867079
0.01108,8.24088208
0.01437,9.38533365
0.01695,10.24960059
0.01854,10.6376279
0.02002,10.95931404
0.01997,9.50647191
0.01586,7.10932155
0.01136,4.08730492
0.00806,2.15750222
0.00472,0.28514759
-5e-05,-2.51004527
-0.00538,-5.45570554
-0.01037,-7.41699343
-0.0152,-9.12774224
-0.01838,-10.08503078
-0.02013,-9.81742305
-0.02013,-8.60919089
-0.01569,-5.95260835
-0.01163,-3.61883404
-0.00746,-1.58118979
-0.00494,-0.17618169
-0.00181,1.74472678
0.00088,3.09821592
0.00428,4.79230062
0.00817,6.09018472
0.01147,7.53669433
0.01448,8.66632369
0.0169,9.94457856
0.01997,10.4126449
0.02002,9.32820085
0.01778,7.454723
0.01465,5.53381453
0.01053,2.83460726
0.00817,2.22384339
0.00488,0.11280677
0,-2.50708015
-0.00549,-5.52204558
-0.01048,-7.72498058
-0.01421,-8.59108942
-0.01734,-8.51841686
-0.02019,-7.94762787
-0.02013,-7.09890182
-0.01723,-5.37108549
-0.01383,-3.37494275
-0.00982,-1.46701459
-0.00642,0.16665918
-0.00357,1.58945348
-0.00033,3.09341003
0.00433,4.73485368
0.00861,6.23472302
0.01295,7.97920346
0.0158,8.97911673
0.01745,9.18887298
0.02008,8.42499185
0.02013,7.21972481
0.01794,5.71168105
0.01575,4.74734131
0.01278,2.83532594
0.00867,0.43817558
0.00417,-1.73807899
0.00176,-2.89551087
-0.00208,-5.09660397
-0.00609,-6.15877007
-0.01026,-7.04859535
-0.01383,-7.06004903
-0.01679,-6.6764242
-0.02024,-6.3194798
-0.02019,-5.53116468
-0.01525,-2.96872583
-0.01086,-1.10045728
-0.00719,0.66886056
-0.00439,1.84704489
-0.0006,3.01817576
0.00263,4.40130932
0.0068,5.59319264
0.00993,6.54751606
0.0141,6.95404825
0.01728,6.82392762
0.02013,6.07190471
0.02013,5.22614265
0.01821,3.97456708
0.01432,1.89133298
0.01026,0.10126382
0.00521,-2.46710527
0.00121,-4.01256446
-0.00346,-5.17071502
-0.00801,-5.35635255
-0.01289,-5.43895216
-0.01629,-5.44151274
-0.02019,-5.10828365
-0.02019,-4.38334458
-0.01607,-2.34866432
-0.01092,-0.43889426
-0.0079,0.75114603
-0.00444,1.96490276
0.00027,3.30725349
0.00527,4.54360231
0.00988,5.15508486
0.01333,5.22102149
0.01635,5.02159683
0.02002,4.55568653
0.02008,3.95453557
0.01767,2.43463359
0.01328,0.38513112
0.01026,-0.92573329
0.00702,-2.18804386
0.00527,-2.82661025
0.00219,-3.65714669
5e-05,-3.89358224
-0.00521,-4.48022626
-0.00993,-4.49352184
-0.01322,-4.42974238
-0.0164,-4.29962175
-0.02019,-4.44375664
-0.01816,-3.36748701
-0.01542,-2.07144481
-0.01201,-0.8606532
-0.00861,0.47096253
-0.00472,1.82925756
-0.00055,3.08155181
0.00582,3.96913178
0.00998,4.07360593
0.01344,3.89789545
0.01618,3.80447157
0.01832,3.79926114
0.02008,3.41083042
0.02002,2.68292736
0.01854,1.69671421
0.01278,-0.66854642
0.00949,-1.99423191
0.00532,-3.12570317
0.00241,-3.64528847
-0.00291,-3.9932505
-0.00636,-3.81754115
-0.01081,-3.81601452
-0.01355,-3.78300157
-0.0164,-3.81632866
-0.01816,-3.54872206
-0.02013,-3.71585358
-0.01854,-2.90494524
-0.01569,-1.78420898
-0.01218,-0.5070762
-0.00949,0.5443549
-0.00653,1.48978522
-0.00165,2.59938194
0.0028,2.89991335
0.00691,3.1222465
0.00894,3.17151902
0.01218,3.04436351
0.01558,2.80527698
0.01821,2.585101
0.02008,2.68589135
0.01816,1.31349279
0.0158,0.09861397
0.01339,-0.93799492
0.01015,-1.83783652
0.00735,-2.53272663
0.00368,-3.33545942
0.00022,-3.40139605
-0.00439,-3.34835159
-0.00883,-3.16558991
-0.01207,-3.28008038
-0.01531,-3.39457085
-0.01734,-3.20219739
-0.02013,-3.05132544
-0.01778,-2.01768167
-0.01476,-1.0088753
-0.01169,0.06330712
-0.00905,0.6888932
-0.0056,1.72141488
0,2.38625716
0.00406,2.48480333
0.00812,2.28129033
0.01245,2.1530116
0.01377,1.80127763
0.01734,2.11478935
0.01843,1.75119603
0.02008,1.7193063
0.01898,0.57260942
0.01646,-0.28869353
0.0147,-0.68561394
0.01207,-1.49243394
0.00878,-2.3348286
0.00576,-2.98116487
-5e-05,-2.99333723
-0.00422,-2.79575447
-0.0085,-2.72492268
-0.01234,-2.81161063
-0.01503,-2.65480957
-0.01799,-2.75447783
-0.0192,-2.45722568
-0.02008,-2.32342238
-0.01761,-1.46508342
-0.01498,-1.20196744
-0.01333,-0.44850717
