rotation (rad),moment (kN.m)
-0.000433149,0.3856046656
0.003835401,59.0483382592
0.012042393,107.4357521984
0.0115605,84.4564011968
0.00402606,1.3197246784
-0.000162276,-39.4079055936
-0.011783244,-109.653726592
-0.009652672,-79.2014159744
-0.003720018,-17.736322464
-0.002805593,0.9460766976
0.005471122,70.4446017344
0.009157821,94.1712488192
0.011630223,105.5675122944
0.011410564,87.6324090944
0.010076565,69.323657792
0.003740379,3.3747886336
0.000525085,-36.4187217472
-0.010122841,-105.7304228544
-0.012193563,-112.082438528
-0.011799904,-104.609478912
-0.008305715,-64.8159685312
-0.006151079,-41.6497934784
-0.00318938,-9.5160668864
-0.002388487,1.3197246784
0.003705209,56.2459783424
0.005897484,68.01588992
0.00821563,83.8959291648
0.011492627,105.0070402624
0.012058435,102.578328448
0.012087435,93.7976008384
0.011295798,80.1594493568
0.008865353,56.0591544128
0.003607103,1.5065487296
-0.000171532,-36.6055456768
-0.009571842,-103.6753588992
-0.012057201,-111.1483186368
-0.011796819,-105.5435988032
-0.011013819,-89.289911456
-0.002380466,-1.1089872576
0.00438023,62.9716421184
0.010394948,99.5891446016
0.011912201,104.6333922816
0.013150562,109.6776400832
0.014396327,112.48
0.016059197,115.6560078976
0.019262769,116.77695184
0.019285599,109.8644641344
0.01875928,100.3364405632
0.018367472,92.3030087936
0.017148239,81.4672173504
0.016073389,69.1368338624
0.01417605,52.5094985344
0.013366519,44.2892428352
0.010397416,14.397404128
0.009185587,1.3197246784
0.007984001,-14.859233024
0.004073077,-46.69404128
0.000476093,-72.2515633856
-0.001662254,-83.4610029312
-0.004641723,-93.3253097216
-0.006784513,-103.189616512
-0.010936815,-112.6055456768
-0.013774123,-114.8474336832
-0.01762063,-115.52
-0.019633845,-113.950678432
-0.018991156,-105.8798820224
-0.016746929,-76.0627728384
-0.014784803,-62.163067904
-0.012839707,-43.10702064
-0.012031163,-34.5878466048
-0.010419258,-15.9801769664
-0.007962529,0.1614159744
-0.007168793,13.1643657792
-0.001451233,55.3118584512
0.002495232,76.3856046656
0.006301015,89.388554592
0.00794698,97.6835398144
0.011107113,103.5124483392
0.014105833,107.5478466048
