rotation (rad),moment (kN.m)
0.000126616,2.36574074072
0.003737289,130.397505168
0.004189008,125.896476328
0.001048815,3.80606995888
-0.003458339,-138.538966048
-0.003828017,-115.471193432
-0.000463735,-0.69495884752
0.003891535,139.399562736
0.005109759,166.405735608
0.006172164,179.908822016
0.008067179,197.912937264
0.008589725,179.908822016
0.003314098,0.43029835408
-0.002337305,-173.42193932
-0.004385189,-196.489711936
-0.005977616,-213.36856996
-0.007266273,-225.7463992
-0.007868893,-220.682741776
-0.008164006,-200.428112136
-0.008236603,-191.988683152
-0.005186124,-110.407536008
-0.001823219,0.43029835408
0.00191861,114.643904312
0.004965547,186.097736608
0.006257943,209.16550928
0.007547978,225.481738664
0.008530309,226.044367304
0.008447481,205.22710908
0.005695459,112.956018504
0.002257202,2.68081275728
-0.001407898,-108.157021616
-0.004378697,-177.922968104
-0.006128123,-211.680684152
-0.007110848,-213.36856996
-0.00748564,-204.92914092
-0.006798619,-184.674511336
-0.004042465,-80.58822016
-0.001067928,-0.13233024672
0.002596581,109.017618304
0.006024411,189.473508224
0.007241848,214.229166648
0.009061905,233.921167704
0.010804052,246.861625528
0.013451801,256.98894032
0.015872313,265.42836936
0.017611312,269.36676956
0.017528878,249.674768504
0.01691406,219.855452656
0.013856892,119.144933152
0.010190415,4.36869855968
0.006072022,-106.469135808
0.005157961,-127.849022616
0.004016072,-152.604681096
0.002724857,-172.296682096
0.001054127,-197.05234052
0.000294704,-208.304912536
-0.000692349,-222.370627584
-0.00235934,-236.436342576
-0.004176446,-247.688914592
-0.007730977,-258.378858024
-0.011738998,-269.63143004
-0.014914801,-277.50823044
-0.015670879,-279.196116248
-0.016273696,-274.695087464
-0.016039967,-254.440457824
-0.014058778,-206.054398144
-0.011685681,-117.15907924
-0.008398718,-7.446502056
-0.003977934,103.95396088
-0.002452793,144.46322016
-0.001086029,164.155221216
0.000812922,193.411908424
0.003392204,223.793852856
0.006954015,255.301054512
0.011494222,276.118312736
0.014217126,285.12037036
0.017468478,292.99717076
0.017539502,280.056712936
0.016924487,249.674768504
0.015705279,219.855452656
0.012571972,117.457047344
0.009209854,8.8697273672
0.004711751,-107.594393032
0.003113028,-142.477366248
0.00174469,-166.670396088
0.00015187,-184.674511336
-0.000988445,-204.92914092
-0.002960189,-226.309027784
-0.004626591,-238.686856968
-0.006824392,-258.378858024
-0.008868734,-271.319315848
-0.012424249,-284.822402256
-0.014692483,-289.88605968
-0.015977206,-291.011316848
-0.015898903,-283.134516448
-0.015891033,-260.629372416
-0.015049176,-229.6847994
-0.01329424,-180.173482496
-0.011374829,-92.40342076
-0.007635164,15.6212705768
-0.003065249,121.395447544
-9.83856e-05,179.908822016
0.001875326,206.914994832
0.00475523,232.79591048
0.006272305,250.237397144
0.008771514,267.678883752
0.013085665,290.184027784
0.016489295,301.4365998
0.020646839,308.188143032
0.023595799,315.502314792
0.02692211,321.69122944
0.027372648,313.81442904
0.026453275,277.24356996
