rotation (rad),moment (kN.m)
4.37243e-05,15.8154917312
9.3959e-05,19.623150568
0.000144194,22.3731263896
0.000395367,27.238468236
0.000897714,30.6230538656
0.001450296,34.219176096
0.002254051,37.180688524
0.00320851,39.9306643456
0.003761092,40.9883473552
0.004765786,42.0460303648
0.004966725,40.5652741536
0.005016959,36.546078716
0.005067194,31.6807368752
0.005067194,27.0269316296
0.004966725,20.8923701784
0.004363908,2.91175901744
0.004012265,-3.85741224232
0.002856867,-21.2034135936
0.001751704,-33.8956097088
0.000244663,-52.7223672752
-0.000458623,-64.77995356
-0.001664255,-77.26061308
-0.003874582,-101.375785728
-0.00427646,-103.914224904
-0.004929511,-106.452664136
-0.005180684,-103.914224904
-0.005281154,-98.837346496
-0.005180684,-92.279711832
-0.003723878,-58.64539212
-0.003171296,-48.914708444
-0.002015898,-23.3187796128
-0.000609327,-1.53050962176
-0.00010698,7.3540276544
0.000646541,16.66163814
0.00150053,24.7000290096
0.002153582,31.0461270672
0.003158275,37.180688524
0.003962031,39.507591144
0.00491649,41.6229571632
0.005569541,41.834493764
0.006976112,41.834493764
0.008181745,42.0460303648
0.009588317,41.4114205568
0.009939959,40.1422009464
0.009990194,32.1038100768
0.009990194,27.238468236
0.009939959,21.31544338
0.008784561,2.4886858136
0.008282215,-5.7612416568
0.007026347,-18.8765109736
0.006122123,-26.9149018488
0.005067194,-31.5687070888
0.003710857,-38.7609515496
0.003108041,-40.8763175688
0.002555459,-45.5301228144
0.001349826,-55.6838797032
0.000345132,-65.203026784
-0.000508857,-73.452954232
-0.001513551,-80.010588896
-0.002317306,-86.356686976
-0.003472704,-95.452760872
-0.004326694,-101.164249088
-0.005632796,-109.625713176
-0.00673796,-117.452567456
-0.007441245,-122.740982504
-0.008596644,-128.875543944
-0.009450633,-131.202446592
-0.010153919,-130.356300144
-0.010003215,-115.760274616
-0.008998521,-92.91432164
-0.008697113,-85.933613752
-0.007240307,-57.799245728
-0.006034674,-27.9725848584
-0.004879276,-12.5304129216
-0.003975051,-1.31897301984
-0.003372235,5.6617348424
-0.002066133,13.9116623128
-0.001262378,17.7193211496
-0.000458623,21.950053188
0.000947949,26.3923218272
0.003359214,31.892273476
0.004213204,33.1614930864
0.006071888,34.8537858984
0.007528694,36.7576153168
0.009035735,36.7576153168
0.010040429,36.546078716
0.010040429,29.9884440576
0.009990194,23.0077361976
0.0089855,5.6617348424
0.008432919,-4.06894884424
0.007428225,-16.126535152
0.005870949,-30.2994874784
0.00481602,-37.0686587376
0.004363908,-40.4532443672
0.003057806,-53.568513684
0.001801939,-65.837636592
0.000495837,-78.74136928
-0.001865194,-97.991200104
-0.003271766,-108.35649356
-0.005230919,-119.35639688
-0.007240307,-128.66400736
-0.008697113,-133.529349184
-0.00995298,-135.221642024
-0.010304623,-128.45247072
-0.010103684,-119.779470048
-0.009752042,-107.933420392
-0.007290541,-59.068465344
-0.006084909,-31.9917802904
-0.005683031,-25.2226090312
-0.00502998,-15.9149985512
-0.004125756,-3.85741224232
-0.003472704,2.27714921168
-0.002668949,6.9309544528
-0.002066133,10.5270766832
-0.001262378,14.5462721208
-0.000508857,17.5077845488
0.000646541,20.8923701784
0.001952643,23.642346
0.00320851,26.3923218272
0.004514612,28.7192244472
0.00737799,32.1038100768
0.01069348,35.0653225048
0.013004276,36.546078716
0.016922582,36.7576153168
0.01978596,36.1230055144
0.019886429,28.930761048
0.019635256,21.7385165872
0.01903244,13.2770525104
0.018278919,3.12329561936
0.017525399,-4.06894884424
0.015968123,-17.1842181616
0.014712256,-22.8957064112
0.013406154,-28.8187312616
0.011899113,-34.1071463096
0.010442306,-38.337878348
0.009487847,-40.8763175688
0.00823198,-42.5686103864
0.005720245,-55.6838797032
0.003660622,-66.260709816
0.001148888,-78.95290592
-0.002920123,-99.04888308
-0.005130449,-109.414176592
-0.007943592,-120.202543272
-0.009299929,-124.433275288
-0.011259082,-129.087080528
-0.012816358,-132.894739376
-0.014624807,-135.856251832
-0.016533726,-138.606227648
-0.018442644,-140.93313024
-0.019598042,-140.93313024
-0.019949685,-137.548544616
-0.020050154,-129.721690336
-0.019949685,-120.83715308
-0.019447338,-108.991103368
-0.016734664,-56.953099336
-0.014775511,-22.0495600024
-0.014172695,-15.2803887432
-0.013218236,-8.0881442824
-0.012012603,-0.68436321464
-0.010505562,4.81558843416
-0.008144531,10.3155400824
-0.005733266,14.1231989192
-0.003070827,17.2962479424
0.003560153,22.1615897888
0.007980806,24.0654192072
0.012753102,25.96924862
0.017023052,26.3923218272
0.019685491,26.8153950288
0.020087368,23.642346
0.020087368,17.2962479424
0.019283613,9.2578570728
0.018329154,-1.31897301984
0.017073286,-11.2611933056
0.015315072,-19.2995841808
0.013406154,-26.4918286416
0.011497235,-31.357170488
0.009538082,-35.1648293192
0.007779868,-37.9148051464
0.005569541,-40.4532443672
0.004464378,-41.9340005784
0.003158275,-45.953196016
0.001349826,-52.7223672752
-0.001965664,-65.837636592
-0.006687725,-82.549028128
-0.010304623,-95.029687648
-0.012364246,-101.798858896
-0.015076919,-108.144956976
-0.016634195,-112.587225632
-0.018392409,-116.18334784
-0.01989945,-117.241030872
-0.01999992,-113.433372024
-0.020251093,-106.452664136
-0.019949685,-99.04888308
-0.019246399,-85.722077168
-0.017739358,-58.222318952
-0.015880675,-25.0110724304
-0.015026685,-16.126535152
-0.013720583,-9.9919736952
-0.012916827,-6.184314864
-0.012766123,0.7963929988
