rotation (rad),moment (kN.m)
0.0003090909072,18.984413844
0.0019757575776,72.062260264
0.0046272727296,128.601623524
0.0046272727296,111.232947684
0.0007636363632,4.091338176
-0.0014333333328,-59.897382488
-0.0053727272736,-157.6093423
-0.0048424242432,-126.352304812
-0.003024242424,-68.8101073
-0.000827272728,-8.791369568
0.001369696968,52.716111784
0.0039454545456,124.143851292
0.004703030304,143.984367932
0.006672727272,177.208539664
0.0085666666656,194.553718896
0.0092484848496,196.034003724
0.0081878787888,157.836074924
0.002506060608,6.054712884
0.0003090909072,-58.926503636
-0.00522121212,-166.047436024
-0.0077969696976,-196.286601444
-0.0084787878768,-207.195596084
-0.0091606060608,-213.142111936
-0.010069696968,-213.62708142
-0.0094636363632,-185.844718984
-0.003024242424,-7.275369968
-0.0007515151536,58.201154596
0.0014454545472,97.873729084
0.0037181818176,144.989081952
0.0054606060624,167.794867668
0.0069757575744,187.625985632
0.0079606060608,197.538725044
0.0090212121216,205.465533188
0.0093999999984,199.505859288
0.0084151515168,165.773221464
0.0032636363616,17.459015568
0.0006121212144,-48.509057504
-0.0017363636352,-114.480890112
-0.0027212121216,-139.777313816
-0.0044636363616,-163.07934746
-0.005448484848,-185.398283924
-0.0062818181808,-191.839167772
-0.0075696969696,-205.22188298
-0.0093878787888,-215.124283832
-0.010296969696,-215.113005552
-0.0090090909072,-170.96292176
-0.0033272727264,-14.219080768
-0.001054545456,51.257443796
0.0015212121216,104.324011772
0.0033393939408,138.046311036
0.0051575757552,162.836148416
0.0065212121232,184.157889768
0.0076575757584,193.572501484
0.0087939393936,203.979609056
0.0098545454544,212.402664964
0.0112181818176,217.348226332
0.0130363636368,220.799404776
0.013945454544,221.780622188
0.0131878787856,167.699001632
0.0069,8.977688164
0.0041727272736,-55.996949332
0.0015212121216,-113.03256052
0.0003090909072,-134.852429568
-0.0018121212144,-162.119746888
-0.005448484848,-193.338249952
-0.0103727272704,-223.052031696
-0.0117363636384,-228.990088756
-0.0146151515136,-234.909348628
-0.0156,-222.987181176
-0.0139333333344,-183.804275428
-0.0075696969696,-7.715226004
-0.0037818181824,77.096168596
-0.0017363636352,113.793135612
-0.0006757575744,131.148653404
0.0015212121216,155.933791364
0.0031121212128,171.793986512
0.0050818181808,187.153234476
0.0078848484864,205.47963112
0.009096969696,211.419567784
0.0105363636384,216.860437196
0.012203030304,221.3059911
0.0142484848464,223.265606272
0.0132636363648,173.653036392
0.0072030303024,14.928903272
0.004475757576,-50.541982152
0.0017484848496,-109.561645004
0.0006121212144,-129.397462224
-0.0014333333328,-157.658215284
-0.0045393939408,-190.372040992
-0.0084787878768,-216.624305896
-0.0104484848496,-228.013570764
-0.0134787878784,-233.930950704
-0.0154484848464,-234.899010068
-0.0154484848464,-214.552846988
-0.0141606060624,-187.275191108
-0.007872727272,-15.155184732
-0.0042363636384,70.154337564
-0.0015090909072,119.745290604
0.0003090909072,144.535127984
0.00227878788,165.849350428
0.004475757576,181.702026668
0.0059909090928,194.585674296
0.0096272727264,214.886723928
0.0131878787856,221.293772936
0.0156878787888,229.202723448
0.01727878788,231.167977924
0.018793939392,233.630420048
0.0189454545456,222.214839084
0.0109151515152,4.957892364
0.0081878787888,-57.039257892
0.0053848484832,-112.087997764
0.0033393939408,-139.852502896
0.001824242424,-155.713637764
0.0003090909072,-173.063516416
-0.0017363636352,-186.933080876
-0.0051454545456,-205.74820654
-0.0068121212112,-216.148734924
-0.010296969696,-230.496689844
-0.013175757576,-237.408445408
-0.0195393939408,-243.284471436
-0.0196909090896,-230.876394616
-0.0178727272704,-179.289171748
-0.0112818181824,-7.172924744
-0.0077212121232,78.137537272
-0.00522121212,123.265079104
-0.0024939393936,151.517373208
0.0002333333328,172.325949212
0.0028090909104,187.677678268
0.006672727272,209.464652032
0.009324242424,216.379227084
0.0136424242416,225.754364656
0.0154606060608,226.724303624
0.0181121212128,233.63887884
0.019248484848,234.6172766
0.0185666666688,210.80583698
0.0113696969712,10.410979776
0.0087181818192,-50.594614508
0.0057636363648,-105.145226848
0.0038696969712,-136.88159468
0.0025818181824,-151.753053344
0.001596969696,-166.13202378
-0.0006757575744,-181.983760136
-0.0022666666656,-192.881476332
-0.0049181818176,-204.758530336
-0.0065090909088,-213.671254984
-0.0092363636352,-227.532360652
-0.0128727272736,-237.41220478
-0.0168121212144,-241.82956282
-0.0193878787872,-244.775094824
-0.0193878787872,-224.925179508
-0.0116606060592,-11.634456348
-0.0077212121232,75.65629796
-0.0048424242432,121.2753883
-0.0031757575776,138.623387184
-0.0015090909072,157.956377452
0.0012181818192,178.764953456
0.004248484848,193.614795444
0.0082636363632,210.437410652
0.0116727272736,223.297561672
0.013945454544,226.246853048
0.018793939392,233.630420048
0.0206878787856,235.09566706
0.0240212121216,238.528048316
0.0222787878768,166.097474392
0.0157636363632,5.393988864
0.0130363636368,-56.1069133
0.0099303030288,-106.189415012
0.006445454544,-151.304738516
0.0053848484832,-163.201529592
0.0029606060592,-183.021369276
0.0001575757584,-197.874030752
-0.0018121212144,-206.28580838
-0.0057515151504,-220.131876068
-0.0072666666672,-225.571805596
-0.0102212121216,-233.971364896
-0.0142363636368,-240.869022528
-0.0189333333312,-244.780733964
-0.0241606060608,-246.700874992
-0.0238575757584,-218.91475302
-0.020903030304,-132.108028312
-0.0156,-8.608096288
-0.0121909090896,74.719254112
-0.007872727272,132.230436108
-0.0047666666688,161.96677474
-0.002569696968,178.315698744
0.002051515152,199.597026068
0.0056878787856,210.965613816
0.0080363636352,219.868939952
0.0110666666688,224.297576272
0.0149303030304,229.212122124
0.0186424242432,233.136051888
0.0244757575776,238.026161248
0.0226575757584,171.551501688
0.0165212121216,9.850821212
0.0137939393952,-50.161337332
0.0104606060592,-104.211002488
