rotation (rad),moment (kN.m)
0.000238,1.97414
0.001406,83.95114
0.003066,196.78304
0.003554,243.55534
0.004297,278.27726
0.006525,383.39424
0.008267,437.40346
0.009949,481.77142
0.011693,526.61738
0.013883,553.62438
0.016386,582.5625
0.019271,597.99712
0.021846,597.5239
0.02574,598.01624
0.031706,598.99614
0.037485,597.56214
0.040814,598.05448
0.044962,589.38356
0.049046,583.12654
0.054198,577.83508
0.057781,569.64694
0.06237,555.675
0.067587,542.19062
0.072489,534.00248
0.077707,518.58698
0.082294,511.84718
0.08682,498.35802
0.092352,481.49896
0.096248,477.16828
0.101025,465.60546
0.105487,456.93932
0.110201,445.86406
0.115229,434.78402
0.119692,424.66954
0.125724,416.48618
0.131443,404.45014
0.138543,394.34044
0.1442,382.7824
0.150357,375.08182
0.156075,368.82958
0.163364,357.7591
0.169459,350.05852
0.17612,336.57414
0.182088,332.25302
0.186991,321.65576
0.193779,306.72304
0.200753,298.54446
0.207225,287.47398
0.21307,275.43316
0.218222,270.62448
0.224569,261.48034
0.230225,248.47396
0.236697,240.77816
0.242164,230.66368
0.247755,227.30334
0.25341,220.56832
0.259128,212.38496
0.265033,208.05906
0.272008,198.43214
0.278668,189.77078
0.283632,182.55298
0.290166,176.78352
0.295191,174.86674
