rotation (rad),moment (kN.m)
0.000586,35.90001
0.001321,71.12322
0.00225,122.26392
0.003522,190.00314
0.004055,233.69058
0.00597,314.97849
0.007053,354.94353
0.008633,398.9736
0.009473,418.27932
0.010563,438.60447
0.011352,462.30939
0.01254,485.00334
0.013433,499.57146
0.015917,522.94221
0.017806,536.49513
0.019945,550.04805
0.022285,558.17811
0.02602,569.02383
0.02871,573.77412
0.032895,582.25104
0.03708,588.01653
0.040921,582.94476
0.04516,575.50419
0.050301,558.92259
0.055242,542.33676
0.059134,532.52316
0.065273,512.21916
0.072206,500.71779
0.07485,493.61139
0.078342,488.20122
0.082583,477.03402
0.087173,465.87105
0.092211,457.41528
0.096601,449.97471
0.102188,439.48854
0.107625,430.01757
0.112164,421.21917
0.117003,412.425
0.122539,405.32706
0.126478,401.94729
0.133012,392.14215
0.137101,389.10501
0.140393,381.99861
0.144283,378.28044
0.147674,374.2281
0.152811,367.46433
0.157201,358.67016
0.161888,357.32502
0.167275,346.50045
0.172213,340.75188
0.177,334.33074
0.182685,328.9248
0.188719,323.51886
0.192261,315.73566
0.197598,306.94149
0.20473,298.83258
0.209367,294.77601
0.213708,283.27464
0.219444,274.48047
0.225328,270.76653
0.231264,259.94619
0.235554,251.48619
0.241788,245.06505
0.247774,234.24048
0.252113,228.83454
0.259443,222.075
0.263382,220.39146
0.267921,210.92049
0.271912,203.47992
0.276949,197.39295
0.280791,187.57935
0.284679,187.58781
0.289867,179.47467
0.293557,174.7413
0.296947,174.40713
