rotation (rad),moment (kN.m)
-0.000130078,1.426182394
0.003563792,197.437177574
0.000291991,1.42472954
-0.004821266,-262.711571382
-0.00097553,-5.742506432
0.003569051,226.123556152
0.004279731,265.564905034
0.004847749,294.249346326
0.005978745,324.127116456
0.007533562,363.56555963
0.009651577,405.392596882
0.011487774,444.830071634
0.014871556,484.26221896
0.018536718,523.693397422
0.024028216,548.775090968
0.030642382,558.31445475
0.035143792,554.713159416
0.062002144,481.709444866
0.061842389,377.721807008
0.052490035,13.197710266
0.044851596,-211.486102932
0.041320111,-289.166270744
0.03807395,-345.332622934
0.033703586,-394.323506018
0.028067893,-438.52896737
0.024545831,-464.812706878
0.017366058,-489.888588566
0.010894554,-488.671044758
0.004564178,-485.063453576
-0.000638051,-467.116547898
0.001493551,-351.183032174
0.010701709,-5.78270368
0.017072626,211.733873546
0.019756029,267.902163022
0.022719934,319.288420906
0.027513462,374.254179988
0.033428562,407.701280896
0.040042509,416.045378996
0.05874634,372.95139869
0.072809605,341.826057924
0.091935725,299.925890446
0.108812344,266.400331886
0.124566076,247.221837408
0.117208798,21.341790106
0.10901549,-160.310517718
0.105911552,-208.110494124
0.103513911,-240.374436614
0.100131663,-271.439723724
0.096889665,-304.896026188
0.092945973,-328.787781036
0.087878078,-345.50406722
0.082953065,-350.268179248
0.061994693,-326.290702478
0.063273829,-255.774380498
0.065253126,-203.189466792
0.072323766,-5.994829204
0.075004758,37.025536886
0.078393143,101.558265302
0.081636236,140.990896618
0.085158298,167.274636126
0.091353682,194.744439318
0.100220854,215.03344642
0.109084081,213.807669478
0.118931479,208.992704908
0.140877308,199.355027066
0.163523955,175.371738438
0.185890976,160.951544572
0.184613593,99.997348932
0.179953961,7.977866182
0.169796039,-146.176548466
0.165988434,-195.169368836
0.161620481,-231.012328976
0.158099515,-251.31973919
0.153031182,-270.426556738
0.14796526,-276.385450458
0.13966501,-273.96634512
0.123348739,-253.590647232
0.123354655,-221.318471608
0.125049067,-187.856841276
0.12843789,-120.933581496
0.137187821,27.249347736
0.14085364,70.266323244
0.147613755,108.491581614
0.152119329,127.600336006
0.159156221,140.724044422
0.170974369,141.878628424
0.191233018,138.223091292
0.202908504,128.620767704
0.220353799,127.365447924
0.239345803,121.32373799
0.247785428,111.732553244
0.243264294,7.7599288
0.235085011,-97.39536963
0.230856433,-140.410408294
0.225362525,-178.640025226
0.219448301,-207.306062964
0.212412286,-215.648707768
0.192293888,-214.384186432
0.185402288,-202.407797748
0.186536571,-154.601041504
0.190485084,-104.413439442
0.193870401,-56.6144319
0.199506752,-8.82317306
0.204437901,29.408381158
0.213309675,74.79796935
0.217533432,91.5171608
0.223022519,103.45093096
0.231463459,101.031340748
0.245390417,93.811799822
0.253690886,92.587960166
0.26508565,86.572402488
0.280138564,81.739518796
0.291675771,85.285603026
0.295049473,69.73552456
0.298282924,56.576462332
0.299265779,45.81568017
0.297569395,1.596658258
0.295452915,-31.863518778
0.2909423,-78.463386508
0.286573471,-119.087409376
0.27967179,-162.093246042
0.27418095,-183.5891421
0.267848602,-190.73894294
0.248292743,-190.671624572
0.247170075,-175.12929525
0.247737436,-150.030651004
0.250135076,-117.766708514
0.255911897,-71.171199788
0.260138941,-36.52302134
0.264788712,1.7095013
0.269999707,31.573226438
0.276476689,60.23732689
0.281683082,65.000470496
0.287169977,64.98158251
0.29603452,70.927400544
0.29898944,73.307761488
