rotation (rad),moment (kN.m)
0.000563549,0.464557041
0.005209832,253.067405054
0.000563549,5.303692059
-0.005131894,-246.331329244
0.000563549,3.368037905
0.005359712,254.035232131
0.000263789,5.303692059
-0.005131894,-245.363502167
0.000713429,3.368037905
0.005059952,253.067405054
0.000413669,4.335864982
-0.005281775,-244.39567509
0.000263789,5.303692059
0.005209832,261.777848013
0.006408873,285.005696026
0.007308153,303.394409388
0.009256595,322.75094946
0.010755396,342.107489532
0.013752998,353.721413355
0.014952038,334.364873283
0.014652278,286.94135018
0.014352518,237.582172923
0.007158273,8.207172923
0.00176259,-215.360864982
-0.000635492,-283.108755234
-0.002883693,-324.725316609
-0.003782974,-350.856645486
-0.007529976,-361.502742599
-0.009928058,-359.567088445
-0.015023981,-341.17837545
-0.01427458,-300.529641519
-0.01367506,-247.299155954
-0.012775779,-208.58607581
-0.007380096,-9.213712995
-0.003033573,183.383860648
-0.000635492,232.743037905
0.00221223,276.295253067
0.004010791,307.265717329
0.005809353,324.686603247
0.011354916,321.783122383
0.014952038,303.394409388
0.011504796,167.898628517
0.007158273,19.821097113
0.004160671,-116.642510468
0.00176259,-157.291244766
0.000713429,-192.133016969
-0.001534772,-242.460020936
-0.003483213,-269.559177257
-0.005731415,-290.851371483
-0.009028777,-294.722679424
-0.015173861,-282.140928157
-0.012326139,-166.001687725
-0.008429257,-18.891983031
-0.004982014,89.504641519
-0.003633094,135.960337545
-0.001085132,187.255168956
0.00131295,225.9682491
0.003261391,251.1317509
0.007158273,275.32742599
0.010005995,267.584810108
0.022745803,237.582172923
0.029940048,216.289979064
0.028741007,140.799472563
0.023794964,4.335864982
0.018998801,-114.706856681
0.016001199,-164.066033938
0.014352518,-193.100844046
0.011504796,-221.167827077
0.009556355,-236.653059208
0.007158273,-247.299155954
-0.008429257,-212.457384118
-0.018021583,-194.068670756
-0.02911271,-168.905168956
-0.030761391,-149.548628517
-0.03001199,-134.063396753
-0.024166667,-9.213712995
-0.023417266,13.046307941
-0.022218225,44.98459928
-0.020269784,67.244620216
-0.018171463,104.022046573
-0.016522782,132.089029604
-0.01382494,154.34905054
-0.010827338,167.898628517
-0.004832134,170.802109748
0.008057554,152.413396753
0.01720024,134.992510468
0.026342926,127.249894586
0.029940048,117.57162455
0.026342926,72.083755234
0.023645084,-6.310232131
0.022296163,-37.280696026
0.020347722,-69.218987365
0.018848921,-91.479008301
0.016001199,-120.513818409
0.012104317,-150.516455594
0.007607914,-153.419936825
-0.006630695,-144.709493499
-0.016223022,-131.159915522
-0.025215827,-122.449472563
-0.02956235,-114.706856681
-0.030611511,-99.22162455
-0.02986211,-62.444198193
-0.027613909,-33.409388085
-0.025065947,21.7567509
-0.024166667,44.98459928
-0.020269784,82.729852347
-0.018021583,98.215084478
-0.0133753,114.668143319
-0.007529976,116.603797473
0.004910072,107.893354514
0.015251799,98.215084478
0.026492806,94.343776537
0.037434053,96.279430324
0.044328537,82.729852347
0.044628297,55.630696026
0.042529976,19.821097113
0.039082734,-24.698945126
0.031288969,-84.704219496
0.026942446,-100.189451627
0.013303357,-92.446835378
-0.015473621,-78.897257401
-0.033609113,-72.122468229
-0.04440048,-71.154641519
-0.046348921,-66.315506501
-0.04485012,-30.505907221
-0.042601918,9.175
-0.038405276,51.759388085
-0.035407674,69.18027437
-0.027014388,85.633333211
-0.008878897,74.987236465
0.014052758,69.18027437
0.034886091,67.244620216
0.044778177,63.373312275
0.042529976,26.595885918
0.041181055,5.303692059
0.038633094,-19.859810108
0.031738609,-47.926793139
0.027541966,-62.444198193
0.016450839,-64.379852347
-0.014874101,-51.798101447
-0.033009592,-52.765928157
-0.0457494,-42.119831044
-0.044100719,-14.052848013
-0.040803357,13.046307941
-0.035557554,36.274155954
-0.028513189,51.759388085
-0.015923261,51.759388085
-0.003633094,52.727215162
0.014652278,47.888080144
0.03293765,44.016772203
0.04942446,40.145464262
0.059916067,41.113290972
0.058417266,9.175
0.054370504,-26.63459928
0.046726619,-45.023312275
0.036384892,-48.894620216
0.014652278,-44.055485198
0.00236211,-40.184177257
-0.01427458,-34.377215162
-0.034058753,-31.473734298
-0.047398082,-31.473734298
-0.054142686,-29.538080144
-0.058489209,-20.827637185
-0.059088729,-0.503270036
-0.056840528,25.628059208
-0.052344125,31.435020936
-0.043950839,40.145464262
-0.027763789,34.338502167
-0.014724221,32.402848013
0.012553957,22.724577977
0.031288969,18.853270036
0.045677458,10.142827077
0.054820144,8.207172923
0.059766187,0.464557041
