rotation (rad),moment (kN.m)
0.0008,46.19565
0.001399,85.5171
0.001997,126.47502
0.002596,167.43807
0.003594,218.2302
0.004392,257.55165
0.005191,301.78764
0.006188,341.11422
0.007186,380.43567
0.008384,419.76225
0.009382,459.0837
0.010579,482.02506
0.012376,519.71517
0.012974,534.46392
0.015569,568.87596
0.019162,595.10565
0.023553,613.14786
0.028144,629.54847
0.032934,636.12513
0.037126,629.58951
0.041717,619.78095
0.046507,613.24533
0.050499,603.43677
0.05509,593.62308
0.059681,582.17805
0.064471,572.36949
0.068862,560.91933
0.073653,549.4743
0.078244,534.74607
0.082834,524.93751
0.08568,517.96071
0.088572,509.7168
0.092814,498.76938
0.097605,492.23889
0.100399,487.33461
0.10519,479.16252
0.10998,472.63203
0.11477,462.82347
0.119162,454.65138
0.123952,446.47929
0.128743,439.9488
0.133533,433.41831
0.138323,423.60975
0.142914,420.3522
0.147705,415.45818
0.150699,410.5539
0.155489,405.65988
0.160279,399.12939
0.165269,394.23537
0.17006,387.70488
0.174651,384.44733
0.179441,379.55331
0.184431,376.30089
0.189221,371.40687
0.194211,369.79092
0.199002,364.8969
0.200599,364.90203
0.205389,360.00801
0.210179,355.11399
0.21497,350.21997
0.21996,350.24562
0.22475,345.3516
0.229541,342.09405
0.234531,340.4781
0.239321,335.58408
0.244111,330.69006
0.249101,330.71058
0.250499,330.72084
0.255289,325.82682
0.260279,325.84734
0.265269,320.95332
0.270259,320.97384
0.275049,316.07982
