rotation (rad),moment (kN.m)
-0.000708986,-13.37499688
0.0025,566.2257
0.005014394,1132.451383
-0.000580213,-16.48273007
-0.006693347,-1091.174642
-0.000580556,-10.30160327
0.004882701,1188.098694
0.006795245,1484.535233
0.007557241,1657.503764
0.008837077,1768.592349
0.01125819,2170.039364
0.011403275,1873.328108
0.001090237,8.018569753
-0.009988575,-1962.267105
-0.011776294,-2190.72842
-0.012293448,-2141.210726
-0.013071927,-2017.485171
-0.001995519,-3.931608717
0.005393331,1256.022409
0.01023487,2071.278694
0.012536653,2305.852456
0.014199892,2460.157418
0.016635771,2595.815982
0.019070276,2756.199052
0.021891617,2897.987233
0.023430031,2984.31697
0.025486973,2996.404507
0.025365925,2860.436888
0.009189058,62.56701372
0.000644509,-1228.13811
-0.006644585,-1968.894647
-0.010229982,-2246.564598
-0.012021135,-2413.214645
-0.014839729,-2604.45184
-0.018045845,-2764.731892
-0.020352435,-2912.769878
-0.023173433,-3060.739186
-0.025098682,-3128.474034
-0.026639157,-3177.71701
-0.026650145,-2979.920953
-0.020533577,-1967.040309
-0.009709909,-33.80705489
-0.004995254,750.5607656
-0.003590593,929.6245748
-0.002314191,1102.524427
-1.54981e-05,1392.72833
0.002927233,1664.303004
0.005995819,1985.309522
0.008685811,2176.563887
0.011120317,2336.946957
0.013426221,2497.347198
0.016374446,2670.023843
0.019708821,2836.467851
0.023175918,2928.721169
0.025488689,2965.498873
0.021551483,2075.948879
0.009705869,19.23044697
0.003201092,-950.3308002
-0.000756718,-1469.013187
-0.004845534,-1944.410517
-0.007656573,-2271.632502
-0.011756033,-2555.414901
-0.01675502,-2851.439365
-0.020475543,-3011.650737
-0.024841135,-3134.6895
-0.026382983,-3159.20797
-0.027032173,-3047.861838
-0.010349484,-95.53247385
-0.006270283,552.9364061
-0.00410294,892.6064933
-0.001931476,1158.103059
0.0016498,1509.946532
0.004464617,1769.176122
0.00778869,2121.053934
0.010093563,2299.997555
0.012402214,2410.948781
0.015604209,2645.402354
0.018425207,2793.371662
0.021762329,2910.366656
0.026383408,3064.276713
0.031008951,3137.832122
0.035892728,3192.809811
0.041550176,3210.59772
0.045408229,3210.082627
0.049653118,3190.972643
0.049536535,2974.650375
0.030152865,28.86270289
0.021087384,-1144.332333
0.018915233,-1397.466645
0.015718388,-1724.63712
0.013029427,-1934.434865
0.009826401,-2150.345058
0.006109999,-2384.729952
0.002005387,-2575.795449
-0.004667483,-2834.509945
-0.009674367,-2988.368493
-0.014425422,-3117.536873
-0.0196926,-3215.73094
-0.02791762,-3313.530102
-0.033318894,-3312.80897
-0.03923698,-3268.751272
-0.045156439,-3199.969067
-0.050695587,-3032.340342
-0.031957329,-43.19893366
-0.029783805,185.2108712
-0.027866797,401.2927621
-0.024800271,759.386041
-0.022116117,1055.719561
-0.01853278,1370.476274
-0.015072895,1592.533254
-0.011999845,1833.185124
-0.008411357,2055.224934
-0.005076983,2221.668943
-0.001100286,2400.389356
0.003006386,2554.368092
0.00775641,2702.079853
0.01212269,2812.756362
0.016748576,2880.130644
0.020348396,2898.19327
0.027678697,2897.214592
0.024896503,2050.777957
0.01703411,55.33852933
