rotation (rad),moment (kN.m)
-0.00052122,-11.27592978
0.0051,1249.2
0.01015553,2498.318331
-0.000174777,11.15928223
-0.012575967,-2834.574334
-0.000174388,-0.038882516
0.010155141,2509.516496
-0.000175166,22.35744697
-0.012575578,-2845.772498
-0.000175555,33.55561172
0.009807532,2520.675778
0.010147754,2722.281626
0.012223302,2946.478216
0.014299629,3148.278477
0.018804946,3395.143574
0.025395144,3597.449307
0.022641484,2902.852033
0.010935513,34.79985225
0.001273986,-1713.202558
-0.002178004,-2295.89595
-0.004248887,-2654.470517
-0.006671657,-2878.70599
-0.01256158,-3248.906429
-0.017066509,-3506.969691
-0.023657484,-3686.879095
-0.024709256,-3395.843459
-0.009199798,-68.23881642
-0.004027645,973.7737426
-0.000572934,1478.079981
0.001840893,1959.873243
0.004263662,2184.108716
0.007721873,2587.631472
0.010834419,2946.322686
0.012913078,3080.933958
0.016031845,3260.454537
0.021579602,3485.039952
0.025743142,3575.09186
0.023330871,3048.505939
0.011626067,146.8592647
0.00335109,-1533.798627
-0.000104011,-2026.906701
-0.0035595,-2508.816611
-0.00493944,-2766.52993
-0.009095981,-3058.148803
-0.01255847,-3338.491747
-0.016025235,-3495.654879
-0.02053444,-3630.538328
-0.024353092,-3653.362366
-0.022981706,-3149.289422
-0.009542742,-191.4575111
-0.0043702,839.3568832
-0.001263487,1366.020569
0.001497949,1836.654548
0.00357272,2083.247468
0.004603496,2396.912728
0.009105313,2744.561308
0.012220969,3013.667205
0.01568268,3316.406478
0.020884772,3496.160351
0.028515466,3732.177227
0.036843323,3889.884713
0.05107238,4093.045862
0.048334273,2950.521998
0.036280693,93.62909968
0.028680716,-1027.04279
0.02418823,-1643.447324
0.021077629,-2058.129362
0.015880592,-2383.459377
0.010339833,-2809.611758
0.002019752,-3191.28254
-0.011506309,-3640.725548
-0.026425919,-3955.946109
-0.038921205,-4091.723856
-0.050723215,-4193.829345
-0.046595836,-3062.348115
-0.035584307,-194.3736999
-0.033520423,365.7678325
-0.029032214,1105.352178
-0.021426016,2046.853432
-0.015190427,2461.885413
-0.00652507,2899.585901
0.002141066,3314.89006
0.012547582,3607.208819
0.027121916,3866.399673
0.041700138,4013.608881
0.05107,4093
0.049022494,3129.770399
0.038010965,261.7959834
0.031105819,-869.9963062
0.024880339,-1576.18057
0.018308027,-2293.601882
0.012417715,-2652.604157
0.004792465,-3045.395338
-0.003181951,-3382.234578
-0.009424928,-3584.501429
-0.018794448,-3742.325563
-0.032327119,-4001.399771
-0.043782686,-4081.070047
-0.050725937,-4115.442191
-0.046589614,-3241.518751
-0.036621693,-317.6701596
-0.034209421,208.915761
-0.030760542,881.1944709
-0.02453584,1609.775065
-0.021770515,1968.427397
-0.01761553,2304.838929
-0.011377996,2663.880086
-0.003404748,3034.313821
0.007691545,3461.088322
0.017752785,3697.377374
0.030940568,3889.223711
0.039617202,4002.177421
0.04933822,4036.860626
0.058715127,3981.91963
0.063234831,3814.452631
0.068448588,3658.261563
0.071232187,3490.600152
0.055379785,39.77681436
