rotation (rad),moment (kN.m)
0.000248,0.1458
0.011435,21.3658
0.021681,35.5765
0.024041,37.6595
0.026008,39.3259
0.027976,41.4089
0.030728,43.1679
0.035049,45.1583
0.039762,46.871
0.044866,48.1671
0.050952,49.741
0.058408,50.6667
0.065864,51.5462
0.074104,52.1017
0.081951,52.7034
0.090777,52.7497
0.095386,52.5183
0.099405,52.0323
0.103321,50.1344
0.105669,48.3523
0.10839,46.423
0.111349,44.411
0.114061,42.3989
0.117267,40.3869
0.11998,38.8122
0.123185,36.7127
0.127381,35.0505
0.130711,33.3301
0.1354,31.5222
0.13972,30.0058
0.143792,28.3437
0.1491,26.8565
0.155027,25.5443
0.159965,24.3196
0.165891,23.0074
0.171324,21.841
0.178487,20.7912
0.184784,19.5956
0.192318,18.4584
0.199728,17.3795
0.206521,16.6213
0.213684,15.6299
0.221836,14.7842
0.229741,13.8511
0.236534,12.918
0.244687,12.3639
0.252718,12.4514
0.257537,12.568
0.261243,12.3931
0.265072,11.7516
0.268777,11.1975
0.272111,10.6435
0.274209,10.0603
