rotation (rad),moment (kN.m)
0.00038738900000000003,0.039463696
0.00448935,9.476307091
0.00735242,13.13464405
0.012462642,18.81425085
0.015935932,22.08689279
0.020018628,24.68487368
0.025933885,26.80002356
0.027750708,20.73051613
0.015876511,0.992373242
0.001961915,-19.70763307
-0.002941825,-24.42415546
-0.007227747,-26.82935667
-0.011308543999999999,-28.75308352
-0.016813551,-29.90528465
-0.020484369,-30.96238477
-0.025987747000000002,-31.53665386
-0.024340776,-25.56577474
-0.010414785,-0.820244133
-0.001404471,14.97059577
0.008822484,28.64153753
0.01086641,30.85558705
0.013318143999999999,33.16568724
0.015766079,34.12727933
0.01984145,34.12456604
0.023916549,34.02553073
0.027989206000000003,33.05959737
0.027975911000000003,28.33981902
0.027560777,25.64307415
0.012819983,0.994408214
0.002174909,-16.43282049
-0.004786324000000001,-28.17949275
-0.0066259380000000005,-30.20103392
-0.008260699,-31.83742272
-0.009690063,-32.89601514
-0.017232755,-34.04685963
-0.022124827000000003,-34.62153572
-0.025385124,-34.61936508
-0.025968482999999997,-24.69779136
-0.013675352,-0.9143955029999999
-0.002208964,18.72769671
0.006993994,30.56919866
0.009850823,32.01212946
0.015150704,32.68285622
0.019430657,32.96897328
0.024117876,33.15849701
0.03206322,32.57527404
0.035321346,31.80252734
0.04081984,30.64300031
0.047538504,28.61576122
0.052221381,27.26413283
0.05362741099999999,20.03903265
0.042366419,0.974736818
0.026195989,-24.82884355
0.020467679,-32.91609353
0.01842104,-36.09336312
0.014952091,-37.82485294
0.011893121000000001,-38.68971603
0.009037919,-39.55471479
0.00455257,-40.41862823
0.001291731,-40.60910161
-0.003598985,-40.70216766
-0.006857925,-40.21838698
-0.010930311000000002,-39.15613161
-0.014593803,-37.61253753
-0.017848402,-35.58760475
-0.028623713999999998,-26.91143388
-0.035739875,-21.3200092
-0.040620552000000004,-17.84916099
-0.045502857,-14.95624482
-0.048350732,-13.22054939
-0.051809099000000004,-11.19548094
-0.052815732000000004,-6.860312298999999
-0.052604366,-4.163431767
-0.048713770999999996,2.576531096
-0.038278435,17.88481131
-0.033987357,22.12013066
-0.029900862,26.06661966
-0.026227602000000003,27.99061783
-0.02174171,29.04717528
-0.016039718999999997,27.79119058
-0.005662175,22.58288329
0.004715095999999999,17.278254
0.014075153,12.55223507
0.030360897999999997,6.954705478999999
0.041762711,3.67216001
0.050516346,0.680344205
