rotation (rad),moment (kN.mm)
0.000656518,0.073921497
0.003926031,13.37865749
0.00915725,27.45172892
0.016350178,44.38289914
0.020709528,52.57393603
0.0242515,58.83732287
0.026976093,61.88705142
0.029973146000000003,65.90083205
0.033787578,69.10949525
0.035967253,71.99938097
0.040599062000000005,73.59917158
0.041143981,69.09723457
0.04141644,65.72100887
0.040326602,61.86480057
0.039236765,55.9188289
0.029428227999999997,22.98121556
0.022616742999999998,1.451930175
0.013353125,-23.77054198
0.010356072,-30.35633908
0.008993775,-34.21209327
0.006541641,-38.70903519
0.005451803000000001,-41.92223937
0.003272128,-44.97287612
0.001092453,-50.43477831
-0.003266897,-57.500558
-0.0070813280000000004,-62.63823353
-0.010895759,-66.8114029
-0.018524622,-73.55023134
-0.025608565,-77.39644945
-0.031875131,-80.44027473
-0.035689562,-81.55917454
-0.038686615,-82.3579346
-0.040048912,-78.9798925
-0.040048912,-74.15736163
-0.029422996,-35.59482458
-0.018797081,-2.1763204469999997
-0.008443625,26.90236001
-0.003266897,42.64733295
0.003544587,56.94282204
0.005724262,62.72622629
0.009811153000000001,70.27471315
0.012808206,76.0567551
0.016622637,80.87292858
0.019074772,83.76236021
0.025068878,86.32438649
0.03269774,87.75843098
0.037602009,89.03626543
0.040599062000000005,89.51352343
0.042233818,87.0995334
0.041688899,83.56391897
0.041688899,77.77688193
0.03705709,62.35250285
0.025068878,23.95298732
0.017440015,1.460558055
0.008721315,-21.67305893
0.004089506,-34.52542155
-0.0010872219999999999,-47.05537392
-0.004356734,-54.28372102
-0.006536409,-58.62036601
-0.013620353,-72.27239689
-0.016617406,-76.44692855
-0.020704297,-80.61964381
-0.023973809,-82.06095388
-0.029967915,-83.81922502
-0.033782346,-84.45587175
-0.038686615,-84.76920003
-0.04086629,-84.12256312
-0.040321371,-77.8541812
-0.039503993,-72.22925749
-0.029150537,-37.68504205
-0.018524622,-3.623533805
-0.008716084,25.45605485
-0.0035393559999999996,41.20102779
0.0016373720000000002,54.69548633
0.005451803000000001,60.95841907
0.008176397,68.18767437
0.011718369,74.12955915
0.014442962,78.30454491
0.017712475,82.31787145
0.021799365,85.36532951
0.026703634,88.25067425
0.034877415,90.48756568
0.043596115,91.59829172
0.052314815,91.42300952
0.064030568,90.76047915
0.070842052,89.94537153
0.081195508,88.80285857
0.083102724,83.17339387
0.082557805,75.45825269
0.075201402,48.46434052
0.064303027,16.49304974
0.05912629900000001,1.8733340019999998
0.039236765,-48.89084188
0.033787578,-59.49132779999999
0.029700687000000003,-66.23605953
0.027248553,-71.21525453
0.020981987,-78.11710449
0.017167556,-82.45102488
0.011718369,-86.2999676
0.005451803000000001,-89.02229081
-0.00026984400000000004,-90.78101605
-0.006536409,-91.73507795
-0.020595313,-93.83356002
-0.036288972999999995,-94.38610762
-0.051982632,-93.00964288
-0.06898409700000001,-90.85939353
