rotation (rad),moment (kN.m)
-3.37533e-05,167.223470912
0.007656864,2730.815351289
0.007496643,2465.14441051
0.001087795,55.311231541
-0.007991406,-2909.989556871
-0.007670964,-2443.580898462
-0.000834859,7.666814109
0.00755005,2748.501065285
0.007443236,2465.132739152
0.001301423,108.485111437
-0.007884592,-2909.966208073
-0.007670964,-2437.677879558
-0.000834859,7.666814109
0.007603457,2748.512739684
0.008190935,2866.70155744
0.008885227,2990.816745939
0.009846554,3114.990303392
0.010807881,3298.194062049
0.011876022,3381.069823808
0.013050978,3458.06591242
0.014492969,3517.411307192
0.017003101,3606.505278382
0.017270136,3370.442830356
0.015400889,2797.441268022
0.007817085,44.976082859
0.003651334,-1189.665738807
0.002369565,-1526.418071854
0.001301423,-1792.287465252
1.96538e-05,-2075.912615999
-0.001796186,-2400.975646105
-0.00446654,-2820.673781223
-0.00628238,-3063.094525386
-0.009166361,-3305.748745365
-0.012263971,-3554.352681844
-0.014133219,-3649.209588273
-0.015254767,-3732.09702139
-0.016643351,-3791.430744804
-0.017444457,-3791.605848625
-0.016856979,-3366.459968795
-0.015575209,-2923.453268107
-0.007991406,-94.248815905
-0.005534681,679.583853169
-0.004199504,1034.056920368
-0.002543885,1441.727216261
-0.00136893,1743.038081004
0.001301423,2233.572461216
0.003170671,2517.326021229
0.005253546,2836.544401385
0.006321688,2937.129222897
0.0079239,3102.764005466
0.00973974,3244.833403933
0.011982836,3386.99619151
0.01337142,3458.135952732
0.015347482,3576.628289657
0.017109915,3600.625605235
0.017270136,3435.376053505
0.015667924,2844.723800372
0.008137528,127.688409114
0.004078591,-1101.027041809
0.002850228,-1455.476763251
0.001782087,-1680.025015198
0.000553724,-1963.638488505
-0.000888266,-2282.716784996
-0.003238177,-2661.02373531
-0.005107424,-2921.165213625
-0.007243707,-3157.752982237
-0.010661759,-3435.94205963
-0.012798042,-3583.984520354
-0.015254767,-3732.09702139
-0.016803572,-3779.659724111
-0.017497864,-3791.617523024
-0.017070607,-3413.730826746
-0.015361581,-2823.055224815
-0.00809822,-182.81746955
-0.005641495,608.724259277
-0.00446654,974.968347169
-0.002330257,1518.513177855
-0.001048488,1849.362488957
0.00172868,2304.50209542
0.003597927,2605.964718227
0.004719476,2789.203500081
0.006001245,2913.447097846
0.007069386,3025.837960207
0.008564784,3138.322214719
0.010327217,3286.282957691
0.012623721,3440.263460516
0.014546376,3546.938082193
0.01646903,3600.48552157
0.018231463,3648.094915805
0.021329073,3695.996157851
0.026082302,3738.356263034
0.030248053,3733.363795555
0.030087832,3390.953587737
0.028325399,2853.393496748
0.020047303,83.067490727
0.015294075,-1193.023884697
0.011341952,-1996.698516258
0.009419297,-2292.269791519
0.008084121,-2493.264330722
0.005787617,-2729.88711949
0.004025184,-2907.362963064
0.002049122,-3084.885504234
-0.001101895,-3298.082989524
-0.003879062,-3434.459496105
-0.007937999,-3636.049393165
-0.011409458,-3725.353491373
-0.015147953,-3808.812939631
-0.020061403,-3845.305046066
-0.030742816,-3888.960936554
-0.030529188,-3605.569261623
-0.030368967,-3440.249669581
-0.029247418,-3103.53235669
-0.028606533,-2884.980515798
-0.020648881,-108.821531185
-0.017604678,753.684852002
-0.016589944,1007.736533193
-0.014880918,1374.097358993
-0.01338552,1740.411487197
-0.011249237,2047.835500903
-0.008845919,2343.511839673
-0.006549415,2650.970870494
-0.00446654,2858.031861064
-0.001101895,3094.888125648
0.003063857,3278.792308712
0.006108059,3373.906039755
0.009526111,3433.683362962
0.012410093,3493.343948261
0.020527967,3565.95460165
0.023785798,3548.957637662
