rotation (rad),moment (kN.m)
-0.0002,0
0.0082,13.57865969
-0.0003,0
-0.008,-13.25146254
-0.0003,0.24539758
0.0084,13.49686012
0.0001,0.08179957
-0.00791,-13.33326211
-0.0001,0.08179957
0.0082,13.7422577
0.00988,15.70543721
0.01265,17.9140143
0.01581,19.05920263
0.01917,19.95899338
0.02391,20.53158698
0.01996,13.90585571
0.0165,8.26171476
0.01334,3.599163
0.01077,-0.16359801
0.00751,-4.98974778
0.00593,-6.78932928
0.00385,-9.32510352
0.00247,-10.87928744
0.00049,-13.41506055
-0.00217,-15.21464205
-0.00544,-17.58681715
-0.00949,-19.63179623
-0.01186,-20.2861894
-0.01611,-20.94058257
-0.01897,-21.02238214
-0.02372,-21.43137773
-0.0248,-20.44978854
-0.02303,-17.50501871
-0.01828,-10.38849228
-0.01542,-5.72594052
-0.01136,0.24539758
-0.00761,5.07154735
-0.00306,10.1430947
0.0004,12.76066738
0.00504,15.46003963
0.00959,17.42321914
0.01344,18.81380505
0.01611,19.7135958
0.01947,20.44978854
0.02391,20.61338655
0.02144,16.19623237
0.01927,13.08786453
0.0167,9.16150551
0.01324,4.00815859
0.01018,0
0.0086,-2.04497908
0.00692,-4.66255176
0.00445,-7.60732159
0.00128,-10.79748787
-0.00049,-12.35167179
-0.00405,-14.72384689
-0.00721,-16.44162995
-0.01166,-18.24121032
-0.0171,-20.20439096
-0.02115,-21.10418171
-0.02441,-21.26777972
-0.0249,-20.2861894
-0.02233,-16.1144328
-0.01838,-10.1430947
-0.01532,-5.64414095
-0.01156,-0.49079516
-0.00968,1.71778193
-0.00702,5.31694493
-0.00385,8.75250879
-0.00138,11.04288545
0.00198,13.66045813
0.00593,15.86903522
0.01156,18.24121032
0.01571,19.46819822
0.02135,20.36798897
0.02698,20.53158698
0.03172,20.69518499
0.03943,20.69518499
0.03805,17.9140143
0.03558,13.7422577
0.03261,8.99790637
0.02836,3.84456058
0.0253,-0.16359801
0.02135,-5.56234251
0.01838,-8.83430836
0.01472,-11.45188104
0.01097,-14.15125329
0.00603,-16.52342839
0.00198,-17.75041629
-0.00237,-19.05920263
-0.00899,-20.04079182
-0.01532,-20.69518499
-0.01996,-20.94058257
-0.025,-20.94058257
-0.02945,-20.85878413
-0.03409,-20.61338655
-0.03913,-20.53158698
-0.03894,-19.38639865
-0.03538,-14.23305286
-0.03103,-8.17991519
-0.02708,-2.3721751
-0.0251,0.32719715
-0.02135,4.74435133
-0.01838,8.09811562
-0.01413,11.04288545
-0.01127,12.92426652
-0.00623,15.05104404
-0.00662,14.72384689
0.0002,17.01422355
0.00741,18.32300989
0.01423,18.89560462
0.02164,19.54999779
0.02846,19.79539424
0.03884,19.7135958
0.03805,17.75041629
0.03548,13.49686012
0.03291,9.40690196
0.02965,5.3987445
0.02668,1.47238435
0.0255,-0.08179957
0.02204,-4.41715418
0.01937,-7.11652643
0.01571,-9.97949669
0.01196,-12.5152698
0.0081,-14.72384689
0.00277,-16.60522796
-0.00356,-17.99581387
-0.01057,-18.65020704
-0.01967,-19.30460021
-0.02925,-19.7135958
-0.03894,-19.7135958
-0.03874,-17.9140143
-0.03488,-11.77907819
-0.03054,-5.80774009
-0.02589,0.32719715
-0.02125,5.15334692
-0.0171,9.24330395
-0.01176,12.67886894
-0.00316,15.46003963
0.00247,16.44162995
0.00978,17.50501871
0.01789,17.99581387
0.025,18.40480946
0.03251,18.73200548
0.03894,18.65020704
0.03716,15.29644162
0.03429,11.69727862
0.03073,6.70753084
0.02718,2.12677752
0.0252,-0.40899559
0.02194,-4.66255176
0.01907,-7.44372245
0.01561,-10.06129513
0.01176,-12.59706937
0.00385,-15.21464205
-0.00306,-16.68702753
-0.01216,-17.50501871
-0.025,-18.32300989
-0.0333,-18.73200548
-0.04012,-18.40480946
-0.03992,-17.25962113
-0.03597,-11.61547905
-0.03152,-5.72594052
-0.02678,0.49079516
-0.02164,5.64414095
-0.0168,9.32510352
-0.01117,12.67886894
-0.00346,14.72384689
0.00494,16.03263323
0.01384,16.85062554
0.02688,17.42321914
0.03676,17.58681715
0.04674,17.66861672
0.05712,17.3414207
0.05564,14.47845044
0.0505,8.01631718
0.04714,3.84456058
0.04378,-0.24539758
