rotation (rad),moment (kN.m)
0,0
3.9658e-06,0.17312
-8.522e-06,-0.37202
8.1198e-07,0.035446
1.0768e-05,0.47007
9.579e-06,0.41816
-4.9468e-06,-0.21595
1.0202e-05,0.44536
1.0268e-07,0.0044824
-9.4646e-06,-0.41317
9.6215e-06,0.42002
-5.7565e-06,-0.2513
1.0232e-05,0.44667
1.0661e-05,0.4654
-1.5439e-07,-0.0067398
6.9608e-06,0.30387
-1.5966e-05,-0.69698
1.3336e-05,0.58217
7.3908e-06,0.32264
-3.4055e-06,-0.14866
6.0145e-06,0.26256
3.3247e-06,0.14514
9.6861e-06,0.42284
-1.1231e-05,-0.49028
-3.2833e-06,-0.14333
1.0025e-05,0.43763
2.9877e-06,0.13043
9.6404e-06,0.42084
6.6899e-06,0.29204
-7.4734e-06,-0.32625
6.1088e-06,0.26667
2.633e-06,0.11494
-5.4727e-06,-0.23891
-1.994e-06,-0.087047
9.5008e-06,0.41475
3.6149e-06,0.15781
1.3866e-05,0.60531
-1.9348e-05,-0.84462
3.4688e-08,0.0015143
-9.1794e-06,-0.40072
-1.4254e-05,-0.62225
1.0407e-05,0.45431
-1.3423e-05,-0.58597
-5.0209e-06,-0.21918
-8.6783e-07,-0.037884
-2.9814e-06,-0.13015
-9.6045e-06,-0.41928
-7.768e-06,-0.33911
-4.644e-06,-0.20273
1.3673e-05,0.59688
4.7861e-06,0.20893
-1.8828e-06,-0.082192
-2.125e-06,-0.092765
-2.553e-06,-0.11145
4.8471e-06,0.2116
-7.0311e-06,-0.30694
-1.0872e-05,-0.47461
-1.3293e-05,-0.5803
-1.2028e-05,-0.52507
-2.1301e-05,-0.92988
2.4277e-06,0.10598
9.0465e-06,0.39492
9.9953e-06,0.43634
1.8087e-06,0.078957
1.3531e-05,0.59069
-1.1008e-05,-0.48055
-1.1311e-05,-0.49377
3.7207e-06,0.16242
-1.2285e-05,-0.53629
-3.446e-06,-0.15043
3.2652e-06,0.14254
7.7644e-06,0.33895
5.7888e-06,0.25271
-2.1955e-06,-0.095843
1.7962e-06,0.078412
-5.1679e-06,-0.2256
-6.5238e-06,-0.28479
-1.121e-05,-0.48936
-1.1671e-05,-0.50949
-1.0837e-05,-0.47308
4.3877e-06,0.19154
6.0194e-06,0.26277
-1.3268e-05,-0.5792
-6.9723e-07,-0.030437
-2.3961e-06,-0.1046
-8.1272e-06,-0.35479
-1.8876e-06,-0.082402
-6.3381e-07,-0.027668
9.8767e-06,0.43116
3.8589e-06,0.16846
8.2953e-06,0.36212
-6.0391e-06,-0.26363
1.2191e-06,0.053219
-1.7116e-06,-0.074719
-3.2837e-06,-0.14335
-7.6265e-06,-0.33293
-9.4936e-06,-0.41444
1.8938e-06,0.082672
-1.5339e-05,-0.66961
-4.4367e-06,-0.19368
3.2539e-06,0.14205
3.4278e-06,0.14964
1.7496e-06,0.076377
-1.4273e-06,-0.062308
-3.7458e-06,-0.16352
1.4422e-05,0.62958
-8.3922e-06,-0.36636
-1.0644e-05,-0.46466
3.5213e-06,0.15372
-1.3073e-05,-0.57069
9.1276e-07,0.039846
3.6341e-06,0.15864
3.5093e-06,0.1532
9.1119e-06,0.39777
-7.2649e-06,-0.31714
6.5053e-06,0.28398
-9.3053e-06,-0.40622
8.8862e-06,0.38792
-6.5306e-06,-0.28509
-4.6623e-06,-0.20353
-4.7368e-06,-0.20678
3.5333e-06,0.15424
1.27e-05,0.55441
-2.707e-06,-0.11817
-1.5703e-05,-0.6855
3.0222e-06,0.13193
-5.7202e-06,-0.24971
-2.9859e-05,-1.3035
3.4972e-06,0.15267
1.3001e-05,0.56755
-1.3634e-05,-0.59518
-1.2583e-05,-0.5493
4.0975e-06,0.17887
1.1012e-06,0.048072
-1.5332e-05,-0.66931
-1.0178e-06,-0.044431
-1.3036e-05,-0.56908
3.4898e-06,0.15234
-3.2911e-06,-0.14367
5.641e-06,0.24625
-2.0059e-06,-0.087566
-5.8327e-06,-0.25462
-1.4235e-05,-0.62142
-1.7416e-05,-0.76028
-1.5932e-05,-0.6955
5.6523e-06,0.24675
-3.2124e-06,-0.14023
-1.2606e-05,-0.55031
7.0531e-06,0.3079
-9.3184e-06,-0.40679
-1.0135e-05,-0.44244
-8.7442e-06,-0.38172
-1.187e-05,-0.51818
-3.2442e-06,-0.14162
-1.3905e-05,-0.60701
8.45e-06,0.36888
-2.2753e-06,-0.099326
-1.4321e-05,-0.62517
-1.9256e-05,-0.84061
-1.2572e-05,-0.54882
-1.5901e-06,-0.069415
-1.091e-05,-0.47627
-8.5227e-06,-0.37205
1.2511e-06,0.054616
-6.0401e-06,-0.26368
2.137e-06,0.093289
-1.3535e-05,-0.59086
-4.2079e-06,-0.18369
1.6368e-05,0.71453
-4.3981e-06,-0.192
-7.2241e-07,-0.031536
-1.0685e-05,-0.46645
8.9349e-07,0.039005
-7.5871e-06,-0.33121
-5.0472e-06,-0.22033
8.1409e-06,0.35538
2.5609e-06,0.11179
4.388e-06,0.19155
9.1067e-07,0.039755
1.0985e-05,0.47954
3.5063e-06,0.15306
1.1753e-05,0.51307
1.3195e-06,0.057602
2.6141e-06,0.11412
1.5524e-05,0.67769
-1.0159e-05,-0.44348
0.0001459,6.3692
0.00016983,7.4138
0.00016755,7.3143
0.000187,8.1633
0.00021157,9.2359
0.00030179,13.591
0.00033197,13.776
0.00036056,14.011
0.00035988,16.655
0.00043025,16.431
0.00045457,18.295
0.00053231,22.23
0.0006121,24.315
0.00065908,24.412
0.00072361,27.328
0.00072653,26.899
0.00073005,28.801
0.00091508,35.239
0.00096893,34.537
0.00096399,35.895
0.0010693,38.22
0.0010923,40.912
0.0011201,42.717
0.0013364,44.701
0.0013531,46.5
0.001382,46.685
0.0015062,48.83
0.0014995,48.407
0.0015038,51.059
0.0016701,54.357
0.0016834,53.634
0.0016928,54.829
0.0017437,55.856
0.0018028,57.897
0.0018849,61.05
0.0019492,61.664
0.0020035,62.312
0.0020523,64.808
0.0020782,64.262
0.0020892,64.658
0.0021733,67.962
0.0023022,69.16
0.0023095,70.104
0.0023517,72.956
0.0024051,73.054
0.0024404,74.593
0.0026539,79.425
0.0026762,79.747
0.0027058,81.113
0.0028075,82.566
0.0028016,83.043
0.0028288,84.897
0.0030501,88.354
0.0030623,88.531
0.003064,89.721
0.0031704,91.038
0.0031855,92.666
0.0032176,94.332
0.0034141,97.076
0.0034499,97.835
0.0034902,99.976
0.0035029,99.783
0.0035168,99.57
0.003592,102.64
0.0037176,104.03
0.0037212,103.47
0.003743,105.83
0.0037886,105.25
0.0038364,106.88
0.0039981,111.87
0.0040102,112.96
0.0040484,112.35
0.0041375,113.99
0.0041555,114.68
0.0041551,115.14
0.0043878,119
0.0044077,119.42
0.0044224,119.8
0.0044775,122.94
0.0044989,122.78
0.0045493,124.52
0.004741,128.43
0.0047811,128.82
0.004808,129.12
0.0048945,131.35
0.0049152,130.34
0.0049277,132.26
0.0050943,136.11
0.0051104,134.86
0.0051003,135.39
0.0052332,137.18
0.0052265,138.32
0.0052702,140.31
0.0053945,142.46
0.0054663,143.12
0.0055124,144.44
0.0055237,144.85
