rotation (rad),moment (kN.m)
0,0
3.95e-06,0.12903
-1.17e-06,-0.038333
8.7e-06,0.28425
1.71e-05,0.55846
-9.89e-06,-0.32337
-4.46e-06,-0.1458
9.33e-06,0.30502
3.36e-06,0.10977
1.07e-05,0.34976
5.76e-06,0.18835
1.18e-05,0.38467
7.67e-06,0.25078
-4.31e-06,-0.14083
-1.43e-06,-0.046895
9.36e-06,0.30592
1.04e-05,0.33835
-3.41e-07,-0.011161
5.01e-06,0.16371
1.46e-06,0.04785
-2.08e-05,-0.67834
-6.97e-06,-0.22779
7.47e-06,0.24407
-4.3e-06,-0.14072
3.17e-06,0.10348
-1.32e-05,-0.42995
-3.02e-06,-0.098782
7.53e-07,0.024612
9.09e-06,0.29731
1.18e-06,0.038549
3.01e-06,0.098537
9.32e-06,0.30479
1.83e-05,0.59713
-4.28e-06,-0.13982
-5.76e-06,-0.18842
1.4e-05,0.45757
-8.53e-06,-0.279
1.01e-05,0.33018
7.86e-06,0.25684
-7.66e-07,-0.025039
3.22e-06,0.10537
1.52e-05,0.49785
8.89e-06,0.29055
5.35e-06,0.17485
2.34e-06,0.076549
1.03e-05,0.33613
5.64e-06,0.1845
2.95e-06,0.096353
-5.95e-06,-0.19451
-1.04e-05,-0.3409
6.34e-06,0.2071
8.88e-06,0.29026
1.03e-05,0.33698
2.68e-06,0.087487
5.53e-07,0.018086
-8.17e-06,-0.26703
2.73e-06,0.089148
-8.66e-08,-0.0028316
9e-06,0.29421
4.75e-06,0.15512
-8.36e-06,-0.27336
7.59e-06,0.24796
1.76e-06,0.057631
6.79e-07,0.0222
-1.72e-06,-0.056124
-5.63e-07,-0.018394
7.38e-06,0.24125
2.26e-05,0.738
1.16e-05,0.38013
-6.91e-06,-0.22581
-6.77e-06,-0.22142
-7.41e-06,-0.2423
6.98e-06,0.22819
-2.46e-07,-0.0080567
6.18e-06,0.20199
4.23e-06,0.13831
7.89e-06,0.25795
2.73e-05,0.894
4.52e-06,0.1476
-3.9e-06,-0.12735
-1.6e-05,-0.52175
9.73e-06,0.31818
-3.93e-06,-0.1285
5.29e-06,0.1728
-5.99e-06,-0.19574
2.32e-05,0.75876
1.31e-05,0.42796
-1.26e-05,-0.41285
8e-06,0.26161
1.32e-05,0.43024
9.37e-07,0.030632
5.55e-06,0.18152
-8.32e-06,-0.2721
6.06e-06,0.19797
7.82e-06,0.2557
9.17e-06,0.29978
8.95e-06,0.29267
6.22e-06,0.2032
1.18e-05,0.38735
-5.93e-06,-0.1939
1.1e-05,0.35819
8.11e-06,0.26518
-5.03e-06,-0.16428
5.27e-06,0.17213
-5.04e-06,-0.1648
6.45e-06,0.21097
4.27e-06,0.13961
2.87e-05,0.93846
2.79e-06,0.091368
2.38e-06,0.077817
-3.02e-06,-0.098586
-1.49e-05,-0.48739
-1.01e-05,-0.3307
6.36e-06,0.20776
5.06e-06,0.16541
4.59e-07,0.014997
3.81e-06,0.12455
-1.31e-06,-0.042917
1.62e-05,0.52825
-8.93e-06,-0.29192
1.73e-06,0.056493
5.31e-06,0.17349
1.49e-05,0.48615
5.61e-06,0.18351
1.34e-05,0.43888
6.1e-06,0.19932
1.17e-05,0.38356
1.29e-05,0.42112
1.18e-05,0.38644
2.15e-05,0.70243
1.25e-05,0.40801
4.75e-06,0.1552
7.08e-06,0.23129
1.29e-05,0.42027
-2e-06,-0.065535
1.12e-05,0.36552
-4.77e-06,-0.15581
4.31e-06,0.14097
2e-05,0.65411
-1.81e-06,-0.059092
1.62e-05,0.52894
1.8e-05,0.58798
9.93e-06,0.32456
4.92e-06,0.16096
-1.01e-05,-0.33096
9.27e-06,0.30304
-5.24e-06,-0.17129
4.68e-06,0.15309
1.67e-05,0.5447
-4.03e-06,-0.13171
-3.03e-06,-0.099083
-3.94e-06,-0.12873
3.48e-06,0.11367
-1.7e-06,-0.055424
2.34e-05,0.76431
2.17e-05,0.7106
1.12e-05,0.36718
-5.01e-06,-0.1637
9.98e-06,0.32635
-2.12e-06,-0.069416
1.21e-05,0.39455
-2.46e-06,-0.080498
1.95e-06,0.063898
1.19e-05,0.38794
1.99e-05,0.6497
1.24e-05,0.40465
1.46e-05,0.47729
-1.2e-07,-0.0039141
5.76e-06,0.18828
2.56e-05,0.83542
5.11e-06,0.16693
1.13e-05,0.36944
-7.65e-06,-0.25011
5.08e-06,0.16613
8.43e-06,0.27551
1.06e-05,0.34643
1.19e-05,0.38964
5.8e-07,0.018969
9.45e-06,0.30889
9.98e-06,0.32614
6.61e-06,0.21617
-1.32e-05,-0.42998
4.03e-06,0.13171
-7.5e-06,-0.24527
4.45e-06,0.14538
-1.2e-05,-0.39376
5.4e-07,0.017642
2.58e-07,0.0084486
-4.51e-06,-0.14753
-7.16e-06,-0.23408
2e-06,0.065467
4.36e-06,0.14266
1.72e-05,0.56235
2.4e-05,0.78353
6.01e-06,0.19645
8.81e-06,0.28806
2.11e-05,0.6884
7.97e-06,0.26044
1.37e-05,0.4478
1.3e-05,0.42443
1.39e-05,0.45532
9.31e-07,0.030449
2.7e-05,0.88184
-2.89e-06,-0.094571
2.17e-05,0.70786
6.98e-06,0.2282
1.37e-06,0.044891
9.01e-06,0.29454
2.07e-05,0.67579
-5.87e-06,-0.19189
9.97e-06,0.32596
6.8e-06,0.22223
3.47e-06,0.11346
-2.67e-06,-0.087409
2e-06,0.065339
1.02e-05,0.33479
2.4e-06,0.078514
-1.23e-06,-0.040105
2.07e-06,0.067516
1.67e-05,0.54617
3.07e-05,1.0025
1.07e-05,0.35064
1.52e-05,0.49648
-2.11e-07,-0.0069073
1.13e-05,0.36944
2.04e-06,0.066791
9.37e-06,0.30625
3.03e-05,0.9889
4.22e-06,0.13785
1.14e-05,0.37336
1.17e-05,0.38183
1.22e-05,0.39867
2.51e-06,0.082133
2.12e-06,0.069194
1.24e-05,0.40681
1.6e-05,0.52322
-3.31e-07,-0.01082
1.78e-05,0.58059
6.44e-06,0.21065
-5.1e-07,-0.016682
1.97e-05,0.64391
2.22e-05,0.72564
1.58e-05,0.51514
-1.07e-05,-0.35074
1.04e-06,0.034034
8.21e-06,0.26828
-2.87e-06,-0.09381
1.74e-05,0.56859
4.93e-06,0.16129
-6.73e-08,-0.0021997
7.1e-06,0.23224
2.63e-06,0.085951
4.17e-06,0.13643
1.4e-05,0.45921
1.05e-05,0.34316
-1.17e-06,-0.038376
2.82e-05,0.92172
-5.96e-06,-0.19494
9e-06,0.29433
8.33e-06,0.27226
1.95e-05,0.6363
2.31e-06,0.075643
1.65e-05,0.54077
1.13e-05,0.37006
6.29e-06,0.20575
1.37e-05,0.44698
1.85e-05,0.60328
9.15e-07,0.029924
6.54e-06,0.21391
1.08e-05,0.35202
5.79e-06,0.18934
1.06e-05,0.34538
1.33e-05,0.43358
1.78e-05,0.58157
-7.29e-06,-0.23838
1.5e-06,0.049082
5.45e-06,0.17807
1.63e-05,0.53273
-5.56e-06,-0.18185
-3.29e-06,-0.10746
4.19e-06,0.13689
1.97e-05,0.64499
1.46e-05,0.47738
1.74e-05,0.56912
7.93e-06,0.2593
2.34e-05,0.76582
8.44e-06,0.27595
1.67e-05,0.54437
-9.65e-07,-0.031553
4.37e-06,0.14276
1.96e-05,0.64022
6.55e-06,0.21428
1.93e-06,0.063224
-5.37e-06,-0.17555
2.76e-06,0.090299
2.6e-05,0.84859
1.24e-05,0.40661
1.94e-05,0.63571
8.91e-06,0.29118
1.3e-05,0.42613
6.4e-06,0.20907
2.46e-06,0.080397
-7.36e-06,-0.24049
1.19e-05,0.38876
-2.58e-06,-0.084333
9.27e-06,0.30307
8.88e-06,0.29042
-3.98e-06,-0.13024
8.5e-06,0.27789
3.12e-06,0.10205
2.26e-06,0.073911
1.07e-05,0.35035
4.22e-06,0.13785
1.32e-05,0.43191
2.57e-06,0.084146
2.74e-05,0.89488
3.45e-05,1.1266
1.76e-05,0.57493
2.71e-05,0.8869
1.67e-05,0.54509
1.64e-06,0.053763
-9.88e-06,-0.32314
6.65e-06,0.21728
7.21e-06,0.23568
-1.21e-05,-0.39562
-1.66e-06,-0.054355
-2.46e-05,-0.8056
-1.77e-05,-0.57837
-7.5e-06,-0.24526
3.18e-06,0.10384
-1.05e-05,-0.34286
1.56e-05,0.51027
-1.35e-05,-0.44234
-5.5e-07,-0.017987
-2.54e-05,-0.83051
-5.92e-06,-0.19349
7.26e-06,0.23732
2.29e-05,0.74839
8.55e-06,0.27942
3.12e-06,0.10186
1.3e-05,0.4257
-6.07e-06,-0.19839
7.41e-07,0.024214
5.88e-06,0.19224
7.14e-06,0.23325
1.9e-06,0.062191
1.28e-05,0.41874
-1.23e-06,-0.040278
3.42e-06,0.11176
2.12e-06,0.069171
3.88e-06,0.12673
3.3e-05,1.0789
1.01e-05,0.3293
3.87e-06,0.12638
2.99e-05,0.97706
2.33e-05,0.76229
-5.94e-08,-0.0019409
2.12e-05,0.6922
2.33e-05,0.76088
3.6e-05,1.1768
3.13e-05,1.0225
3.75e-05,1.2272
1.54e-05,0.5035
2.23e-05,0.72842
2.01e-05,0.6581
1.56e-06,0.050887
2.66e-05,0.8683
2.93e-05,0.95755
2.47e-05,0.8059
2.11e-05,0.69138
1.91e-05,0.62361
3.88e-05,1.2677
4.16e-05,1.3606
4.16e-05,1.3586
2.25e-05,0.73633
3.1e-05,1.0128
2.22e-05,0.72495
2.98e-05,0.97298
2.26e-05,0.73796
3.79e-05,1.24
5.22e-05,1.7076
3.19e-05,1.0442
4.93e-05,1.6119
4.46e-05,1.4579
3.8e-05,1.2425
2.98e-05,0.97556
2.82e-05,0.92244
4.82e-05,1.5768
4.44e-05,1.4502
5.77e-05,1.8859
3.15e-05,1.0287
5.99e-05,1.9566
5.12e-05,1.6751
5.97e-05,1.9515
4.07e-05,1.3301
3.74e-05,1.223
5.03e-05,1.6449
7.25e-05,2.3702
5.09e-05,1.6644
3e-05,0.98213
4.13e-05,1.3495
5.02e-05,1.6399
4.36e-05,1.4259
6.14e-05,2.007
4.77e-05,1.5592
5.45e-05,1.7824
4.91e-05,1.6065
6.7e-05,2.1893
4.46e-05,1.4571
6.5e-05,2.1234
7.09e-05,2.3172
4.55e-05,1.4859
5.16e-05,1.6863
3.96e-05,1.2939
6.06e-05,1.9799
5.96e-05,1.9474
5.95e-05,1.9456
5.63e-05,1.8403
4.6e-05,1.5035
5.72e-05,1.87
5.53e-05,1.8083
5.61e-05,1.833
7.35e-05,2.4043
6.46e-05,2.1118
5.92e-05,1.9341
6.83e-05,2.2315
6.29e-05,2.0562
7.43e-05,2.4305
7.61e-05,2.488
4.91e-05,1.6039
5.78e-05,1.8896
6.27e-05,2.0482
6.7e-05,2.19
6.91e-05,2.259
6.7e-05,2.1903
6.81e-05,2.2256
5.11e-05,1.6717
5.74e-05,1.8749
5.56e-05,1.8169
5.2e-05,1.6983
5.78e-05,1.8881
6.26e-05,2.0453
5.54e-05,1.8101
5.23e-05,1.7096
5.82e-05,1.904
6.21e-05,2.0296
5.98e-05,1.9559
4.71e-05,1.5406
5.7e-05,1.8648
6.42e-05,2.0999
5.37e-05,1.7545
4.64e-05,1.5174
5.6e-05,1.8318
6.4e-05,2.0926
4.46e-05,1.4592
6.63e-05,2.1673
5.46e-05,1.7838
6.57e-05,2.1488
6.65e-05,2.1734
6.04e-05,1.9738
4.91e-05,1.6048
5.6e-05,1.8313
4.99e-05,1.6302
4.91e-05,1.6042
4.45e-05,1.4554
5.7e-05,1.8646
5.26e-05,1.7184
5.2e-05,1.6997
5.96e-05,1.9473
4.96e-05,1.6224
6.02e-05,1.9675
6.98e-05,2.2821
6.88e-05,2.2498
5.43e-05,1.7736
5.7e-05,1.8625
6.47e-05,2.1153
5.75e-05,1.8797
7.59e-05,2.4807
6.55e-05,2.1423
5.47e-05,1.7881
6.42e-05,2.0972
-6.67e-05,-2.1796
-6.75e-05,-2.2081
-6.58e-05,-2.1506
-8.8e-05,-2.8779
-9.51e-05,-3.1099
-0.00013625,-4.4541
-0.00034328,-11.222
-0.00037276,-12.186
-0.00039709,-12.981
-0.00045715,-14.945
-0.00048332,-15.8
-0.00050366,-16.465
-0.0007445,-24.338
-0.00073654,-24.078
-0.00079319,-25.93
-0.00088244,-28.848
-0.00094051,-30.746
-0.00099966,-32.68
-0.0011592,-37.393
-0.0012084,-37.763
-0.001257,-39.733
-0.0012682,-39.63
-0.0012752,-40.064
-0.0014225,-45.165
-0.0014153,-43.693
-0.0014214,-43.517
-0.001505,-47.282
-0.0015206,-47.084
-0.0015443,-48.659
-0.0017109,-54.571
-0.001773,-54.508
-0.0017991,-55.294
-0.0018793,-56.708
-0.0018846,-56.768
-0.0019037,-57.693
-0.0021127,-63.762
-0.0021131,-62.781
-0.0021468,-63.993
-0.0022127,-66.727
-0.0022935,-69.544
-0.0024139,-73.504
-0.0025716,-75.795
-0.002602,-77.071
-0.0026326,-79.157
-0.0027162,-78.938
-0.0026934,-79.079
-0.0027489,-82.679
-0.0029179,-86.134
-0.0029119,-85.964
-0.0029518,-87.098
-0.0029803,-87.907
-0.0030492,-89.865
-0.0032103,-94.443
-0.0032608,-95.878
-0.0032556,-95.73
-0.0033462,-98.305
-0.003358,-98.64
-0.0033542,-98.532
-0.0033662,-98.873
-0.0033543,-98.535
-0.0033638,-98.805
-0.0033604,-98.708
-0.0033656,-98.856
-0.0033685,-98.938
-0.0033613,-98.734
-0.0033538,-98.521
-0.003372,-99.038
-0.0033691,-98.955
-0.0033536,-98.515
-0.0033632,-98.788
-0.0033526,-98.487
-0.0033788,-99.231
-0.0033691,-98.955
-0.0033544,-98.538
-0.0033588,-98.663
-0.0033607,-98.717
-0.00337,-98.981
-0.0033659,-98.865
-0.0033499,-98.41
-0.0033705,-98.995
-0.0033752,-99.129
-0.0033526,-98.223
-0.0033628,-98.58
-0.0033541,-98.276
-0.0033696,-98.817
-0.0033542,-98.279
-0.0033499,-98.129
-0.0033619,-98.548
-0.0033684,-98.775
-0.0033471,-98.031
-0.0033668,-98.719
-0.0033788,-99.139
-0.0033637,-98.611
-0.0033629,-98.583
-0.003339,-97.748
-0.0032582,-94.926
-0.0031272,-90.35
-0.0031187,-90.053
-0.0030935,-89.173
-0.0030777,-88.621
-0.0030366,-87.186
-0.0029755,-85.051
-0.0028783,-81.656
-0.0028875,-81.978
-0.0028371,-80.217
-0.0028059,-79.127
-0.002721,-76.162
-0.00268,-74.73
-0.0024963,-68.313
-0.002461,-67.08
-0.0024228,-65.746
-0.0024252,-65.83
-0.0023565,-63.43
-0.0021918,-57.677
-0.0021886,-57.565
-0.0021891,-57.583
-0.0021492,-56.189
-0.002091,-54.156
-0.0020614,-53.122
-0.0019213,-48.229
-0.0019003,-47.495
-0.0018327,-45.593
-0.0018277,-45.997
-0.0018197,-45.992
-0.001786,-43.688
-0.0016699,-41.154
-0.0016655,-40.658
-0.0016522,-38.363
-0.0015944,-37.362
-0.0015482,-35.43
-0.0014124,-29.787
-0.0013077,-27.196
-0.0012734,-27.881
-0.0011974,-25.18
-0.001152,-24.143
-0.0011548,-23.387
-0.00089278,-15.592
-0.00089127,-15.311
-0.00086584,-14.726
-0.00075522,-11.751
-0.00074068,-9.1718
-0.00066117,-7.3522
-0.00045919,-2.0267
-0.00042577,-1.1868
-0.00036134,1.5536
-0.00035652,0.90634
-0.00034248,1.5284
-0.00031762,4.08
-0.00020038,5.5342
-0.00018559,5.9203
