rotation (rad),moment (kN.m)
8e-05,0.14697232
0.00161,5.51159873
0.00392,12.62959529
0.00538,17.84853645
0.00696,21.35527675
0.00505,13.39661669
0.00397,9.34058452
0.00127,0.34411777
-0.00144,-7.79367667
-0.00352,-14.75826895
-0.00651,-24.48316308
-0.00409,-13.35287552
-0.00211,-5.53475582
-0.0002,0.56344399
0.00155,5.50902572
0.00392,12.77270753
0.0055,17.85368247
0.00691,21.2095915
0.00499,13.1078192
0.00403,9.20004529
0.00127,0.2010044
-0.00166,-8.09019319
-0.00358,-14.9039542
-0.00657,-24.62884833
-0.00414,-13.21233629
-0.00206,-5.38907057
-0.00014,0.566017
0.00161,5.65471097
0.00397,13.06150502
0.00538,17.99164869
0.00696,21.35527675
0.00809,24.41209512
0.00973,26.06094705
0.01164,27.29332844
0.01316,27.79213643
0.00882,12.28099707
0.00448,0.34766597
0.00166,-7.07971216
0.00014,-12.15811409
-0.00206,-18.12606671
-0.00352,-22.05699658
-0.00674,-27.92815114
-0.00973,-28.92319411
-0.01356,-27.38081078
-0.01091,-17.52824134
-0.00961,-12.74635593
-0.00708,-5.47495509
-0.0051,0.19647988
-0.0024,6.61692631
0.00031,13.03737274
0.00381,19.2076157
0.00696,24.21752268
0.00967,26.34459965
0.01198,26.73631754
0.01333,26.51184417
0.00894,10.13945836
0.00685,5.03532633
0.00471,0.07173353
0.00178,-6.9314539
8e-05,-11.15890142
-0.00178,-14.24916892
-0.00358,-17.90931237
-0.00674,-22.06054591
-0.00939,-24.61438659
-0.01311,-25.07042973
-0.01113,-16.82297218
-0.00984,-12.04108677
-0.00719,-5.19387663
-0.00499,0.34473814
-0.00228,6.62207233
0.00031,11.89247369
0.00302,15.73689754
0.00584,20.01580526
0.00809,22.12229815
0.01012,23.35982443
0.0135,23.94354175
0.00922,9.57987445
0.0055,0.68020463
0.00358,-3.84375941
0.00161,-7.36850965
-0.0011,-12.50094479
-0.00426,-17.08151505
-0.00679,-20.48888315
-0.00967,-22.19434243
-0.01322,-22.07021645
-0.01051,-12.35818737
-0.0073,-3.91101136
-0.00521,0.19133386
-0.00234,6.76261156
0.00048,11.18463152
0.00296,14.58942661
0.00578,18.58210872
0.00854,20.7117587
0.00995,21.49164515
0.01333,21.21668903
0.00961,9.59788552
0.00916,7.28750447
0.00617,0.42485627
0.00358,-4.27309613
0.00172,-7.22025139
-0.00234,-13.27311221
-0.00646,-18.18364812
-0.013,-20.48568864
-0.013,-18.62522952
-0.01063,-11.0753221
-0.00736,-3.48424765
-0.0051,0.76892884
-0.00234,6.47638708
0.00059,10.90355306
0.00319,13.88415745
0.00459,15.3796051
0.0064,17.75173839
0.00854,18.99441069
0.0108,20.0991179
0.01339,20.07436299
0.01097,12.80810817
0.00961,9.02543656
0.00922,7.003853
0.00623,-0.00190744
0.00358,-4.12998389
0.00161,-7.22539741
-0.0024,-12.8463485
-0.00589,-16.86990786
-0.00747,-18.08685006
-0.00944,-18.89246661
-0.0113,-19.12048818
-0.01311,-19.2028245
-0.01063,-11.0753221
-0.0073,-3.62478688
-0.00516,1.05258144
-0.0024,6.76003855
-0.00025,9.57694662
0.00206,12.11534924
0.00403,14.49520156
0.0064,16.32061486
0.00843,17.41503003
0.01035,18.21807357
0.01215,19.01597109
0.0135,18.79149885
0.01192,13.85363615
0.00989,7.89340256
0.00651,0.58340657
0.00369,-4.26795011
0.00166,-7.2228244
-0.00031,-10.31823792
-0.0024,-11.98767506
-0.00505,-14.82774022
-0.00702,-16.20580573
-0.00933,-17.74242267
-0.01136,-17.8350499
-0.01316,-17.77427398
-0.01136,-11.25188347
-0.00899,-5.84866191
-0.006,0.15531172
-0.0024,6.61692631
-0.0002,9.72263187
0.002,12.11277623
0.00516,14.83288624
0.00803,16.68145663
0.01018,17.20856773
0.01221,17.73053281
0.0135,17.78971204
0.01153,11.83205259
0.01012,7.9036946
0.00781,3.21860725
0.00646,0.29460908
