rotation (rad),moment (kN.m)
-3e-06,1.81655569135289
1.1e-05,14.8071174273668
5.6e-05,29.6177908241541
0.000458,32.820129907436
0.000472,32.6929687397464
0.000897,35.9285026803382
0.00143,39.346669608513
0.001962,42.6390671161221
0.00271,45.9206588401328
0.003138,47.2766844723531
0.003885,50.672716869038
0.004525,54.0104695515801
0.006347,57.8382300031221
0.008386,61.0288889935649
0.010101,64.1796451591551
0.012139,67.2600063813963
0.014503,68.7664306367847
0.01708,70.9212942360191
0.019442,73.0525428786761
0.021912,74.9581645088738
0.024274,76.9405746555407
0.026743,79.0096277191932
0.029321,80.7991801647078
0.032007,82.2599582566327
0.034693,83.7535777504974
0.037164,85.2820030070179
0.039528,86.4622539394261
0.041999,88.3886079889633
0.044252,91.0697575296375
0.046076,93.5282017503097
0.048438,95.9778246486719
0.051017,97.2687645334872
0.053489,98.3681744847576
0.056068,99.5533067156645
0.058647,100.49288920447
0.060474,101.072406536157
0.062945,101.967331757226
0.065311,101.978443882899
0.067677,101.866593908559
0.070042,101.828028798404
0.072408,101.845722268805
0.074773,101.937963551307
0.076817,101.283322404944
0.079507,99.7349986298031
0.081444,98.7013252741872
0.083274,97.5268676777278
0.084889,96.0348339748097
0.086504,94.7271203768197
0.088227,93.3089697931457
0.089519,92.0164971863266
0.091242,90.5499348508323
0.092535,88.6008848786527
0.093828,86.6513922734739
0.095122,84.5783620266534
0.096523,82.656316631514
0.098031,80.866752840393
0.099431,78.8987539453502
0.100724,77.0033718351429
