rotation (rad),moment (kN.m)
2.05e-05,0
4.09e-05,0
0,0
0.000466377,0.117994593
0.001822632,0.465875205
0.002824657,0.697117483
0.003718944,0.961588124
0.004848662,1.208427388
0.005862762,1.430175848
0.006966594,1.656671217
0.008065004,1.885879106
0.009303181,2.117799514
0.010256399,2.285975716
0.011402386,2.484667761
0.01247491,2.630465678
0.013678091,2.79932001
0.01487462,2.93494598
0.016119957,3.048193665
0.017410412,3.160763219
0.018685828,3.24485132
0.020252639,3.295711059
0.022247433,3.314698695
0.023447722,3.314698695
0.024567896,3.314698695
0.024247722,3.11465039
0.023722921,2.97834629
0.022703398,2.71455378
0.02152068,2.414820387
0.02042227,2.132040241
0.019333478,1.853328873
0.018235069,1.589536363
0.017084888,1.307434346
0.016008171,1.042285576
0.014868836,0.758827299
0.013802965,0.513344295
0.012829284,0.279389497
0.011816414,0.036619012
0.011585683,-0.00067813
0.011606146,-0.00203439
0.011606146,0.00067813
0.011194505,-0.118672723
0.009891251,-0.449600089
0.008880839,-0.680164237
0.007715618,-0.929037891
0.006615474,-1.176555285
0.005492408,-1.42475081
0.00427961,-1.674302593
0.003145698,-1.887235366
0.00190282,-2.119833903
0.000710484,-2.331410416
-0.000518583,-2.525355552
-0.001740998,-2.715231909
-0.003032683,-2.861029827
-0.004199132,-2.996655796
-0.005463702,-3.116006649
-0.006739118,-3.229254334
-0.008029573,-3.313342435
-0.00947115,-3.393361757
-0.011228778,-3.393361757
-0.013188069,-3.444899625
-0.015426681,-3.442865236
-0.017992191,-3.426590119
-0.020857484,-3.38115542
-0.024103905,-3.314698695
-0.02352885,-3.050906184
-0.023187202,-2.947152317
-0.021996095,-2.680647287
-0.020850108,-2.414820387
-0.019731236,-2.130005851
-0.018404555,-1.818744251
-0.017441721,-1.590892622
-0.016302386,-1.306078086
-0.015168474,-1.057882562
-0.014023717,-0.777814935
-0.012939841,-0.530297541
-0.011896891,-0.296342743
-0.010813015,-0.046790959
-0.010503905,-0.012884467
-0.010503905,-0.014240727
-0.010503905,0.012884467
-0.010056761,0.13562597
-0.008655387,0.40145287
-0.007634129,0.615741902
-0.006512292,0.84359353
-0.005284454,1.074157678
-0.004024078,1.29115923
-0.002749892,1.525114027
-0.001481128,1.724484202
-0.000129284,1.921141858
0.001227983,2.100846268
0.002642444,2.2697006
0.004025597,2.433808023
0.005523138,2.595202926
0.007098337,2.71387565
0.008794577,2.851536009
0.010541359,2.947152317
0.012312798,3.016321562
0.014229935,3.099053403
0.016442661,3.143809973
0.018862473,3.163475739
0.021636298,3.128212987
0.024542516,3.080065767
0.024166377,2.896970709
0.023603615,2.766769778
0.022432972,2.500942878
0.02122979,2.218840861
0.02011757,1.960473389
0.018978236,1.68922145
0.01777086,1.426107069
0.016657411,1.162314559
0.015487997,0.911406515
0.014240202,0.630660758
0.013205134,0.415693597
0.012122487,0.200048305
0.011177151,0.012206337
0.011177151,0.013562597
0.011177151,-0.007459428
0.010693275,-0.141729138
0.010160087,-0.248195524
0.009050325,-0.477403413
0.007930947,-0.698473743
0.006730224,-0.945313007
0.005409689,-1.170452117
0.004790962,-1.2904811
0.004109617,-1.408475693
0.00346081,-1.525114027
0.002922198,-1.605133349
0.001380043,-1.82145677
-8.08e-05,-2.022183205
-0.001651772,-2.185612498
-0.003263702,-2.352432441
-0.004874403,-2.502977267
-0.006672957,-2.648775184
-0.008438973,-2.731507026
-0.010503037,-2.832548373
-0.012580911,-2.912567695
-0.014911714,-2.982415069
-0.017006363,-3.014287172
-0.019540564,-3.030562288
-0.022385394,-2.995977666
-0.023818655,-2.976311901
-0.024481056,-2.947830447
-0.023871728,-2.734897675
-0.022669776,-2.468392645
-0.021499132,-2.185612498
-0.020318872,-1.921141858
-0.01911692,-1.671590074
-0.01793543,-1.407119434
-0.016782285,-1.146039442
-0.015523138,-0.877500023
-0.014410918,-0.614385642
-0.013313232,-0.382465234
-0.012155893,-0.136304099
-0.01157932,-0.014918857
-0.011516703,-0.012884467
-0.011516703,0.013562597
-0.010936443,0.150544826
-0.010107448,0.31329599
-0.008940492,0.544538268
-0.007618727,0.779171195
-0.006443384,0.997529006
-0.005096963,1.226736894
-0.003587346,1.444416575
-0.00215611,1.622086595
-0.000663991,1.808572303
0.000909978,1.981495414
0.002600795,2.13543089
0.004324657,2.288688235
0.006149096,2.417532906
0.008039118,2.551802616
0.009992986,2.649453314
0.01207086,2.734219545
0.014220969,2.816273257
0.016443312,2.864420476
0.018796312,2.914602085
0.021391902,2.924095902
0.024189154,2.897648838
0.027117064,2.863742346
0.030080477,2.79999814
0.033027621,2.733541415
0.036044035,2.697600533
0.0390141,2.650131444
0.041946204,2.587065368
0.044862039,2.553158876
0.04801034,2.501621007
0.047637166,2.304963352
0.046584093,2.083893021
0.045740058,1.91029178
0.04449718,1.655993088
0.043190456,1.409153823
0.041943384,1.162314559
0.040722198,0.913440905
0.039407086,0.680164237
0.038093203,0.434681232
0.036900362,0.213610902
0.03566363,0.012884467
0.035637744,0.012884467
0.035637744,-0.013562597
0.035097903,-0.147832307
0.033420174,-0.414337337
0.032066594,-0.613707512
0.030538973,-0.810365168
0.028939118,-0.996850876
0.027292914,-1.144005053
0.025556978,-1.306078086
0.023789732,-1.457979172
0.021903905,-1.589536363
0.02000846,-1.740081189
0.018055821,-1.820778641
0.016024295,-1.95708274
0.013936804,-2.037102062
0.011807158,-2.118477644
0.009667896,-2.203922004
0.007328706,-2.271056859
0.005185249,-2.349719922
0.002802169,-2.39990153
0.0004859,-2.431773633
-0.001985683,-2.486024021
-0.004480188,-2.521286773
-0.0070812,-2.524677422
-0.009682213,-2.551802616
-0.012381345,-2.553158876
-0.015134707,-2.521286773
-0.018104772,-2.501621007
-0.020923717,-2.471105164
-0.02382697,-2.431773633
-0.026822921,-2.415498517
-0.029678597,-2.351754311
-0.032522198,-2.331410416
-0.035462184,-2.302250832
-0.038358785,-2.270378729
-0.041142227,-2.254103613
-0.044091829,-2.201209485
-0.046861967,-2.186968758
-0.049822415,-2.149671617
-0.04933731,-1.994379881
-0.048687274,-1.86824773
-0.047298698,-1.639039841
-0.04597274,-1.392200577
-0.044616703,-1.162314559
-0.043274476,-0.921578463
-0.041881706,-0.697117483
-0.040579899,-0.478759672
-0.039257628,-0.26718316
-0.037891974,-0.057641037
-0.037576934,-0.014918857
-0.037560665,-0.014918857
-0.037560665,0.012884467
-0.036920246,0.136304099
-0.035749819,0.297699003
-0.034192119,0.465197075
-0.032657339,0.632695148
-0.031027404,0.779171195
-0.029265582,0.943956748
-0.027364714,1.075513938
-0.025463847,1.195542921
-0.023469053,1.308790606
-0.021444179,1.42475081
-0.019418077,1.527148417
-0.017258351,1.588858233
-0.015128706,1.673624464
-0.012875054,1.758390695
-0.010632249,1.818744251
-0.01041974,1.773987681
-0.01041974,1.757712565
-0.010378814,1.763815733
-0.010182357,1.818744251
-0.008523066,1.888591625
-0.006176717,1.938095104
-0.003751482,1.974035986
-0.001327477,2.020148816
0.001111569,2.039136451
0.003644541,2.068296035
0.006199205,2.067617905
0.008752639,2.087283671
0.011337383,2.100168138
0.014274403,2.104915047
0.016731453,2.102202527
0.019332466,2.084571151
0.021981056,2.102202527
0.024643456,2.085927411
0.027885177,2.066261645
0.030200723,2.056767827
0.032962473,2.053377178
0.035729646,2.038458322
0.038460087,2.037780192
0.041223066,2.005908089
0.044010701,1.988954843
0.046829646,1.972679726
0.048254519,1.971323467
0.04782415,1.804503524
0.046492769,1.567158078
0.045116269,1.33388141
0.043690962,1.090432795
0.04236081,0.859190517
0.040995155,0.662532861
0.039646999,0.463162686
0.038271728,0.246161135
0.036833839,0.046790959
0.036528416,0.015596986
0.03651757,0.014918857
0.03651757,-0.013562597
0.035913883,-0.136982229
0.035148228,-0.247517394
0.033580911,-0.40145287
0.032056978,-0.545216397
0.030327693,-0.697795613
0.028531598,-0.84359353
0.026662039,-0.9792195
0.02469436,-1.074157678
0.022715835,-1.196899181
0.020602458,-1.271493464
0.018483659,-1.373212941
0.016276356,-1.444416575
0.014038973,-1.508160781
0.011769053,-1.55562987
0.009474476,-1.619374076
0.007154013,-1.674302593
0.004760087,-1.69057771
0.002393275,-1.740081189
-6.75e-05,-1.759068824
-0.00266551,-1.801791005
-0.005184671,-1.818744251
-0.007664642,-1.82281303
-0.010177151,-1.826203679
-0.012821547,-1.838410017
-0.015474331,-1.856719522
-0.018065727,-1.858753912
-0.020791974,-1.844513185
-0.023450181,-1.853328873
-0.026049964,-1.855363263
-0.028740709,-1.853328873
-0.031434418,-1.855363263
-0.034204049,-1.837731887
-0.036871873,-1.835697497
-0.039639046,-1.820778641
-0.042376139,-1.82145677
-0.0450235,-1.819422381
-0.047325741,-1.789584668
-0.047843673,-1.802469135
-0.048391685,-1.792975317
-0.048237383,-1.741437448
-0.047571077,-1.603098959
-0.046831309,-1.491207535
-0.045460231,-1.272171594
-0.044026537,-1.044319965
-0.042622921,-0.825284024
-0.041136226,-0.613029382
-0.039668764,-0.39941848
-0.038355604,-0.231920408
-0.036917715,-0.035262752
-0.036705712,-0.015596986
-0.036726175,-0.013562597
-0.036726175,0.014240727
-0.036143456,0.13494784
-0.034335792,0.314652249
-0.032622777,0.468587725
-0.030799566,0.613707512
-0.029034779,0.731702105
-0.027050832,0.84359353
-0.025078959,0.963622513
-0.022984816,1.061273211
-0.020856399,1.142648793
-0.018659942,1.228093154
-0.016417137,1.28912484
-0.014079176,1.355581565
-0.01176833,1.409153823
-0.009385249,1.458657302
-0.006969631,1.508160781
-0.004529356,1.537998494
-0.002010195,1.571226857
0.000382502,1.589536363
0.002927549,1.637005452
0.005414172,1.656671217
0.007926681,1.672268204
0.010460882,1.69125584
0.013063124,1.708209086
0.015632827,1.723806072
0.018270571,1.727874851
0.020777657,1.738724929
0.023358207,1.740081189
0.026116992,1.740081189
0.028613232,1.738046799
0.031282285,1.744149968
0.033936298,1.759068824
0.036557773,1.756356305
0.039289443,1.756356305
0.041910918,1.744149968
0.044705206,1.741437448
0.04727368,1.740081189
0.050014967,1.739403059
0.052735792,1.738046799
0.055497542,1.740081189
0.058113594,1.723806072
0.060887419,1.706174696
0.063549819,1.693290229
0.066397108,1.69057771
0.069063702,1.674980723
0.072041649,1.653958698
0.073019089,1.671590074
0.072573174,1.536642234
0.071106941,1.307434346
0.069621475,1.109420431
0.068161894,0.896487658
0.066638467,0.697117483
0.065201808,0.505884866
0.063754302,0.313974119
0.062196602,0.136982229
0.06102321,0.027125194
0.060975633,0.024412675
0.060990672,0.029837713
0.060990672,-0.015596986
0.060335213,-0.13562597
0.059234056,-0.2658269
0.057590311,-0.402131
0.055806291,-0.496391048
0.053922921,-0.615063772
0.051929356,-0.71271447
0.049814751,-0.794768181
0.047670065,-0.897165788
0.045547072,-0.961588124
0.043272957,-1.026010459
0.041071077,-1.091789054
0.038761461,-1.144005053
0.036492769,-1.193508532
0.033983225,-1.240977621
0.031578453,-1.272171594
0.029196602,-1.326421982
0.026729212,-1.354903435
0.024242589,-1.374569201
0.02179812,-1.407119434
0.019243456,-1.443060315
0.016694215,-1.441025926
0.014028127,-1.460691692
0.011563196,-1.493920054
0.008842372,-1.508160781
0.006182936,-1.525114027
0.0035765,-1.527148417
0.000949602,-1.525114027
-0.00165141,-1.529182806
-0.0043,-1.537320364
-0.006916052,-1.556308
-0.009564642,-1.55427361
-0.012207809,-1.55427361
-0.014917787,-1.572583116
-0.017634418,-1.563089298
-0.020276356,-1.573261246
-0.02299718,-1.564445558
-0.025739696,-1.570548727
-0.028502675,-1.560376779
-0.031008532,-1.55698613
-0.033781128,-1.565123688
-0.036986117,-1.55698613
-0.039205278,-1.55495174
-0.04192068,-1.537998494
-0.044694505,-1.531895326
-0.047346059,-1.527826546
-0.050087346,-1.527826546
-0.052929212,-1.525114027
-0.055586189,-1.527826546
-0.058332899,-1.509517041
-0.061015763,-1.509517041
-0.063746204,-1.492563794
-0.06650376,-1.500023223
-0.069149892,-1.475610548
-0.071881562,-1.474932418
-0.072924584,-1.476288678
-0.072543745,-1.373891071
-0.070990239,-1.162992688
-0.069463847,-0.97989763
