rotation (rad),moment (kN.m)
0.0021,34.7299226
0.00251,44.7307989
0.00338,57.3646858
0.00281,42.3385064
0.00238,33.4748192
0.00181,24.9270225
0.00139,16.3399103
0.000957,7.9203344
0.000548,1.68175554
-2.75e-05,-3.0445385
-3.19e-05,-2.8193437
-0.000842,-11.78505
-0.00128,-18.699419
-0.00171,-26.01344
-0.00241,-36.514855
-0.00355,-52.906699
-0.00354,-52.956473
-0.00313,-41.500915
-0.00256,-31.455764
-0.002,-22.028646
-0.00143,-12.433538
-0.000842,-4.3736541
-0.000184,1.2185973
-2.89e-05,0.96305049
-3.32e-05,0.96287561
-2.01e-05,0.97396051
-2.6e-05,0.96434332
-2.7e-05,0.68699253
-2.52e-05,0.41953317
-4.49e-05,0.41585682
-3.28e-05,-0.1498963
-0.000191,-1.9902375
-0.00018,-2.3217187
-0.00018,-2.5360051
-0.00017,-2.7932745
-0.00019,-2.8801122
-0.000191,-2.8752699
-0.000194,-2.6694083
-0.000184,-2.7245508
-0.000194,-2.4435673
0.000232,4.82106895
0.00024,4.70275788
0.00188,30.0595882
0.00257,41.8952759
0.00302,52.557457
0.00336,57.4126496
0.00327,40.8957951
0.00282,30.3790917
0.00227,19.4999391
0.0016,9.07321297
0.000786,1.78308674
-5.59e-05,-4.0974851
-0.000448,-9.0350279
-0.000948,-13.285763
-0.00256,-37.344867
-0.00322,-49.191548
-0.00396,-61.835231
-0.00427,-64.845397
-0.00429,-63.815233
-0.0043,-56.645566
-0.00383,-42.282064
-0.00354,-36.441398
-0.00329,-30.336472
-0.00287,-22.994778
-0.00249,-17.421652
-0.00182,-8.5198908
-0.000463,0.49448503
-0.000496,-1.2571353
0.00079,15.2492279
0.00118,21.1261334
0.00171,29.7530734
0.0017,28.798675
0.002,31.9610257
0.00226,37.5995642
0.00239,40.2525545
0.00269,45.5747924
0.00297,50.1392579
0.00314,54.6107671
0.00333,58.0645443
0.00333,57.8000436
0.00331,55.6275759
0.0033,54.7754607
0.00259,36.186348
0.00216,28.0087099
0.00174,20.688378
0.00119,11.8048999
0.000915,7.76050231
0.00051,3.11380669
-3.25e-05,-2.4677003
-0.000438,-6.7215243
-0.000815,-10.364851
-0.00124,-14.156337
-0.00192,-22.888885
-0.00286,-34.125813
-0.00365,-42.659916
-0.00433,-47.944711
-0.005,-54.292547
-0.00566,-60.111185
-0.00607,-65.444182
-0.00662,-70.56432
-0.00663,-70.330158
-0.00716,-75.65511
-0.00729,-79.029001
-0.00772,-84.329736
-0.00773,-85.496853
-0.00747,-78.72452
-0.00735,-77.12608
-0.00724,-76.024838
-0.007,-73.019512
-0.00701,-73.040899
-0.00678,-70.887758
-0.00629,-62.211516
-0.005,-41.049235
-0.00444,-32.2243
-0.00374,-22.452169
-0.00334,-16.460206
-0.00292,-10.001645
-0.00252,-6.269984
-0.00211,-2.5103807
-0.00168,0.59105728
-0.00128,3.86489065
-0.000727,9.09608929
-0.000343,13.3017009
4.53e-05,20.8666066
0.000456,26.0431461
0.000866,30.149199
0.00126,34.854275
0.00168,39.5632218
0.00207,43.5911823
0.00287,52.4907324
0.00328,55.0729917
0.00519,74.5348232
0.00575,80.5778937
0.00616,86.9825099
0.00789,105.797826
0.0063,77.6427087
0.00644,81.7646323
0.00661,85.5109383
0.00639,80.538269
0.00627,78.9945245
0.00616,76.7740769
0.00605,74.8922362
0.00584,71.7484943
0.00549,66.4227851
0.00404,42.7975664
0.00339,30.3587373
0.00254,18.5348192
0.0016,4.93095775
0.000927,-1.1402357
0.000109,-7.5137358
-0.0011,-18.78365
-0.00204,-29.368825
-0.00285,-37.689443
-0.00396,-49.321208
-0.00931,-107.47642
-0.00427,-24.586746
-0.00508,-41.213551
-0.00615,-57.695697
-0.00655,-64.107596
-0.00696,-69.718942
-0.00725,-75.123958
-0.00738,-77.51935
-0.00753,-79.697572
-0.00741,-78.111846
-0.0073,-76.203129
-0.00653,-64.958659
-0.00653,-64.883811
-0.00627,-60.752905
-0.00575,-53.579495
-0.00483,-38.247576
-0.00444,-35.253763
-0.00445,-35.6331
-0.0043,-33.204798
-0.00429,-33.231331
-0.00416,-30.860241
-0.00416,-30.725407
-0.00401,-28.562488
-0.00361,-22.336544
-0.00347,-20.823036
-0.00335,-18.197334
-0.00307,-15.030711
-0.00268,-10.961089
-0.00241,-8.066479
-0.00201,-4.8620175
-0.000671,3.53261725
5.38e-05,14.9568272
0.00116,31.3427563
0.00211,48.3589084
0.00255,57.0728009
0.00289,64.6668518
0.00306,69.3440744
0.00324,71.1253856
0.00328,70.5420493
0.00327,69.8732891
0.00323,67.7612967
0.00323,66.8818193
0.00323,65.1282885
0.00308,59.2547136
0.00294,55.9327192
0.0028,48.9508603
0.0025,41.7521399
0.00223,36.5049455
0.00182,28.5605834
0.00156,24.0528016
0.000874,13.4807105
0.000749,11.0668323
0.000347,6.78715224
-5.87e-05,1.84716222
-0.000455,-0.9428179
-0.000972,-4.4916387
-0.00165,-13.421786
-0.00219,-18.425033
-0.00258,-24.634131
-0.00285,-29.334347
-0.00312,-34.084231
-0.00354,-39.667848
-0.00383,-46.415013
-0.004,-50.208022
-0.00435,-53.328793
-0.00438,-52.760455
-0.0044,-52.811983
-0.00437,-51.798605
-0.00437,-51.228727
-0.00435,-50.778106
-0.00434,-45.953092
-0.00405,-40.947851
-0.0039,-39.468277
-0.00363,-33.565614
-0.00336,-28.27209
-0.0031,-24.127581
-0.00232,-12.351964
-0.00189,-8.900651
-0.00149,-4.6184245
-0.00124,-2.5780639
-0.000945,-0.9360997
-0.000685,0.70147087
-0.000417,2.98189265
-0.000142,6.03910105
0.000689,17.0148468
0.00108,23.4796562
0.00151,30.2396764
0.0019,37.6102616
0.00217,42.5497228
0.00247,48.7514952
0.00277,54.3394863
0.00292,58.1208869
0.00326,62.4372563
0.00329,63.1879446
0.00356,69.1826624
0.00437,80.7682767
0.00461,82.7940259
0.00489,85.0692373
0.00514,87.3549242
0.00564,90.8622267
0.00603,93.3922474
0.00627,92.4250583
0.00655,93.0027203
0.00667,85.7208984
0.00666,85.0647038
0.00664,83.1102557
0.00664,81.3630372
0.00637,74.7982391
0.0061,68.8293649
0.00597,67.0777894
0.00583,65.2609707
0.00516,53.67578
0.00412,37.2718391
0.0032,22.4827562
0.00241,11.5380131
0.00146,0.8510282
0.00119,-1.044738
0.000395,-9.6397917
-0.000416,-20.865493
-0.00093,-27.149627
-0.00135,-34.705301
-0.00192,-43.35638
-0.00233,-50.853087
-0.00263,-55.211816
-0.00319,-61.626071
-0.00347,-67.003921
-0.00388,-71.713537
-0.0043,-77.074339
-0.00493,-85.429984
-0.00518,-88.956952
-0.00558,-91.521075
-0.00582,-93.806011
-0.00609,-95.01077
-0.00619,-96.007729
-0.00645,-97.029747
-0.00671,-98.710084
-0.00696,-98.177893
-0.00706,-95.93758
-0.0072,-95.616763
-0.00734,-94.562494
-0.00734,-92.610753
-0.00733,-84.79001
-0.00613,-59.695218
-0.00583,-54.364193
-0.00558,-50.355879
-0.0053,-47.7223
-0.00479,-39.435229
-0.00375,-23.135654
-0.00337,-17.635479
-0.00313,-13.026713
-0.00232,-4.5780977
-0.00153,3.15112082
-0.000453,14.7230143
0.000365,27.2529539
0.00106,39.9255282
0.00204,54.2813678
0.00273,66.2388066
0.00354,78.030117
0.00419,85.8038891
0.00472,89.5806918
0.00522,94.1112226
0.00556,95.4403938
0.00594,97.4302762
0.00632,97.7495958
0.00633,96.1464046
0.00632,94.4449922
0.00644,93.2025694
0.00644,92.1484408
0.00629,81.4748941
0.00601,71.3741084
0.00573,63.8581239
0.00559,56.8938095
0.00519,49.3797363
0.00411,30.6065822
0.00384,26.8352803
0.00344,22.3299493
0.00302,18.7286505
0.00275,15.41316
0.00221,10.4097882
0.000966,1.36487859
0.000162,-3.5492886
-0.000393,-8.1100568
-0.000651,-11.019286
-0.00132,-14.522523
-0.00168,-18.733831
-0.0021,-24.106031
-0.00261,-30.586594
-0.00299,-35.803695
-0.0034,-40.121093
-0.0038,-47.306295
-0.00419,-51.563777
-0.00458,-58.4551
-0.00495,-62.982798
-0.00536,-68.295356
-0.00563,-73.503167
-0.00604,-78.757641
-0.00635,-82.74192
-0.00663,-87.640367
-0.00693,-90.837498
-0.00735,-93.536206
-0.00762,-93.6884
-0.00774,-93.467039
-0.00786,-91.395481
-0.00798,-86.99663
-0.00808,-84.510701
-0.00806,-80.530004
-0.00804,-75.814031
-0.00818,-71.926003
-0.00781,-48.752311
-0.00768,-45.1935
-0.00758,-41.060897
-0.00746,-37.101929
-0.00707,-30.840267
-0.00697,-29.565298
-0.00671,-25.359649
-0.00646,-22.997722
-0.0062,-20.516354
-0.00556,-14.71468
-0.00514,-11.688905
-0.00437,-7.7552658
-0.00326,-2.1863488
-0.00231,1.73605364
-0.00135,8.53440764
-0.000794,11.7617506
-0.000254,16.7758563
0.000133,23.9547477
0.000664,30.0301556
0.00201,49.2539945
0.00242,53.9821337
0.00269,59.4191504
0.00295,63.0209416
0.00337,68.4420741
0.00361,73.3159751
0.00418,81.8603127
0.00479,90.6246788
0.00508,96.0436096
0.00535,99.6649851
0.00583,105.552314
0.00628,105.713951
0.00643,106.830934
0.00656,105.764189
0.0067,105.021226
0.00671,101.782199
0.00684,100.111477
0.00696,87.8431262
0.00696,84.3769575
0.00696,79.6135846
0.00696,77.8665527
0.00696,77.004964
0.00696,76.1411655
0.00696,74.6236172
0.00695,73.3024839
0.00695,72.6499531
0.00669,56.1307567
0.0067,54.7766316
0.00655,50.8431204
0.00657,48.2126376
0.00629,44.3270839
0.00604,36.9940482
0.0059,33.6773566
0.00563,30.244334
0.00535,26.9237976
0.00493,21.0976134
0.00409,12.4345162
