,test_id,investigator,reference,url,test_configuration,stiffness_coefficient,test_type,loading_protocol,forming_process,seams,tube_section,width__mm,depth__mm,flange_thickness__mm,web_thickness__mm,area__mm2,moment_of_inertia__mm4,radius__mm,depth_over_t,plastic_section_modulus__mm3,axial_load_ratio,axial_load_sequence,loading_angle,steel_type,fy_nominal__n_mm2,fy_measured__n_mm2,f_ultimate__n_mm2,mp_measured__knmm,length__mm,ke_measured__knmm_rad,my_pos_100fit__knmm,my_neg_100fit__knmm,theta_p_pos_100fit__rad,theta_pc_pos_100fit__rad,theta_u_pos_100fit__rad,theta_p_neg_100fit__rad,theta_pc_neg_100fit__rad,theta_u_neg_100fit__rad,mc_my_pos_100fit,mu_mc_pos_100fit,mc_my_neg_100fit,mu_mc_neg_100fit,my_pos_80fit__knmm,my_neg_80fit__knmm,theta_p_pos_80fit__rad,theta_pc_pos_80fit__rad,theta_u_pos_80fit__rad,theta_p_neg_80fit__rad,theta_pc_neg_80fit__rad,theta_u_neg_80fit__rad,mc_my_pos_80fit,mu_mc_pos_80fit,mc_my_neg_80fit,mu_mc_neg_80fit,lambda_s,lambda_c,flexural_buckling
1,Kawaguchi_Morino_2001__Morino-22S0510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.05,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1048.0,949072.32,24132.68,-24132.68,0.06,0.6,NA,0.04,0.6,NA,1.03,NA,1.03,NA,24132.68,-24132.68,0.06,0.6,NA,0.04,0.6,NA,1.03,NA,1.03,NA,1.319,2.501,FALSE
2,Kawaguchi_Morino_2001__Morino-22S1510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.15,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1048.0,982967.76,22596.96,-20337.26,0.03,0.18,NA,0.01,0.18,NA,1.0,NA,1.0,NA,22596.96,-20337.26,0.03,0.18,NA,0.01,0.18,NA,1.0,NA,1.0,NA,0.7,0.624,FALSE
3,Kawaguchi_Morino_2001__Morino-22S1513,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.15,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1043.0,790893.6,17399.66,-19716.95,0.04,0.17,NA,0.01,0.17,NA,1.0,NA,1.02,NA,17399.66,-19716.95,0.04,0.17,NA,0.01,0.17,NA,1.0,NA,1.02,NA,0.502,0.423,FALSE
4,Kawaguchi_Morino_2001__Morino-22C2510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.27,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1048.0,1016863.2,21467.11,-22596.96,0.01,0.15,NA,0.01,0.15,NA,1.0,NA,1.0,NA,21467.11,-22596.96,0.01,0.15,NA,0.01,0.15,NA,1.0,NA,1.0,NA,1.587,1.191,FALSE
5,Kawaguchi_Morino_2001__Morino-22C2512,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.27,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1048.0,790893.6,20902.19,-22596.96,0.005,0.14,NA,0.005,0.14,NA,1.0,NA,1.0,NA,20902.19,-22596.96,0.005,0.14,NA,0.005,0.14,NA,1.0,NA,1.0,NA,2.033,1.398,FALSE
6,Kawaguchi_Morino_2001__Morino-22C2508,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x4.5,100.0,100.0,4.5,4.5,1666.85,2496641.55,38.7,22.22,61607.25,0.25,Constant,0,STKR400,235.0,332.2,402.8,20465.93,1047.0,1321922.16,17216.73,-21843.73,0.025,0.1,NA,0.01,0.1,NA,1.05,NA,1.05,NA,17216.73,-21843.73,0.025,0.1,NA,0.01,0.1,NA,1.05,NA,1.05,NA,1.155,0.945,FALSE
7,Kawaguchi_Morino_2001__Morino-31S0510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x3.2,100.0,100.0,3.2,3.2,1212.67,1873775.85,39.31,31.25,44993.54,0.05,Constant,0,STKR400,235.0,398.9,433.2,17947.92,1049.0,734401.2,16673.49,-16673.49,0.01,0.1,NA,0.01,0.1,NA,1.03,NA,1.03,NA,16673.49,-16673.49,0.01,0.1,NA,0.01,0.1,NA,1.03,NA,1.03,NA,0.369,0.371,FALSE
8,Kawaguchi_Morino_2001__Morino-31S1510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x3.2,100.0,100.0,3.2,3.2,1212.67,1873775.85,39.31,31.25,44993.54,0.15,Constant,0,STKR400,235.0,398.9,433.2,17947.92,1049.0,734401.2,14808.69,-14808.69,0.005,0.09,NA,0.005,0.09,NA,1.03,NA,1.03,NA,14808.69,-14808.69,0.005,0.09,NA,0.005,0.09,NA,1.03,NA,1.03,NA,0.198,0.191,FALSE
9,Kawaguchi_Morino_2001__Morino-31C2510,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x3.2,100.0,100.0,3.2,3.2,1212.67,1873775.85,39.31,31.25,44993.54,0.15,Constant,0,STKR400,235.0,398.9,433.2,17947.92,1049.0,937773.84,19017.24,-20135.9,0.005,0.15,NA,0.005,0.15,NA,1.01,NA,1.01,NA,19017.24,-20135.9,0.005,0.15,NA,0.005,0.15,NA,1.01,NA,1.01,NA,1.375,1.075,FALSE
10,Kawaguchi_Morino_2001__Morino-31C2512,Kawaguchi & Morino,"Kawaguchi, J., and Morino, S. (2001). ""Experimental Study on Post - Local Buckling Behavior of Beams-Columns Under Cyclic Loading"", Journal of Structural Construction Engineering., AIJ, No. 540. pp. 141-148",https://www.jstage.jst.go.jp/article/aijs/66/540/66_KJ00004101474/_article/-char/en,CF,3,Cyclic,Symmetric,NR,NR,HSS-100x100x3.2,100.0,100.0,3.2,3.2,1212.67,1873775.85,39.31,31.25,44993.54,0.25,Constant,0,STKR400,235.0,398.9,433.2,17947.92,1048.0,869982.96,18307.72,-15692.33,0.015,0.15,NA,0.015,0.15,NA,1.08,NA,1.08,NA,18307.72,-15692.33,0.015,0.15,NA,0.015,0.15,NA,1.08,NA,1.08,NA,1.146,1.089,FALSE
