type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,z_z,j,c_w,,,,,,,,,,,,
SHS,HSS 22 x 22 x 1,558.8,558.8,25.4,20.7,20.7,76.2,50.8,4.0,2235.2,49161.2,24516.1,24516.1,2310084412.1,216.7,8275467.3,9766690.1,2310084412.1,216.7,8275467.3,9766690.1,3700297373.6,13486553.7,,,,,,,,,,,,
SHS,HSS 22 x 22 x 7/8,558.8,558.8,22.225,24,24,66.7,44.5,3.6,2235.2,43419.3,21875.0,21875.0,2068670185.2,218.2,7406952.9,8685143.9,2068670185.2,218.2,7406952.9,8685143.9,3284065948.0,11946169.7,,,,,,,,,,,,
SHS,HSS 22 x 22 x 3/4,558.8,558.8,19.05,28.5,28.5,57.2,38.1,3.1,2235.2,37548.3,19112.9,19112.9,1810606701.4,219.7,6472890.3,7570823.6,1810606701.4,219.7,6472890.3,7570823.6,2855347579.6,10356624.4,,,,,,,,,,,,
SHS,HSS 22 x 22 x 5/8,558.8,558.8,15.875,34.9,34.9,47.6,31.8,2.6,2235.2,31548.3,16229.8,16229.8,1544218589.0,221.2,5522440.6,6390955.0,1544218589.0,221.2,5522440.6,6390955.0,2409979954.2,8717918.0,,,,,,,,,,,,
SHS,HSS 22 x 22 x 1/2,558.8,558.8,12.7,44.3,44.3,38.1,25.4,2.1,2235.2,25483.8,13225.8,13225.8,1261181219.6,222.5,4506442.6,5194699.3,1261181219.6,222.5,4506442.6,5194699.3,1956287700.3,7062824.6,,,,,,,,,,,,
SHS,HSS 20 x 20 x 1,508,508,25.4,18.5,18.5,76.2,50.8,3.6,2032.0,44322.5,21935.4,21935.4,1706548845.0,196.3,6718696.2,7964113.1,1706548845.0,196.3,6718696.2,7964113.1,2747127409.0,11028494.1,,,,,,,,,,,,
SHS,HSS 20 x 20 x 7/8,508,508,22.225,21.6,21.6,66.7,44.5,3.2,2032.0,39225.7,19616.9,19616.9,1527569332.0,197.4,6014052.5,7095598.7,1527569332.0,197.4,6014052.5,7095598.7,2443278468.3,9783077.2,,,,,,,,,,,,
SHS,HSS 20 x 20 x 3/4,508,508,19.05,25.7,25.7,57.2,38.1,2.8,2032.0,33935.4,17177.4,17177.4,1344427504.7,199.1,5293021.7,6194310.2,1344427504.7,199.1,5293021.7,6194310.2,2126942584.8,8504886.2,,,,,,,,,,,,
SHS,HSS 20 x 20 x 5/8,508,508,15.875,31.4,31.4,47.6,31.8,2.4,2032.0,28580.6,14616.9,14616.9,1144636420.4,200.2,4506442.6,5243860.5,1144636420.4,200.2,4506442.6,5243860.5,1798119758.6,7161147.0,,,,,,,,,,,,
SHS,HSS 20 x 20 x 1/2,508,508,12.7,40,40,38.1,25.4,1.9,2032.0,23096.7,11935.5,11935.5,940683021.9,201.9,3703476.5,4277023.7,940683021.9,201.9,3703476.5,4277023.7,1460972303.9,5817407.7,,,,,,,,,,,,
SHS,HSS 20 x 20 x 3/8,508,508,9.525,54.3,54.3,28.6,19.1,1.4,2032.0,17483.8,9133.0,9133.0,724242680.5,203.5,2851349.1,3261025.7,724242680.5,203.5,2851349.1,3261025.7,1115500220.6,4408120.2,,,,,,,,,,,,
SHS,HSS 18 x 18 x 1,457.2,457.2,25.4,16.4,16.4,76.2,50.8,3.2,1828.8,39548.3,19354.8,19354.8,1215395762.8,175.3,5309408.7,6341793.8,1215395762.8,175.3,5309408.7,6341793.8,1972936957.3,8832627.5,,,,,,,,,,,,
SHS,HSS 18 x 18 x 7/8,457.2,457.2,22.225,19.1,19.1,66.7,44.5,2.9,1828.8,35032.2,17358.8,17358.8,1094688649.3,176.8,4785022.7,5669924.1,1094688649.3,176.8,4785022.7,5669924.1,1756496616.0,7849403.7,,,,,,,,,,,,
SHS,HSS 18 x 18 x 3/4,457.2,457.2,19.05,22.8,22.8,57.2,38.1,2.5,1828.8,30387.0,15241.9,15241.9,965656907.4,178.3,4227862.5,4948893.3,965656907.4,178.3,4227862.5,4948893.3,1535893960.5,6833405.7,,,,,,,,,,,,
SHS,HSS 18 x 18 x 5/8,457.2,457.2,15.875,28,28,47.6,31.8,2.1,1828.8,25548.3,13004.0,13004.0,824138222.7,179.6,3605154.1,4211475.4,824138222.7,179.6,3605154.1,4211475.4,1298642047.9,5768246.5,,,,,,,,,,,,
SHS,HSS 18 x18 x 1/2,457.2,457.2,12.7,35.7,35.7,38.1,25.4,1.7,1828.8,20709.6,10645.1,10645.1,678457223.7,181.1,2966058.6,3441283.4,678457223.7,181.1,2966058.6,3441283.4,1057227821.0,4686700.3,,,,,,,,,,,,
SHS,HSS 18 x 18 x 3/8,457.2,457.2,9.525,48.6,48.6,28.6,19.1,1.3,1828.8,15677.4,8165.3,8165.3,520289282.0,182.1,2277801.9,2621930.2,520289282.0,182.1,2277801.9,2621930.2,807488965.7,3555992.9,,,,,,,,,,,,
SHS,HSS 16 x 16 x 1,406.4,406.4,25.4,14.2,14.2,76.2,50.8,2.8,1625.6,34709.6,16774.2,16774.2,828300536.9,154.4,4080378.9,4916119.2,828300536.9,154.4,4080378.9,4916119.2,1361076761.7,6866179.8,,,,,,,,,,,,
SHS,HSS 16 x 16 x 7/8,406.4,406.4,22.225,16.7,16.7,66.7,44.5,2.5,1625.6,30774.1,15100.8,15100.8,749216566.1,156.0,3687089.4,4391733.2,749216566.1,156.0,3687089.4,4391733.2,1215395762.8,6112374.9,,,,,,,,,,,,
SHS,HSS 16 x 16 x 3/4,406.4,406.4,19.05,19.9,19.9,57.2,38.1,2.2,1625.6,26774.1,13306.4,13306.4,661807966.7,157.2,3261025.7,3850960.0,661807966.7,157.2,3261025.7,3850960.0,1065552449.5,5342182.9,,,,,,,,,,,,
SHS,HSS 16 x 16 x 5/8,406.4,406.4,15.875,24.5,24.5,47.6,31.8,1.9,1625.6,22580.6,11391.1,11391.1,570237053.1,159.0,2802187.9,3277412.8,570237053.1,159.0,2802187.9,3277412.8,903222193.6,4522829.7,,,,,,,,,,,,
SHS,HSS 16 x 16 x 1/2,406.4,406.4,12.7,31.4,31.4,38.1,25.4,1.5,1625.6,18258.0,9354.8,9354.8,470341510.9,160.5,2310576.0,2687478.5,470341510.9,160.5,2310576.0,2687478.5,736729623.3,3670702.3,,,,,,,,,,,,
SHS,HSS 16 x 16 x 3/8,406.4,406.4,9.525,42.8,42.8,28.6,19.1,1.1,1625.6,13870.9,7197.6,7197.6,363370034.5,161.8,1786190.0,2064770.1,363370034.5,161.8,1786190.0,2064770.1,561912424.6,2802187.9,,,,,,,,,,,,
SHS,HSS 16 x 16 x 5/16,406.4,406.4,7.9502,52,52,23.9,15.9,1.0,1625.6,11677.4,6082.7,6082.7,307595023.5,162.3,1514164.7,1737028.8,307595023.5,162.3,1514164.7,1737028.8,474503825.2,2359737.2,,,,,,,,,,,,
SHS,HSS 14 x 14 x 1,355.6,355.6,25.4,12.1,12.1,76.2,50.8,2.4,1422.4,29935.4,14193.5,14193.5,536938539.0,133.9,3015219.8,3670702.3,536938539.0,133.9,3015219.8,3670702.3,886572936.5,5161925.2,,,,,,,,,,,,
SHS,HSS 14 x 14 x 7/8,355.6,355.6,22.225,14.2,14.2,66.7,44.5,2.2,1422.4,26580.6,12842.7,12842.7,486990768.0,135.4,2736639.7,3293799.9,486990768.0,135.4,2736639.7,3293799.9,795002022.9,4604765.0,,,,,,,,,,,,
SHS,HSS 14 x 14 x 3/4,355.6,355.6,19.05,17.1,17.1,57.2,38.1,1.9,1422.4,23161.2,11370.9,11370.9,432880682.6,136.7,2441672.5,2900510.3,432880682.6,136.7,2441672.5,2900510.3,699268795.0,4031217.7,,,,,,,,,,,,
SHS,HSS 14 x 14 x 5/8,355.6,355.6,15.875,21.1,21.1,47.6,31.8,1.6,1422.4,19548.3,9778.2,9778.2,373359588.8,138.2,2097544.2,2474446.7,373359588.8,138.2,2097544.2,2474446.7,595210938.6,3408509.3,,,,,,,,,,,,
SHS,HSS 14 x 14 x 1/2,355.6,355.6,12.7,27.1,27.1,38.1,25.4,1.3,1422.4,15870.9,8064.5,8064.5,309259949.2,139.7,1737028.8,2031995.9,309259949.2,139.7,1737028.8,2031995.9,486990768.0,2785800.9,,,,,,,,,,,,
SHS,HSS 14 x 14 x 3/8,355.6,355.6,9.525,37.1,37.1,28.6,19.1,1.0,1422.4,12064.5,6229.8,6229.8,240165532.6,141.0,1350294.1,1556771.1,240165532.6,141.0,1350294.1,1556771.1,374608283.0,2130318.3,,,,,,,,,,,,
SHS,HSS 14 x 14 x 5/16,355.6,355.6,7.9502,45.1,45.1,23.9,15.9,0.8,1422.4,10129.0,5274.9,5274.9,203953398.5,142.0,1147094.5,1327352.2,203953398.5,142.0,1147094.5,1327352.2,315919652.0,1786190.0,,,,,,,,,,,,
SHS,HSS 12 x 12 x 7/8,304.8,304.8,22.225,11.7,11.7,66.7,44.5,1.8,1219.2,22387.1,10584.7,10584.7,293859386.5,114.6,1933673.6,2343350.2,293859386.5,114.6,1933673.6,2343350.2,486990768.0,3310186.9,,,,,,,,,,,,
SHS,HSS 12 x 12 x 3/4,304.8,304.8,19.05,14.2,14.2,57.2,38.1,1.6,1219.2,19548.3,9435.5,9435.5,262642029.6,115.8,1720641.7,2081157.1,262642029.6,115.8,1720641.7,2081157.1,428718368.4,2900510.3,,,,,,,,,,,,
SHS,HSS 12 x 12 x 5/8,304.8,304.8,15.875,17.7,17.7,47.6,31.8,1.4,1219.2,16580.6,8165.3,8165.3,228094821.2,117.3,1496138.9,1786190.0,228094821.2,117.3,1496138.9,1786190.0,368364811.7,2474446.7,,,,,,,,,,,,
SHS,HSS 12 x 12 x 1/2,304.8,304.8,12.7,22.8,22.8,38.1,25.4,1.1,1219.2,13483.8,6774.2,6774.2,190217761.5,118.9,1248694.3,1468280.9,190217761.5,118.9,1248694.3,1468280.9,303016477.8,2015608.9,,,,,,,,,,,,
SHS,HSS 12 x 12 x 3/8,304.8,304.8,9.525,31.4,31.4,28.6,19.1,0.8,1219.2,10322.6,5262.1,5262.1,148594618.9,119.9,975030.3,1133984.8,148594618.9,119.9,975030.3,1133984.8,233505829.8,1550216.3,,,,,,,,,,,,
SHS,HSS 12 x 12 x 5/16,304.8,304.8,7.9502,38.2,38.2,23.9,15.9,0.7,1219.2,8645.1,4467.2,4467.2,126534353.4,120.9,830824.1,960282.0,126534353.4,120.9,830824.1,960282.0,197293695.7,1306049.0,,,,,,,,,,,,
SHS,HSS 12 x 12 x 1/4,304.8,304.8,6.35,48.5,48.5,19.1,12.7,0.6,1219.2,6967.7,3629.0,3629.0,103225393.5,121.7,676785.7,780024.2,103225393.5,121.7,676785.7,780024.2,159832867.4,1056965.6,,,,,,,,,,,,
SHS,HSS 10 x 10 x 3/4,254,254,19.05,11.3,11.3,57.2,38.1,1.3,1016.0,15935.5,7500.0,7500.0,144432304.7,95.3,1137262.2,1387984.3,144432304.7,95.3,1137262.2,1387984.3,240581764.0,1950060.6,,,,,,,,,,,,
SHS,HSS 10 x 10 x 5/8,254,254,15.875,14.2,14.2,47.6,31.8,1.1,1016.0,13548.4,6552.4,6552.4,126534353.4,96.5,996333.5,1199533.1,126534353.4,96.5,996333.5,1199533.1,207283249.9,1671480.5,,,,,,,,,,,,
SHS,HSS 10 x 10 x 1/2,254,254,12.7,18.5,18.5,38.1,25.4,0.9,1016.0,11096.8,5483.9,5483.9,106555245.0,98.0,839017.7,994694.8,106555245.0,98.0,839017.7,994694.8,171487347.3,1379790.8,,,,,,,,,,,,
SHS,HSS 10 x 10 x 3/8,254,254,9.525,25.7,25.7,28.6,19.1,0.7,1016.0,8516.1,4294.3,4294.3,84078748.0,99.3,662037.4,773469.4,84078748.0,99.3,662037.4,773469.4,133194056.2,1061881.7,,,,,,,,,,,,
SHS,HSS 10 x 10 x 5/16,254,254,7.9502,31.4,31.4,23.9,15.9,0.6,1016.0,7161.3,3659.5,3659.5,71591805.2,100.1,563715.0,657121.3,71591805.2,100.1,563715.0,657121.3,112798716.3,898011.1,,,,,,,,,,,,
SHS,HSS 10 x 10 x 1/4,254,254,6.35,39.9,39.9,19.1,12.7,0.5,1016.0,5780.6,2983.9,2983.9,58688631.0,100.8,462115.2,535857.0,58688631.0,100.8,462115.2,535857.0,91570913.6,727585.6,,,,,,,,,,,,
SHS,HSS 10 x 10 x 3/16,254,254,4.7752,54.5,54.5,14.3,9.6,0.4,1016.0,4361.3,2289.0,2289.0,44952994.0,101.6,353960.6,406399.2,44952994.0,101.6,353960.6,406399.2,69510648.1,550605.4,,,,,,,,,,,,
SHS,HSS 9 x 9 x 5/8,228.6,228.6,15.875,12.5,12.5,47.6,31.8,1.0,914.4,12064.5,5746.0,5746.0,89905987.9,86.4,786579.1,952088.4,89905987.9,86.4,786579.1,952088.4,148178387.5,1337184.4,,,,,,,,,,,,
SHS,HSS 9 x 9 x 1/2,228.6,228.6,12.7,16.4,16.4,38.1,25.4,0.8,914.4,9870.9,4838.7,4838.7,76170350.9,87.9,666953.5,793133.9,76170350.9,87.9,666953.5,793133.9,123204502.0,1104488.1,,,,,,,,,,,,
SHS,HSS 9 x 9 x 3/8,228.6,228.6,9.525,22.8,22.8,28.6,19.1,0.6,914.4,7612.9,3810.5,3810.5,60353556.7,89.2,527663.5,619431.0,60353556.7,89.2,527663.5,619431.0,96149459.3,853766.0,,,,,,,,,,,,
SHS,HSS 9 x 9 x 5/16,228.6,228.6,7.9502,27.9,27.9,23.9,15.9,0.5,914.4,6400.0,3255.6,3255.6,51612696.8,89.9,452283.0,526024.8,51612696.8,89.9,452283.0,526024.8,81581359.4,721030.8,,,,,,,,,,,,
SHS,HSS 9 x 9 x 1/4,228.6,228.6,6.35,35.6,35.6,19.1,12.7,0.4,914.4,5180.6,2661.3,2661.3,42455605.4,90.4,371986.4,429341.1,42455605.4,90.4,371986.4,429341.1,66180796.7,586656.9,,,,,,,,,,,,
SHS,HSS 9 x 9 x 3/16,228.6,228.6,4.7752,48.7,48.7,14.3,9.6,0.3,914.4,3909.7,2046.4,2046.4,32549297.5,91.2,285134.9,327741.3,32549297.5,91.2,285134.9,327741.3,50364002.5,444089.4,,,,,,,,,,,,
SHS,HSS 8 x 8 x 5/8,203.2,203.2,15.875,10.8,10.8,47.6,31.8,0.9,812.8,10580.6,4939.5,4939.5,60769788.1,75.7,598127.8,732501.8,60769788.1,75.7,598127.8,732501.8,101560467.8,1035662.4,,,,,,,,,,,,
