type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
RHS,RHS 50x30x2.6,50,30,2.6,19.2,11.5,3.9,2.6,3,0.153,382,239,143,121800,17.9,4873,6118,53750,11.9,3584,4246,121000,5897,,,,,,,,,,,,
RHS,RHS 50x30x3.2,50,30,3.2,15.6,9.4,4.8,3.2,3.61,0.152,460,288,173,142100,17.6,5683,7246,61970,11.6,4132,5001,141900,6796,,,,,,,,,,,,
RHS,RHS 50x30x4,50,30,4,12.5,7.5,6,4,4.39,0.15,559,349,210,164900,17.2,6596,8593,70840,11.3,4722,5885,165900,7771,,,,,,,,,,,,
RHS,RHS 50x30x5,50,30,5,10.0,6.0,7.5,5,5.28,0.147,673,421,252,187100,16.7,7486,10030,78880,10.8,5258,6797,189700,8667,,,,,,,,,,,,
RHS,RHS 60x40x2.6,60,40,2.6,23.1,15.4,3.9,2.6,3.81,0.193,486,291,194,235800,22,7862,9649,124400,16,6220,7257,259300,10040,,,,,,,,,,,,
RHS,RHS 60x40x3.2,60,40,3.2,18.8,12.5,4.8,3.2,4.62,0.192,588,353,235,278200,21.8,9275,11520,145700,15.7,7287,8639,308000,11740,,,,,,,,,,,,
RHS,RHS 60x40x4,60,40,4,15.0,10.0,6,4,5.64,0.19,719,431,288,328300,21.4,10940,13830,170300,15.4,8517,10320,366600,13710,,,,,,,,,,,,
RHS,RHS 60x40x5,60,40,5,12.0,8.0,7.5,5,6.85,0.187,873,524,349,380900,20.9,12700,16390,195300,15,9767,12160,429800,15710,,,,,,,,,,,,
RHS,RHS 60x40x6.3,60,40,6.3,9.5,6.3,9.4,6.3,8.31,0.184,1059,635,423,433900,20.2,14460,19230,219200,14.4,10960,14150,495500,17640,,,,,,,,,,,,
RHS,RHS 80x40x3.2,80,40,3.2,25.0,12.5,4.8,3.2,5.62,0.232,716,477,239,571800,28.3,14300,18040,189200,16.3,9459,10990,461900,16080,,,,,,,,,,,,
RHS,RHS 80x40x4,80,40,4,20.0,10.0,6,4,6.9,0.23,879,586,293,682000,27.9,17050,21820,222400,15.9,11120,13200,551900,18900,,,,,,,,,,,,
RHS,RHS 80x40x5,80,40,5,16.0,8.0,7.5,5,8.42,0.227,1073,715,358,802800,27.4,20070,26130,257000,15.5,12850,15660,650500,21850,,,,,,,,,,,,
RHS,RHS 80x40x6.3,80,40,6.3,12.7,6.3,9.4,6.3,10.3,0.224,1311,874,437,932800,26.7,23320,31080,291600,14.9,14580,18400,756300,24840,,,,,,,,,,,,
RHS,RHS 80x40x8,80,40,8,10.0,5.0,12,8,12.5,0.219,1595,1064,532,1060000,25.8,26500,36470,321100,14.2,16050,21200,857600,27450,,,,,,,,,,,,
RHS,RHS 90x50x3.2,90,50,3.2,28.1,15.6,4.8,3.2,6.63,0.272,844,543,301,891300,32.5,19810,24560,352700,20.4,14110,16230,808700,23580,,,,,,,,,,,,
RHS,RHS 90x50x4,90,50,4,22.5,12.5,6,4,8.15,0.27,1039,668,371,1071000,32.1,23800,29850,419500,20.1,16780,19630,975200,28020,,,,,,,,,,,,
RHS,RHS 90x50x5,90,50,5,18.0,10.0,7.5,5,9.99,0.267,1273,818,455,1273000,31.6,28280,35990,492100,19.7,19690,23530,1164000,32860,,,,,,,,,,,,
RHS,RHS 90x50x6.3,90,50,6.3,14.3,7.9,9.4,6.3,12.3,0.264,1563,1005,558,1499000,31,33300,43220,569900,19.1,22800,28020,1377000,38060,,,,,,,,,,,,
RHS,RHS 90x50x8,90,50,8,11.3,6.3,12,8,15,0.259,1915,1231,684,1736000,30.1,38570,51410,645800,18.4,25830,32940,1603000,43210,,,,,,,,,,,,
RHS,RHS 100x50x3.2,100,50,3.2,31.3,15.6,4.8,3.2,7.13,0.292,908,605,303,1159000,35.7,23170,28940,387800,20.7,15510,17730,934500,26380,,,,,,,,,,,,
RHS,RHS 100x50x4,100,50,4,25.0,12.5,6,4,8.78,0.29,1119,746,373,1396000,35.3,27920,35240,461900,20.3,18480,21470,1128000,31400,,,,,,,,,,,,
RHS,RHS 100x50x5,100,50,5,20.0,10.0,7.5,5,10.8,0.287,1373,915,458,1665000,34.8,33300,42610,543000,19.9,21720,25780,1347000,36910,,,,,,,,,,,,
RHS,RHS 100x50x6.3,100,50,6.3,15.9,7.9,9.4,6.3,13.3,0.284,1689,1126,563,1971000,34.2,39420,51350,630500,19.3,25220,30770,1597000,42890,,,,,,,,,,,,
RHS,RHS 100x50x8,100,50,8,12.5,6.3,12,8,16.3,0.279,2075,1384,692,2299000,33.3,45980,61380,717200,18.6,28690,36300,1864000,48890,,,,,,,,,,,,
RHS,RHS 100x60x3.2,100,60,3.2,31.3,18.8,4.8,3.2,7.63,0.312,972,608,365,1309000,36.7,26170,32040,588300,24.6,19610,22430,1285000,32360,,,,,,,,,,,,
RHS,RHS 100x60x4,100,60,4,25.0,15.0,6,4,9.41,0.31,1199,749,450,1580000,36.3,31610,39080,705200,24.3,23510,27270,1559000,38740,,,,,,,,,,,,
RHS,RHS 100x60x5,100,60,5,20.0,12.0,7.5,5,11.6,0.307,1473,921,552,1891000,35.8,37820,47360,835900,23.8,27860,32890,1875000,45860,,,,,,,,,,,,
RHS,RHS 100x60x6.3,100,60,6.3,15.9,9.5,9.4,6.3,14.2,0.304,1815,1134,680,2248000,35.2,44960,57250,981500,23.3,32720,39530,2244000,53810,,,,,,,,,,,,
RHS,RHS 100x60x8,100,60,8,12.5,7.5,12,8,17.5,0.299,2235,1397,838,2638000,34.4,52770,68740,1133000,22.5,37780,47080,2654000,62170,,,,,,,,,,,,
RHS,RHS 120x60x4,120,60,4,30.0,15.0,6,4,10.7,0.35,1359,906,453,2487000,42.8,41460,51870,830900,24.7,27700,31750,2007000,47100,,,,,,,,,,,,
RHS,RHS 120x60x5,120,60,5,24.0,12.0,7.5,5,13.1,0.347,1673,1115,558,2992000,42.3,49870,63090,987600,24.3,32920,38390,2418000,55950,,,,,,,,,,,,
RHS,RHS 120x60x6.3,120,60,6.3,19.0,9.5,9.4,6.3,16.2,0.344,2067,1378,689,3583000,41.6,59710,76660,1164000,23.7,38800,46300,2900000,65940,,,,,,,,,,,,
RHS,RHS 120x60x8,120,60,8,15.0,7.5,12,8,20.1,0.339,2555,1704,852,4247000,40.8,70790,92700,1351000,23,45050,55400,3443000,76640,,,,,,,,,,,,
RHS,RHS 120x60x10,120,60,10,12.0,6.0,15,10,24.3,0.334,3093,2062,1031,4881000,39.7,81360,109200,1515000,22.1,50510,64380,3957000,86130,,,,,,,,,,,,
RHS,RHS 120x80x4,120,80,4,30.0,20.0,6,4,11.9,0.39,1519,911,608,3026000,44.6,50430,61150,1607000,32.5,40180,46140,3304000,64980,,,,,,,,,,,,
RHS,RHS 120x80x5,120,80,5,24.0,16.0,7.5,5,14.7,0.387,1873,1124,749,3654000,44.2,60900,74590,1929000,32.1,48240,56130,4013000,77880,,,,,,,,,,,,
RHS,RHS 120x80x6.3,120,80,6.3,19.0,12.7,9.4,6.3,18.2,0.384,2319,1391,927,4398000,43.6,73300,90980,2305000,31.5,57620,68220,4866000,92870,,,,,,,,,,,,
RHS,RHS 120x80x8,120,80,8,15.0,10.0,12,8,22.6,0.379,2875,1725,1150,5253000,42.7,87540,110600,2726000,30.8,68140,82550,5866000,109700,,,,,,,,,,,,
RHS,RHS 120x80x10,120,80,10,12.0,8.0,15,10,27.4,0.374,3493,2096,1397,6095000,41.8,101600,131200,3126000,29.9,78140,97300,6876000,125700,,,,,,,,,,,,
RHS,RHS 140x80x4,140,80,4,35.0,20.0,6,4,13.2,0.43,1679,1068,610,4406000,51.2,62940,77140,1838000,33.1,45960,52220,4107000,76530,,,,,,,,,,,,
RHS,RHS 140x80x5,140,80,5,28.0,16.0,7.5,5,16.3,0.427,2073,1319,754,5340000,50.8,76280,94320,2211000,32.7,55280,63630,4994000,91940,,,,,,,,,,,,
RHS,RHS 140x80x6.3,140,80,6.3,22.2,12.7,9.4,6.3,20.2,0.424,2571,1636,935,6458000,50.1,92260,115400,2648000,32.1,66200,77510,6065000,110000,,,,,,,,,,,,
RHS,RHS 140x80x8,140,80,8,17.5,10.0,12,8,25.1,0.419,3195,2033,1162,7763000,49.3,110900,141000,3142000,31.4,78550,94070,7329000,130400,,,,,,,,,,,,
RHS,RHS 140x80x10,140,80,10,14.0,8.0,15,10,30.6,0.414,3893,2477,1416,9081000,48.3,129700,168100,3619000,30.5,90470,111300,8621000,150300,,,,,,,,,,,,
RHS,RHS 150x100x4,150,100,4,37.5,25.0,6,4,15.1,0.49,1919,1151,768,6073000,56.3,80970,97410,3240000,41.1,64810,73640,6601000,105000,,,,,,,,,,,,
RHS,RHS 150x100x5,150,100,5,30.0,20.0,7.5,5,18.6,0.487,2373,1424,949,7387000,55.8,98500,119400,3923000,40.7,78470,90110,8067000,126900,,,,,,,,,,,,
RHS,RHS 150x100x6.3,150,100,6.3,23.8,15.9,9.4,6.3,23.1,0.484,2949,1769,1179,8979000,55.2,119700,146700,4741000,40.1,94810,110400,9865000,153100,,,,,,,,,,,,
RHS,RHS 150x100x8,150,100,8,18.8,12.5,12,8,28.9,0.479,3675,2205,1470,10870000,54.4,144900,180100,5693000,39.4,113900,135000,12030000,183500,,,,,,,,,,,,
RHS,RHS 150x100x10,150,100,10,15.0,10.0,15,10,35.3,0.474,4493,2696,1797,12820000,53.4,171000,216000,6654000,38.5,133100,161200,14320000,214200,,,,,,,,,,,,
RHS,RHS 150x100x12.5,150,100,12.5,12.0,8.0,18.8,12.5,42.8,0.468,5457,3274,2183,14880000,52.2,198400,256200,7631000,37.4,152600,190000,16790000,245500,,,,,,,,,,,,
RHS,RHS 160x80x4,160,80,4,40.0,20.0,6,4,14.4,0.47,1839,1226,613,6122000,57.7,76530,94730,2070000,33.5,51740,58300,4930000,88080,,,,,,,,,,,,
