e_true,Sigma_true
-1.55E-06,0.014388832
-3.18E-06,-0.083817789
-2.54E-06,0.004361959
-1.31E-06,-0.001541088
0.000201952,43.28856628
0.000405077,86.80362446
0.000607744,129.8399217
0.000810292,173.0046059
0.001024216,216.5304837
0.001214978,252.6705755
0.001260801,260.2953194
0.001581039,302.9801775
0.002065142,348.7774761
0.002262728,360.0929613
0.002478449,364.5508468
0.002494586,364.6595843
0.003689902,358.3943063
0.004976623,360.0271698
0.004462958,238.8953433
0.003135611,-10.15644713
0.00230093,-124.7976286
0.001335391,-210.8181408
-6.17E-05,-291.4452468
-0.000962417,-327.9645586
-0.001653575,-349.0517368
-0.002750842,-370.3528782
-0.002765041,-370.3882598
-0.003626787,-369.043851
-0.004275946,-364.5834585
-0.004981817,-369.9759247
-0.004274656,-214.4201788
-0.003138424,-4.030054336
-0.002361032,101.1034063
-0.001531023,175.0583025
-0.000415013,239.0458484
0.001085968,293.9294186
0.002943667,338.3589059
0.003841045,353.257441
0.004979714,366.4007014
0.004993918,366.5537314
0.004263277,206.5366738
0.00316999,4.311025171
0.002356057,-114.5393406
0.001599677,-187.3266517
0.000472442,-256.1730243
-0.001074426,-315.6894824
-0.001992323,-341.0014858
-0.00296976,-362.0483178
-0.00394927,-378.3158592
-0.004973279,-390.6581082
-0.004990131,-390.830269
-0.004342523,-249.498885
-0.002994712,2.14350276
-0.002250522,107.8771951
-0.001433953,187.0084297
-0.000273502,256.0972906
0.001061817,305.7087727
0.002950424,350.8440568
0.003998427,368.2449864
0.004984591,380.0855357
0.004999699,380.182511
0.003222352,26.1136876
0.002320316,-112.8365056
0.001441589,-200.1722402
0.000345379,-267.0782348
-0.001037155,-320.7433418
-0.002826962,-365.8133451
-0.003957165,-385.4242136
-0.004981798,-398.2291415
-0.004996789,-398.3956596
-0.002975894,-0.100709721
-0.002200367,112.265062
-0.001368636,194.7197305
-0.000283337,260.8767333
0.001023173,310.7571772
0.00288083,355.9771923
0.004093419,376.0606431
0.004990251,386.9633149
0.005005341,387.1135666
0.003948885,166.0956773
0.002883627,-25.90704154
0.002206169,-124.3169726
0.001373104,-206.0514664
0.000306036,-271.7145272
-0.001104732,-326.4563037
-0.00286416,-370.3543566
-0.003965014,-389.4430311
-0.004973755,-402.3849475
-0.004990575,-402.7230606
-0.004345867,-261.5275436
-0.002923567,5.685692238
-0.002135219,119.7832915
-0.001349795,197.8716164
-0.000323012,262.0959295
0.001103784,317.0199218
0.002930817,360.9128672
0.004979504,390.8242315
0.005007866,391.0208814
0.003913352,163.5561568
0.002922308,-16.09096783
0.002184857,-125.2812035
0.001382687,-205.6962921
0.000269717,-275.2129093
-0.001170737,-330.7494935
-0.002947598,-374.4430743
-0.004981597,-405.0793036
-0.004997371,-405.2063973
-0.004129948,-221.5027042
-0.002762341,30.44413296
-0.00190158,146.8070924
-0.000948647,228.4007089
-0.000285978,266.0646298
0.000495741,299.3480059
0.001349625,326.8885582
0.002324421,351.2300362
0.003448062,372.7158767
0.004614412,389.4566918
0.005852223,401.9479386
0.007490968,413.1261758
0.007506096,413.1631411
0.006252608,156.5308656
0.005046413,-52.5590421
0.004165511,-160.0349143
0.003114289,-237.1441978
0.002319537,-275.2749
0.001404777,-307.664439
0.000431258,-334.0898128
