e_true,Sigma_true
0.000000,0.000000
0.001535,94.630647
0.002994,184.657533
0.004309,265.700866
0.005413,333.817905
0.006255,385.694769
0.006791,418.807660
0.006998,431.545642
0.006864,423.289014
0.006396,394.439461
0.005617,346.400506
0.004565,281.509236
0.003291,202.922597
0.001856,114.463815
0.000331,20.436391
-0.001209,-74.585260
-0.002692,-165.978352
-0.004043,-249.296631
-0.005197,-320.486678
-0.006099,-376.085112
-0.006704,-413.387081
-0.006982,-430.577851
-0.006921,-426.821094
-0.006524,-402.299576
-0.005809,-358.206264
-0.004811,-296.686288
-0.003579,-220.732584
-0.002174,-134.040284
-0.000662,-40.826950
0.000882,54.372606
0.002383,146.926946
0.003768,232.333319
0.004969,306.436723
0.005929,365.632041
0.006601,407.039434
0.006951,428.644439
0.006963,429.395977
0.006637,409.257487
0.005987,369.208702
0.005046,311.197988
0.003860,238.047553
0.002486,153.316152
0.000991,61.125951
-0.000552,-34.038015
-0.002068,-127.546039
-0.003484,-214.848973
-0.004730,-291.699548
-0.005746,-354.358998
-0.006483,-399.778953
-0.006904,-425.749742
-0.006989,-431.007891
-0.006735,-415.297592
-0.006152,-379.383148
-0.005270,-325.011789
-0.004132,-254.828672
-0.002793,-172.248191
-0.001318,-81.287869
0.000442,27.254181
0.003499,215.758191
0.006385,393.765607
0.008961,552.616406
0.011101,600.149903
0.012701,611.989261
0.013683,619.256060
0.014000,621.596773
0.013635,599.103021
0.012607,535.703899
0.010965,434.483763
0.008790,300.366952
0.006188,139.878221
0.003284,-39.174685
0.000221,-228.080876
-0.002853,-417.650106
-0.005788,-560.834024
-0.008442,-580.471329
-0.010685,-597.069416
-0.012408,-609.820792
-0.013528,-618.105104
-0.013989,-621.519324
-0.013770,-608.002863
-0.012881,-553.175688
-0.011365,-459.705131
-0.009296,-332.138514
-0.006776,-176.681930
-0.003925,-0.898309
-0.000883,186.660511
0.002201,376.869830
0.005178,556.320116
0.007904,576.488590
0.010245,593.811607
0.012087,607.446404
0.013342,616.729651
0.013947,621.209720
0.013874,616.700863
0.013126,570.568591
0.011739,485.057231
0.009782,364.326893
0.007348,214.251084
0.004557,42.130963
0.001544,-143.659862
-0.001544,-334.082704
-0.004557,-519.873528
-0.007348,-572.374684
-0.009782,-590.383781
-0.011739,-604.871422
-0.013126,-615.132785
-0.013874,-620.668657
-0.013947,-621.209720
-0.013342,-583.875809
-0.012087,-506.515415
-0.010245,-392.892107
-0.007904,-248.533636
-0.005178,-80.463014
-0.002201,103.143159
0.001325,320.593075
0.005887,561.567203
0.010163,593.208254
0.013945,621.190440
0.017048,644.152431
0.019321,660.977131
0.020655,670.846022
0.020984,673.278985
0.020292,630.601246
0.018612,527.047340
0.016028,367.655143
0.012663,160.179055
0.008683,-85.287254
0.004280,-356.801898
-0.000332,-520.453182
-0.004927,-554.456297
-0.009282,-586.685820
-0.013186,-615.573791
-0.016448,-639.714817
-0.018910,-657.934442
-0.020452,-669.346283
-0.020999,-673.395159
-0.020525,-644.136258
-0.019052,-553.301267
-0.016652,-405.309291
-0.013442,-207.360111
-0.009578,30.916087
-0.005248,297.927212
-0.000663,513.094247
0.003955,547.263633
0.008380,580.009349
0.012397,609.738322
0.015811,635.004244
0.018456,654.577933
0.020204,667.507133
0.020968,673.162841
0.020712,657.388394
0.019449,579.476027
0.017239,443.216162
0.014191,255.237812
0.010452,24.686089
0.006205,-237.222714
0.001656,-505.746314
-0.002974,-540.005342
-0.007459,-573.193815
-0.011581,-603.697119
-0.015139,-630.031276
-0.017962,-650.915133
-0.019910,-665.332695
-0.020890,-672.582552
-0.020853,-670.327936
-0.019802,-605.512920
-0.017788,-481.290743
-0.014908,-303.704789
-0.011303,-81.394578
-0.007148,174.824542
-0.002645,452.487562
0.002648,537.596936
0.008695,582.339336
0.014318,623.951640
0.019245,660.409418
0.023235,689.939007
0.026095,711.103796
0.027686,722.874125
0.027929,724.677368
0.026814,655.914290
0.024395,506.706415
0.020788,284.312678
0.016171,-0.447511
0.010766,-333.720626
0.004838,-482.199075
-0.001326,-527.809468
-0.007425,-572.942631
-0.013163,-615.402847
-0.018260,-653.124433
-0.022469,-684.272243
-0.025585,-707.330941
-0.027457,-721.178727
-0.027992,-725.141908
-0.027166,-674.189981
-0.025018,-541.738417
-0.021653,-334.230959
-0.017235,-61.762803
-0.011978,262.410529
-0.006138,472.577289
-0.000000,518.000000
