Elongation [mm],Equivalent plastic strain
0.0,0.0
0.0084,0.0
0.0168,0.0
0.0252,0.001252442
0.0336,0.003927619
0.042,0.006512207
0.0504,0.009113824
0.0588,0.011783417
0.0672,0.014547965
0.0756,0.017420126
0.084,0.0204031
0.0924,0.023492739
0.1008,0.026680972
0.1092,0.029953845
0.1176,0.033292465
0.126,0.036676027
0.1344,0.040101223
0.1428,0.0435647
0.1512,0.047061212
0.1596,0.050586585
0.168,0.054135308
0.1764,0.057704188
0.1848,0.061291352
0.1932,0.064895436
0.2016,0.068514518
0.21,0.072146758
0.2184,0.075791739
0.2268,0.079448014
0.2352,0.083116114
0.2436,0.086795375
0.252,0.09048555
0.2604,0.094186112
0.2688,0.097897619
0.2772,0.101620689
0.2856,0.105355471
0.294,0.109102286
0.3024,0.112861142
0.3108,0.116633207
0.3192,0.120418973
0.3276,0.124218866
0.336,0.128033549
0.3444,0.131863654
0.3528,0.135709748
0.3612,0.139572442
0.3696,0.143452421
0.378,0.147350371
0.3864,0.151266962
0.3948,0.155202791
0.4032,0.159158394
0.4116,0.16313456
0.42,0.167131811
0.4284,0.171150714
0.4368,0.175191835
0.4452,0.179255605
0.4536,0.183342531
0.462,0.187452972
0.4704,0.191587418
0.4788,0.195746347
0.4872,0.199929953
0.4956,0.204138726
0.504,0.208372951
0.5124,0.212633014
0.5208,0.216919184
0.5292,0.221231788
0.5376,0.225571215
0.546,0.229937613
0.5544,0.234331459
0.5628,0.238752976
0.5712,0.243202478
0.5796,0.247680351
0.588,0.252186775
0.5964,0.256722152
0.6048,0.261286855
0.6132,0.265881062
0.6216,0.27050516
0.63,0.275159538
0.6384,0.279844433
0.6468,0.284560263
0.6552,0.289307415
0.6636,0.294086128
0.672,0.298896909
0.6804,0.303739965
0.6888,0.308615863
0.6972,0.313524783
0.7056,0.318467349
0.714,0.32344377
0.7224,0.328454643
0.7308,0.333500206
0.7392,0.338580966
0.7476,0.343697369
0.756,0.348849833
0.7644,0.354038835
0.7728,0.359264791
0.7812,0.364528179
0.7896,0.369829357
0.798,0.37516886
0.8064,0.380547166
0.8148,0.385964692
0.8232,0.391421884
0.8316,0.396919161
0.84,0.402457118
0.8316,0.402457118
0.8232,0.402457118
0.8148,0.402457118
0.8064,0.402457118
0.798,0.402457118
0.7896,0.402457118
0.7812,0.403990954
0.7728,0.405770749
0.7644,0.40760836
0.756,0.409556001
0.7476,0.411644548
0.7392,0.413896054
0.7308,0.416324914
0.7224,0.418937355
0.714,0.421730429
0.7056,0.424693555
0.6972,0.427810729
0.6888,0.43106246
0.6804,0.434428334
0.672,0.437888652
0.6636,0.441427052
0.6552,0.445027232
0.6468,0.448676765
0.6384,0.452365279
0.63,0.456082702
0.6216,0.459824771
0.6132,0.463582516
0.6048,0.467351019
0.5964,0.471127182
0.588,0.47490713
0.5796,0.47868672
0.5712,0.482465208
0.5628,0.486237824
0.5544,0.490001559
0.546,0.493755817
0.5376,0.497498095
0.5292,0.50122714
0.5208,0.504939079
0.5124,0.508630455
0.504,0.512304842
0.4956,0.515961051
0.4872,0.51959908
0.4788,0.523220897
0.4704,0.526824236
0.462,0.530408859
0.4536,0.533977449
0.4452,0.537528038
0.4368,0.541061521
0.4284,0.54457736
0.42,0.548077881
0.4116,0.551559389
0.4032,0.555024087
0.3948,0.558472157
0.3864,0.561903119
0.378,0.565315962
0.3696,0.568713605
0.3612,0.572094679
0.3528,0.575460613
0.3444,0.578809857
0.336,0.58214283
0.3276,0.585461676
0.3192,0.588766694
0.3108,0.592054486
0.3024,0.595327556
0.294,0.598585129
0.2856,0.601829827
0.2772,0.605059564
0.2688,0.608274877
0.2604,0.611475945
0.252,0.614662051
0.2436,0.617833257
0.2352,0.620989561
0.2268,0.624131441
0.2184,0.627257228
0.21,0.630367875
0.2016,0.633463383
0.1932,0.636542559
0.1848,0.639606357
0.1764,0.642654419
0.168,0.645688057
0.1596,0.648706317
0.1512,0.651710927
0.1428,0.654698491
0.1344,0.657672882
0.126,0.660632789
0.1176,0.663578212
0.1092,0.666509151
0.1008,0.669426203
0.0924,0.672329068
0.084,0.675217748
0.0756,0.678092122
0.0672,0.680953383
0.0588,0.683798015
0.0504,0.68662858
0.042,0.689443707
0.0336,0.692243338
0.0252,0.695026815
0.0168,0.697793961
0.0084,0.700544417
0.0,0.703277111
0.0084,0.703277111
0.0168,0.703277111
0.0252,0.703277111
0.0336,0.703277111
0.042,0.703277111
0.0504,0.703277111
0.0588,0.703277111
0.0672,0.70479393
0.0756,0.706311584
0.084,0.707887232
0.0924,0.709557354
0.1008,0.711349607
0.1092,0.713289261
0.1176,0.71539861
0.126,0.717695832
0.1344,0.720185161
0.1428,0.722856939
0.1512,0.72569263
0.1596,0.728701353
0.168,0.731874704
0.1764,0.735207379
0.1848,0.738682985
0.1932,0.742287636
0.2016,0.74600637
0.21,0.74982506
0.2184,0.753731012
0.2268,0.757713318
0.2352,0.761762917
0.2436,0.765871525
0.252,0.770032465
0.2604,0.774239361
0.2688,0.778487682
0.2772,0.782773256
0.2856,0.787092566
