Elongation [mm],Equivalent plastic strain
0.0,0.0
0.006,0.0
0.012,0.0
0.018,0.0
0.024,0.0
0.03,0.0
0.036,0.000626467
0.042,0.001461734
0.048,0.002318477
0.054,0.003162292
0.06,0.003994708
0.066,0.004814699
0.072,0.005629978
0.078,0.006446544
0.084,0.007268986
0.09,0.008101152
0.096,0.008945523
0.102,0.009804465
0.108,0.010679667
0.114,0.011572173
0.12,0.012483261
0.126,0.013413054
0.132,0.014361903
0.138,0.015328129
0.144,0.016310381
0.15,0.017308097
0.156,0.018320622
0.162,0.019348795
0.168,0.020393003
0.174,0.021454003
0.18,0.022532405
0.186,0.023628691
0.192,0.024744036
0.198,0.025878036
0.204,0.027032189
0.21,0.028206483
0.216,0.029401992
0.222,0.030619022
0.228,0.031857505
0.234,0.033117503
0.24,0.034398817
0.246,0.035701506
0.252,0.03702556
0.258,0.038371019
0.264,0.039737999
0.27,0.041126616
0.276,0.042536955
0.282,0.043969154
0.288,0.045423418
0.294,0.046899974
0.3,0.048399083
0.306,0.049920969
0.312,0.051465936
0.318,0.053034313
0.324,0.054626398
0.33,0.056242608
0.336,0.057883292
0.342,0.059548881
0.348,0.06123985
0.354,0.062956654
0.36,0.064699776
0.366,0.066469714
0.372,0.068266973
0.378,0.070091985
0.384,0.071945094
0.39,0.073826343
0.396,0.075735457
0.402,0.077672616
0.408,0.079638749
0.414,0.081634238
0.42,0.083659992
0.426,0.08571656
0.432,0.087804846
0.438,0.089925557
0.444,0.092079565
0.45,0.094267637
0.456,0.096490756
0.462,0.098749861
0.468,0.10104581
0.474,0.103379615
0.48,0.105752245
0.486,0.108164772
0.492,0.110618331
0.498,0.11311388
0.504,0.115652621
0.51,0.118235618
0.516,0.120864168
0.522,0.123539358
0.528,0.126262382
0.534,0.129034579
0.54,0.131857187
0.546,0.134731367
0.552,0.137658596
0.558,0.140640065
0.564,0.14367716
0.57,0.146770984
0.576,0.149923131
0.582,0.153134897
0.588,0.156407475
0.594,0.159742236
0.6,0.163140565
0.606,0.166603699
0.612,0.170132875
0.618,0.173727989
0.624,0.177394167
0.63,0.18112874
0.636,0.184934244
0.642,0.188811481
0.648,0.192761675
0.654,0.196785673
0.66,0.200884312
0.666,0.205058247
0.672,0.209308505
0.678,0.213635415
0.684,0.218039662
0.69,0.222521216
0.696,0.227080911
0.702,0.231718391
0.708,0.236434087
0.714,0.241227448
0.72,0.246098831
0.726,0.251047134
0.732,0.256072104
0.738,0.261173427
0.744,0.266349792
0.75,0.271598309
0.756,0.276924193
0.762,0.282320112
0.768,0.28778708
0.774,0.293323427
0.78,0.298927844
0.786,0.304598451
0.792,0.310334057
0.798,0.316132963
0.804,0.321991086
0.81,0.327913493
0.816,0.333892256
0.822,0.339925885
0.828,0.346019089
0.834,0.352164567
0.84,0.358363152
0.846,0.364613473
0.852,0.370915085
0.858,0.377266556
0.864,0.383668005
0.87,0.390118331
0.876,0.39661777
0.882,0.403165817
0.888,0.409762561
0.894,0.416408062
0.9,0.423102438
0.906,0.429846019
0.912,0.436639071
0.918,0.443481863
0.924,0.450375021
0.93,0.457318902
0.936,0.464313805
0.942,0.471360743
0.948,0.478459835
0.954,0.485611916
0.96,0.492817342
0.966,0.50007689
0.972,0.507391095
0.978,0.514760494
0.984,0.522185922
0.99,0.529667675
0.996,0.53720659
1.002,0.544803262
1.008,0.552458227
1.014,0.560171962
1.02,0.567945421
1.026,0.575778902
1.032,0.58367312
1.038,0.591628551
1.044,0.599645615
1.05,0.607725203
1.056,0.615867734
1.062,0.624073625
1.068,0.63234359
1.074,0.640678287
1.08,0.649078012
1.086,0.657542944
1.092,0.666074157
1.098,0.67467171
1.104,0.683336377
1.11,0.692068696
1.116,0.700868964
1.122,0.709737837
1.128,0.718675554
1.134,0.727682829
1.14,0.736760318
1.146,0.74590838
