Elongation [mm],Equivalent plastic strain
0,0
0.006,0
0.012,0
0.018,0
0.024,0
0.03,0.000201968
0.036,0.000830917
0.042,0.001473325
0.048,0.00211154
0.054,0.002730667
0.06,0.003330461
0.066,0.003905901
0.072,0.004462067
0.078,0.005003153
0.084,0.005532484
0.09,0.006052683
0.096,0.006566057
0.102,0.007074437
0.108,0.007579371
0.114,0.008082151
0.12,0.008584113
0.126,0.009086072
0.132,0.009589013
0.138,0.01009375
0.144,0.01060087
0.15,0.01111038
0.156,0.011623442
0.162,0.01214157
0.168,0.012665789
0.174,0.013196764
0.18,0.013735132
0.186,0.014281396
0.192,0.01483601
0.198,0.015399307
0.204,0.015971763
0.21,0.016553517
0.216,0.017144803
0.222,0.017745905
0.228,0.01835683
0.234,0.018977955
0.24,0.019609172
0.246,0.020250857
0.252,0.020902909
0.258,0.021565497
0.264,0.022238743
0.27,0.022922728
0.276,0.02361756
0.282,0.024323314
0.288,0.025040098
0.294,0.025768049
0.3,0.026507182
0.306,0.027257619
0.312,0.02801951
0.318,0.028792981
0.324,0.029578108
0.33,0.030375034
0.336,0.031183865
0.342,0.032004755
0.348,0.032837871
0.354,0.03368333
0.36,0.034541294
0.366,0.03541195
0.372,0.036295481
0.378,0.037192062
0.384,0.038101867
0.39,0.039025135
0.396,0.039962068
0.402,0.040912896
0.408,0.041877858
0.414,0.0428572
0.42,0.043851174
0.426,0.044860061
0.432,0.045884147
0.438,0.046923723
0.444,0.047979102
0.45,0.049050611
0.456,0.050138589
0.462,0.051243383
0.468,0.05236537
0.474,0.053504921
0.48,0.054662451
0.486,0.055838361
0.492,0.057033084
0.498,0.058247052
0.504,0.059480593
0.51,0.060734101
0.516,0.062007926
0.522,0.063302428
0.528,0.064617902
0.534,0.065954685
0.54,0.067313112
0.546,0.068693578
0.552,0.070096448
0.558,0.071522221
0.564,0.072971269
0.57,0.074444152
0.576,0.07594128
0.582,0.077463254
0.588,0.079010546
0.594,0.080583736
0.6,0.082183421
0.594,0.082183421
0.588,0.082183421
0.582,0.082183421
0.576,0.082183421
0.57,0.082183421
0.564,0.082183421
0.558,0.082183421
0.552,0.082183421
0.546,0.082183421
0.54,0.082183421
0.534,0.082242817
0.528,0.082839012
0.522,0.083459578
0.516,0.084096998
