Elongation [mm],Equivalent plastic strain
0.0,0.0
0.004,0.0
0.008,0.0
0.012,0.0
0.016,0.0
0.02,0.000230926
0.024,0.001201981
0.028,0.002162067
0.032,0.003105436
0.036,0.004034096
0.04,0.004950506
0.044,0.005856728
0.048,0.006754788
0.052,0.007646441
0.056,0.008533277
0.06,0.009416606
0.064,0.010297582
0.068,0.011176832
0.072,0.012052538
0.076,0.012916961
0.08,0.013764555
0.084,0.014600858
0.088,0.015429749
0.092,0.016255431
0.096,0.017079983
0.1,0.017904911
0.104,0.018731603
0.108,0.019560952
0.112,0.02039383
0.116,0.021231011
0.12,0.022073071
0.124,0.022920657
0.128,0.023773775
0.132,0.02463299
0.136,0.025498558
0.14,0.026370583
0.144,0.027249279
0.148,0.028134849
0.152,0.029027183
0.156,0.029926302
0.16,0.030832611
0.164,0.031745657
0.168,0.032665715
0.172,0.033592522
0.176,0.034526348
0.18,0.035466976
0.184,0.036414165
0.188,0.0373681
0.192,0.038328599
0.196,0.039295632
0.2,0.040269323
0.204,0.041249178
0.208,0.042235546
0.212,0.043228012
0.216,0.044226807
0.22,0.045231521
0.224,0.046242546
0.228,0.047259554
0.232,0.048282664
0.236,0.049311489
0.24,0.050346136
0.244,0.051386584
0.248,0.052432895
0.252,0.053484969
0.256,0.054542612
0.26,0.055605944
0.264,0.056675021
0.268,0.057749834
0.272,0.058830332
0.276,0.059916347
0.28,0.061007984
0.284,0.062105283
0.288,0.063208155
0.292,0.064316675
0.296,0.065430842
0.3,0.066550583
0.304,0.067676052
0.308,0.068807207
0.312,0.06994386
0.316,0.071086243
0.32,0.072234362
0.324,0.073388167
0.328,0.074547812
0.332,0.075713336
0.336,0.076884724
0.34,0.078062117
0.344,0.079245485
0.348,0.080434851
0.352,0.081630349
0.356,0.082832009
0.36,0.084039927
0.364,0.085254133
0.368,0.086474657
0.372,0.087701529
0.376,0.088934883
0.38,0.090174749
0.384,0.091421187
0.388,0.092674226
0.392,0.09393397
0.396,0.095200479
0.4,0.096473806
0.404,0.097754031
0.408,0.099041224
0.412,0.100335434
0.416,0.101636656
0.42,0.102945045
0.424,0.104260653
0.428,0.105583556
0.432,0.106913827
0.436,0.108251534
0.44,0.109596744
0.444,0.110949531
0.448,0.112309948
0.452,0.113678105
0.456,0.115054056
0.46,0.116437852
0.464,0.117829591
0.468,0.119229354
0.472,0.120637193
0.476,0.122053161
0.48,0.123477355
0.484,0.124909818
0.488,0.126350611
0.492,0.127799779
0.496,0.129257396
0.5,0.130723491
0.504,0.13219808
0.508,0.133681253
0.512,0.135173038
0.516,0.136673436
0.52,0.138182506
0.524,0.139700323
0.528,0.141226858
0.532,0.142762184
0.536,0.144306332
0.54,0.145859331
0.544,0.147421196
0.548,0.148991957
0.552,0.150571674
0.556,0.152160317
0.56,0.15375796
0.564,0.155364588
0.568,0.156980202
0.572,0.158604831
0.576,0.160238519
0.58,0.161881253
0.584,0.163533032
0.588,0.1651939
0.592,0.166863889
0.596,0.168542981
0.6,0.170231193
0.604,0.17192854
0.608,0.173635006
0.612,0.175350666
0.616,0.177075475
0.62,0.178809494
0.624,0.180552602
0.628,0.182304949
0.632,0.184066519
0.636,0.185837209
0.64,0.187617138
0.644,0.189406261
0.648,0.191204578
0.652,0.193012089
0.656,0.194828808
0.66,0.196654737
0.664,0.19848983
0.668,0.200334072
0.672,0.202187553
0.676,0.204050213
0.68,0.205922052
0.684,0.207803071
0.688,0.209693223
0.692,0.211592525
0.696,0.213500962
0.7,0.215418547
0.704,0.217345268
0.708,0.219281077
0.712,0.221226037
0.716,0.223180085
0.72,0.225143194
0.724,0.227115437
0.728,0.229096696
0.732,0.231086999
0.736,0.233086377
0.74,0.235094771
0.744,0.237112164
0.748,0.239138603
0.752,0.241174012
0.756,0.243218407
0.76,0.245271802
0.764,0.247334167
0.768,0.249405414
0.772,0.251485616
0.776,0.253574759
0.78,0.255672812
0.784,0.257779777
0.788,0.259895653
0.792,0.262020379
0.796,0.264153957
0.8,0.266296446
0.804,0.268447697
0.808,0.270607829
0.812,0.272776783
0.816,0.274954587
0.82,0.277141154
0.824,0.279336601
0.828,0.281540781
0.832,0.283753783
0.836,0.285975575
0.84,0.288206071
0.844,0.290445387
0.848,0.292693436
0.852,0.294950306
0.856,0.297215879
0.86,0.299490213
0.864,0.30177331
0.868,0.304065168
0.872,0.306365728
0.876,0.30867511
0.88,0.310993195
0.884,0.3133201
0.888,0.315655708
0.892,0.318000108
0.896,0.32035327
0.9,0.322715193
0.904,0.325085908
0.908,0.327465415
0.912,0.329853714
0.916,0.332250834
0.92,0.334656775
0.924,0.337071508
0.928,0.339495122
0.932,0.341927648
0.936,0.344368994
0.94,0.346819252
0.944,0.34927842
0.948,0.3517465
0.952,0.354223609
0.956,0.356709599
0.96,0.35920459
0.964,0.361708641
0.968,0.364221752
0.972,0.366743863
0.976,0.369275153
0.98,0.371815443
0.984,0.374364913
0.988,0.376923501
0.992,0.379491359
0.996,0.382068425
1.0,0.384654701
1.004,0.387250215
1.008,0.389855087
1.012,0.392469257
1.016,0.395092785
1.02,0.397725731
1.024,0.400368035
1.028,0.403019816
1.032,0.405681074
1.036,0.408351779
1.04,0.41103211
1.044,0.413721919
1.048,0.416421384
1.052,0.419130445
1.056,0.421849161
1.06,0.424577534
1.064,0.427315652
1.068,0.430063486
1.072,0.432821125
1.076,0.435588539
1.08,0.438365817
1.084,0.44115299
1.088,0.443949968
1.092,0.44675684
1.096,0.449573755
1.1,0.452400625
1.104,0.455237478
1.108,0.458084404
1.112,0.460941315
1.116,0.463808477
1.12,0.466685653
1.124,0.469573021
1.128,0.472470611
1.132,0.475378424
1.136,0.478296429
1.14,0.481224775
1.144,0.484163344
1.148,0.487112284
1.152,0.490071565
1.156,0.493041217
1.16,0.49602139
1.164,0.499011874
1.168,0.502012908
1.172,0.505024493
1.176,0.508046567
1.18,0.511079311
1.184,0.514122605
1.188,0.517176509
1.192,0.520241022
1.196,0.523316264
1.2,0.526402175
1.204,0.529498816
1.208,0.532606304
1.212,0.53572464
1.216,0.538853645
1.22,0.541993618
1.224,0.545144439
1.228,0.548306227
1.232,0.551479101
1.236,0.554662824
1.24,0.557857513
1.244,0.561063349
1.248,0.564280331
1.252,0.56750828
1.256,0.570747375
1.26,0.573997796
1.264,0.577259243
1.268,0.580532014
1.272,0.583816051
1.276,0.587111413
1.28,0.5904181
1.284,0.593736291
1.288,0.597065747
1.292,0.600406766
1.296,0.60375911
1.3,0.607123137
1.304,0.610498548
1.308,0.613885522
1.312,0.617284119
1.316,0.620694518
1.32,0.624116421
1.324,0.627550125
1.328,0.630995572
1.332,0.634452939
1.336,0.637921989
1.34,0.6414029
1.344,0.644895792
1.348,0.648400545
1.352,0.651917219
1.356,0.655445933
1.36,0.658986747
1.364,0.662539721
1.368,0.666104674
1.372,0.669681787
1.376,0.673271179
1.38,0.67687279
1.384,0.680486619
1.388,0.684112906
1.392,0.687751472
1.396,0.691402316
1.4,0.695065618
1.404,0.698741436
1.408,0.702429771
