Elongation [mm],Equivalent plastic strain
0.0,0.0
0.012,0.0
0.024,0.00209358
0.036,0.00505018
0.048,0.007725768
0.06,0.010280246
0.072,0.012786523
0.084,0.01528764
0.096,0.017809406
0.108,0.020367002
0.12,0.022968568
0.132,0.025617547
0.144,0.0283143
0.156,0.031057373
0.168,0.033843823
0.18,0.036670431
0.192,0.039533742
0.204,0.042430267
0.216,0.04535668
0.228,0.048307892
0.24,0.051278409
0.252,0.054262936
0.264,0.057261199
0.276,0.060274303
0.288,0.063302115
0.3,0.066344738
0.312,0.069402143
0.324,0.072474137
0.336,0.075561136
0.348,0.078663155
0.36,0.081781209
0.372,0.084915981
0.384,0.088067874
0.396,0.091237515
0.408,0.094425857
0.42,0.097633801
0.432,0.100863107
0.444,0.1041127
0.456,0.107384242
0.468,0.110678762
0.48,0.113997236
0.492,0.117340662
0.504,0.12070965
0.516,0.124105439
0.528,0.127528936
0.54,0.130981088
0.552,0.134462953
0.564,0.137975469
0.576,0.141519606
0.588,0.145096257
0.6,0.148706287
0.612,0.152350724
0.624,0.156030327
0.636,0.159746021
0.648,0.1634987
0.66,0.167289287
0.672,0.171118557
0.684,0.174987316
0.696,0.178896442
0.708,0.182845578
0.72,0.186834484
0.732,0.190863401
0.744,0.194932252
0.756,0.199041277
0.768,0.203190535
0.78,0.207380176
0.792,0.211610377
0.804,0.215881318
0.816,0.220193267
0.828,0.224546373
0.84,0.228940964
0.852,0.233377203
0.864,0.237855345
0.876,0.242375776
0.888,0.246938646
0.9,0.251544297
0.912,0.256192982
0.924,0.260885
0.936,0.265620708
0.948,0.270400375
0.96,0.275224209
0.972,0.280092657
0.984,0.285005927
0.996,0.289964288
1.008,0.294968218
1.02,0.300017804
1.032,0.305113494
1.044,0.310255527
1.056,0.315444231
1.068,0.320679843
1.08,0.325962722
1.092,0.331293285
1.104,0.336671591
1.116,0.342098176
1.128,0.347571045
1.14,0.35309428
1.152,0.358668685
1.164,0.364290923
1.176,0.369962901
1.188,0.375684917
1.2,0.38145709
1.188,0.38145709
1.176,0.38145709
1.164,0.38145709
1.152,0.381715745
1.14,0.384379864
1.128,0.38665086
1.116,0.38874805
1.104,0.390836
